Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,IPS UNIVERSITARIA SEDE CAMINO METROPOLITANO,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO METROPOLITANO_ATLANTICO_BARRANQUILLA
4,CLINICA ZAYMA LTDA,COLOMBIA,CORDOBA,CERETE,CLINICA ZAYMA LTDA_CORDOBA_CERETE
4,SECRETARIA DE SALUD DE SAN JOSE DE CUCUTA,COLOMBIA,NORTE SANTANDER,CUCUTA,SECRETARIA DE SALUD DE SAN JOSE DE CUCUTA_NORTE SANTANDER_CUCUTA
4,ESE HOSPITAL LOCAL SAN JUAN NEPOMUCENO,COLOMBIA,BOLIVAR,SAN JUAN NEPOMUCENO,ESE HOSPITAL LOCAL SAN JUAN NEPOMUCENO_BOLIVAR_SAN JUAN NEPOMUCENO
3,CORPORACION IPS SALUDCOOP,COLOMBIA,HUILA,CAMPOALEGRE,CORPORACION IPS SALUDCOOP_HUILA_CAMPOALEGRE
4,CENTRO DE SALUD NELSON MANDELA,COLOMBIA,BOLIVAR,CARTAGENA,CENTRO DE SALUD NELSON MANDELA_BOLIVAR_CARTAGENA
4,GESTION SALUD,COLOMBIA,BOLIVAR,CARTAGENA,GESTION SALUD_BOLIVAR_CARTAGENA
4,CORPORACION IPS SALUDCOOP,COLOMBIA,NORTE SANTANDER,CUCUTA,CORPORACION IPS SALUDCOOP_NORTE SANTANDER_CUCUTA
3,CLINICA METROPOLITANA DE COMFANORTE,COLOMBIA,NORTE SANTANDER,CUCUTA,CLINICA METROPOLITANA DE COMFANORTE_NORTE SANTANDER_CUCUTA
4,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE EL RET,COLOMBIA,MAGDALENA,EL RETEN,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE EL RET_MAGDALENA_EL RETEN
4,ESE HOSPITAL LOCAL SAN JACINTO,COLOMBIA,BOLIVAR,SAN JACINTO,ESE HOSPITAL LOCAL SAN JACINTO_BOLIVAR_SAN JACINTO
3,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO E,COLOMBIA,NORTE SANTANDER,CUCUTA,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO E_NORTE SANTANDER_CUCUTA
3,ESE UNIDAD LOCAL DE SALUD DE SUAN,VENEZUELA,EXTERIOR,EXTERIOR_VENEZUELA,ESE UNIDAD LOCAL DE SALUD DE SUAN_EXTERIOR_EXTERIOR_VENEZUELA
4,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA,COLOMBIA,ATLANTICO,BARRANQUILLA,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_BARRANQUILLA
4,ESE HOSPITAL DE PUERTO COLOMBIA,COLOMBIA,ATLANTICO,PUERTO COLOMBIA,ESE HOSPITAL DE PUERTO COLOMBIA_ATLANTICO_PUERTO COLOMBIA
4,UPA ARROYO DE PIEDRA,COLOMBIA,BOLIVAR,CARTAGENA,UPA ARROYO DE PIEDRA_BOLIVAR_CARTAGENA
4,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO SUROCCIDENTE_ATLANTICO_BARRANQUILLA
4,ESE HOSPITAL LOCAL DE SALAMINA,COLOMBIA,MAGDALENA,SALAMINA,ESE HOSPITAL LOCAL DE SALAMINA_MAGDALENA_SALAMINA
4,IPS UNIVERSITARIA SEDE CAMINO SALUD METROPOLITANA,COLOMBIA,ATLANTICO,BARRANQUILLA,IPS UNIVERSITARIA SEDE CAMINO SALUD METROPOLITANA_ATLANTICO_BARRANQUILLA
4,CORPORACION IPS COMFAMILIAR CAMACOL COODAN,COLOMBIA,MAGDALENA,SANTA MARTHA,CORPORACION IPS COMFAMILIAR CAMACOL COODAN_MAGDALENA_SANTA MARTHA
4,ESE HOSPITAL LOCAL MUNICIPIO LOS PATIOS,COLOMBIA,NORTE SANTANDER,LOS PATIOS,ESE HOSPITAL LOCAL MUNICIPIO LOS PATIOS_NORTE SANTANDER_LOS PATIOS
3,CLINICA MEDIESP SAS,COLOMBIA,ATLANTICO,BARRANQUILLA,CLINICA MEDIESP SAS_ATLANTICO_BARRANQUILLA
4,CLINICA DE ESPECIALISTAS TURBACO CIA LTDA,COLOMBIA,BOLIVAR,TURBACO,CLINICA DE ESPECIALISTAS TURBACO CIA LTDA_BOLIVAR_TURBACO
4,ESE HOSPITAL DE LURUACO,COLOMBIA,ATLANTICO,LURUACO,ESE HOSPITAL DE LURUACO_ATLANTICO_LURUACO
4,UAB SANTA LUCIA SALUD TOTAL EPS CARTAGENA,COLOMBIA,BOLIVAR,CARTAGENA,UAB SANTA LUCIA SALUD TOTAL EPS CARTAGENA_BOLIVAR_CARTAGENA
4,PERFECT BODY MEDICAL CENTER,COLOMBIA,MAGDALENA,SANTA MARTHA,PERFECT BODY MEDICAL CENTER_MAGDALENA_SANTA MARTHA
4,HOSPITAL PABLO TOBON URIBE,COLOMBIA,ANTIOQUIA,MEDELLIN,HOSPITAL PABLO TOBON URIBE_ANTIOQUIA_MEDELLIN
4,ESE CAMU DE MOMIL,COLOMBIA,CORDOBA,MOMIL,ESE CAMU DE MOMIL_CORDOBA_MOMIL
4,MEDICADIZ SA,COLOMBIA,TOLIMA,GUAMO,MEDICADIZ SA_TOLIMA_GUAMO
4,ASOCIACION MEDICA HUMANA EAT,COLOMBIA,SUCRE,OVEJAS,ASOCIACION MEDICA HUMANA EAT_SUCRE_OVEJAS
4,ESE HOSPITAL JUAN LUIS LONDOÑOG,COLOMBIA,NORTE SANTANDER,EL ZULIA,ESE HOSPITAL JUAN LUIS LONDOÑOG_NORTE SANTANDER_EL ZULIA
3,ESE HOSPITAL LOCAL SAN JACINTO,COLOMBIA,BOLIVAR,SAN JACINTO,ESE HOSPITAL LOCAL SAN JACINTO_BOLIVAR_SAN JACINTO
4,ESE CAMU LA APARTADA,COLOMBIA,CORDOBA,LA APARTADA,ESE CAMU LA APARTADA_CORDOBA_LA APARTADA
4,IPS FUNDARVIR SAS,COLOMBIA,BOLIVAR,SAN JACINTO,IPS FUNDARVIR SAS_BOLIVAR_SAN JACINTO
4,ESE HOSPITAL LOCAL ZONA BANANERA,COLOMBIA,MAGDALENA,ZONA BANANERA,ESE HOSPITAL LOCAL ZONA BANANERA_MAGDALENA_ZONA BANANERA
4,HOSPITAL SAN ROQUE,COLOMBIA,TOLIMA,ALVARADO,HOSPITAL SAN ROQUE_TOLIMA_ALVARADO
4,BIENESTAR IPS SAS PEDRO DE HEREDIA,COLOMBIA,BOLIVAR,CARTAGENA,BIENESTAR IPS SAS PEDRO DE HEREDIA_BOLIVAR_CARTAGENA
4,SINERGIA  SALUD ATENCION BASICA MANGA,COLOMBIA,BOLIVAR,CARTAGENA,SINERGIA  SALUD ATENCION BASICA MANGA_BOLIVAR_CARTAGENA
4,UNIDAD MEDICA CARTAGENA DE INDIAS,COLOMBIA,BOLIVAR,CARTAGENA,UNIDAD MEDICA CARTAGENA DE INDIAS_BOLIVAR_CARTAGENA
4,BATALLON DE FUSILEROS DE INFANTERIA DE MARINA NO,COLOMBIA,BOLIVAR,MAHATES,BATALLON DE FUSILEROS DE INFANTERIA DE MARINA NO_BOLIVAR_MAHATES
4,IPS TOLUSALUD LTDA,COLOMBIA,SUCRE,COVEÑAS,IPS TOLUSALUD LTDA_SUCRE_COVEÑAS
4,ESE HOSPITAL LOCAL SABANAS DE SAN ANGEL,COLOMBIA,MAGDALENA,SABANAS DE SAN ANGEL,ESE HOSPITAL LOCAL SABANAS DE SAN ANGEL_MAGDALENA_SABANAS DE SAN ANGEL
4,SALUD TOTAL EPS,COLOMBIA,HUILA,NEIVA,SALUD TOTAL EPS_HUILA_NEIVA
4,FUNDACION PANZENU,COLOMBIA,CORDOBA,MONTELIBANO,FUNDACION PANZENU_CORDOBA_MONTELIBANO
