Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,UNIDAD MEDICA MEDISUR IPS LTDA BOSA,COLOMBIA,BOGOTA,BOGOTA,UNIDAD MEDICA MEDISUR IPS LTDA BOSA_BOGOTA_BOGOTA
4,ESE HOSPITAL DE USME - CAMI USME,COLOMBIA,BOGOTA,BOGOTA,ESE HOSPITAL DE USME - CAMI USME_BOGOTA_BOGOTA
4,VIRREY SOLIS IPS - FONTIBON,COLOMBIA,BOGOTA,BOGOTA,VIRREY SOLIS IPS - FONTIBON_BOGOTA_BOGOTA
4,CAJA DE COMPENSACION FAMILIAR COMPENSAR,COLOMBIA,BOGOTA,BOGOTA,CAJA DE COMPENSACION FAMILIAR COMPENSAR_BOGOTA_BOGOTA
4,HOSPITAL CENTRAL POLICIA NACIONAL TEUSAQUILLO,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL CENTRAL POLICIA NACIONAL TEUSAQUILLO_BOGOTA_BOGOTA
4,UBA COOMEVA EPS AV 68 PUENTE ARANDA,COLOMBIA,BOGOTA,BOGOTA,UBA COOMEVA EPS AV 68 PUENTE ARANDA_BOGOTA_BOGOTA
4,HOSPITAL RAFAEL URIBE -BRAVO PAEZ,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL RAFAEL URIBE -BRAVO PAEZ_BOGOTA_BOGOTA
4,CLINICA DEL OCCIDENTE LTDA CMO COUNTRY,COLOMBIA,BOGOTA,BOGOTA,CLINICA DEL OCCIDENTE LTDA CMO COUNTRY_BOGOTA_BOGOTA
4,CORPORACION IPS SALUDCOOP CAU AV68 - FONTIBON,COLOMBIA,BOGOTA,BOGOTA,CORPORACION IPS SALUDCOOP CAU AV68 - FONTIBON_BOGOTA_BOGOTA
4,CENTRO MEDICO COLSUBSIDIO CL 26,COLOMBIA,BOGOTA,BOGOTA,CENTRO MEDICO COLSUBSIDIO CL 26_BOGOTA_BOGOTA
4,CAJA DE COMPENSACION FAMILIAR COMPENSAR CL 67,COLOMBIA,BOGOTA,BOGOTA,CAJA DE COMPENSACION FAMILIAR COMPENSAR CL 67_BOGOTA_BOGOTA
4,ESE HOSPITAL LA VICTORIA III NIVEL,COLOMBIA,BOGOTA,BOGOTA,ESE HOSPITAL LA VICTORIA III NIVEL_BOGOTA_BOGOTA
4,ESE HOSPITAL BOSA II NIVEL,COLOMBIA,BOGOTA,BOGOTA,ESE HOSPITAL BOSA II NIVEL_BOGOTA_BOGOTA
4,CLINICA INFANTIL COLSUBSIDIO,COLOMBIA,BOGOTA,BOGOTA,CLINICA INFANTIL COLSUBSIDIO_BOGOTA_BOGOTA
4,HOSPITAL UNIVERSITARIO DE SAN IGNACIO,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL UNIVERSITARIO DE SAN IGNACIO_BOGOTA_BOGOTA
4,CENTRO DE ATENCION EN SALUD CAFAM CLINICA,COLOMBIA,BOGOTA,BOGOTA,CENTRO DE ATENCION EN SALUD CAFAM CLINICA_BOGOTA_BOGOTA
4,CLINICA JORGE PIÑEROS CORPAS,COLOMBIA,BOGOTA,BOGOTA,CLINICA JORGE PIÑEROS CORPAS_BOGOTA_BOGOTA
4,IPS SURA CHAPINERO,COLOMBIA,BOGOTA,BOGOTA,IPS SURA CHAPINERO_BOGOTA_BOGOTA
4,SALUD TOTAL S.A ENTIDAD PROMOTORA DE SALUD,COLOMBIA,BOGOTA,BOGOTA,SALUD TOTAL S.A ENTIDAD PROMOTORA DE SALUD_BOGOTA_BOGOTA
4,CRUZ BLANCA HEROES B UNIDOS,COLOMBIA,BOGOTA,BOGOTA,CRUZ BLANCA HEROES B UNIDOS_BOGOTA_BOGOTA
4,SEDE ASISTENCIAL LOS LACHES,COLOMBIA,BOGOTA,BOGOTA,SEDE ASISTENCIAL LOS LACHES_BOGOTA_BOGOTA
4,PREVIMEDIC S.A. SAN CRISTOBAL,COLOMBIA,BOGOTA,BOGOTA,PREVIMEDIC S.A. SAN CRISTOBAL_BOGOTA_BOGOTA
4,CLINICA JUAN N CORPAS LTDA,COLOMBIA,BOGOTA,BOGOTA,CLINICA JUAN N CORPAS LTDA_BOGOTA_BOGOTA
4,CORPORACION IPS COOMEVA EPS SA CLINICA NUEVA,COLOMBIA,BOGOTA,BOGOTA,CORPORACION IPS COOMEVA EPS SA CLINICA NUEVA_BOGOTA_BOGOTA
4,EMPRESA SOCIAL DEL ESTADO LUIS CARLOS GALAN SARMIE,COLOMBIA,BOGOTA,BOGOTA,EMPRESA SOCIAL DEL ESTADO LUIS CARLOS GALAN SARMIE_BOGOTA_BOGOTA
4,HOSPITAL SAN BLAS II NIVEL ESE,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL SAN BLAS II NIVEL ESE_BOGOTA_BOGOTA
4,CORPORACION CLINICA SALUDCOOP BOGOTA SAN CRISTOBAL,COLOMBIA,BOGOTA,BOGOTA,CORPORACION CLINICA SALUDCOOP BOGOTA SAN CRISTOBAL_BOGOTA_BOGOTA
4,FUNDACION SALUD BOSQUE USAQUEN,COLOMBIA,BOGOTA,BOGOTA,FUNDACION SALUD BOSQUE USAQUEN_BOGOTA_BOGOTA
4,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,COLOMBIA,BOGOTA,BOGOTA,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT_BOGOTA_BOGOTA
4,HOSPITAL DEL SUR-UBA 50 MEXICANA-KENNEDY,COLOMBIA,BOGOTA,BOGOTA,HOSPITAL DEL SUR-UBA 50 MEXICANA-KENNEDY_BOGOTA_BOGOTA
4,CLINICA PARTENON LTDA,COLOMBIA,BOGOTA,BOGOTA,CLINICA PARTENON LTDA_BOGOTA_BOGOTA
4,ESE HOSPITAL DE USME I NIVEL,COLOMBIA,BOGOTA,BOGOTA,ESE HOSPITAL DE USME I NIVEL_BOGOTA_BOGOTA
4,UBA COOMEVA EPS SANTA BARBARA USAQUEN,COLOMBIA,BOGOTA,BOGOTA,UBA COOMEVA EPS SANTA BARBARA USAQUEN_BOGOTA_BOGOTA
