Estado_final_de_caso,Nom_upgd,Pais_ocurrencia,Departamento_ocurrencia,Municipio_ocurrencia,idx
4,CORPORACION IPS SALUDCOOP,COLOMBIA,NORTE SANTANDER,CUCUTA,CORPORACION IPS SALUDCOOP_NORTE SANTANDER_CUCUTA
4,BATALLÓN DE ASPC NO2 CACIQUE ALONSO XEQUE,COLOMBIA,ATLANTICO,BARRANQUILLA,BATALLÓN DE ASPC NO2 CACIQUE ALONSO XEQUE_ATLANTICO_BARRANQUILLA
4,BIENESTAR IPS SAS,COLOMBIA,BOLIVAR,CARTAGENA,BIENESTAR IPS SAS_BOLIVAR_CARTAGENA
4,CORPORACION IPS SALUDCOOP CLINICA SANTA MARTA,COLOMBIA,MAGDALENA,SANTA MARTHA,CORPORACION IPS SALUDCOOP CLINICA SANTA MARTA_MAGDALENA_SANTA MARTHA
4,CLINICA NORTE SA,COLOMBIA,NORTE SANTANDER,CUCUTA,CLINICA NORTE SA_NORTE SANTANDER_CUCUTA
4,SECRETARIA DE SALUD DEPARTAMENTAL,COLOMBIA,SAN ANDRES,SAN ANDRES,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES
3,ESE REGIONAL NORTE IPS PUERTO SANTANDER,COLOMBIA,NORTE SANTANDER,PUERTO SANTANDER,ESE REGIONAL NORTE IPS PUERTO SANTANDER_NORTE SANTANDER_PUERTO SANTANDER
4,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA,COLOMBIA,ATLANTICO,BARRANQUILLA,OFICINA DE SALUD DISTRITAL DE SALUD PUBLICA_ATLANTICO_BARRANQUILLA
4,SECRETARIA DE SALUD DEPARTAMENTAL,COLOMBIA,SAN ANDRES,* SAN ANDRES Y PROV. MUNICIPIO DESCONOCIDO,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_* SAN ANDRES Y PROV. MUNICIPIO DESCONOCIDO
3,SECRETARIA DE SALUD DEPARTAMENTAL,COLOMBIA,SAN ANDRES,SAN ANDRES,SECRETARIA DE SALUD DEPARTAMENTAL_SAN ANDRES_SAN ANDRES
4,HOSPITAL LOCAL DE AGUACHICA SEDE BARAHOJA,COLOMBIA,CESAR,AGUACHICA,HOSPITAL LOCAL DE AGUACHICA SEDE BARAHOJA_CESAR_AGUACHICA
4,ESE CEO CENTRO DE SALUD PALMAS,COLOMBIA,HUILA,NEIVA,ESE CEO CENTRO DE SALUD PALMAS_HUILA_NEIVA
4,ESE CENTRO DE SALUD SANTA LUCIA,COLOMBIA,SUCRE,BUENAVISTA,ESE CENTRO DE SALUD SANTA LUCIA_SUCRE_BUENAVISTA
4,SINERGIA SALUD UNIDAD BASICA FORD,COLOMBIA,SUCRE,SINCELEJO,SINERGIA SALUD UNIDAD BASICA FORD_SUCRE_SINCELEJO
4,COORPORACION IPS SALUD CAU,COLOMBIA,CORDOBA,MONTERIA,COORPORACION IPS SALUD CAU_CORDOBA_MONTERIA
4,COOMEVA EPS ATENCION SEDE NORTE,COLOMBIA,ATLANTICO,BARRANQUILLA,COOMEVA EPS ATENCION SEDE NORTE_ATLANTICO_BARRANQUILLA
4,FAMILIA  IPS  SALUD INTEGRAL,COLOMBIA,ATLANTICO,BARRANQUILLA,FAMILIA  IPS  SALUD INTEGRAL_ATLANTICO_BARRANQUILLA
4,ESE CLINICAS ALTOS DE SAN VICENTE LTDA,COLOMBIA,ATLANTICO,BARRANQUILLA,ESE CLINICAS ALTOS DE SAN VICENTE LTDA_ATLANTICO_BARRANQUILLA
4,CLINICA UNIVERSITARIA COLOMBIA-TEUSAQUILLO,COLOMBIA,TOLIMA,ESPINAL,CLINICA UNIVERSITARIA COLOMBIA-TEUSAQUILLO_TOLIMA_ESPINAL
4,COOMEVA EPS ATENCION SEDE NORTE,COLOMBIA,ATLANTICO,SOLEDAD,COOMEVA EPS ATENCION SEDE NORTE_ATLANTICO_SOLEDAD
4,CLINICA LA MILAGROSA SA,COLOMBIA,MAGDALENA,SANTA MARTHA,CLINICA LA MILAGROSA SA_MAGDALENA_SANTA MARTHA
4,CLINICA LAS PEÑITAS SAS SEDE HOSPITALARIA,COLOMBIA,SUCRE,SINCELEJO,CLINICA LAS PEÑITAS SAS SEDE HOSPITALARIA_SUCRE_SINCELEJO
4,CLINICA LAS PEÑITAS SAS SEDE PROGRAMAS ESPECIALES,COLOMBIA,SUCRE,SINCELEJO,CLINICA LAS PEÑITAS SAS SEDE PROGRAMAS ESPECIALES_SUCRE_SINCELEJO
4,CLINICA LAS PEÑITAS SAS SEDE HOSPITALARIA,COLOMBIA,SUCRE,SAN PEDRO,CLINICA LAS PEÑITAS SAS SEDE HOSPITALARIA_SUCRE_SAN PEDRO
