Category: All categories

Month,Virus: (Brazil),Symptom: (Brazil),Hospital: (Brazil),Physician: (Brazil)
2004-01,13,7,24,11
2004-02,16,8,24,9
2004-03,21,9,27,9
2004-04,18,9,25,9
2004-05,21,9,24,8
2004-06,16,8,21,8
2004-07,15,8,23,9
2004-08,14,8,23,9
2004-09,14,9,24,10
2004-10,13,9,24,12
2004-11,12,10,22,10
2004-12,9,8,20,9
2005-01,8,10,26,10
2005-02,12,10,22,9
2005-03,16,10,24,8
2005-04,15,10,22,8
2005-05,13,10,21,8
2005-06,11,10,21,8
2005-07,9,8,21,8
2005-08,13,10,22,9
2005-09,10,9,21,9
2005-10,9,10,24,11
2005-11,9,10,22,9
2005-12,9,8,18,8
2006-01,6,9,24,9
2006-02,9,9,22,8
2006-03,11,10,24,9
2006-04,13,9,23,8
2006-05,11,9,22,8
2006-06,10,9,22,7
2006-07,9,8,19,7
2006-08,8,9,21,7
2006-09,8,8,19,7
2006-10,8,8,20,9
2006-11,8,9,19,8
2006-12,7,8,16,7
2007-01,7,8,20,7
2007-02,8,9,20,6
2007-03,10,9,20,7
2007-04,10,10,21,6
2007-05,9,10,20,6
2007-06,9,10,18,6
2007-07,8,9,20,6
2007-08,9,9,19,6
2007-09,8,9,18,7
2007-10,9,10,19,9
2007-11,8,10,18,7
2007-12,8,9,15,6
2008-01,7,12,20,8
2008-02,9,10,20,8
2008-03,10,13,20,7
2008-04,10,15,20,8
2008-05,10,11,19,7
2008-06,9,10,19,7
2008-07,7,9,18,7
2008-08,8,10,19,8
2008-09,8,11,18,8
2008-10,7,10,18,8
2008-11,8,11,17,7
2008-12,8,10,15,7
2009-01,8,12,18,8
2009-02,8,13,18,8
2009-03,11,15,19,8
2009-04,12,17,20,8
2009-05,10,18,19,8
2009-06,8,16,17,8
2009-07,8,21,18,8
2009-08,10,24,19,9
2009-09,8,18,18,9
2009-10,7,15,18,9
2009-11,7,16,17,9
2009-12,6,14,15,7
2010-01,5,17,17,9
2010-02,6,17,17,9
2010-03,8,20,19,9
2010-04,8,21,17,9
2010-05,7,19,18,9
2010-06,6,16,17,8
2010-07,5,15,16,9
2010-08,6,15,16,9
2010-09,7,17,16,9
2010-10,5,16,16,10
2010-11,5,15,16,8
2010-12,5,14,14,8
2011-01,4,16,16,9
2011-02,5,17,16,9
2011-03,6,17,15,9
2011-04,6,18,15,9
2011-05,5,17,16,9
2011-06,5,15,14,8
2011-07,4,15,14,9
2011-08,4,17,15,10
2011-09,4,17,14,9
2011-10,4,17,14,10
2011-11,5,15,13,9
2011-12,4,14,12,9
2012-01,4,15,14,10
2012-02,4,16,14,10
2012-03,5,17,15,9
2012-04,5,16,15,9
2012-05,5,16,15,9
2012-06,4,16,14,8
2012-07,4,15,14,9
2012-08,4,15,14,9
2012-09,4,14,13,9
2012-10,3,15,14,10
2012-11,3,14,12,8
2012-12,3,13,11,7
2013-01,3,14,14,9
2013-02,3,15,14,9
2013-03,4,16,13,8
2013-04,5,18,14,9
2013-05,5,17,14,9
2013-06,4,16,14,9
2013-07,4,15,14,10
2013-08,4,15,14,10
2013-09,4,16,13,10
2013-10,4,15,14,11
2013-11,4,16,13,10
2013-12,3,15,11,8
2014-01,3,16,14,10
2014-02,4,16,15,10
2014-03,6,18,15,9
2014-04,6,18,15,9
2014-05,6,18,15,10
2014-06,5,16,13,9
2014-07,5,16,15,9
2014-08,8,17,14,10
2014-09,5,19,14,10
2014-10,7,19,14,11
2014-11,5,17,14,10
2014-12,4,15,13,8
2015-01,3,17,16,10
2015-02,4,19,15,10
2015-03,5,24,16,10
2015-04,5,24,16,10
2015-05,6,21,15,10
2015-06,6,19,15,10
2015-07,5,19,15,10
2015-08,4,20,15,10
2015-09,4,21,15,10
2015-10,4,19,15,11
2015-11,6,20,15,10
2015-12,9,22,13,9
2016-01,7,21,16,10
2016-02,14,26,16,10
2016-03,10,26,16,10
2016-04,9,30,17,10
2016-05,7,22,15,10
2016-06,6,19,15,10
2016-07,4,19,15,10
2016-08,4,19,15,10
2016-09,4,20,16,10
2016-10,4,19,15,12
2016-11,4,20,13,27
2016-12,4,19,11,19
2017-01,4,22,25,18
2017-02,4,22,28,19
2017-03,6,23,30,19
