Category: All categories

Month,Virus: (Chile),Symptom: (Chile),Hospital: (Chile),Physician: (Chile)
2004-01,16,14,13,15
2004-02,23,13,14,14
2004-03,20,12,14,13
2004-04,22,13,13,13
2004-05,33,14,13,14
2004-06,25,13,13,13
2004-07,30,14,13,13
2004-08,22,13,12,13
2004-09,21,13,12,13
2004-10,21,13,12,13
2004-11,26,14,13,13
2004-12,16,15,11,10
2005-01,15,13,14,12
2005-02,14,14,12,13
2005-03,15,13,14,13
2005-04,16,12,14,13
2005-05,16,14,13,14
2005-06,17,15,13,12
2005-07,15,14,12,13
2005-08,15,13,13,13
2005-09,14,13,13,13
2005-10,15,15,13,14
2005-11,14,14,12,13
2005-12,11,13,11,11
2006-01,13,14,14,13
2006-02,17,15,14,12
2006-03,13,13,15,15
2006-04,12,13,14,14
2006-05,13,15,15,14
2006-06,11,14,13,13
2006-07,11,12,14,13
2006-08,12,13,14,13
2006-09,11,13,13,13
2006-10,13,14,14,14
2006-11,12,14,13,14
2006-12,9,13,13,11
2007-01,10,14,15,14
2007-02,8,15,13,14
2007-03,11,14,15,14
2007-04,11,14,15,15
2007-05,13,14,14,17
2007-06,13,15,15,19
2007-07,12,15,14,17
2007-08,12,16,16,16
2007-09,15,17,14,14
2007-10,14,17,16,16
2007-11,12,17,15,16
2007-12,10,14,12,13
2008-01,10,15,17,17
2008-02,10,16,15,18
2008-03,12,15,16,18
2008-04,13,15,18,18
2008-05,12,15,15,18
2008-06,13,15,16,18
2008-07,13,14,15,17
2008-08,14,14,14,16
2008-09,12,15,15,16
2008-10,13,16,15,17
2008-11,12,17,14,16
2008-12,10,14,14,15
2009-01,9,16,16,18
2009-02,9,16,15,16
2009-03,11,17,17,17
2009-04,15,22,16,17
2009-05,15,23,16,17
2009-06,16,36,17,19
2009-07,12,22,15,18
2009-08,11,17,17,17
2009-09,11,18,16,17
2009-10,11,19,14,18
2009-11,11,21,16,17
2009-12,9,18,13,15
2010-01,9,22,16,18
2010-02,9,20,15,17
2010-03,10,18,18,15
2010-04,11,21,15,19
2010-05,10,20,15,17
2010-06,11,21,15,18
2010-07,10,18,14,17
2010-08,10,20,15,18
2010-09,10,22,15,18
2010-10,10,22,15,18
2010-11,10,20,15,17
2010-12,8,16,13,16
2011-01,8,21,12,16
2011-02,8,19,13,15
2011-03,8,21,14,18
2011-04,9,21,13,16
2011-05,11,23,14,20
2011-06,12,22,13,19
2011-07,9,24,12,19
2011-08,9,24,13,19
2011-09,9,23,12,16
2011-10,10,22,12,19
2011-11,9,21,12,19
2011-12,9,19,10,16
2012-01,9,21,13,18
2012-02,10,24,12,19
2012-03,9,22,14,19
2012-04,8,23,13,18
2012-05,9,23,15,21
