Category: All categories,,,,
,,,,
Month,Virus: (Colombia),Symptom: (Colombia),Hospital: (Colombia),Physician: (Colombia)
2004-01,27,22,18,14
2004-02,47,13,19,18
2004-03,46,15,18,15
2004-04,41,16,18,14
2004-05,54,12,17,16
2004-06,40,17,18,16
2004-07,33,13,15,17
2004-08,37,13,16,16
2004-09,32,12,19,15
2004-10,35,12,15,15
2004-11,35,15,17,13
2004-12,24,17,13,15
2005-01,23,14,19,15
2005-02,27,12,17,15
2005-03,34,14,16,16
2005-04,32,13,14,13
2005-05,33,13,14,15
2005-06,26,15,17,14
2005-07,21,14,17,16
2005-08,25,14,15,15
2005-09,23,13,14,14
2005-10,25,14,16,16
2005-11,22,14,15,14
2005-12,14,13,14,14
2006-01,19,13,18,16
2006-02,26,13,14,14
2006-03,27,14,15,13
2006-04,20,14,13,13
2006-05,20,13,13,14
2006-06,18,14,14,12
2006-07,15,12,14,13
2006-08,19,12,13,13
2006-09,18,13,13,13
2006-10,17,13,12,13
2006-11,18,13,12,13
2006-12,11,13,11,10
2007-01,14,14,14,12
2007-02,19,11,13,12
2007-03,18,13,12,12
2007-04,18,12,12,12
2007-05,24,14,12,11
2007-06,20,13,11,11
2007-07,17,12,11,12
2007-08,20,13,12,13
2007-09,22,14,12,12
2007-10,21,13,11,12
2007-11,17,13,12,12
2007-12,13,11,10,10
2008-01,14,14,13,11
2008-02,20,12,14,11
2008-03,21,14,12,12
2008-04,22,14,13,12
2008-05,22,13,11,12
2008-06,19,13,11,11
2008-07,19,13,12,12
2008-08,21,14,12,12
2008-09,24,14,12,11
2008-10,21,14,12,13
2008-11,18,12,11,11
2008-12,13,12,10,12
2009-01,15,13,12,12
2009-02,19,14,13,13
2009-03,21,15,13,13
2009-04,24,21,12,12
2009-05,28,20,12,13
2009-06,18,17,10,13
2009-07,17,19,11,13
2009-08,18,18,11,13
2009-09,19,19,12,13
2009-10,17,19,11,13
2009-11,16,20,12,13
2009-12,11,18,10,13
2010-01,11,21,11,15
2010-02,15,20,13,15
2010-03,15,19,11,13
2010-04,14,20,12,14
2010-05,14,22,12,17
2010-06,12,19,10,14
2010-07,12,18,11,15
2010-08,15,19,12,15
2010-09,15,19,12,16
2010-10,14,18,11,15
2010-11,12,18,11,15
2010-12,9,16,10,16
2011-01,10,19,10,14
2011-02,12,19,10,15
2011-03,14,20,10,15
2011-04,11,21,10,15
2011-05,14,20,10,16
2011-06,12,20,9,14
2011-07,11,20,9,15
2011-08,14,21,10,16
2011-09,16,20,11,15
2011-10,15,19,10,14
2011-11,14,18,10,13
2011-12,12,16,9,13
2012-01,10,20,11,17
2012-02,14,20,13,19
2012-03,14,21,14,20
2012-04,11,21,12,19
2012-05,13,21,11,19
2012-06,9,19,11,18
2012-07,11,20,11,19
2012-08,12,21,11,18
2012-09,11,20,11,19
2012-10,11,20,11,18
2012-11,9,19,11,17
2012-12,7,19,9,16
2013-01,8,20,11,19
2013-02,10,21,12,19
2013-03,10,20,12,18
2013-04,11,22,12,21
2013-05,11,23,12,19
2013-06,9,22,10,18
2013-07,9,22,12,20
2013-08,11,22,11,19
2013-09,11,21,12,18
2013-10,11,21,12,20
2013-11,10,21,12,19
2013-12,7,20,10,22
2014-01,7,23,11,23
2014-02,10,22,12,21
2014-03,12,23,12,22
2014-04,11,23,12,20
2014-05,11,23,12,22
2014-06,9,21,11,19
2014-07,11,23,12,22
2014-08,18,23,12,21
2014-09,16,25,13,22
2014-10,20,30,13,20
2014-11,12,24,13,20
2014-12,9,26,11,21
2015-01,9,29,13,24
2015-02,12,26,14,23
2015-03,11,27,13,23
2015-04,11,28,13,24
2015-05,11,24,13,23
2015-06,12,26,13,22
2015-07,9,26,13,24
2015-08,10,25,13,24
2015-09,10,25,14,25
2015-10,10,26,12,25
2015-11,10,27,12,23
2015-12,9,29,12,27
2016-01,13,36,14,27
2016-02,13,32,15,25
2016-03,11,28,13,23
2016-04,10,27,14,25
2016-05,10,26,14,24
2016-06,8,25,14,25
2016-07,8,25,14,25
2016-08,9,23,14,25
2016-09,9,25,14,25
2016-10,8,22,13,25
2016-11,6,25,13,33
2016-12,5,23,11,31
2017-01,6,26,21,38
2017-02,9,25,23,37
2017-03,10,26,23,35
2017-04,9,27,23,35
2017-05,10,27,24,36
2017-06,6,27,23,38
2017-07,7,27,22,36
2017-08,9,28,23,38
2017-09,9,27,22,37
2017-10,9,28,24,37
2017-11,9,28,23,36
2017-12,5,28,15,35
2018-01,6,30,7,39
2018-02,8,28,18,37
2018-03,8,28,18,34
2018-04,9,30,15,36
2018-05,9,29,8,36
2018-06,8,29,13,33
2018-07,7,29,24,33
2018-08,8,29,32,33
2018-09,6,30,29,33
2018-10,6,30,30,35
2018-11,6,31,31,38
2018-12,5,31,31,44
2019-01,5,31,34,42
2019-02,7,32,34,44
2019-03,8,32,20,42
2019-04,7,31,12,41
2019-05,8,31,12,42
2019-06,6,31,13,44
2019-07,6,32,13,51
2019-08,6,33,13,43
2019-09,7,30,12,45
2019-10,6,30,13,44
2019-11,5,32,13,42
2019-12,4,30,11,44
2020-01,17,45,15,52
2020-02,22,44,15,51
2020-03,86,100,16,46
2020-04,44,55,13,46
2020-05,29,48,13,36
2020-06,19,50,11,37
2020-07,15,58,12,42
2020-08,12,49,11,40
2020-09,10,42,11,41
2020-10,10,48,11,42
2020-11,9,43,11,38
2020-12,8,53,11,43
2021-01,9,57,12,43
2021-02,10,37,11,38
2021-03,9,37,11,38
2021-04,10,45,13,36
2021-05,8,44,12,34
2021-06,9,54,12,38
2021-07,9,47,13,38
2021-08,9,40,12,39
2021-09,7,36,12,37
2021-10,6,33,11,29
2021-11,7,36,12,21
2021-12,7,45,10,23
2022-01,8,66,12,19
2022-02,8,39,13,19
2022-03,8,38,13,20
2022-04,8,40,14,19
2022-05,9,40,13,20
2022-06,7,40,13,19
2022-07,7,45,14,21
2022-08,8,46,14,20
2022-09,7,41,15,23
2022-10,7,39,14,21
2022-11,7,39,13,21
2022-12,7,38,16,24
2023-01,6,42,24,24
2023-02,7,40,26,24
2023-03,9,40,28,28
2023-04,8,42,26,26
2023-05,9,43,26,31
2023-06,8,42,26,28
2023-07,7,42,28,28
2023-08,8,38,27,29
2023-09,14,40,26,27
2023-10,8,37,26,25
2023-11,8,36,26,25
2023-12,6,40,23,24
2024-01,8,40,27,21
2024-02,7,35,28,12
2024-03,7,36,26,22
2024-04,8,35,28,26
2024-05,8,37,28,24
2024-06,7,32,26,22
2024-07,7,33,26,23
2024-08,10,37,29,23
2024-09,7,33,27,23
2024-10,7,32,27,25
2024-11,7,30,25,21
2024-12,6,31,23,24
2025-01,10,33,27,25
2025-02,7,31,28,24
2025-03,8,33,20,20
