Category: All categories

Month,Virus: (Dominican Republic),Symptom: (Dominican Republic),Hospital: (Dominican Republic),Physician: (Dominican Republic)
2004-01,27,13,10,14
2004-02,35,11,9,9
2004-03,34,11,10,16
2004-04,30,19,0,10
2004-05,35,17,8,11
2004-06,42,14,11,12
2004-07,26,19,0,9
2004-08,33,0,9,14
2004-09,23,11,8,17
2004-10,30,10,8,11
2004-11,35,14,9,17
2004-12,20,14,0,8
2005-01,25,14,10,13
2005-02,30,10,10,19
2005-03,33,16,7,12
2005-04,27,11,11,15
2005-05,20,16,15,10
2005-06,23,9,11,13
2005-07,15,14,8,13
2005-08,25,13,11,10
2005-09,24,12,6,10
2005-10,26,13,8,10
2005-11,28,12,5,10
2005-12,20,11,6,10
2006-01,18,13,11,9
2006-02,18,12,7,12
2006-03,22,15,9,11
2006-04,13,14,8,10
2006-05,19,15,7,12
2006-06,18,14,7,12
2006-07,13,15,7,10
2006-08,17,18,7,9
2006-09,17,19,6,10
2006-10,17,16,7,12
2006-11,20,16,7,12
2006-12,13,11,6,8
2007-01,15,11,8,11
2007-02,18,12,5,8
2007-03,17,13,7,10
2007-04,15,12,7,9
2007-05,18,14,8,11
2007-06,14,13,8,10
2007-07,12,15,6,11
2007-08,13,11,6,8
2007-09,20,15,8,9
2007-10,14,13,6,11
2007-11,17,17,7,11
2007-12,14,13,4,9
2008-01,16,15,5,9
2008-02,18,13,7,13
2008-03,17,14,7,12
2008-04,18,14,8,13
2008-05,17,13,8,13
2008-06,15,15,5,12
2008-07,14,13,5,11
2008-08,14,11,7,11
2008-09,14,13,5,10
2008-10,17,17,6,13
2008-11,18,16,6,12
2008-12,16,12,5,8
2009-01,15,15,5,11
2009-02,16,13,7,14
2009-03,18,14,6,13
2009-04,20,22,7,12
2009-05,20,25,7,13
2009-06,15,24,7,13
2009-07,10,17,6,13
2009-08,11,15,8,14
2009-09,16,18,7,12
2009-10,14,18,8,11
2009-11,17,19,8,13
2009-12,15,16,5,9
2010-01,11,14,8,15
2010-02,13,19,7,12
2010-03,13,19,6,15
2010-04,12,18,8,14
2010-05,12,20,7,13
2010-06,9,18,6,13
2010-07,8,20,6,13
2010-08,10,19,8,12
2010-09,11,19,8,12
2010-10,11,21,7,12
2010-11,10,21,7,12
2010-12,9,15,4,8
2011-01,7,15,5,10
2011-02,10,14,6,10
2011-03,9,15,6,12
2011-04,8,15,7,11
2011-05,8,16,6,11
2011-06,8,16,5,12
2011-07,7,16,5,12
2011-08,7,14,6,11
2011-09,10,16,6,10
2011-10,10,16,6,12
2011-11,11,15,7,13
2011-12,10,12,5,11
2012-01,8,13,6,11
2012-02,10,16,7,13
2012-03,9,17,7,13
2012-04,8,15,6,11
2012-05,8,16,6,12
2012-06,8,16,7,13
2012-07,7,15,7,14
2012-08,7,16,6,12
2012-09,8,17,7,13
2012-10,8,17,7,19
2012-11,8,18,7,14
2012-12,7,16,6,10
2013-01,6,16,7,14
2013-02,7,18,7,14
2013-03,7,17,7,15
2013-04,7,19,7,13
2013-05,8,20,7,14
2013-06,7,24,6,14
2013-07,5,18,7,14
2013-08,6,18,7,14
2013-09,10,21,7,14
2013-10,9,21,7,14
2013-11,9,19,7,15
2013-12,7,17,6,12
2014-01,7,20,7,15
2014-02,8,20,7,14
2014-03,9,21,8,17
2014-04,10,22,7,15
2014-05,10,27,7,15
2014-06,11,29,7,15
2014-07,16,25,7,15
2014-08,16,22,7,16
2014-09,10,20,7,15
2014-10,12,28,9,16
2014-11,9,21,7,14
2014-12,7,17,6,14
2015-01,5,19,6,15
2015-02,7,20,8,18
2015-03,8,23,9,19
2015-04,7,22,8,17
2015-05,8,22,8,17
2015-06,8,21,8,16
2015-07,6,23,8,17
2015-08,6,20,8,16
2015-09,9,23,8,17
2015-10,9,25,8,18
2015-11,10,27,8,16
2015-12,8,22,7,13
2016-01,14,26,7,14
2016-02,13,26,8,16
2016-03,10,25,8,18
2016-04,14,30,8,16
2016-05,11,24,8,16
2016-06,10,24,8,15
2016-07,7,21,7,15
2016-08,7,20,7,16
2016-09,10,22,7,15
2016-10,6,21,7,14
2016-11,6,18,8,23
2016-12,5,21,7,21
2017-01,5,20,10,23
2017-02,6,23,12,25
2017-03,7,23,14,27
2017-04,6,24,12,26
2017-05,8,24,14,29
2017-06,6,22,13,28
2017-07,5,21,12,27
2017-08,4,22,12,24
2017-09,5,18,11,21
2017-10,7,25,13,24
2017-11,7,22,12,24
2017-12,5,21,9,20
2018-01,4,22,6,23
2018-02,6,21,12,27
2018-03,7,30,13,31
2018-04,7,28,10,29
2018-05,5,23,6,27
2018-06,5,23,9,25
2018-07,4,24,15,23
2018-08,4,23,19,25
2018-09,5,24,17,23
2018-10,5,24,16,24
2018-11,5,24,18,24
2018-12,5,23,16,21
2019-01,5,24,18,24
2019-02,5,26,20,26
2019-03,6,25,12,29
2019-04,5,26,9,31
2019-05,5,25,9,34
2019-06,5,26,10,32
2019-07,4,26,9,33
2019-08,4,27,9,34
2019-09,6,26,9,32
2019-10,5,26,10,32
2019-11,5,27,9,33
2019-12,4,24,7,27
2020-01,13,32,10,32
2020-02,22,41,11,32
2020-03,100,100,12,45
2020-04,50,60,11,32
2020-05,20,45,8,31
2020-06,14,48,8,33
2020-07,12,59,9,35
2020-08,8,37,9,34
2020-09,5,31,8,29
2020-10,6,31,8,29
2020-11,15,34,8,26
2020-12,15,38,8,27
2021-01,11,42,9,28
2021-02,7,33,9,30
2021-03,6,31,10,32
2021-04,6,34,10,25
2021-05,6,34,9,25
2021-06,7,35,9,27
2021-07,6,32,9,24
2021-08,4,33,9,26
2021-09,4,28,9,20
2021-10,6,32,9,19
2021-11,6,34,9,17
2021-12,6,36,7,13
2022-01,6,41,9,17
2022-02,5,31,10,17
2022-03,7,34,10,20
2022-04,6,35,9,16
2022-05,6,33,9,16
2022-06,5,34,9,16
2022-07,4,35,9,17
2022-08,5,33,10,19
2022-09,4,31,9,16
2022-10,5,36,9,17
2022-11,6,34,9,16
2022-12,5,30,10,15
2023-01,4,33,13,17
2023-02,5,34,15,17
2023-03,6,37,15,25
2023-04,5,34,13,22
2023-05,5,33,14,26
2023-06,6,37,14,25
2023-07,4,32,16,23
2023-08,4,32,15,23
2023-09,6,40,15,21
2023-10,6,42,14,22
2023-11,5,36,14,20
2023-12,6,32,12,15
2024-01,5,32,15,15
2024-02,6,31,16,9
2024-03,5,31,16,18
2024-04,5,30,16,21
2024-05,5,31,14,19
2024-06,5,31,16,19
2024-07,5,31,15,18
2024-08,5,29,16,20
2024-09,5,31,17,18
2024-10,5,28,17,18
2024-11,5,27,14,18
2024-12,4,23,13,15
2025-01,8,26,16,18
2025-02,6,29,17,20
2025-03,6,28,13,16
