Category: All categories

Month,Virus: (Germany),Symptom: (Germany),Hospital: (Germany),Physician: (Germany)
2004-01,9,3,11,6
2004-02,7,3,11,6
2004-03,7,3,11,6
2004-04,6,3,10,6
2004-05,10,3,10,5
2004-06,6,3,11,6
2004-07,6,3,10,6
2004-08,5,4,11,6
2004-09,5,3,11,6
2004-10,5,3,11,6
2004-11,5,3,11,6
2004-12,5,3,8,5
2005-01,5,3,12,5
2005-02,5,3,11,6
2005-03,5,3,11,5
2005-04,4,3,11,6
2005-05,4,3,11,5
2005-06,4,3,11,6
2005-07,3,3,11,5
2005-08,4,3,11,6
2005-09,4,3,11,5
2005-10,4,3,11,5
2005-11,4,3,11,5
2005-12,4,3,10,5
2006-01,4,3,11,6
2006-02,4,3,11,5
2006-03,4,4,11,6
2006-04,4,3,11,5
2006-05,3,3,11,6
2006-06,3,3,11,5
2006-07,3,3,11,6
2006-08,3,3,11,6
2006-09,3,3,11,5
2006-10,3,3,10,6
2006-11,3,3,10,6
2006-12,3,3,9,5
2007-01,5,3,12,6
2007-02,7,3,11,6
2007-03,3,3,11,6
2007-04,3,3,11,6
2007-05,3,3,11,6
2007-06,3,3,11,6
2007-07,3,3,11,6
2007-08,3,3,11,6
2007-09,3,3,12,6
2007-10,3,3,11,7
2007-11,4,3,11,7
2007-12,5,3,10,6
2008-01,6,3,12,7
2008-02,5,4,12,7
2008-03,4,4,11,6
2008-04,4,4,12,7
2008-05,3,4,11,7
2008-06,3,4,11,7
2008-07,3,4,12,7
2008-08,3,4,12,7
2008-09,3,4,12,7
2008-10,4,4,12,7
2008-11,4,4,11,7
2008-12,4,4,10,7
2009-01,5,4,12,8
2009-02,4,4,13,8
2009-03,4,5,12,8
2009-04,5,8,11,8
2009-05,4,9,11,7
2009-06,3,10,11,8
2009-07,3,10,11,7
2009-08,3,11,12,8
2009-09,3,10,12,8
2009-10,3,12,12,8
2009-11,4,23,12,9
2009-12,4,12,10,7
2010-01,4,12,12,8
2010-02,4,13,12,8
2010-03,4,13,12,9
2010-04,4,14,11,8
2010-05,4,13,11,8
2010-06,3,12,12,8
2010-07,3,11,12,8
2010-08,3,11,12,8
2010-09,3,11,12,8
2010-10,3,11,11,8
2010-11,3,11,12,8
2010-12,3,10,10,7
2011-01,3,13,12,9
2011-02,3,13,11,9
2011-03,3,12,12,9
2011-04,3,11,11,8
2011-05,6,15,11,8
2011-06,3,16,12,8
2011-07,2,13,11,8
2011-08,4,12,11,9
2011-09,3,14,12,9
2011-10,3,10,11,9
2011-11,4,8,12,9
2011-12,4,8,10,9
2012-01,5,11,11,10
2012-02,5,11,12,10
2012-03,6,10,11,10
2012-04,4,9,11,9
2012-05,3,10,11,9
2012-06,4,11,11,9
2012-07,5,10,11,9
2012-08,4,9,12,10
2012-09,4,9,11,10
2012-10,3,10,11,10
2012-11,3,11,11,10
2012-12,3,9,10,8
2013-01,4,10,12,11
2013-02,4,11,12,11
2013-03,3,11,11,10
2013-04,3,11,11,10
2013-05,3,9,10,10
2013-06,3,10,11,9
2013-07,3,10,12,10
2013-08,2,11,11,10
2013-09,3,11,10,10
2013-10,3,11,11,11
2013-11,3,11,11,10
2013-12,3,10,9,10
2014-01,3,12,11,11
2014-02,3,12,12,11
2014-03,3,12,11,11
2014-04,3,11,11,11
2014-05,3,11,11,11
2014-06,3,11,11,11
2014-07,3,10,11,11
2014-08,4,11,11,11
2014-09,3,10,10,12
2014-10,5,12,11,11
2014-11,3,11,10,12
2014-12,3,11,10,10
2015-01,3,11,11,13
2015-02,4,13,12,14
2015-03,3,12,11,12
2015-04,2,11,11,12
2015-05,2,11,10,11
2015-06,3,12,11,12
2015-07,2,11,11,12
2015-08,2,11,11,12
2015-09,2,11,11,12
2015-10,2,11,11,12
2015-11,2,12,11,12
2015-12,3,11,10,11
2016-01,4,12,10,13
2016-02,6,15,11,14
2016-03,4,14,11,14
2016-04,3,13,11,14
2016-05,3,12,10,13
2016-06,3,12,10,13
2016-07,2,12,10,13
2016-08,3,11,10,13
2016-09,2,11,11,13
2016-10,2,11,11,13
2016-11,3,13,17,34
2016-12,4,13,16,21
2017-01,4,13,26,18
2017-02,3,15,30,19
2017-03,3,14,31,17
2017-04,2,13,28,15
2017-05,2,13,32,84
2017-06,2,12,26,91
2017-07,2,12,28,98
2017-08,2,12,28,57
2017-09,2,12,28,17
2017-10,2,13,28,18
2017-11,2,13,29,17
2017-12,2,13,19,15
2018-01,3,14,8,25
2018-02,4,15,19,55
2018-03,3,16,22,100
2018-04,2,13,17,99
2018-05,2,12,5,90
2018-06,2,12,13,31
2018-07,2,12,23,16
2018-08,2,12,28,17
2018-09,2,12,30,16
2018-10,2,13,29,18
2018-11,3,14,28,17
2018-12,3,14,26,17
2019-01,3,15,32,18
2019-02,4,17,32,20
2019-03,3,17,23,26
2019-04,2,12,16,38
2019-05,2,12,17,34
2019-06,2,12,17,22
2019-07,2,13,18,26
2019-08,2,12,17,27
2019-09,3,11,18,34
2019-10,3,13,17,32
2019-11,2,13,17,32
2019-12,3,11,15,28
2020-01,15,17,18,33
2020-02,33,25,19,30
2020-03,75,49,20,34
2020-04,19,17,16,26
2020-05,9,15,15,28
2020-06,6,16,17,29
2020-07,5,18,18,30
2020-08,5,17,17,31
2020-09,5,22,18,35
2020-10,6,25,18,34
2020-11,6,26,16,26
2020-12,6,23,15,16
2021-01,6,20,16,16
2021-02,5,19,15,16
2021-03,5,21,15,17
2021-04,5,21,16,19
2021-05,4,19,14,20
2021-06,3,18,15,19
2021-07,3,19,16,17
2021-08,3,19,16,18
2021-09,4,19,17,18
2021-10,7,21,16,19
2021-11,9,23,19,23
2021-12,5,23,15,20
2022-01,5,29,16,20
2022-02,4,27,15,18
2022-03,4,26,15,19
2022-04,3,24,14,19
2022-05,4,23,14,17
2022-06,3,26,15,18
2022-07,3,25,16,18
2022-08,3,23,15,19
2022-09,3,21,15,18
2022-10,3,24,15,19
2022-11,7,23,15,19
2022-12,14,26,21,18
2023-01,4,23,29,19
2023-02,4,25,29,19
2023-03,4,25,27,21
2023-04,3,22,25,19
2023-05,3,23,25,21
2023-06,3,22,25,21
2023-07,2,21,24,19
2023-08,3,22,26,20
2023-09,5,22,26,20
2023-10,3,23,25,21
2023-11,4,23,25,21
2023-12,6,23,23,20
2024-01,4,23,28,22
2024-02,5,23,27,19
2024-03,4,22,25,19
2024-04,4,22,26,21
2024-05,3,20,25,18
2024-06,3,20,23,17
2024-07,5,21,26,19
2024-08,5,20,24,20
2024-09,4,21,25,21
2024-10,6,22,24,21
2024-11,5,21,24,19
2024-12,4,20,21,19
2025-01,6,22,25,21
2025-02,5,23,25,22
2025-03,4,21,19,18
