Category: All categories

Month,Virus: (Italy),Symptom: (Italy),Hospital: (Italy),Physician: (Italy)
2004-01,9,5,9,5
2004-02,9,5,9,5
2004-03,8,6,8,5
2004-04,7,5,8,5
2004-05,13,5,8,4
2004-06,8,5,8,5
2004-07,7,6,8,4
2004-08,6,5,8,4
2004-09,6,6,9,5
2004-10,6,5,8,5
2004-11,6,5,8,5
2004-12,6,5,8,4
2005-01,6,6,10,5
2005-02,6,6,9,5
2005-03,5,6,9,5
2005-04,5,6,8,5
2005-05,5,6,8,5
2005-06,5,5,8,4
2005-07,5,7,8,4
2005-08,5,6,7,4
2005-09,5,7,9,5
2005-10,6,6,9,5
2005-11,5,6,9,5
2005-12,5,5,7,4
2006-01,6,6,8,5
2006-02,8,6,8,5
2006-03,4,6,7,5
2006-04,4,6,7,4
2006-05,4,6,8,4
2006-06,4,6,7,4
2006-07,4,6,7,4
2006-08,4,6,7,4
2006-09,5,6,8,5
2006-10,6,6,7,5
2006-11,5,5,7,4
2006-12,6,6,6,4
2007-01,5,5,8,5
2007-02,5,6,7,4
2007-03,5,6,7,5
2007-04,4,6,7,4
2007-05,4,5,8,5
2007-06,4,5,7,4
2007-07,4,5,7,4
2007-08,4,6,6,4
2007-09,5,6,7,4
2007-10,4,6,7,5
2007-11,5,6,7,4
2007-12,4,7,6,4
2008-01,5,8,7,5
2008-02,5,6,7,5
2008-03,4,6,7,5
2008-04,4,6,7,5
2008-05,4,7,7,4
2008-06,4,6,6,4
2008-07,3,6,6,4
2008-08,4,6,5,4
2008-09,4,7,7,5
2008-10,4,6,7,4
2008-11,4,6,6,5
2008-12,4,7,5,4
2009-01,5,9,6,5
2009-02,4,9,6,5
2009-03,4,10,6,5
2009-04,4,10,6,5
2009-05,4,12,6,4
2009-06,3,11,6,4
2009-07,4,13,6,5
2009-08,3,13,5,4
2009-09,4,14,6,5
2009-10,4,14,6,5
2009-11,5,17,6,6
2009-12,3,11,5,4
2010-01,3,13,6,4
2010-02,3,14,6,5
2010-03,3,15,6,5
2010-04,3,15,6,5
2010-05,3,13,6,4
2010-06,2,14,5,4
2010-07,2,13,6,5
2010-08,3,14,5,4
2010-09,2,13,6,5
2010-10,2,13,6,5
2010-11,3,12,6,5
2010-12,2,11,5,4
2011-01,3,14,5,5
2011-02,3,15,6,5
2011-03,3,14,6,5
2011-04,3,13,6,5
2011-05,3,14,6,5
2011-06,3,15,6,5
2011-07,2,13,6,5
2011-08,2,16,5,4
2011-09,3,15,6,5
