Category: All categories

Month,Virus: (Mexico),Symptom: (Mexico),Hospital: (Mexico),Physician: (Mexico)
2004-01,42,16,14,17
2004-02,40,14,15,17
2004-03,39,17,14,18
2004-04,35,17,15,17
2004-05,49,17,14,19
2004-06,42,18,15,19
2004-07,30,16,15,17
2004-08,33,15,15,17
2004-09,46,14,12,17
2004-10,50,15,12,18
2004-11,41,14,14,18
2004-12,31,15,12,14
2005-01,28,15,14,16
2005-02,32,16,13,16
2005-03,27,17,16,16
2005-04,31,17,14,17
2005-05,31,19,14,19
2005-06,28,18,14,16
2005-07,18,17,15,15
2005-08,24,16,14,16
2005-09,32,16,13,16
2005-10,34,16,13,17
2005-11,29,16,13,15
2005-12,20,15,11,13
2006-01,20,17,14,15
2006-02,29,16,14,15
2006-03,21,17,13,16
2006-04,20,16,13,16
2006-05,21,18,14,17
2006-06,20,15,12,14
2006-07,12,15,12,12
2006-08,18,15,12,15
2006-09,23,15,12,14
2006-10,27,16,12,16
2006-11,22,16,12,14
2006-12,17,14,10,10
2007-01,16,16,13,13
2007-02,20,15,12,13
2007-03,15,15,12,14
2007-04,16,16,12,14
2007-05,20,17,13,17
2007-06,18,16,13,14
2007-07,13,14,13,13
2007-08,16,18,12,13
2007-09,26,15,12,15
2007-10,24,16,11,13
2007-11,22,15,11,13
2007-12,16,14,10,11
2008-01,15,15,13,15
2008-02,18,15,13,13
2008-03,17,17,12,12
2008-04,21,20,12,14
2008-05,21,18,11,14
2008-06,18,15,11,13
2008-07,14,15,12,12
2008-08,19,15,12,12
2008-09,23,16,11,15
2008-10,25,17,11,17
2008-11,22,17,10,13
2008-12,16,14,10,11
2009-01,20,18,11,14
2009-02,19,17,11,13
2009-03,20,20,11,16
2009-04,37,35,12,13
2009-05,32,24,11,13
2009-06,19,22,11,14
2009-07,13,20,11,12
2009-08,16,22,11,13
2009-09,23,27,13,15
2009-10,22,25,13,17
2009-11,20,26,11,14
2009-12,16,22,11,11
2010-01,14,24,10,13
2010-02,16,24,12,16
2010-03,16,27,12,16
2010-04,16,25,12,16
2010-05,17,25,12,13
2010-06,15,24,11,13
2010-07,13,23,11,12
2010-08,15,23,12,15
2010-09,21,22,12,15
2010-10,19,23,11,16
2010-11,17,24,11,14
2010-12,14,21,9,11
2011-01,13,24,11,14
2011-02,12,23,11,14
2011-03,14,26,12,16
2011-04,12,25,11,13
2011-05,13,27,11,14
2011-06,12,24,11,14
2011-07,11,23,11,13
2011-08,13,23,11,15
2011-09,17,24,12,15
2011-10,16,23,11,16
2011-11,16,23,11,14
2011-12,13,19,10,11
2012-01,13,27,12,15
2012-02,13,25,11,14
2012-03,13,26,11,15
2012-04,11,25,11,14
2012-05,11,26,11,14
2012-06,10,25,12,13
2012-07,10,23,11,13
2012-08,11,26,11,15
2012-09,14,25,12,16
2012-10,13,26,12,19
2012-11,13,24,11,15
2012-12,9,21,9,12
2013-01,9,24,11,15
2013-02,10,26,11,15
2013-03,10,27,11,15
2013-04,11,26,12,15
2013-05,10,25,12,14
2013-06,10,24,11,13
2013-07,8,25,11,13
2013-08,10,26,12,15
2013-09,14,25,12,15
2013-10,13,27,13,19
2013-11,12,25,12,14
2013-12,9,22,10,12
2014-01,10,31,12,15
2014-02,10,33,12,16
2014-03,11,30,12,17
2014-04,9,28,12,15
2014-05,10,27,12,15
2014-06,10,25,12,16
2014-07,8,25,12,15
2014-08,15,28,13,17
2014-09,12,27,13,16
2014-10,20,35,13,21
2014-11,13,28,12,14
2014-12,10,27,11,14
2015-01,10,28,18,16
2015-02,10,29,15,17
2015-03,10,30,14,18
2015-04,9,31,13,17
2015-05,10,29,13,15
2015-06,10,30,13,16
2015-07,8,31,14,17
2015-08,9,30,14,18
2015-09,12,30,14,17
2015-10,11,31,15,23
2015-11,12,30,13,16
2015-12,9,28,13,14
2016-01,11,27,13,16
2016-02,13,35,15,18
2016-03,9,35,13,17
2016-04,9,30,15,18
2016-05,9,30,14,17
2016-06,9,28,14,18
2016-07,7,29,14,17
2016-08,8,27,14,17
2016-09,11,30,15,18
2016-10,10,31,15,23
2016-11,9,28,14,30
2016-12,6,25,12,24
2017-01,8,29,24,27
2017-02,8,33,26,28
2017-03,9,35,27,29
2017-04,7,33,26,27
2017-05,9,32,26,35
2017-06,9,31,29,35
2017-07,8,30,28,36
2017-08,8,31,28,32
2017-09,10,27,30,25
2017-10,11,30,27,29
2017-11,10,32,25,25
