Category: All categories

Month,Virus: (Panama),Symptom: (Panama),Hospital: (Panama),Physician: (Panama)
2004-01,27,19,19,0
2004-02,29,0,0,0
2004-03,30,16,0,0
2004-04,44,18,0,0
2004-05,38,27,8,12
2004-06,30,23,14,15
2004-07,26,12,18,11
2004-08,34,15,13,7
2004-09,24,15,11,9
2004-10,37,20,11,11
2004-11,30,14,10,13
2004-12,16,20,0,0
2005-01,14,10,12,11
2005-02,18,22,9,0
2005-03,23,14,11,8
2005-04,20,19,8,7
2005-05,23,22,10,13
2005-06,21,17,11,6
2005-07,23,20,12,10
2005-08,23,24,9,12
2005-09,27,19,11,10
2005-10,26,23,14,12
2005-11,21,22,13,9
2005-12,15,12,9,7
2006-01,12,18,12,10
2006-02,19,21,15,9
2006-03,14,19,14,9
2006-04,17,19,10,12
2006-05,11,20,11,13
2006-06,14,17,14,8
2006-07,12,19,11,12
2006-08,12,15,11,10
2006-09,16,17,12,12
2006-10,19,21,7,8
2006-11,11,16,9,10
2006-12,11,17,7,7
2007-01,8,16,14,10
2007-02,10,16,11,8
2007-03,11,15,11,9
2007-04,12,16,10,10
2007-05,13,15,13,13
2007-06,15,20,11,12
2007-07,15,17,10,8
2007-08,13,17,8,12
2007-09,16,18,11,11
2007-10,16,15,10,11
2007-11,16,16,9,12
2007-12,10,16,9,7
2008-01,11,15,10,9
2008-02,11,20,11,9
2008-03,15,14,10,10
2008-04,16,14,10,10
2008-05,16,16,9,10
2008-06,15,18,9,11
2008-07,16,17,11,9
2008-08,15,18,11,8
2008-09,17,18,12,11
2008-10,16,17,11,7
2008-11,18,15,10,10
2008-12,11,15,8,7
2009-01,13,19,11,10
2009-02,11,17,10,10
2009-03,11,15,11,9
2009-04,17,20,10,10
2009-05,37,28,10,10
2009-06,16,22,10,10
2009-07,13,20,9,10
2009-08,13,20,11,10
2009-09,15,25,11,10
2009-10,13,26,10,9
2009-11,14,22,12,8
2009-12,12,20,9,9
2010-01,11,21,11,9
2010-02,8,22,10,10
2010-03,13,21,9,8
2010-04,11,23,12,10
2010-05,12,23,11,12
2010-06,11,22,10,10
2010-07,11,18,10,10
2010-08,13,22,11,10
2010-09,14,20,9,11
2010-10,11,21,10,9
2010-11,11,19,10,11
2010-12,8,17,8,8
2011-01,7,20,10,9
2011-02,8,20,11,11
2011-03,10,19,9,9
2011-04,10,21,9,10
2011-05,11,20,11,12
2011-06,12,22,11,11
2011-07,10,22,11,10
