Category: All categories

Week,Physician: (Colombia),Hospital: (Colombia),Pharmacy: (Colombia),Symptom: (Colombia)
2019-12-29,23,7,4,21
2020-01-05,32,9,4,26
2020-01-12,34,8,4,25
2020-01-19,36,9,4,29
2020-01-26,34,11,4,33
2020-02-02,39,10,5,26
2020-02-09,30,9,4,25
2020-02-16,28,9,4,22
2020-02-23,29,9,4,35
2020-03-01,29,9,5,44
2020-03-08,31,9,5,61
2020-03-15,28,9,5,100
2020-03-22,30,10,7,64
2020-03-29,28,10,6,44
2020-04-05,31,8,6,40
2020-04-12,40,8,6,38
2020-04-19,27,8,5,31
2020-04-26,24,7,5,29
2020-05-03,23,8,5,29
2020-05-10,24,8,5,31
2020-05-17,25,8,5,31
2020-05-24,24,7,5,30
2020-05-31,23,8,5,28
2020-06-07,26,7,5,30
2020-06-14,22,6,5,29
2020-06-21,25,7,5,34
2020-06-28,24,6,6,35
2020-07-05,27,8,5,39
2020-07-12,26,7,5,44
2020-07-19,27,8,5,39
2020-07-26,30,8,5,38
2020-08-02,25,7,5,35
2020-08-09,25,7,5,30
2020-08-16,26,7,5,30
2020-08-23,26,7,4,27
2020-08-30,25,7,4,27
2020-09-06,28,8,5,27
2020-09-13,24,7,4,27
2020-09-20,26,7,5,26
2020-09-27,27,7,4,28
2020-10-04,27,7,5,29
2020-10-11,25,7,4,30
2020-10-18,27,7,4,30
2020-10-25,26,7,4,30
2020-11-01,24,7,4,27
2020-11-08,25,7,4,27
2020-11-15,22,7,4,25
2020-11-22,25,7,5,30
2020-11-29,46,7,5,30
2020-12-06,24,7,5,33
2020-12-13,26,8,5,35
2020-12-20,19,6,4,37
2020-12-27,21,7,5,42
2021-01-03,29,8,5,42
2021-01-10,29,8,5,37
2021-01-17,30,8,5,33
2021-01-24,27,8,5,30
2021-01-31,27,7,5,27
2021-02-07,25,8,5,24
2021-02-14,24,8,4,24
2021-02-21,25,7,4,24
2021-02-28,24,8,5,23
2021-03-07,24,7,5,23
2021-03-14,24,7,5,23
2021-03-21,23,7,4,24
2021-03-28,22,7,5,29
2021-04-04,24,8,5,31
2021-04-11,23,8,5,30
2021-04-18,23,8,5,30
2021-04-25,22,8,5,28
2021-05-02,21,8,4,24
2021-05-09,22,8,5,27
2021-05-16,23,8,5,31
2021-05-23,24,8,5,30
2021-05-30,25,9,4,32
2021-06-06,24,7,5,35
2021-06-13,25,8,4,34
2021-06-20,27,7,5,35
2021-06-27,25,8,5,34
2021-07-04,24,8,5,32
2021-07-11,25,9,5,31
2021-07-18,24,7,5,29
2021-07-25,24,8,4,28
2021-08-01,24,7,4,29
2021-08-08,25,8,5,27
2021-08-15,24,8,5,26
2021-08-22,25,8,5,24
2021-08-29,23,8,5,24
2021-09-05,23,8,5,23
2021-09-12,23,8,5,24
2021-09-19,24,7,5,24
2021-09-26,25,8,5,23
2021-10-03,25,7,5,25
2021-10-10,23,7,5,24
2021-10-17,16,7,4,23
2021-10-24,13,7,4,23
2021-10-31,12,8,5,23
2021-11-07,12,8,4,24
2021-11-14,12,7,4,23
2021-11-21,12,8,4,22
2021-11-28,25,7,5,27
