Category: All categories

Week,Physician: (Mexico),Hospital: (Mexico),Pharmacy: (Mexico),Symptom: (Mexico)
2019-12-29,21,8,14,25
2020-01-05,26,10,12,25
2020-01-12,27,11,11,27
2020-01-19,24,10,10,41
2020-01-26,25,11,10,38
2020-02-02,25,12,10,33
2020-02-09,25,10,10,30
2020-02-16,26,10,12,29
2020-02-23,25,11,13,43
2020-03-01,26,11,11,42
2020-03-08,27,11,12,56
2020-03-15,28,13,14,100
2020-03-22,29,13,11,73
2020-03-29,29,13,10,58
2020-04-05,29,13,12,53
2020-04-12,28,15,12,49
2020-04-19,28,13,9,42
2020-04-26,25,15,12,45
2020-05-03,24,16,12,44
2020-05-10,25,13,9,44
2020-05-17,25,11,11,48
2020-05-24,24,11,11,48
2020-05-31,23,10,11,44
2020-06-07,25,11,11,51
2020-06-14,25,12,12,50
2020-06-21,23,11,11,49
2020-06-28,23,12,13,54
2020-07-05,26,12,15,61
2020-07-12,26,13,14,62
2020-07-19,26,13,13,55
2020-07-26,26,12,13,48
2020-08-02,26,11,12,49
2020-08-09,25,10,11,44
2020-08-16,24,10,11,41
2020-08-23,22,9,10,37
2020-08-30,23,9,10,38
2020-09-06,23,9,10,36
2020-09-13,21,9,9,35
2020-09-20,23,9,9,35
2020-09-27,23,9,10,34
2020-10-04,24,9,10,36
2020-10-11,24,9,10,35
2020-10-18,47,10,10,41
2020-10-25,23,9,10,39
2020-11-01,20,9,9,37
2020-11-08,22,9,11,39
2020-11-15,21,9,11,38
2020-11-22,22,10,10,39
2020-11-29,22,10,11,36
2020-12-06,22,10,11,37
2020-12-13,22,11,13,41
2020-12-20,20,11,15,47
2020-12-27,21,12,15,49
2021-01-03,28,13,24,51
2021-01-10,26,13,26,47
2021-01-17,24,12,25,48
2021-01-24,25,11,24,44
2021-01-31,24,11,22,40
2021-02-07,25,10,20,36
2021-02-14,21,9,18,33
2021-02-21,23,10,17,34
2021-02-28,23,9,17,34
2021-03-07,22,9,17,32
2021-03-14,21,9,11,34
2021-03-21,23,9,8,35
2021-03-28,21,9,9,35
2021-04-04,19,10,9,36
2021-04-11,17,10,11,37
2021-04-18,18,9,14,36
2021-04-25,18,9,13,31
2021-05-02,17,9,14,31
2021-05-09,17,9,9,30
2021-05-16,18,9,9,32
2021-05-23,17,9,11,33
2021-05-30,18,9,13,32
2021-06-06,18,9,9,34
2021-06-13,19,9,9,33
2021-06-20,18,9,9,34
2021-06-27,18,9,11,35
2021-07-04,18,9,18,40
2021-07-11,19,10,10,46
2021-07-18,18,11,9,49
2021-07-25,19,11,10,52
2021-08-01,20,11,10,53
2021-08-08,22,11,10,55
2021-08-15,22,10,10,50
2021-08-22,21,10,10,45
2021-08-29,18,9,16,37
2021-09-05,19,10,16,36
2021-09-12,18,9,15,34
2021-09-19,19,9,12,34
2021-09-26,19,9,12,31
2021-10-03,19,9,12,31
2021-10-10,21,9,8,32
2021-10-17,33,9,6,31
2021-10-24,17,8,5,30
2021-10-31,13,8,6,30
2021-11-07,13,9,6,29
2021-11-14,13,8,6,30
2021-11-21,13,9,6,30
2021-11-28,12,8,6,36
2021-12-05,12,8,6,31
2021-12-12,11,8,6,30
2021-12-19,11,7,7,35
2021-12-26,12,7,8,44
2022-01-02,14,9,9,62
2022-01-09,15,10,14,78
2022-01-16,13,9,14,61
2022-01-23,13,9,23,47
2022-01-30,13,9,23,43
2022-02-06,13,9,9,37
2022-02-13,14,9,7,34
2022-02-20,14,10,7,34
2022-02-27,14,9,8,33
2022-03-06,14,10,8,34
2022-03-13,14,10,8,32
2022-03-20,14,10,8,33
2022-03-27,15,10,8,36
2022-04-03,15,10,9,36
2022-04-10,12,9,10,34
2022-04-17,13,10,10,34
2022-04-24,14,9,8,33
2022-05-01,14,9,10,33
2022-05-08,13,9,10,35
2022-05-15,15,9,10,39
2022-05-22,15,9,9,37
2022-05-29,14,9,9,37
