Category: All categories

Week,Physician: (Panama),Hospital: (Panama),Pharmacy: (Panama),Symptom: (Panama)
2019-12-29,16,9,5,23
2020-01-05,18,10,6,21
2020-01-12,20,11,5,20
2020-01-19,20,13,6,26
2020-01-26,21,14,6,29
2020-02-02,18,15,5,28
2020-02-09,18,10,5,24
2020-02-16,19,10,5,22
2020-02-23,17,9,5,31
2020-03-01,19,11,5,36
2020-03-08,23,13,7,100
2020-03-15,24,14,6,74
2020-03-22,21,14,8,62
2020-03-29,33,14,7,47
2020-04-05,19,10,8,39
2020-04-12,20,11,8,34
2020-04-19,20,10,7,28
2020-04-26,18,9,7,31
2020-05-03,24,10,7,30
2020-05-10,18,8,6,27
2020-05-17,42,10,6,30
2020-05-24,21,10,5,31
2020-05-31,18,11,7,32
2020-06-07,17,10,6,39
2020-06-14,20,10,6,39
2020-06-21,18,13,5,39
2020-06-28,20,11,6,43
2020-07-05,19,11,6,40
2020-07-12,20,9,6,38
2020-07-19,19,10,5,33
2020-07-26,19,9,6,33
2020-08-02,18,9,5,28
2020-08-09,20,9,5,26
2020-08-16,15,9,6,25
2020-08-23,20,9,4,25
2020-08-30,19,10,5,28
2020-09-06,16,8,5,26
2020-09-13,17,9,6,25
2020-09-20,16,9,5,27
2020-09-27,15,9,5,25
2020-10-04,17,10,5,27
2020-10-11,18,10,5,28
2020-10-18,16,9,5,27
2020-10-25,15,10,5,28
2020-11-01,12,8,4,26
2020-11-08,15,10,5,30
2020-11-15,16,9,5,29
2020-11-22,16,10,4,29
2020-11-29,16,11,5,33
2020-12-06,16,11,4,39
2020-12-13,17,11,6,44
2020-12-20,16,11,8,41
2020-12-27,18,11,10,42
2021-01-03,23,11,8,37
2021-01-10,20,11,9,35
2021-01-17,24,13,7,31
2021-01-24,19,13,9,30
2021-01-31,18,11,7,28
2021-02-07,18,9,6,26
2021-02-14,15,9,7,25
2021-02-21,17,11,6,26
2021-02-28,17,9,6,24
2021-03-07,20,8,5,22
2021-03-14,16,9,5,21
2021-03-21,17,9,6,23
2021-03-28,16,8,5,25
2021-04-04,14,10,6,23
2021-04-11,13,9,6,21
2021-04-18,14,10,6,21
2021-04-25,16,10,6,22
2021-05-02,16,8,5,21
2021-05-09,14,8,5,23
2021-05-16,28,9,6,24
2021-05-23,14,9,6,23
2021-05-30,14,11,7,27
2021-06-06,15,11,6,25
2021-06-13,14,10,5,25
2021-06-20,15,9,5,25
2021-06-27,14,9,5,24
2021-07-04,15,10,6,26
2021-07-11,15,9,5,23
2021-07-18,14,9,5,24
2021-07-25,15,9,5,26
2021-08-01,15,10,5,25
2021-08-08,14,10,5,23
2021-08-15,16,11,5,25
2021-08-22,15,11,6,26
2021-08-29,14,10,6,24
2021-09-05,14,10,6,21
2021-09-12,13,9,6,20
2021-09-19,14,10,5,22
2021-09-26,14,9,6,22
2021-10-03,15,10,5,22
2021-10-10,14,9,5,21
2021-10-17,13,9,5,23
2021-10-24,11,10,5,22
2021-10-31,9,8,5,20
2021-11-07,10,8,5,22
2021-11-14,12,10,5,23
2021-11-21,11,10,5,23
2021-11-28,10,9,6,25
2021-12-05,9,9,6,21
2021-12-12,10,10,6,25
2021-12-19,9,9,6,35
2021-12-26,9,9,7,46
2022-01-02,11,13,7,49
2022-01-09,11,11,7,52
2022-01-16,11,12,7,49
2022-01-23,11,11,10,41
2022-01-30,11,11,7,32
2022-02-06,12,11,6,28
2022-02-13,11,11,8,26
2022-02-20,10,10,7,22
2022-02-27,10,9,7,23
2022-03-06,11,10,7,23
2022-03-13,11,10,7,25
2022-03-20,10,9,6,22
2022-03-27,11,10,6,23
2022-04-03,10,9,6,22
2022-04-10,9,8,7,23
2022-04-17,11,10,9,22
2022-04-24,16,10,8,23
2022-05-01,16,10,7,29
2022-05-08,11,10,8,31
2022-05-15,19,10,6,29
2022-05-22,11,10,7,33
2022-05-29,12,10,8,31
2022-06-05,11,11,7,28
2022-06-12,11,9,7,28
2022-06-19,12,10,8,31
2022-06-26,10,10,8,28
2022-07-03,10,11,8,32
2022-07-10,10,10,7,28
2022-07-17,12,9,7,27
2022-07-24,13,12,7,29
2022-07-31,12,11,7,31
2022-08-07,9,11,8,28
2022-08-14,10,10,9,30
2022-08-21,11,11,7,29
2022-08-28,12,10,7,28
2022-09-04,12,10,8,26
2022-09-11,12,10,7,25
2022-09-18,11,10,7,25
2022-09-25,12,10,7,24
2022-10-02,12,11,7,29
2022-10-09,11,11,7,25
2022-10-16,10,9,7,26
2022-10-23,12,10,7,24
2022-10-30,10,8,7,24
2022-11-06,11,10,7,24
2022-11-13,10,10,7,26
2022-11-20,9,8,6,22
2022-11-27,9,8,5,23
2022-12-04,9,8,6,23
2022-12-11,9,11,6,23
2022-12-18,9,12,6,23
2022-12-25,9,14,6,24
2023-01-01,11,16,7,24
2023-01-08,11,15,7,25
2023-01-15,13,18,7,25
2023-01-22,12,17,7,23
2023-01-29,12,17,8,25
2023-02-05,13,17,6,25
2023-02-12,11,16,7,24
2023-02-19,9,13,7,24
2023-02-26,12,16,7,24
2023-03-05,13,16,8,25
2023-03-12,12,16,8,24
2023-03-19,14,17,9,25
2023-03-26,13,15,9,25
2023-04-02,12,15,8,25
2023-04-09,14,18,9,25
2023-04-16,14,17,9,25
2023-04-23,20,17,9,24
2023-04-30,21,16,9,24
2023-05-07,14,17,9,27
2023-05-14,17,18,9,26
2023-05-21,24,15,10,26
2023-05-28,15,17,12,30
