Category: All categories

Week,Physician: (Chile),Hospital: (Chile),Pharmacy: (Chile),Symptom: (Chile)
2019-12-29,24,6,11,13
2020-01-05,27,7,9,15
2020-01-12,29,8,10,15
2020-01-19,27,9,10,18
2020-01-26,27,10,9,23
2020-02-02,28,12,11,20
2020-02-09,26,8,9,18
2020-02-16,25,8,8,19
2020-02-23,23,9,9,23
2020-03-01,29,8,10,28
2020-03-08,28,8,10,39
2020-03-15,31,11,14,100
2020-03-22,32,9,11,53
2020-03-29,30,8,9,32
2020-04-05,27,7,10,28
2020-04-12,28,7,9,25
2020-04-19,28,6,9,21
2020-04-26,24,6,9,21
2020-05-03,26,7,8,24
2020-05-10,27,11,8,28
2020-05-17,26,8,9,31
2020-05-24,30,8,8,31
2020-05-31,28,7,8,28
2020-06-07,31,7,8,26
2020-06-14,29,7,8,24
2020-06-21,27,7,8,23
2020-06-28,24,6,8,22
2020-07-05,25,6,7,20
2020-07-12,25,6,8,19
2020-07-19,25,6,7,18
2020-07-26,22,5,7,16
2020-08-02,22,5,6,15
2020-08-09,22,5,7,15
2020-08-16,24,6,7,16
2020-08-23,25,6,7,18
2020-08-30,22,5,8,16
2020-09-06,24,6,8,18
2020-09-13,24,6,12,20
2020-09-20,30,7,9,21
2020-09-27,28,6,8,19
2020-10-04,26,6,8,19
2020-10-11,25,6,9,19
2020-10-18,27,7,8,20
2020-10-25,26,6,7,19
2020-11-01,23,6,9,18
2020-11-08,25,6,23,19
2020-11-15,26,7,11,21
2020-11-22,27,7,9,20
2020-11-29,30,6,8,20
2020-12-06,24,6,8,19
2020-12-13,25,6,11,20
2020-12-20,21,5,10,20
2020-12-27,24,6,11,25
2021-01-03,29,7,10,23
2021-01-10,30,7,8,26
2021-01-17,29,7,10,25
2021-01-24,29,8,9,23
2021-01-31,29,7,9,23
2021-02-07,28,6,9,21
2021-02-14,26,6,9,22
2021-02-21,27,7,8,22
2021-02-28,26,6,8,22
2021-03-07,27,6,8,23
2021-03-14,29,6,8,25
2021-03-21,30,6,8,26
2021-03-28,27,7,9,25
2021-04-04,29,7,7,24
2021-04-11,28,7,7,25
2021-04-18,24,6,7,20
2021-04-25,22,6,7,19
2021-05-02,23,6,7,17
2021-05-09,22,6,10,18
2021-05-16,20,5,9,19
2021-05-23,25,6,8,22
2021-05-30,23,6,6,21
2021-06-06,25,7,7,21
2021-06-13,26,6,7,20
2021-06-20,23,6,8,20
2021-06-27,22,6,7,19
2021-07-04,23,6,7,18
2021-07-11,23,6,9,17
2021-07-18,23,6,8,19
2021-07-25,24,6,7,17
2021-08-01,25,7,7,17
2021-08-08,24,6,9,19
2021-08-15,26,7,8,19
2021-08-22,24,7,8,17
2021-08-29,24,6,8,18
2021-09-05,21,6,13,17
2021-09-12,19,6,17,18
2021-09-19,25,7,10,19
2021-09-26,24,6,7,17
2021-10-03,22,6,7,15
2021-10-10,22,6,10,15
2021-10-17,20,7,8,18
2021-10-24,15,6,8,18
2021-10-31,14,6,9,20
2021-11-07,14,6,8,20
2021-11-14,14,6,9,19
2021-11-21,13,6,9,17
2021-11-28,15,6,8,17
2021-12-05,11,5,8,16
2021-12-12,12,6,8,15
2021-12-19,11,6,11,16
2021-12-26,12,6,12,20
2022-01-02,14,7,11,24
2022-01-09,13,7,11,29
2022-01-16,12,7,11,36
2022-01-23,14,8,13,35
2022-01-30,14,7,13,41
2022-02-06,13,7,12,39
2022-02-13,15,7,12,32
2022-02-20,12,7,9,28
2022-02-27,13,6,9,23
2022-03-06,13,7,9,23
2022-03-13,14,7,8,23
2022-03-20,13,7,9,20
2022-03-27,14,7,7,19
2022-04-03,13,7,8,19
2022-04-10,11,6,9,18
2022-04-17,13,6,8,19
2022-04-24,13,6,7,18
2022-05-01,13,7,10,18
2022-05-08,12,6,8,20
2022-05-15,12,7,8,22
2022-05-22,13,7,8,24
2022-05-29,11,7,8,20
2022-06-05,14,8,9,24
2022-06-12,13,8,9,23
2022-06-19,12,7,10,23
2022-06-26,11,7,9,21
2022-07-03,11,7,9,19
2022-07-10,10,6,8,19
2022-07-17,13,7,9,21
2022-07-24,14,8,8,21
2022-07-31,13,6,8,20
2022-08-07,11,7,9,21
2022-08-14,10,7,9,21
2022-08-21,11,8,8,22
2022-08-28,12,7,8,19
2022-09-04,11,7,8,19
2022-09-11,10,6,9,18
2022-09-18,11,7,15,20
2022-09-25,14,8,8,19
2022-10-02,13,7,9,17
2022-10-09,11,7,11,19
2022-10-16,13,8,9,20
2022-10-23,14,7,9,21
2022-10-30,11,7,12,23
2022-11-06,14,7,9,22
2022-11-13,14,7,9,23
2022-11-20,13,7,9,19
2022-11-27,16,6,9,19
