Category: All categories

Week,Physician: (Brazil),Hospital: (Brazil),Pharmacy: (Brazil),Symptom: (Brazil)
2019-12-29,17,9,11,20
2020-01-05,26,11,11,21
2020-01-12,25,11,11,21
2020-01-19,23,12,11,22
2020-01-26,24,13,11,31
2020-02-02,24,13,11,24
2020-02-09,23,11,11,23
2020-02-16,23,11,11,23
2020-02-23,19,11,11,35
2020-03-01,23,11,11,31
2020-03-08,23,13,12,51
2020-03-15,26,18,23,100
2020-03-22,23,18,21,63
2020-03-29,19,15,15,36
2020-04-05,19,13,13,32
2020-04-12,20,13,14,32
2020-04-19,20,12,13,35
2020-04-26,19,13,14,37
2020-05-03,18,12,15,35
2020-05-10,20,12,14,35
2020-05-17,20,13,14,35
2020-05-24,19,11,13,34
2020-05-31,20,12,14,33
2020-06-07,19,11,13,32
2020-06-14,20,11,13,34
2020-06-21,20,12,13,37
2020-06-28,20,10,14,33
2020-07-05,20,10,14,35
2020-07-12,21,11,14,33
2020-07-19,21,11,13,31
2020-07-26,22,11,12,31
2020-08-02,20,10,13,28
2020-08-09,22,10,12,29
2020-08-16,21,11,11,25
2020-08-23,20,11,12,26
2020-08-30,21,10,11,26
2020-09-06,22,10,12,26
2020-09-13,25,11,12,26
2020-09-20,22,11,12,26
2020-09-27,22,11,12,26
2020-10-04,21,11,11,25
2020-10-11,22,10,11,25
2020-10-18,29,11,11,25
2020-10-25,23,11,11,25
2020-11-01,20,10,11,26
2020-11-08,24,11,11,28
2020-11-15,22,10,11,28
2020-11-22,21,11,12,31
2020-11-29,22,11,13,33
2020-12-06,22,10,12,35
2020-12-13,21,11,12,33
2020-12-20,16,9,13,35
2020-12-27,16,9,14,35
2021-01-03,26,12,14,34
2021-01-10,23,12,14,33
2021-01-17,24,12,13,30
2021-01-24,23,11,12,29
2021-01-31,21,11,13,28
2021-02-07,21,10,12,28
2021-02-14,19,10,12,31
2021-02-21,21,11,12,32
2021-02-28,22,12,14,36
2021-03-07,21,13,14,36
2021-03-14,23,13,14,37
2021-03-21,21,14,14,36
2021-03-28,19,11,13,33
2021-04-04,18,11,13,31
2021-04-11,16,12,12,31
2021-04-18,15,11,12,29
2021-04-25,15,11,12,28
2021-05-02,14,11,11,29
2021-05-09,15,11,12,28
2021-05-16,16,11,12,30
2021-05-23,19,12,13,34
2021-05-30,20,11,13,32
2021-06-06,18,11,12,31
2021-06-13,14,11,12,28
2021-06-20,13,10,11,27
2021-06-27,12,10,11,24
2021-07-04,12,10,12,25
2021-07-11,13,11,12,26
2021-07-18,13,11,11,25
2021-07-25,12,10,11,24
2021-08-01,12,10,11,24
2021-08-08,13,10,11,25
2021-08-15,17,11,12,27
2021-08-22,13,10,12,26
2021-08-29,13,10,12,24
2021-09-05,12,10,12,24
2021-09-12,13,10,12,24
2021-09-19,13,10,11,23
2021-09-26,13,10,11,23
2021-10-03,12,10,11,22
2021-10-10,12,9,11,22
2021-10-17,15,10,11,22
2021-10-24,5,10,13,22
2021-10-31,4,9,13,21
2021-11-07,5,10,12,22
2021-11-14,5,9,13,21
2021-11-21,5,9,12,21
2021-11-28,5,10,12,25
2021-12-05,5,9,11,24
2021-12-12,5,10,12,25
2021-12-19,4,9,14,30
2021-12-26,4,9,17,36
2022-01-02,6,12,19,44
2022-01-09,6,11,19,48
2022-01-16,6,11,18,44
2022-01-23,5,10,16,39
2022-01-30,5,11,14,35
2022-02-06,5,11,12,28
2022-02-13,5,11,12,26
2022-02-20,5,11,12,26
2022-02-27,5,10,12,25
2022-03-06,6,11,12,24
2022-03-13,7,11,11,24
2022-03-20,8,11,12,25
2022-03-27,7,11,12,26
2022-04-03,7,11,12,27
2022-04-10,7,10,12,27
2022-04-17,7,11,13,29
2022-04-24,8,12,12,29
2022-05-01,7,12,12,27
2022-05-08,6,11,13,29
2022-05-15,6,11,12,28
2022-05-22,7,11,13,31
2022-05-29,7,12,14,32
2022-06-05,7,11,14,30
2022-06-12,6,10,14,31
2022-06-19,7,11,14,32
2022-06-26,7,11,13,31
2022-07-03,6,11,13,30
2022-07-10,11,11,13,29
2022-07-17,7,11,12,28
2022-07-24,7,10,11,29
2022-07-31,8,11,12,29
2022-08-07,6,10,11,25
2022-08-14,7,11,12,27
2022-08-21,6,11,12,27
2022-08-28,8,11,11,26
2022-09-04,7,10,11,25
2022-09-11,8,11,12,26
2022-09-18,8,11,12,27
2022-09-25,9,11,11,26
2022-10-02,9,10,10,23
2022-10-09,7,10,12,25
2022-10-16,9,11,12,25
2022-10-23,9,11,11,26
2022-10-30,5,10,10,22
2022-11-06,9,11,12,26
2022-11-13,10,11,12,30
2022-11-20,10,10,11,28
2022-11-27,10,10,11,27
2022-12-04,9,10,12,27
2022-12-11,9,17,12,28
2022-12-18,8,16,12,25
2022-12-25,9,18,12,26
2023-01-01,11,21,12,25
2023-01-08,11,22,12,25
2023-01-15,13,22,12,25
2023-01-22,12,21,11,25
2023-01-29,13,22,12,24
2023-02-05,12,21,12,24
2023-02-12,10,22,12,27
2023-02-19,9,20,12,27
2023-02-26,11,23,12,28
2023-03-05,12,22,13,27
2023-03-12,14,23,13,29
2023-03-19,14,24,14,31
2023-03-26,18,24,14,31
2023-04-02,15,22,14,29
2023-04-09,16,25,14,30
2023-04-16,16,23,14,30
2023-04-23,17,24,13,30
2023-04-30,15,21,14,32
2023-05-07,17,24,13,29
2023-05-14,21,24,13,29
2023-05-21,22,25,15,30
2023-05-28,19,23,14,30
2023-06-04,16,21,14,27
2023-06-11,17,22,14,29
2023-06-18,16,22,13,27
2023-06-25,14,23,14,27
2023-07-02,14,22,14,25
2023-07-09,13,23,13,24
2023-07-16,13,22,13,21
2023-07-23,13,23,13,21
2023-07-30,13,22,13,21
2023-08-06,14,22,13,20
2023-08-13,14,23,12,20
2023-08-20,14,23,13,22
2023-08-27,14,23,13,21
2023-09-03,12,21,14,20
2023-09-10,15,23,14,22
2023-09-17,13,22,13,21
2023-09-24,13,21,13,20
2023-10-01,20,22,12,20
2023-10-08,13,20,13,19
2023-10-15,17,24,13,21
2023-10-22,14,23,12,21
2023-10-29,12,21,12,20
2023-11-05,14,22,13,21
2023-11-12,12,21,13,21
2023-11-19,12,21,13,20
2023-11-26,12,20,12,19
2023-12-03,12,21,12,20
2023-12-10,13,22,13,22
2023-12-17,10,19,12,21
2023-12-24,9,18,14,20
2023-12-31,12,21,13,22
