Category: All categories

Week,Physician: (Dominican Republic),Hospital: (Dominican Republic),Pharmacy: (Dominican Republic),Symptom: (Dominican Republic)
2019-12-29,15,4,7,17
2020-01-05,21,6,7,18
2020-01-12,19,5,6,14
2020-01-19,19,7,5,19
2020-01-26,21,8,6,25
2020-02-02,20,8,8,30
2020-02-09,20,6,8,22
2020-02-16,20,7,7,19
2020-02-23,19,6,7,28
2020-03-01,24,6,8,35
2020-03-08,22,7,7,44
2020-03-15,22,7,12,100
2020-03-22,42,7,13,73
2020-03-29,27,10,10,49
2020-04-05,20,6,11,40
2020-04-12,22,7,11,37
2020-04-19,21,6,10,33
2020-04-26,19,5,9,30
2020-05-03,19,5,8,30
2020-05-10,19,5,8,30
2020-05-17,21,5,8,28
2020-05-24,21,5,7,27
2020-05-31,21,5,8,26
2020-06-07,20,5,7,28
2020-06-14,20,5,8,31
2020-06-21,19,5,8,33
2020-06-28,20,6,8,35
2020-07-05,22,6,8,39
2020-07-12,21,6,8,42
2020-07-19,21,6,7,38
2020-07-26,25,6,7,29
2020-08-02,21,6,7,27
2020-08-09,19,6,6,24
2020-08-16,26,5,6,21
2020-08-23,19,5,6,19
2020-08-30,18,5,7,20
2020-09-06,19,5,7,20
2020-09-13,17,5,7,20
2020-09-20,17,5,7,19
2020-09-27,19,5,6,18
2020-10-04,18,6,6,20
2020-10-11,18,5,6,19
2020-10-18,18,5,6,20
2020-10-25,18,5,6,19
2020-11-01,16,5,6,19
2020-11-08,16,6,6,20
2020-11-15,16,6,6,22
2020-11-22,17,5,7,23
2020-11-29,18,5,6,24
2020-12-06,17,6,6,24
2020-12-13,20,5,7,23
2020-12-20,14,4,7,22
2020-12-27,15,4,8,26
2021-01-03,19,5,8,27
2021-01-10,21,6,7,27
2021-01-17,19,5,7,25
2021-01-24,18,6,7,23
2021-01-31,19,5,7,22
2021-02-07,19,6,7,21
2021-02-14,18,6,6,20
2021-02-21,19,6,6,19
2021-02-28,22,6,6,19
2021-03-07,19,6,6,19
2021-03-14,19,6,7,18
2021-03-21,18,7,7,19
2021-03-28,16,6,7,19
2021-04-04,17,6,7,20
2021-04-11,15,6,7,24
2021-04-18,15,6,7,21
2021-04-25,15,6,7,20
2021-05-02,16,6,7,21
2021-05-09,16,6,8,20
2021-05-16,16,6,7,21
2021-05-23,15,6,7,22
2021-05-30,16,6,7,22
2021-06-06,16,6,7,22
2021-06-13,16,6,7,22
2021-06-20,16,6,7,20
2021-06-27,16,5,7,19
2021-07-04,16,6,6,21
2021-07-11,16,6,7,19
2021-07-18,14,5,7,19
2021-07-25,15,5,7,22
2021-08-01,15,6,7,20
2021-08-08,14,5,7,19
2021-08-15,20,5,7,19
2021-08-22,15,6,7,19
2021-08-29,13,5,7,18
2021-09-05,14,5,7,17
2021-09-12,14,6,7,19
2021-09-19,13,5,7,18
2021-09-26,14,5,6,18
2021-10-03,14,6,7,18
2021-10-10,16,5,6,20
2021-10-17,13,6,7,20
2021-10-24,12,5,7,21
2021-10-31,12,5,7,20
2021-11-07,13,6,6,20
2021-11-14,12,5,6,21
2021-11-21,11,5,6,20
2021-11-28,10,5,6,21
2021-12-05,9,5,6,18
2021-12-12,8,4,6,17
2021-12-19,8,4,8,22
2021-12-26,8,5,10,37
2022-01-02,10,5,10,37
2022-01-09,9,5,7,25
2022-01-16,10,6,7,21
2022-01-23,11,6,6,19
2022-01-30,11,6,7,19
2022-02-06,12,6,6,18
2022-02-13,12,6,7,19
2022-02-20,11,6,6,19
2022-02-27,12,6,6,19
2022-03-06,12,6,7,20
2022-03-13,12,6,7,22
2022-03-20,12,7,7,21
2022-03-27,11,7,7,21
2022-04-03,12,6,6,20
2022-04-10,9,5,7,20
2022-04-17,11,6,7,21
2022-04-24,10,6,7,19
2022-05-01,11,6,7,21
2022-05-08,11,6,6,19
2022-05-15,10,6,6,21
2022-05-22,10,5,7,21
2022-05-29,10,6,7,20
2022-06-05,10,5,7,21
2022-06-12,10,5,7,21
2022-06-19,11,6,7,21
2022-06-26,11,6,7,20
2022-07-03,11,5,7,23
2022-07-10,10,6,7,22
2022-07-17,12,6,7,22
2022-07-24,13,6,7,22
2022-07-31,12,6,7,21
2022-08-07,11,6,7,22
2022-08-14,15,5,7,20
2022-08-21,11,6,7,21
2022-08-28,11,5,7,19
2022-09-04,12,5,7,20
2022-09-11,11,6,7,20
2022-09-18,9,5,7,18
2022-09-25,11,6,7,19
2022-10-02,12,6,7,21
2022-10-09,10,6,7,21
2022-10-16,11,5,6,23
2022-10-23,12,5,6,23
2022-10-30,10,6,6,19
2022-11-06,12,5,6,22
2022-11-13,11,5,6,22
2022-11-20,11,5,6,21
2022-11-27,11,6,6,21
2022-12-04,10,5,6,19
2022-12-11,10,6,6,19
2022-12-18,8,5,6,17
2022-12-25,8,7,7,18
2023-01-01,10,8,7,20
2023-01-08,10,8,6,20
2023-01-15,11,9,7,20
2023-01-22,12,10,7,21
2023-01-29,12,9,7,21
2023-02-05,12,10,7,21
2023-02-12,11,9,6,22
2023-02-19,12,10,7,22
2023-02-26,13,9,7,22
2023-03-05,15,10,10,23
2023-03-12,14,10,11,23
2023-03-19,16,10,10,22
2023-03-26,16,9,10,22
2023-04-02,12,8,13,20
2023-04-09,15,10,12,21
2023-04-16,15,10,11,21
2023-04-23,14,9,11,20
2023-04-30,13,9,12,20
2023-05-07,14,10,13,22
2023-05-14,19,9,13,20
2023-05-21,17,9,12,20
2023-05-28,16,9,14,20
2023-06-04,15,9,13,22
2023-06-11,17,9,14,22
2023-06-18,16,10,14,22
2023-06-25,15,10,14,22
2023-07-02,15,10,13,21
2023-07-09,14,10,13,20
2023-07-16,15,9,13,19
2023-07-23,15,10,13,20
2023-07-30,14,9,12,20
2023-08-06,15,10,12,21
2023-08-13,17,10,12,19
2023-08-20,12,8,12,18
2023-08-27,12,10,12,20
2023-09-03,12,10,12,25
2023-09-10,13,10,12,24
2023-09-17,13,10,12,25
2023-09-24,14,10,13,25
2023-10-01,14,11,12,25
2023-10-08,13,10,12,24
2023-10-15,14,10,12,26
2023-10-22,14,10,11,24
2023-10-29,12,9,11,25
2023-11-05,14,9,12,24
2023-11-12,13,9,12,24
2023-11-19,14,9,11,22
2023-11-26,13,9,9,23
2023-12-03,13,8,9,21
2023-12-10,11,8,9,20
2023-12-17,8,6,7,15
2023-12-24,7,6,8,19
2023-12-31,9,7,8,19
