Category: All categories

Week,Physician: (United States),Hospital: (United States),Pharmacy: (United States),Symptom: (United States)
2019-12-29,33,19,6,25
2020-01-05,39,21,6,24
2020-01-12,39,21,7,23
2020-01-19,37,21,6,27
2020-01-26,39,23,6,37
2020-02-02,36,23,6,32
2020-02-09,39,21,6,28
2020-02-16,38,21,6,27
2020-02-23,40,22,6,38
2020-03-01,37,21,6,51
2020-03-08,35,25,6,98
2020-03-15,33,27,6,100
2020-03-22,33,28,6,74
2020-03-29,32,27,6,56
2020-04-05,32,23,6,44
2020-04-12,30,20,5,34
2020-04-19,29,19,5,32
2020-04-26,33,19,5,31
2020-05-03,33,19,5,29
2020-05-10,31,19,5,29
2020-05-17,31,18,5,28
2020-05-24,29,16,5,26
2020-05-31,32,18,6,25
2020-06-07,33,19,5,27
2020-06-14,33,20,5,30
2020-06-21,32,20,5,37
2020-06-28,31,20,5,41
2020-07-05,34,22,5,43
2020-07-12,34,22,5,40
2020-07-19,33,21,5,35
2020-07-26,43,20,5,33
2020-08-02,35,20,5,32
2020-08-09,39,19,5,28
2020-08-16,32,18,5,27
2020-08-23,32,18,5,26
2020-08-30,33,18,5,30
2020-09-06,30,17,5,29
2020-09-13,32,19,5,29
2020-09-20,34,18,5,29
2020-09-27,34,23,5,31
2020-10-04,37,23,6,33
2020-10-11,35,20,7,32
2020-10-18,40,20,6,32
2020-10-25,37,20,6,33
2020-11-01,29,16,5,28
2020-11-08,35,20,6,35
2020-11-15,34,22,7,39
2020-11-22,25,18,6,37
2020-11-29,33,20,6,36
2020-12-06,33,21,5,37
2020-12-13,32,20,5,34
2020-12-20,26,17,5,33
2020-12-27,29,19,5,37
2021-01-03,33,21,6,34
2021-01-10,33,21,6,34
2021-01-17,34,21,6,31
2021-01-24,34,22,6,29
2021-01-31,34,21,7,30
2021-02-07,31,19,6,26
2021-02-14,21,19,6,25
2021-02-21,24,20,6,13
2021-02-28,25,20,6,9
2021-03-07,23,20,6,9
2021-03-14,24,20,5,8
2021-03-21,25,20,6,8
2021-03-28,23,20,6,9
2021-04-04,25,20,6,8
2021-04-11,18,20,5,8
2021-04-18,15,19,6,9
2021-04-25,16,20,6,9
2021-05-02,16,20,5,10
2021-05-09,16,20,5,10
2021-05-16,16,19,5,10
2021-05-23,16,19,5,9
2021-05-30,15,18,5,9
2021-06-06,16,20,5,9
2021-06-13,16,20,5,11
2021-06-20,16,20,5,11
2021-06-27,16,19,5,11
2021-07-04,15,19,5,11
2021-07-11,16,20,6,11
2021-07-18,16,20,5,12
2021-07-25,17,21,5,12
2021-08-01,16,21,6,12
2021-08-08,17,22,6,12
2021-08-15,18,23,6,12
2021-08-22,17,24,6,11
2021-08-29,12,21,6,14
2021-09-05,11,22,6,15
2021-09-12,12,22,6,17
2021-09-19,12,21,5,25
2021-09-26,12,21,5,24
2021-10-03,12,21,6,23
2021-10-10,15,21,5,15
2021-10-17,16,20,6,14
2021-10-24,16,20,5,12
2021-10-31,15,20,6,13
2021-11-07,16,20,6,14
2021-11-14,15,20,5,13
2021-11-21,12,16,5,12
2021-11-28,15,19,6,14
2021-12-05,15,19,5,13
2021-12-12,14,19,6,15
2021-12-19,13,18,7,18
2021-12-26,14,21,7,21
2022-01-02,16,22,7,21
2022-01-09,16,22,6,18
2022-01-16,13,20,6,13
2022-01-23,16,20,6,12
2022-01-30,15,20,5,11
2022-02-06,16,21,5,12
2022-02-13,15,19,5,11
2022-02-20,15,20,5,10
2022-02-27,16,20,5,10
2022-03-06,15,20,5,11
2022-03-13,15,20,5,11
2022-03-20,15,21,5,11
2022-03-27,15,18,5,12
2022-04-03,15,20,5,17
2022-04-10,14,18,5,19
2022-04-17,15,18,5,24
2022-04-24,15,19,5,24
2022-05-01,15,18,5,26
2022-05-08,15,18,5,30
2022-05-15,14,19,5,31
2022-05-22,15,19,5,32
2022-05-29,14,22,5,30
2022-06-05,15,20,6,30
2022-06-12,14,19,5,30
2022-06-19,15,20,6,31
2022-06-26,14,22,6,32
2022-07-03,14,20,6,33
2022-07-10,15,21,6,33
2022-07-17,15,21,5,36
2022-07-24,16,20,5,36
2022-07-31,16,20,5,37
2022-08-07,16,20,5,33
2022-08-14,16,20,5,31
2022-08-21,16,20,5,32
2022-08-28,15,19,5,30
2022-09-04,14,18,5,29
2022-09-11,15,18,6,29
2022-09-18,16,18,6,28
2022-09-25,16,18,6,27
2022-10-02,17,18,7,28
2022-10-09,16,19,7,30
2022-10-16,16,19,7,29
2022-10-23,16,20,6,30
2022-10-30,17,18,5,30
2022-11-06,16,18,6,29
2022-11-13,14,18,7,31
2022-11-20,12,15,6,29
2022-11-27,15,17,5,32
2022-12-04,15,18,6,32
2022-12-11,15,20,6,31
2022-12-18,12,18,6,25
2022-12-25,13,20,6,28
2023-01-01,15,23,5,21
2023-01-08,16,23,6,27
2023-01-15,16,22,6,24
2023-01-22,16,23,6,20
2023-01-29,16,23,6,26
2023-02-05,17,23,6,22
2023-02-12,15,22,5,25
2023-02-19,15,23,5,29
2023-02-26,16,23,6,24
2023-03-05,16,24,7,30
