Category: All categories

Week,Physician: (Italy),Hospital: (Italy),Pharmacy: (Italy),Symptom: (Italy)
2019-12-29,16,11,24,18
2020-01-05,19,13,22,18
2020-01-12,20,15,17,19
2020-01-19,19,16,18,23
2020-01-26,20,17,17,39
2020-02-02,19,16,18,23
2020-02-09,19,14,17,21
2020-02-16,19,16,18,38
2020-02-23,20,18,22,56
2020-03-01,21,20,18,47
2020-03-08,25,23,31,75
2020-03-15,29,23,30,49
2020-03-22,25,18,28,34
2020-03-29,20,17,26,26
2020-04-05,18,14,27,22
2020-04-12,17,14,25,21
2020-04-19,18,13,25,19
2020-04-26,15,12,24,20
2020-05-03,16,13,20,20
2020-05-10,16,12,18,19
2020-05-17,16,13,18,19
2020-05-24,16,12,16,18
2020-05-31,15,12,18,17
2020-06-07,15,15,16,18
2020-06-14,16,14,16,18
2020-06-21,16,13,17,17
2020-06-28,16,14,18,19
2020-07-05,16,13,17,20
2020-07-12,18,13,18,19
2020-07-19,18,13,17,18
2020-07-26,19,13,20,19
2020-08-02,18,12,20,20
2020-08-09,17,12,27,22
2020-08-16,20,12,26,25
2020-08-23,21,13,21,27
2020-08-30,23,14,19,25
2020-09-06,24,14,19,24
2020-09-13,22,14,19,23
2020-09-20,22,12,17,22
2020-09-27,23,13,18,23
2020-10-04,25,13,19,26
2020-10-11,24,13,21,29
2020-10-18,25,13,22,34
2020-10-25,24,14,23,36
2020-11-01,22,14,20,32
2020-11-08,24,14,22,32
2020-11-15,23,13,22,30
2020-11-22,20,11,19,24
2020-11-29,20,11,18,22
2020-12-06,17,9,21,22
2020-12-13,18,10,18,21
2020-12-20,17,9,28,24
2020-12-27,19,9,28,26
2021-01-03,22,11,22,25
2021-01-10,22,11,19,23
2021-01-17,21,12,18,22
2021-01-24,22,11,18,23
2021-01-31,23,11,20,25
2021-02-07,22,11,20,24
2021-02-14,22,12,20,27
2021-02-21,25,11,22,27
2021-02-28,24,11,21,28
2021-03-07,23,11,21,29
2021-03-14,23,11,22,27
2021-03-21,24,12,20,25
2021-03-28,23,11,24,25
2021-04-04,20,12,25,26
2021-04-11,19,12,20,25
2021-04-18,18,12,21,24
2021-04-25,18,12,26,24
2021-05-02,18,12,23,24
2021-05-09,18,12,21,24
2021-05-16,19,13,21,23
2021-05-23,18,12,23,23
2021-05-30,17,12,29,22
2021-06-06,18,12,24,26
2021-06-13,17,12,24,25
2021-06-20,17,12,23,23
2021-06-27,17,12,24,22
2021-07-04,16,13,24,25
2021-07-11,16,12,25,25
2021-07-18,19,14,31,29
2021-07-25,21,13,32,27
2021-08-01,17,13,35,26
