Category: All categories

Week,Physician: (Germany),Hospital: (Germany),Pharmacy: (Germany),Symptom: (Germany)
2019-12-29,35,20,1,16
2020-01-05,48,25,1,18
2020-01-12,44,26,1,18
2020-01-19,44,26,1,22
2020-01-26,48,28,1,41
2020-02-02,45,28,1,27
2020-02-09,42,24,1,24
2020-02-16,42,26,1,23
2020-02-23,43,25,1,64
2020-03-01,46,26,1,59
2020-03-08,49,30,1,85
2020-03-15,55,33,1,100
2020-03-22,46,27,1,51
2020-03-29,36,26,1,35
2020-04-05,31,23,1,27
2020-04-12,35,22,1,23
2020-04-19,40,23,1,23
2020-04-26,36,19,1,21
2020-05-03,38,22,1,21
2020-05-10,42,23,1,22
2020-05-17,37,21,1,21
2020-05-24,45,22,1,22
2020-05-31,38,22,1,19
2020-06-07,42,22,1,21
2020-06-14,43,24,1,21
2020-06-21,40,23,1,25
2020-06-28,40,23,1,27
2020-07-05,43,25,1,28
2020-07-12,41,24,1,24
2020-07-19,41,24,1,22
2020-07-26,41,24,1,22
2020-08-02,42,23,1,23
2020-08-09,43,24,1,22
2020-08-16,48,24,1,24
2020-08-23,46,27,1,25
2020-08-30,47,25,1,31
2020-09-06,47,24,1,31
2020-09-13,49,26,1,32
2020-09-20,51,25,1,31
2020-09-27,48,24,1,29
2020-10-04,50,27,1,33
2020-10-11,49,25,1,33
2020-10-18,48,24,2,39
2020-10-25,47,26,1,37
2020-11-01,43,22,1,34
2020-11-08,46,24,1,36
2020-11-15,45,25,1,34
2020-11-22,24,22,1,31
2020-11-29,24,22,1,31
2020-12-06,24,22,1,33
2020-12-13,24,22,1,34
2020-12-20,19,21,1,33
2020-12-27,20,20,1,31
2021-01-03,24,23,1,29
2021-01-10,23,22,1,26
2021-01-17,22,25,1,26
2021-01-24,23,23,1,27
2021-01-31,24,22,1,29
2021-02-07,21,20,1,26
2021-02-14,22,21,1,27
2021-02-21,23,21,1,29
2021-02-28,22,20,1,28
2021-03-07,23,19,1,27
2021-03-14,24,20,1,31
2021-03-21,25,21,1,32
2021-03-28,24,19,1,32
2021-04-04,27,21,1,30
2021-04-11,25,21,1,29
2021-04-18,27,22,1,30
2021-04-25,28,22,1,28
2021-05-02,32,20,1,26
2021-05-09,29,19,1,27
2021-05-16,29,20,1,26
2021-05-23,26,19,1,24
2021-05-30,27,20,1,24
2021-06-06,28,21,1,26
2021-06-13,27,21,1,27
2021-06-20,27,22,1,28
2021-06-27,24,21,1,28
2021-07-04,25,22,1,27
2021-07-11,25,24,1,28
2021-07-18,25,23,1,27
2021-07-25,25,23,1,28
2021-08-01,25,23,1,27
2021-08-08,26,23,1,28
2021-08-15,26,22,1,28
2021-08-22,24,23,1,27
2021-08-29,24,25,1,28
2021-09-05,25,24,2,29
2021-09-12,26,24,1,27
2021-09-19,26,23,1,28
2021-09-26,24,23,1,26
2021-10-03,26,23,1,26
2021-10-10,28,23,1,28
2021-10-17,28,23,1,29
2021-10-24,28,24,1,30
2021-10-31,27,26,1,32
2021-11-07,31,27,1,33
2021-11-14,33,26,1,35
2021-11-21,35,26,1,32
2021-11-28,33,24,1,32
2021-12-05,30,23,1,31
2021-12-12,30,22,1,33
2021-12-19,24,19,1,34
2021-12-26,23,20,1,36
2022-01-02,26,22,1,37
2022-01-09,29,23,1,39
2022-01-16,27,22,1,39
2022-01-23,27,23,1,44
2022-01-30,27,23,1,42
2022-02-06,27,23,1,40
2022-02-13,26,22,1,37
2022-02-20,26,21,1,34
2022-02-27,24,20,1,33
2022-03-06,25,20,1,35
2022-03-13,25,22,1,38
2022-03-20,25,20,1,38
2022-03-27,26,20,1,36
2022-04-03,26,22,1,36
2022-04-10,22,19,1,35
2022-04-17,24,20,1,34
2022-04-24,25,20,1,33
2022-05-01,23,21,1,32
2022-05-08,25,20,1,32
2022-05-15,25,19,1,34
2022-05-22,22,20,1,32
2022-05-29,24,20,1,32
2022-06-05,24,20,1,35
2022-06-12,25,21,1,34
2022-06-19,27,21,1,35
2022-06-26,27,21,1,35
2022-07-03,27,23,1,38
