Category: All categories

Week,Physician: (Uruguay),Hospital: (Uruguay),Pharmacy: (Uruguay),Symptom: (Uruguay)
2019-12-29,19,11,19,19
2020-01-05,22,12,15,18
2020-01-12,21,13,15,20
2020-01-19,21,13,13,24
2020-01-26,21,16,12,30
2020-02-02,27,18,13,20
2020-02-09,24,14,15,21
2020-02-16,20,13,13,22
2020-02-23,21,14,15,36
2020-03-01,21,14,14,27
2020-03-08,23,17,16,66
2020-03-15,39,19,25,100
2020-03-22,31,15,16,53
2020-03-29,29,14,15,33
2020-04-05,23,16,19,29
2020-04-12,24,13,15,23
2020-04-19,25,12,13,24
2020-04-26,25,13,13,21
2020-05-03,19,12,12,20
2020-05-10,19,12,13,21
2020-05-17,22,12,12,22
2020-05-24,24,12,11,21
2020-05-31,19,12,11,19
2020-06-07,18,13,11,21
2020-06-14,17,11,12,19
2020-06-21,17,13,11,21
2020-06-28,18,13,13,22
2020-07-05,19,13,13,25
2020-07-12,18,14,13,25
2020-07-19,20,14,12,28
2020-07-26,22,15,13,26
2020-08-02,21,13,13,22
2020-08-09,21,15,12,20
2020-08-16,20,13,13,23
2020-08-23,17,12,12,19
2020-08-30,20,14,11,22
2020-09-06,19,13,14,23
2020-09-13,19,14,13,23
2020-09-20,21,12,13,24
2020-09-27,20,13,11,24
2020-10-04,19,13,12,23
2020-10-11,22,13,12,25
2020-10-18,19,13,11,25
2020-10-25,19,14,12,27
2020-11-01,19,13,14,27
2020-11-08,19,12,13,29
2020-11-15,19,13,12,33
2020-11-22,20,14,12,30
2020-11-29,30,13,12,35
2020-12-06,20,13,13,36
2020-12-13,26,13,15,37
2020-12-20,20,11,19,41
2020-12-27,20,13,20,36
2021-01-03,19,13,16,36
2021-01-10,20,14,16,33
2021-01-17,21,13,16,36
2021-01-24,21,14,14,33
2021-01-31,23,12,14,29
2021-02-07,19,14,14,26
2021-02-14,19,12,13,29
2021-02-21,20,15,13,29
2021-02-28,20,17,13,32
2021-03-07,22,17,14,39
2021-03-14,22,18,13,41
2021-03-21,21,16,12,42
2021-03-28,21,18,15,45
2021-04-04,17,16,13,36
2021-04-11,18,15,14,34
2021-04-18,18,16,13,32
2021-04-25,16,12,13,27
2021-05-02,16,12,12,25
2021-05-09,15,13,12,29
2021-05-16,17,15,11,29
2021-05-23,17,15,10,32
2021-05-30,16,14,11,32
2021-06-06,15,14,11,29
2021-06-13,16,13,10,26
2021-06-20,16,13,10,23
2021-06-27,14,12,12,21
2021-07-04,16,14,12,21
2021-07-11,16,14,11,23
2021-07-18,17,14,11,21
2021-07-25,19,14,11,21
2021-08-01,17,13,12,21
2021-08-08,18,15,12,24
2021-08-15,17,14,13,23
2021-08-22,18,14,14,23
