Category: All categories

Month,Virus: (Uruguay),Symptom: (Uruguay),Hospital: (Uruguay),Physician: (Uruguay)
2004-01,23,16,0,0
2004-02,21,0,15,0
2004-03,29,0,20,18
2004-04,31,0,22,13
2004-05,31,0,15,17
2004-06,23,0,16,11
2004-07,29,10,17,0
2004-08,25,11,17,12
2004-09,20,10,14,9
2004-10,36,7,21,11
2004-11,27,9,15,9
2004-12,28,18,13,0
2005-01,19,12,14,0
2005-02,13,16,19,11
2005-03,23,10,18,9
2005-04,24,8,17,14
2005-05,22,13,12,14
2005-06,16,11,14,11
2005-07,14,9,14,12
2005-08,21,10,18,12
2005-09,15,9,12,11
2005-10,16,12,15,11
2005-11,16,15,14,8
2005-12,8,8,14,9
2006-01,10,10,14,9
2006-02,17,10,18,11
2006-03,9,10,17,11
2006-04,13,14,13,14
2006-05,13,13,17,13
2006-06,13,11,14,10
2006-07,12,11,16,11
2006-08,16,11,17,10
2006-09,14,12,13,8
2006-10,11,13,16,12
2006-11,10,14,14,11
2006-12,10,13,12,9
2007-01,12,10,14,10
2007-02,10,12,17,12
2007-03,13,18,15,12
2007-04,13,11,18,12
2007-05,14,12,14,8
2007-06,24,12,15,10
2007-07,12,12,13,10
2007-08,11,11,16,8
2007-09,16,12,15,10
2007-10,11,11,16,9
2007-11,13,14,15,9
2007-12,9,11,15,10
2008-01,10,10,16,11
2008-02,13,10,22,10
2008-03,14,12,20,13
2008-04,11,12,20,12
2008-05,14,14,21,14
2008-06,20,9,20,11
2008-07,19,10,19,11
2008-08,16,9,18,11
2008-09,16,12,18,11
2008-10,15,13,16,13
2008-11,14,12,19,10
2008-12,13,10,13,12
2009-01,10,9,19,11
2009-02,13,14,20,13
2009-03,13,13,17,14
2009-04,16,21,15,11
2009-05,22,20,19,12
2009-06,18,22,15,11
2009-07,21,23,16,12
2009-08,14,14,13,11
2009-09,11,13,14,11
2009-10,12,15,14,13
2009-11,12,16,14,12
2009-12,11,17,13,10
2010-01,9,19,16,14
2010-02,11,21,18,14
2010-03,9,19,16,15
2010-04,14,18,18,11
2010-05,13,16,18,12
2010-06,11,13,15,13
2010-07,11,17,14,12
2010-08,10,19,14,12
2010-09,10,18,18,14
2010-10,11,18,14,11
2010-11,10,19,12,11
2010-12,7,17,13,12
2011-01,8,19,16,12
2011-02,8,18,16,13
2011-03,8,18,13,13
2011-04,9,18,13,11
2011-05,10,17,14,12
2011-06,9,18,14,11
2011-07,9,20,14,10
2011-08,9,22,14,12
2011-09,9,22,15,12
2011-10,10,20,14,13
2011-11,9,19,14,11
