Category: All categories

Month,Virus: (United States),Symptom: (United States),Hospital: (United States),Physician: (United States)
2004-01,10,5,26,10
2004-02,10,4,26,10
2004-03,10,5,27,10
2004-04,9,5,27,10
2004-05,11,5,27,9
2004-06,9,5,28,10
2004-07,10,5,28,10
2004-08,10,5,29,11
2004-09,8,5,27,10
2004-10,7,5,26,10
2004-11,7,5,25,10
2004-12,6,5,24,9
2005-01,6,5,26,10
2005-02,8,6,26,10
2005-03,7,5,28,11
2005-04,7,5,28,10
2005-05,7,5,28,11
2005-06,6,5,29,10
2005-07,6,5,28,10
2005-08,6,5,29,10
2005-09,6,5,29,10
2005-10,6,5,27,10
2005-11,6,5,25,9
2005-12,6,5,24,9
2006-01,6,5,29,10
2006-02,7,5,27,10
2006-03,6,6,28,10
2006-04,5,5,27,10
2006-05,5,5,27,10
2006-06,4,5,29,10
2006-07,5,5,28,10
2006-08,5,5,30,10
2006-09,5,5,28,10
2006-10,5,5,28,9
2006-11,4,5,26,10
2006-12,5,5,24,9
2007-01,5,5,28,10
2007-02,5,5,28,10
2007-03,5,5,29,10
2007-04,4,5,28,10
2007-05,4,5,29,10
2007-06,4,5,29,10
2007-07,4,5,28,10
2007-08,5,5,30,10
2007-09,5,5,27,10
2007-10,5,6,28,11
2007-11,5,5,26,10
2007-12,4,5,24,9
2008-01,4,5,28,10
2008-02,5,6,27,10
2008-03,5,6,27,10
2008-04,5,5,28,10
2008-05,5,6,27,10
2008-06,4,5,28,10
2008-07,4,5,30,11
2008-08,5,5,27,10
2008-09,5,7,28,10
2008-10,5,7,27,11
2008-11,5,7,23,9
2008-12,5,7,25,9
2009-01,5,7,28,11
2009-02,5,8,27,11
2009-03,6,9,27,11
2009-04,8,8,26,11
2009-05,6,9,26,11
2009-06,5,9,29,12
2009-07,5,9,28,11
2009-08,5,9,27,11
2009-09,6,10,25,11
2009-10,6,12,27,12
2009-11,5,12,25,11
2009-12,5,10,22,9
2010-01,5,11,27,11
2010-02,5,11,24,11
2010-03,5,11,27,12
2010-04,5,11,26,11
2010-05,5,11,26,10
2010-06,4,10,27,11
2010-07,4,9,25,10
2010-08,4,9,25,11
2010-09,4,9,25,10
2010-10,4,9,23,10
2010-11,5,10,22,10
2010-12,4,9,20,10
2011-01,4,10,25,11
2011-02,4,10,24,11
2011-03,4,10,26,12
2011-04,4,9,23,10
2011-05,4,9,25,10
2011-06,4,9,26,11
2011-07,3,9,25,10
2011-08,3,10,25,11
2011-09,3,10,26,11
2011-10,3,8,24,11
2011-11,3,7,23,10
2011-12,4,7,22,9
2012-01,4,9,24,11
2012-02,4,10,23,10
2012-03,4,8,22,10
2012-04,4,8,24,11
2012-05,4,9,23,10
2012-06,4,9,24,10
2012-07,5,8,23,11
2012-08,7,8,24,11
2012-09,6,9,22,11
2012-10,4,9,23,11
2012-11,3,9,20,10
2012-12,4,9,19,9
2013-01,4,11,22,11
2013-02,4,9,22,11
2013-03,4,9,21,11
2013-04,3,8,22,11
2013-05,4,8,22,10
2013-06,3,8,22,10
2013-07,3,8,23,11
2013-08,3,8,23,11
2013-09,3,8,22,11
2013-10,3,8,22,11
2013-11,3,8,20,11
2013-12,3,8,20,11
2014-01,4,9,21,12
2014-02,4,8,21,11
2014-03,4,8,20,11
2014-04,4,8,22,12
2014-05,5,8,21,12
2014-06,3,8,22,12
2014-07,5,8,23,12
2014-08,7,8,22,12
2014-09,6,8,21,12
2014-10,13,9,22,13
2014-11,4,8,19,11
2014-12,4,8,19,11
2015-01,4,9,20,12
2015-02,4,8,19,12
2015-03,4,9,20,12
2015-04,4,8,20,12
2015-05,3,8,21,11
2015-06,3,8,22,12
2015-07,3,8,23,13
2015-08,3,7,22,13
2015-09,4,8,21,12
2015-10,3,8,21,13
2015-11,3,8,19,11
2015-12,3,8,18,11
2016-01,6,8,21,13
2016-02,10,8,21,14
2016-03,5,8,22,13
2016-04,5,8,22,13
2016-05,5,7,21,13
2016-06,5,7,22,12
2016-07,4,8,20,12
2016-08,6,7,21,13
2016-09,4,7,21,13
2016-10,3,7,20,13
2016-11,3,19,20,24
2016-12,3,20,19,21
2017-01,4,22,24,47
2017-02,4,23,26,58
2017-03,4,22,26,54
2017-04,3,23,25,62
2017-05,4,21,25,62
2017-06,3,22,26,56
2017-07,3,24,26,61
2017-08,3,21,28,63
2017-09,3,21,26,57
2017-10,3,22,26,60
2017-11,3,19,26,63
2017-12,3,22,19,55
2018-01,4,28,10,65
2018-02,4,29,21,65
2018-03,4,23,21,62
2018-04,3,23,18,56
2018-05,3,22,9,59
2018-06,3,22,16,26
2018-07,3,23,25,20
2018-08,3,21,28,19
2018-09,3,21,26,17
2018-10,4,23,25,20
2018-11,3,22,25,20
2018-12,3,22,24,20
2019-01,3,23,27,25
2019-02,4,24,26,24
2019-03,4,24,23,27
2019-04,3,22,21,40
2019-05,3,25,22,40
2019-06,3,23,22,38
2019-07,3,21,23,36
2019-08,3,21,21,40
2019-09,4,23,21,39
2019-10,4,22,22,39
2019-11,3,22,20,36
2019-12,4,22,19,34
2020-01,15,29,22,39
2020-02,23,32,22,38
2020-03,100,80,26,35
2020-04,37,39,21,31
2020-05,16,27,17,30
2020-06,10,31,19,32
2020-07,11,38,21,36
2020-08,7,29,19,34
2020-09,6,30,18,33
2020-10,7,33,22,38
2020-11,6,35,19,31
2020-12,7,36,19,31
2021-01,6,32,20,33
2021-02,5,22,21,29
2021-03,5,9,20,26
