time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,26.8,24.5,30.0,0.7,,82.0,23.3,,1014.0,
2023-01-02,26.5,24.0,30.0,1.4,,85.0,22.9,,1014.3,
2023-01-03,26.5,23.8,30.0,0.8,,84.0,20.0,,1014.6,
2023-01-04,26.7,25.0,29.6,0.9,,83.0,21.5,,1014.5,
2023-01-05,26.6,24.0,29.0,0.7,,88.0,23.2,,1014.2,
2023-01-06,26.8,25.0,30.0,0.6,,93.0,25.9,,1013.9,
2023-01-07,26.5,24.0,29.9,1.0,,92.0,25.7,,1014.2,
2023-01-08,27.2,25.0,30.0,0.3,,84.0,23.5,,1014.2,
2023-01-09,27.1,25.7,30.0,0.0,,95.0,25.9,,1013.6,
2023-01-10,26.4,24.0,29.0,0.7,,93.0,19.7,,1013.4,
2023-01-11,26.9,24.5,29.7,0.3,,86.0,20.8,,1014.3,
2023-01-12,26.9,25.0,30.0,0.0,,89.0,23.3,,1013.8,
2023-01-13,26.5,25.0,29.0,0.1,,99.0,22.5,,1012.7,
2023-01-14,26.6,24.0,30.0,0.0,,100.0,19.4,,1012.8,
2023-01-15,26.8,24.0,30.0,0.0,,89.0,15.0,,1013.6,
2023-01-16,27.0,24.0,30.0,0.0,,82.0,17.5,,1013.2,
2023-01-17,26.8,25.0,30.0,0.0,,102.0,20.6,,1012.7,
2023-01-18,26.9,25.0,30.0,0.0,,90.0,25.6,,1013.6,
2023-01-19,26.5,24.7,29.0,0.2,,97.0,26.1,,1014.6,
2023-01-20,26.2,23.0,30.0,1.5,,89.0,26.2,,1015.2,
2023-01-21,26.3,24.9,28.5,0.0,,92.0,29.0,,1013.9,
2023-01-22,26.7,25.0,29.2,0.0,,99.0,31.9,,1013.3,
2023-01-23,27.2,25.5,30.0,0.7,,97.0,30.4,,1014.2,
2023-01-24,27.3,26.0,29.3,0.0,,94.0,31.4,,1014.3,
2023-01-25,26.6,24.5,29.0,0.0,,97.0,28.8,,1013.7,
2023-01-26,26.3,23.3,30.0,0.9,,87.0,28.9,,1013.9,
2023-01-27,26.6,25.0,29.0,0.0,,86.0,23.6,,1014.2,
2023-01-28,25.1,23.0,28.0,1.4,,97.0,17.3,,1014.3,
2023-01-29,25.6,24.0,27.1,1.3,,89.0,24.6,,1013.9,
2023-01-30,26.1,24.0,29.0,0.3,,97.0,20.0,,1014.1,
2023-01-31,26.2,24.0,29.0,0.1,,84.0,19.4,,1014.3,
2023-02-01,25.6,23.0,28.0,2.9,,81.0,22.1,,1015.0,
2023-02-02,26.2,23.6,29.0,1.1,,93.0,25.4,,1015.0,
2023-02-03,26.7,24.0,29.2,0.0,,96.0,29.8,,1014.6,
2023-02-04,26.8,24.0,30.0,0.0,,99.0,29.6,,1015.7,
2023-02-05,27.3,25.0,31.0,0.4,,96.0,35.5,,1014.9,
2023-02-06,27.2,25.8,30.0,0.0,,94.0,31.1,,1014.0,
2023-02-07,27.0,25.5,29.6,0.5,,88.0,32.1,,1013.7,
2023-02-08,27.0,25.0,30.0,0.0,,89.0,30.3,,1013.8,
2023-02-09,27.0,25.7,30.0,0.6,,83.0,32.3,,1013.8,
2023-02-10,26.9,25.0,30.0,1.1,,94.0,34.4,,1013.1,
2023-02-11,26.4,25.0,29.0,1.7,,95.0,32.0,,1012.5,
2023-02-12,26.8,25.3,29.0,0.5,,95.0,34.7,,1011.6,
2023-02-13,26.0,24.1,29.0,0.8,,96.0,27.4,,1011.6,
2023-02-14,26.7,25.0,29.9,0.1,,84.0,28.8,,1012.9,
2023-02-15,26.7,24.0,30.0,0.9,,80.0,32.0,,1013.9,
2023-02-16,26.8,25.0,30.0,0.1,,85.0,29.9,,1013.8,
2023-02-17,25.9,6.0,29.2,0.1,,89.0,30.6,,1013.3,
2023-02-18,26.3,24.0,29.0,0.0,,79.0,24.6,,1014.6,
2023-02-19,25.1,23.0,27.5,1.3,,95.0,22.2,,1014.5,
2023-02-20,25.9,23.0,29.0,3.1,,86.0,28.2,,1014.3,
2023-02-21,26.2,24.0,29.0,0.5,,90.0,26.9,,1014.5,
2023-02-22,26.8,24.7,30.0,0.0,,85.0,29.0,,1016.4,
2023-02-23,26.6,24.9,29.0,0.0,,93.0,27.1,,1017.1,
2023-02-24,26.6,24.7,29.5,0.0,,81.0,27.3,,1016.6,
2023-02-25,26.1,23.0,29.0,0.4,,83.0,26.6,,1015.6,
2023-02-26,25.7,23.0,28.3,0.0,,92.0,24.4,,1014.0,
2023-02-27,26.6,24.0,29.2,0.0,,90.0,29.9,,1013.6,
2023-02-28,26.7,25.0,29.0,0.0,,92.0,33.7,,1013.7,
2023-03-01,27.2,25.6,30.0,0.4,,90.0,33.6,,1013.6,
2023-03-02,27.0,25.0,30.0,0.0,,92.0,32.9,,1012.3,
2023-03-03,26.9,25.0,30.0,0.0,,94.0,37.4,,1011.2,
2023-03-04,27.0,25.7,29.7,0.0,,96.0,35.6,,1011.6,
2023-03-05,27.1,25.5,30.0,0.0,,92.0,35.2,,1012.2,
2023-03-06,27.1,25.7,30.0,0.0,,88.0,31.6,,1012.7,
2023-03-07,26.6,25.0,29.2,0.0,,84.0,26.6,,1012.0,
2023-03-08,26.7,24.9,30.0,0.0,,88.0,22.7,,1012.1,
2023-03-09,27.1,25.0,31.0,0.0,,74.0,20.3,,1013.0,
2023-03-10,26.5,24.0,29.1,0.0,,74.0,19.5,,1013.8,
2023-03-11,26.8,24.0,29.7,0.0,,86.0,20.4,,1013.4,
2023-03-12,26.4,25.0,29.0,1.9,,87.0,20.5,,1013.9,
2023-03-13,27.1,25.8,29.0,0.0,,94.0,28.1,,1014.0,
2023-03-14,27.2,25.4,30.0,0.0,,99.0,30.2,,1013.9,
2023-03-15,27.1,25.0,30.9,0.0,,106.0,28.1,,1013.0,
2023-03-16,27.1,25.0,30.0,0.0,,94.0,26.4,,1012.6,
2023-03-17,27.2,25.6,30.1,0.0,,85.0,28.3,,1013.6,
2023-03-18,27.2,25.0,31.0,0.0,,91.0,29.5,,1014.4,
2023-03-19,26.8,25.0,30.2,0.0,,95.0,25.7,,1014.5,
2023-03-20,27.4,25.0,31.0,0.0,,95.0,32.7,,1014.9,
2023-03-21,27.2,25.0,30.0,0.0,,92.0,32.8,,1015.0,
2023-03-22,26.9,23.7,30.0,0.8,,82.0,28.7,,1014.5,
2023-03-23,26.9,25.0,30.0,0.3,,79.0,28.6,,1014.2,
2023-03-24,27.0,24.1,30.0,0.9,,84.0,24.0,,1013.5,
2023-03-25,26.7,24.0,29.6,1.0,,84.0,27.6,,1014.0,
2023-03-26,27.5,25.7,31.0,0.0,,96.0,35.1,,1013.7,
2023-03-27,27.5,25.7,30.0,0.0,,92.0,34.6,,1014.2,
2023-03-28,27.1,25.0,30.3,0.0,,90.0,33.7,,1013.5,
2023-03-29,27.3,25.0,30.6,0.2,,91.0,34.0,,1012.9,
2023-03-30,27.1,25.0,30.0,0.2,,90.0,33.8,,1013.5,
2023-03-31,27.4,25.7,31.4,0.0,,92.0,36.6,,1014.6,
2023-04-01,27.0,25.9,30.0,0.7,,93.0,34.1,,1014.4,
2023-04-02,27.1,25.0,30.0,0.3,,88.0,31.4,,1013.3,
2023-04-03,27.6,25.8,30.2,0.1,,90.0,34.6,,1011.7,
2023-04-04,27.4,25.9,30.0,0.0,,93.0,35.6,,1011.3,
2023-04-05,27.4,25.7,31.6,0.0,,88.0,32.1,,1011.5,
2023-04-06,27.5,25.8,30.6,0.2,,85.0,28.2,,1011.3,
2023-04-07,26.9,25.7,30.0,0.0,,92.0,26.5,,1011.4,
2023-04-08,27.0,26.0,29.0,0.0,,92.0,28.5,,1012.4,
2023-04-09,27.6,25.7,30.6,0.0,,100.0,30.3,,1012.1,
2023-04-10,27.7,26.0,31.0,0.0,,92.0,33.8,,1011.5,
2023-04-11,27.8,26.0,30.1,0.0,,96.0,32.0,,1011.1,
2023-04-12,27.4,25.9,30.8,0.0,,96.0,30.6,,1011.0,
2023-04-13,27.3,25.0,30.0,0.0,,92.0,31.7,,1010.8,
2023-04-14,27.3,25.7,30.0,0.0,,92.0,31.4,,1011.3,
2023-04-15,27.6,25.9,31.0,0.0,,92.0,33.5,,1012.5,
2023-04-16,27.4,25.8,30.5,0.0,,91.0,29.3,,1012.7,
2023-04-17,27.5,25.7,31.0,0.0,,87.0,25.5,,1011.6,
2023-04-18,27.4,25.0,31.0,0.0,,92.0,25.6,,1011.5,
2023-04-19,27.4,25.0,31.0,0.0,,91.0,30.5,,1012.0,
2023-04-20,27.8,25.9,31.0,0.0,,90.0,32.5,,1012.2,
2023-04-21,27.6,26.0,30.0,0.0,,90.0,26.5,,1010.5,
2023-04-22,27.4,25.8,30.8,0.0,,72.0,13.0,,1009.5,
2023-04-23,27.4,25.0,30.2,0.1,,45.0,8.9,,1010.4,
2023-04-24,27.1,24.0,30.0,0.0,,49.0,9.3,,1011.2,
2023-04-25,27.6,25.0,31.1,0.0,,97.0,16.5,,1011.9,
2023-04-26,28.2,26.0,32.1,0.0,,89.0,23.3,,1011.7,
2023-04-27,28.2,26.0,32.0,0.0,,84.0,24.0,,1011.5,
2023-04-28,28.5,26.0,32.0,0.0,,90.0,24.6,,1011.4,
2023-04-29,28.7,26.9,32.0,0.0,,94.0,28.6,,1011.9,
2023-04-30,28.5,26.8,32.0,0.0,,93.0,32.6,,1011.9,
2023-05-01,28.6,26.8,32.0,0.0,,99.0,31.6,,1011.4,
2023-05-02,28.2,26.6,31.6,0.0,,103.0,31.0,,1011.2,
2023-05-03,28.5,26.0,32.0,0.0,,96.0,34.4,,1010.0,
2023-05-04,28.6,26.7,32.1,0.0,,98.0,35.1,,1011.0,
2023-05-05,28.3,26.8,31.4,0.0,,94.0,34.2,,1011.5,
2023-05-06,28.3,26.8,32.0,0.0,,101.0,33.8,,1012.2,
2023-05-07,28.5,26.9,31.0,0.0,,97.0,35.5,,1011.3,
2023-05-08,28.7,27.0,32.0,0.0,,98.0,36.5,,1011.0,
2023-05-09,28.7,27.0,32.0,0.1,,98.0,37.1,,1011.8,
2023-05-10,28.3,26.9,32.0,0.0,,102.0,36.7,,1012.1,
2023-05-11,28.1,26.0,31.2,0.0,,90.0,31.5,,1012.2,
2023-05-12,28.2,26.0,31.1,0.1,,93.0,32.5,,1011.6,
2023-05-13,28.6,27.0,31.0,0.0,,97.0,38.7,,1010.8,
2023-05-14,27.8,27.0,29.2,0.0,,95.0,33.0,,1011.9,
2023-05-15,28.2,27.0,31.0,0.0,,96.0,36.0,,1012.9,
2023-05-16,28.4,26.9,32.1,0.0,,99.0,26.0,,1012.5,
2023-05-17,28.4,26.8,32.0,0.0,,93.0,24.7,,1012.0,
2023-05-18,28.7,26.7,32.0,0.0,,96.0,33.1,,1011.0,
2023-05-19,28.7,27.0,31.1,0.0,,92.0,37.1,,1010.9,
