time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,25.6,22.5,30.0,19.7,,81.0,4.4,,1011.1,
2023-01-02,24.8,22.8,27.0,7.3,,27.0,3.9,,1010.6,
2023-01-03,25.3,22.7,30.0,5.1,,14.0,5.1,,1009.7,
2023-01-04,26.1,23.0,32.0,5.0,,20.0,3.7,,1009.3,
2023-01-05,26.1,23.0,31.0,21.9,,44.0,5.9,,1010.4,
2023-01-06,24.5,23.0,27.0,14.9,,13.0,4.3,,1012.1,
2023-01-07,25.7,23.4,31.0,1.2,,261.0,6.0,,1012.2,
2023-01-08,24.1,23.0,26.2,4.3,,13.0,4.7,,1012.6,
2023-01-09,24.6,22.0,30.2,10.4,,353.0,3.9,,1011.7,
2023-01-10,26.2,22.7,32.6,12.0,,20.0,3.8,,1010.6,
2023-01-11,25.3,22.7,29.0,14.6,,353.0,3.6,,1011.0,
2023-01-12,24.1,22.0,25.0,17.0,,333.0,5.0,,1011.8,
2023-01-13,24.2,21.7,29.0,6.8,,353.0,3.2,,1010.5,
2023-01-14,26.3,22.6,32.0,11.5,,20.0,6.0,,1009.4,
2023-01-15,24.3,22.6,25.5,12.6,,23.0,4.1,,1011.7,
2023-01-16,24.9,23.0,29.0,14.5,,4.0,3.1,,1010.7,
2023-01-17,25.5,22.8,29.4,16.4,,47.0,4.7,,1010.0,
2023-01-18,25.8,21.0,31.0,10.7,,15.0,4.9,,1010.0,
2023-01-19,24.1,22.6,26.0,19.5,,55.0,2.5,,1012.0,
2023-01-20,24.4,22.4,27.0,18.2,,336.0,2.3,,1012.4,
2023-01-21,25.2,22.0,30.0,0.8,,350.0,3.6,,1010.5,
2023-01-22,24.7,22.0,28.6,10.7,,25.0,5.5,,1010.1,
2023-01-23,24.2,22.0,29.0,15.3,,335.0,3.6,,1011.7,
2023-01-24,25.4,22.0,31.0,11.5,,330.0,3.5,,1011.2,
2023-01-25,25.7,22.6,29.3,14.7,,356.0,3.3,,1009.4,
2023-01-26,25.8,23.0,30.0,9.3,,6.0,5.1,,1008.8,
2023-01-27,26.6,22.6,32.0,7.5,,8.0,5.0,,1008.3,
2023-01-28,26.1,23.5,32.0,2.7,,41.0,4.2,,1008.9,
2023-01-29,25.8,23.7,30.0,27.7,,330.0,4.7,,1009.3,
2023-01-30,24.8,22.0,29.0,19.5,,8.0,2.9,,1009.7,
2023-01-31,25.2,22.7,29.1,11.3,,24.0,3.5,,1009.0,
2023-02-01,25.4,22.8,31.0,9.6,,41.0,4.4,,1009.5,
2023-02-02,24.3,21.7,26.0,19.1,,27.0,3.6,,1011.4,
2023-02-03,24.8,22.0,30.5,2.6,,44.0,3.2,,1011.6,
2023-02-04,25.4,22.7,31.0,30.2,,291.0,7.6,,1012.3,
2023-02-05,24.2,22.4,28.0,24.8,,347.0,3.0,,1012.5,
2023-02-06,24.2,22.0,28.0,20.5,,9.0,3.0,,1011.1,
2023-02-07,25.9,22.7,31.0,9.5,,337.0,3.6,,1010.4,
2023-02-08,24.4,21.9,27.0,17.9,,12.0,3.0,,1010.2,
2023-02-09,24.9,22.7,29.0,1.1,,1.0,1.7,,1009.8,
2023-02-10,26.4,23.0,32.1,24.3,,356.0,3.4,,1009.3,
2023-02-11,25.8,23.0,31.0,25.5,,14.0,3.5,,1009.2,
2023-02-12,24.9,22.4,29.7,20.4,,25.0,3.6,,1008.9,
2023-02-13,25.2,22.8,31.0,6.8,,6.0,3.9,,1009.1,
2023-02-14,26.4,22.6,32.0,20.2,,356.0,2.5,,1009.2,
2023-02-15,25.5,23.8,32.4,27.3,,345.0,3.4,,1009.5,
2023-02-16,23.9,22.6,25.0,8.0,,321.0,2.7,,1009.3,
2023-02-17,24.8,21.8,31.0,6.7,,1.0,3.0,,1007.7,
2023-02-18,26.8,21.8,33.0,13.8,,23.0,4.5,,1008.4,
2023-02-19,24.3,22.0,27.2,15.9,,66.0,4.1,,1010.4,
2023-02-20,24.7,22.0,29.0,1.6,,184.0,5.6,,1010.3,
2023-02-21,25.5,22.9,30.1,3.8,,357.0,4.3,,1010.3,
2023-02-22,25.3,23.6,31.4,15.0,,12.0,3.6,,1011.5,
2023-02-23,24.5,23.0,28.3,9.1,,355.0,2.6,,1013.0,
2023-02-24,26.0,22.8,32.0,9.3,,347.0,3.8,,1011.7,
2023-02-25,26.0,23.0,31.0,0.4,,36.0,5.0,,1010.3,
