time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,26.9,21.7,30.2,0.8,,191.0,10.4,,1012.7,
2023-01-02,28.0,22.0,31.0,3.8,,179.0,5.9,,1012.4,
2023-01-03,27.3,22.6,31.0,1.3,,336.0,5.1,,1012.6,
2023-01-04,26.9,21.8,31.0,0.0,,354.0,9.1,,1011.3,
2023-01-05,28.3,22.2,31.0,3.8,,0.0,14.0,,1011.4,
2023-01-06,27.6,22.1,31.0,4.1,,29.0,8.5,,1012.0,
2023-01-07,27.7,23.9,31.0,7.7,,53.0,7.7,,1012.1,
2023-01-08,27.6,21.9,30.2,14.3,,314.0,7.2,,1012.3,
2023-01-09,26.1,22.0,30.0,4.9,,148.0,4.9,,1012.6,
2023-01-10,24.6,22.5,27.0,16.2,,177.0,4.2,,1012.9,
2023-01-11,27.1,23.2,31.0,16.0,,126.0,8.7,,1012.4,
2023-01-12,26.3,23.6,30.0,7.4,,203.0,6.6,,1012.0,
2023-01-13,26.3,23.4,29.0,6.8,,3.0,6.5,,1011.1,
2023-01-14,25.4,23.6,27.5,11.3,,23.0,8.3,,1011.7,
2023-01-15,27.7,22.7,30.2,3.2,,1.0,18.1,,1011.9,
2023-01-16,28.3,24.8,30.0,5.3,,356.0,15.5,,1011.2,
2023-01-17,28.1,24.0,30.2,3.7,,1.0,15.5,,1009.9,
2023-01-18,26.1,24.0,29.9,4.4,,120.0,6.8,,1010.9,
2023-01-19,27.1,22.8,31.0,2.3,,359.0,10.1,,1011.4,
2023-01-20,28.1,23.0,31.0,2.8,,345.0,15.0,,1011.5,
2023-01-21,28.3,23.0,31.0,15.8,,17.0,17.1,,1009.6,
2023-01-22,26.6,22.8,29.8,3.5,,169.0,6.8,,1009.4,
2023-01-23,27.6,21.9,31.0,3.6,,349.0,12.7,,1009.7,
2023-01-24,28.8,24.0,31.0,6.8,,8.0,15.9,,1009.0,
2023-01-25,29.2,25.4,32.0,3.5,,346.0,12.3,,1008.5,
2023-01-26,28.6,25.0,31.0,2.2,,352.0,16.4,,1008.7,
2023-01-27,28.6,23.3,32.0,1.7,,5.0,18.0,,1009.1,
2023-01-28,28.7,24.2,31.6,0.0,,1.0,19.5,,1008.7,
2023-01-29,28.8,23.3,32.0,0.0,,6.0,17.8,,1008.6,
2023-01-30,28.8,23.2,32.0,0.0,,7.0,17.9,,1009.8,
2023-01-31,27.9,23.5,31.0,0.3,,6.0,18.5,,1010.3,
2023-02-01,28.4,23.4,32.0,0.0,,4.0,19.5,,1010.1,
2023-02-02,28.4,23.0,32.0,50.0,,358.0,18.8,,1009.7,
2023-02-03,27.8,23.5,30.5,0.0,,5.0,15.6,,1010.8,
2023-02-04,27.9,23.8,31.0,3.3,,10.0,19.5,,1011.7,
2023-02-05,28.2,24.8,30.6,52.1,,3.0,19.9,,1010.5,
2023-02-06,28.3,24.3,31.0,0.0,,2.0,18.0,,1009.5,
2023-02-07,28.8,24.7,32.0,6.0,,358.0,17.4,,1008.6,
2023-02-08,28.9,24.7,32.0,1.0,,6.0,16.0,,1008.6,
2023-02-09,28.8,25.1,32.0,1.2,,5.0,18.7,,1008.9,
2023-02-10,29.0,24.0,32.0,2.3,,0.0,18.2,,1008.2,
2023-02-11,28.6,24.1,31.5,1.5,,5.0,19.2,,1007.8,
2023-02-12,28.8,24.4,31.0,0.9,,5.0,21.3,,1007.5,
2023-02-13,28.3,25.2,30.5,2.0,,359.0,20.9,,1008.3,
2023-02-14,28.2,24.8,30.1,4.1,,359.0,19.0,,1009.0,
2023-02-15,27.6,25.3,30.9,10.4,,8.0,15.2,,1009.7,
2023-02-16,28.2,25.5,31.0,11.7,,13.0,11.3,,1009.3,
2023-02-17,28.4,24.7,31.0,7.3,,12.0,14.1,,1008.6,
2023-02-18,28.6,23.2,31.0,3.0,,1.0,20.5,,1009.4,
