time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,15.1,11.0,21.5,0.0,,65.0,6.9,,1026.0,
2023-01-02,16.0,11.6,23.0,0.0,,47.0,9.0,,1025.1,
2023-01-03,14.5,13.0,22.0,0.0,,33.0,6.2,,1025.9,
2023-01-04,15.0,11.2,21.4,8.9,,52.0,7.5,,1025.2,
2023-01-05,16.0,12.6,21.4,0.3,,91.0,6.9,,1025.5,
2023-01-06,15.8,13.4,21.0,17.0,,55.0,6.5,,1025.4,
2023-01-07,15.4,12.6,21.2,5.1,,79.0,6.6,,1025.9,
2023-01-08,14.7,11.8,20.6,11.9,,21.0,4.7,,1026.6,
2023-01-09,14.5,11.7,19.0,0.3,,332.0,7.6,,1025.1,
2023-01-10,14.9,12.7,19.7,17.0,,42.0,6.3,,1026.0,
2023-01-11,16.4,13.4,22.0,0.8,,56.0,6.9,,1025.8,
2023-01-12,16.3,13.0,21.6,3.0,,346.0,4.9,,1024.9,
2023-01-13,16.7,12.5,22.1,9.9,,87.0,8.4,,1024.9,
2023-01-14,16.5,13.6,22.3,1.0,,45.0,8.7,,1024.6,
2023-01-15,16.9,13.3,22.6,0.0,,63.0,9.2,,1025.7,
2023-01-16,16.2,12.3,21.6,0.0,,71.0,7.9,,1024.9,
2023-01-17,16.2,13.0,22.0,0.5,,148.0,8.3,,1023.4,
2023-01-18,15.1,12.7,22.0,6.1,,288.0,5.0,,1024.8,
2023-01-19,16.2,11.3,22.0,4.1,,29.0,7.9,,1025.2,
2023-01-20,15.5,11.0,22.4,0.0,,29.0,8.2,,1022.9,
2023-01-21,15.4,10.8,22.0,0.0,,116.0,8.3,,1023.8,
2023-01-22,15.3,12.7,22.2,0.0,,20.0,7.5,,1023.3,
2023-01-23,16.1,11.6,23.5,2.0,,81.0,8.7,,1024.3,
2023-01-24,16.4,11.6,22.2,0.3,,49.0,8.8,,1024.3,
2023-01-25,16.3,11.4,23.2,0.0,,30.0,9.4,,1023.5,
2023-01-26,17.1,11.6,23.2,0.5,,57.0,10.3,,1023.2,
2023-01-27,16.4,12.0,24.0,0.0,,35.0,9.0,,1023.8,
2023-01-28,16.3,11.4,24.0,0.0,,41.0,10.4,,1023.5,
2023-01-29,16.6,11.0,24.0,0.0,,41.0,9.9,,1023.2,
2023-01-30,16.5,11.6,23.8,0.0,,46.0,8.5,,1023.6,
2023-01-31,15.7,10.4,23.0,0.0,,41.0,8.8,,1024.4,
2023-02-01,15.4,10.0,23.0,0.0,,5.0,9.8,,1024.4,
2023-02-02,15.6,10.8,23.2,0.0,,84.0,8.2,,1024.3,
2023-02-03,16.6,12.4,23.0,0.0,,342.0,8.0,,1016.6,
2023-02-04,15.2,11.6,24.0,0.0,,67.0,8.5,,1026.0,
2023-02-05,16.9,13.0,23.0,0.0,,46.0,11.3,,1023.7,
2023-02-06,16.8,12.8,23.7,0.0,,64.0,9.6,,1024.3,
2023-02-07,16.3,9.0,23.2,0.3,,84.0,10.7,,1024.1,
2023-02-08,17.7,11.5,24.0,0.0,,73.0,10.3,,1022.6,
2023-02-09,15.9,10.4,24.4,0.0,,44.0,6.6,,1023.6,
2023-02-10,16.9,11.0,23.0,0.0,,62.0,8.1,,1022.8,
2023-02-11,16.9,13.9,22.9,0.8,,55.0,7.2,,1022.9,
2023-02-12,16.0,14.6,21.8,1.0,,2.0,6.7,,1022.1,
2023-02-13,16.6,13.6,21.0,7.1,,63.0,8.3,,1022.4,
2023-02-14,17.2,13.6,23.0,0.0,,37.0,7.9,,1023.6,
2023-02-15,17.2,14.0,22.9,2.0,,50.0,8.5,,1024.1,
2023-02-16,16.8,13.6,22.6,0.0,,41.0,4.2,,1023.8,
2023-02-17,16.6,12.7,22.0,7.9,,5.0,8.1,,1023.0,
2023-02-18,16.3,11.0,23.0,0.3,,50.0,8.8,,1023.8,
2023-02-19,16.3,12.0,23.0,0.0,,38.0,7.9,,1023.6,
2023-02-20,16.4,13.3,22.7,0.0,,50.0,8.1,,1023.7,
2023-02-21,15.9,12.6,21.8,0.3,,23.0,6.8,,1024.5,
2023-02-22,15.3,12.4,19.0,1.0,,72.0,6.2,,1026.6,
2023-02-23,15.9,10.6,24.0,0.5,,53.0,7.8,,1026.4,
2023-02-24,16.9,13.0,24.3,0.0,,53.0,9.2,,1024.9,
2023-02-25,16.3,11.0,23.3,0.0,,67.0,9.7,,1024.2,
2023-02-26,17.3,12.6,23.6,0.8,,43.0,11.7,,1024.6,
2023-02-27,17.5,14.6,24.0,0.0,,51.0,7.9,,1025.0,
2023-02-28,18.2,13.0,24.3,1.0,,52.0,10.3,,1025.3,
2023-03-01,17.8,14.0,22.0,0.0,,72.0,9.6,,1025.2,
2023-03-02,17.4,13.8,23.6,0.3,,59.0,8.4,,1022.9,
2023-03-03,18.5,13.6,24.0,0.0,,61.0,9.1,,1022.1,
2023-03-04,17.9,14.0,24.3,7.9,,56.0,10.9,,1023.4,
2023-03-05,16.8,14.4,23.6,11.9,,70.0,6.9,,1024.1,
2023-03-06,16.7,12.7,21.5,42.9,,35.0,7.6,,1024.6,
2023-03-07,15.9,13.9,22.0,0.3,,36.0,7.9,,1023.7,
2023-03-08,15.1,13.0,22.5,32.0,,275.0,6.4,,1024.3,
2023-03-09,14.2,12.0,21.0,40.9,,38.0,4.5,,1026.1,
2023-03-10,15.8,12.7,20.0,7.1,,22.0,6.0,,1025.4,
2023-03-11,15.2,11.8,20.4,5.1,,233.0,9.6,,1025.9,
2023-03-12,15.3,12.3,20.6,9.9,,40.0,6.9,,1026.6,
2023-03-13,15.3,12.9,20.1,58.9,,22.0,5.5,,1027.2,
2023-03-14,15.7,13.4,21.0,11.9,,29.0,6.6,,1026.5,
2023-03-15,15.3,13.9,21.6,0.0,,249.0,7.4,,1022.1,
2023-03-16,15.4,9.8,21.0,13.0,,43.0,8.5,,1020.8,
2023-03-17,15.6,13.0,21.6,13.0,,112.0,8.0,,1024.7,
2023-03-18,15.7,13.7,22.0,41.9,,52.0,6.8,,1026.0,
2023-03-19,15.6,10.8,22.0,7.9,,45.0,9.7,,1025.8,
2023-03-20,16.3,11.8,22.3,0.0,,24.0,8.7,,1025.2,
2023-03-21,16.1,11.0,22.5,0.0,,37.0,9.8,,1025.3,
2023-03-22,15.8,11.3,22.6,0.0,,41.0,7.7,,1024.2,
2023-03-23,16.4,13.6,22.1,4.1,,41.0,8.1,,1023.5,
2023-03-24,16.6,13.6,21.0,0.0,,14.0,8.3,,1024.4,
2023-03-25,15.9,12.4,21.8,9.9,,35.0,7.5,,1024.5,
2023-03-26,16.7,12.7,22.0,1.0,,44.0,7.7,,1024.6,
2023-03-27,17.1,12.6,23.0,0.5,,61.0,9.1,,1024.5,
2023-03-28,16.4,12.0,23.0,13.0,,33.0,8.0,,1024.7,
2023-03-29,16.4,13.4,23.4,0.0,,59.0,7.8,,1023.8,
2023-03-30,16.6,13.7,22.0,2.0,,61.0,8.4,,1024.3,
2023-03-31,17.0,14.2,22.8,0.3,,58.0,8.0,,1024.9,
2023-04-01,17.6,14.0,23.0,4.1,,59.0,9.6,,1024.8,
2023-04-02,16.9,13.8,23.0,0.3,,45.0,6.5,,1024.2,
2023-04-03,18.1,13.4,24.0,3.0,,49.0,9.8,,1023.3,
2023-04-04,17.7,14.0,23.9,0.0,,58.0,7.9,,1022.8,
2023-04-05,17.7,13.4,23.0,1.0,,52.0,9.2,,1022.5,
2023-04-06,16.9,14.0,23.2,0.0,,313.0,9.0,,1023.0,
2023-04-07,16.3,13.8,22.0,0.0,,224.0,8.3,,1023.8,
2023-04-08,16.0,12.8,21.6,38.1,,47.0,6.0,,1025.1,
2023-04-09,17.2,13.4,22.0,0.0,,50.0,9.1,,1025.0,
2023-04-10,17.0,13.9,22.6,0.0,,33.0,9.1,,1024.7,
2023-04-11,17.4,14.0,22.0,0.3,,48.0,9.5,,1024.4,
2023-04-12,17.7,14.4,23.0,2.0,,44.0,9.0,,1023.4,
2023-04-13,17.4,13.0,23.4,0.0,,61.0,7.8,,1022.9,
2023-04-14,17.4,14.6,23.6,0.0,,35.0,6.9,,1022.6,
2023-04-15,17.3,13.6,23.4,0.0,,68.0,7.4,,1024.5,
2023-04-16,16.1,13.0,23.7,11.9,,220.0,7.9,,1022.5,
2023-04-17,16.1,12.6,21.5,3.0,,192.0,8.8,,1025.0,
2023-04-18,15.3,12.7,22.8,37.1,,26.0,7.0,,1024.4,
2023-04-19,16.8,11.5,23.0,23.1,,29.0,8.1,,1023.6,
2023-04-20,17.2,14.8,28.0,8.9,,355.0,6.2,,1025.0,
2023-04-21,16.2,13.0,21.6,7.9,,210.0,8.3,,1024.9,
2023-04-22,16.2,13.4,21.8,15.0,,242.0,7.7,,1022.8,
2023-04-23,15.6,8.3,23.0,7.9,,198.0,8.3,,1023.9,
2023-04-24,16.4,9.9,23.4,8.9,,60.0,7.9,,1025.2,
2023-04-25,16.3,13.7,22.4,2.0,,9.0,6.2,,1025.3,
2023-04-26,16.4,12.4,22.2,3.0,,30.0,9.3,,1025.6,
2023-04-27,16.9,13.0,23.3,1.0,,67.0,9.4,,1025.2,
2023-04-28,17.5,12.0,23.7,23.9,,81.0,10.6,,1025.5,
2023-04-29,18.1,14.0,24.0,2.0,,36.0,10.0,,1025.9,
2023-04-30,17.8,14.6,24.2,8.9,,43.0,8.8,,1026.3,
2023-05-01,18.1,12.0,24.2,0.3,,72.0,10.0,,1025.3,
2023-05-02,18.4,12.0,24.8,0.0,,50.0,9.4,,1023.3,
2023-05-03,17.5,10.0,25.0,0.0,,103.0,10.2,,1023.0,
2023-05-04,18.2,12.0,25.7,1.1,,64.0,11.7,,1024.0,
2023-05-05,18.5,12.0,25.0,0.0,,56.0,11.3,,1024.0,
2023-05-06,18.6,13.7,25.0,0.0,,54.0,8.7,,1024.4,
2023-05-07,18.7,14.0,25.3,0.0,,40.0,10.3,,1024.8,
2023-05-08,18.2,12.0,26.0,0.1,,72.0,10.1,,1024.0,
2023-05-09,18.6,12.6,26.4,0.0,,60.0,10.5,,1025.0,
2023-05-10,18.0,15.7,26.0,0.5,,30.0,5.8,,1026.0,
2023-05-11,17.9,14.0,24.0,4.1,,57.0,10.6,,1025.5,
2023-05-12,17.5,14.0,24.8,0.5,,30.0,9.0,,1024.8,
2023-05-13,18.1,15.0,23.6,3.0,,54.0,8.5,,1024.5,
2023-05-14,18.6,14.8,24.4,0.3,,31.0,9.7,,1025.6,
2023-05-15,17.9,15.0,21.0,0.8,,34.0,5.5,,1028.0,
2023-05-16,17.2,12.8,24.0,0.5,,42.0,9.9,,1026.8,
2023-05-17,17.4,13.0,24.4,54.1,,114.0,8.4,,1026.5,
2023-05-18,17.9,11.7,26.0,0.0,,40.0,9.5,,1025.1,
2023-05-19,19.2,14.3,26.1,0.0,,51.0,9.2,,1024.8,
2023-05-20,17.3,13.8,25.0,16.0,,358.0,10.1,,1023.6,
2023-05-21,16.6,14.6,22.4,7.9,,225.0,6.8,,1024.5,
2023-05-22,16.9,13.8,22.0,23.9,,164.0,7.0,,1024.7,
2023-05-23,16.7,13.6,23.4,0.0,,19.0,6.7,,1025.8,
2023-05-24,16.2,12.0,21.0,8.0,,78.0,6.4,,1023.9,
2023-05-25,16.9,14.0,22.1,5.1,,215.0,8.3,,1023.9,
2023-05-26,16.3,13.0,23.2,23.1,,26.0,8.1,,1025.6,
2023-05-27,17.6,14.0,24.0,3.0,,91.0,8.9,,1026.5,
2023-05-28,17.1,13.9,24.8,32.0,,62.0,8.0,,1026.5,
2023-05-29,17.4,12.8,24.4,10.9,,99.0,8.6,,1025.4,
2023-05-30,16.7,14.0,24.4,15.0,,130.0,7.8,,1025.8,
2023-05-31,16.9,12.3,24.3,2.0,,26.0,6.6,,1025.8,
2023-06-01,17.6,14.0,24.7,0.0,,48.0,7.6,,1026.4,
2023-06-02,18.2,13.8,23.3,2.0,,169.0,6.7,,1025.5,
2023-06-03,17.7,12.8,24.6,0.0,,73.0,7.4,,1023.9,
2023-06-04,18.3,14.1,25.4,0.0,,40.0,7.9,,1025.4,
2023-06-05,17.3,13.5,24.0,0.3,,50.0,10.6,,1026.3,
2023-06-06,17.8,13.7,23.6,15.0,,60.0,7.5,,1026.3,
2023-06-07,18.1,13.1,25.0,0.5,,49.0,10.2,,1024.9,
