time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,21.9,16.6,27.0,0.5,,203.0,6.8,,1018.9,
2023-01-02,22.7,17.0,28.0,5.1,,265.0,6.8,,1018.9,
2023-01-03,18.8,13.8,23.0,0.0,20.0,24.0,4.9,,1019.1,
2023-01-04,22.9,16.3,28.0,0.5,10.0,11.0,8.3,,1018.7,
2023-01-05,22.1,16.2,26.0,11.5,,337.0,10.7,,1018.6,
2023-01-06,22.3,18.0,26.0,13.1,10.0,312.0,6.7,,1018.8,
2023-01-07,22.1,14.1,25.0,0.0,,23.0,5.8,,1019.3,
2023-01-08,20.8,15.4,25.0,12.3,41.0,22.0,11.8,,1019.3,
2023-01-09,21.1,16.1,24.0,16.2,,271.0,5.5,,1019.4,
2023-01-10,20.1,14.8,24.0,32.0,,102.0,5.4,,1019.0,
2023-01-11,20.9,17.0,26.0,0.5,,70.0,6.3,,1018.9,
2023-01-12,22.3,17.6,26.0,0.0,10.0,12.0,5.0,,1018.3,
2023-01-13,22.5,17.3,27.0,5.3,,99.0,7.9,,1018.2,
2023-01-14,22.3,17.2,27.8,9.2,,44.0,7.3,,1018.2,
2023-01-15,22.8,15.1,28.0,38.1,,23.0,8.1,,1018.4,
2023-01-16,22.9,16.4,28.0,0.0,,22.0,5.4,,1017.3,
2023-01-17,22.2,17.0,27.0,5.1,,14.0,7.2,,1016.7,
2023-01-18,21.3,15.6,26.0,0.0,41.0,32.0,6.7,,1017.7,
2023-01-19,23.1,16.3,27.0,0.5,,9.0,9.0,,1018.3,
2023-01-20,23.0,15.5,28.0,0.0,,34.0,6.8,,1017.9,
2023-01-21,22.7,13.4,28.0,2.4,,19.0,7.2,,1016.6,
2023-01-22,21.7,17.4,25.0,8.0,,13.0,7.1,,1016.0,
2023-01-23,23.4,16.4,28.0,2.3,,29.0,12.8,,1017.1,
2023-01-24,22.9,12.0,28.0,0.1,,25.0,7.5,,1017.2,
2023-01-25,24.6,16.8,28.0,0.2,,16.0,8.7,,1015.9,
2023-01-26,24.9,17.2,28.9,0.7,,19.0,11.1,,1015.9,
2023-01-27,24.3,15.5,30.0,0.0,,33.0,9.6,,1016.3,
2023-01-28,24.2,14.5,30.0,0.0,,32.0,11.4,,1016.0,
2023-01-29,24.1,12.3,29.0,1.5,,43.0,8.5,,1015.8,
2023-01-30,24.1,16.0,29.0,1.4,,31.0,10.0,,1017.1,
2023-01-31,23.5,14.7,29.0,0.0,,12.0,10.6,,1017.0,
2023-02-01,23.2,14.6,28.2,0.0,,23.0,9.2,,1017.1,
2023-02-02,23.6,14.7,28.0,0.0,,15.0,6.9,,1016.6,
2023-02-03,23.1,16.8,28.0,8.9,,28.0,7.7,,1015.3,
2023-02-04,22.1,13.4,27.0,1.7,,10.0,9.2,,,
2023-02-05,25.3,17.5,30.0,0.0,,12.0,16.7,,1017.5,
2023-02-06,24.1,18.6,28.0,0.2,,15.0,12.3,,1016.5,
