time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,27.9,21.9,33.8,0.0,,30.0,5.4,,1011.8,
2023-01-02,27.9,22.9,32.0,0.0,,3.0,5.1,,1012.1,
2023-01-03,28.0,21.8,33.0,0.0,,19.0,6.8,,1012.2,
2023-01-04,26.4,22.5,33.0,0.0,,10.0,6.2,,1012.6,
2023-01-05,27.6,21.0,31.6,0.6,,18.0,5.8,,1013.0,
2023-01-06,28.7,22.5,33.0,0.0,,14.0,5.9,,1012.3,
2023-01-07,27.9,22.6,33.4,0.0,,44.0,7.3,,1013.0,
2023-01-08,22.7,21.0,32.5,21.5,,340.0,4.8,,1014.5,
2023-01-09,25.8,21.2,29.2,0.6,,7.0,4.7,,1013.0,
2023-01-10,26.8,22.1,30.7,2.0,,354.0,4.6,,1012.1,
2023-01-11,27.6,22.0,32.0,0.0,,12.0,4.7,,1012.3,
2023-01-12,27.8,22.9,32.2,1.5,,359.0,6.3,,1012.5,
2023-01-13,28.1,22.7,32.3,0.3,,14.0,5.0,,1011.7,
2023-01-14,27.7,21.7,32.1,0.8,,10.0,5.6,,1011.7,
2023-01-15,28.3,21.8,33.0,0.0,,10.0,4.9,,1011.8,
2023-01-16,27.6,22.0,33.0,0.3,,34.0,6.5,,1011.2,
2023-01-17,27.8,22.0,31.0,0.0,,39.0,6.7,,1011.2,
2023-01-18,27.4,21.6,32.0,0.0,,9.0,4.9,,1011.7,
2023-01-19,27.9,21.1,32.5,0.0,,17.0,7.0,,1012.6,
2023-01-20,28.3,21.0,32.4,0.0,,23.0,6.1,,1013.1,
2023-01-21,27.6,21.0,32.6,0.0,,11.0,6.5,,1012.3,
2023-01-22,27.1,21.5,32.4,0.2,,20.0,5.7,,1012.2,
2023-01-23,27.6,22.9,32.0,0.0,,36.0,6.6,,1013.2,
2023-01-24,27.8,22.8,33.1,0.0,,10.0,5.0,,1012.7,
2023-01-25,27.8,21.5,33.0,0.0,,10.0,6.2,,1012.0,
2023-01-26,27.7,20.6,32.5,0.0,,16.0,4.8,,1011.3,
2023-01-27,27.3,20.3,33.1,0.0,,24.0,6.8,,1011.2,
2023-01-28,26.7,20.3,33.6,0.0,,36.0,8.6,,1011.6,
2023-01-29,27.6,18.6,32.8,0.0,,16.0,5.9,,1011.4,
2023-01-30,27.2,18.5,33.3,0.0,,16.0,6.1,,1011.2,
2023-01-31,27.1,21.0,32.7,0.0,,25.0,6.4,,1011.5,
2023-02-01,28.0,19.6,33.2,0.0,,38.0,7.9,,1012.0,
2023-02-02,27.3,20.0,33.4,0.0,,16.0,6.6,,1012.9,
2023-02-03,27.4,18.9,33.4,0.0,,22.0,7.1,,1012.4,
2023-02-04,27.8,20.1,33.3,0.0,,30.0,7.4,,1013.6,
2023-02-05,28.4,22.4,33.7,1.1,,24.0,8.6,,1014.0,
2023-02-06,29.2,21.8,34.0,0.0,,18.0,6.9,,1012.8,
2023-02-07,28.1,21.3,34.0,0.0,,18.0,5.2,,1011.9,
2023-02-08,28.4,21.0,35.0,0.0,,24.0,6.7,,1010.9,
2023-02-09,29.4,22.8,35.5,3.7,,20.0,7.6,,1011.5,
