time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,24.6,18.8,31.3,0.4,,321.0,5.5,,1011.8,
2023-01-02,23.6,20.7,29.3,6.2,,305.0,6.4,,1012.8,
2023-01-03,24.5,20.6,30.0,0.0,,325.0,5.4,,1012.0,
2023-01-04,23.2,19.4,28.4,0.2,,273.0,5.1,,1012.7,
2023-01-05,24.4,20.9,30.0,1.0,,282.0,9.6,,1013.0,
2023-01-06,24.8,21.0,29.8,0.8,,279.0,7.0,,1012.5,
2023-01-07,23.6,20.7,28.1,18.6,,298.0,4.8,,1013.5,
2023-01-08,22.1,20.2,25.0,34.7,,302.0,4.6,,1014.8,
2023-01-09,23.7,20.5,31.0,3.3,,308.0,5.2,,1013.4,
2023-01-10,23.9,20.7,28.8,6.7,,295.0,6.9,,1012.4,
2023-01-11,23.7,20.5,29.4,0.7,,282.0,9.2,,1012.9,
2023-01-12,23.4,19.7,28.0,2.0,,295.0,7.6,,1013.0,
2023-01-13,23.4,19.8,31.0,4.5,,268.0,7.8,,1012.1,
2023-01-14,24.1,19.1,29.6,0.9,,288.0,7.4,,1011.5,
2023-01-15,24.3,20.0,29.4,2.4,,273.0,7.4,,1011.9,
2023-01-16,24.6,19.6,29.8,1.0,,281.0,7.6,,1011.4,
2023-01-17,24.2,21.2,28.1,0.9,,281.0,8.6,,1011.5,
2023-01-18,24.2,19.4,30.0,0.4,,286.0,7.5,,1011.8,
2023-01-19,23.9,19.7,29.6,0.7,,294.0,8.8,,1012.9,
2023-01-20,23.8,19.5,29.6,0.0,,283.0,8.1,,1013.2,
2023-01-21,23.5,18.0,30.0,0.0,,304.0,7.3,,1012.4,
2023-01-22,23.8,19.6,30.0,0.2,,286.0,8.6,,1012.2,
2023-01-23,24.5,20.5,29.3,1.4,,276.0,10.2,,1013.3,
2023-01-24,25.0,20.8,31.0,0.1,,292.0,7.7,,1012.3,
2023-01-25,24.4,20.0,31.0,0.3,,301.0,8.8,,1011.9,
2023-01-26,24.2,17.2,31.9,0.0,,290.0,8.4,,1011.0,
2023-01-27,24.2,17.7,31.9,0.0,,310.0,8.6,,1011.0,
2023-01-28,24.1,17.1,31.0,0.0,,310.0,8.8,,1011.6,
2023-01-29,23.6,17.4,30.9,0.0,,293.0,8.6,,1011.4,
2023-01-30,23.6,16.9,32.0,0.0,,312.0,9.0,,1010.8,
2023-01-31,24.1,18.5,31.2,0.0,,286.0,8.8,,1011.3,
2023-02-01,24.2,18.8,31.1,0.0,,312.0,8.3,,1011.8,
2023-02-02,23.6,17.8,31.0,0.0,,283.0,9.0,,1012.9,
2023-02-03,24.2,18.3,31.6,0.0,,264.0,9.8,,1012.3,
2023-02-04,24.6,18.1,31.3,0.0,,279.0,8.1,,1013.6,
2023-02-05,23.9,20.0,29.0,15.5,,287.0,10.1,,1015.0,
2023-02-06,25.1,20.8,31.0,0.7,,288.0,10.4,,1012.6,
2023-02-07,24.8,20.0,31.0,0.0,,287.0,7.5,,1011.4,
2023-02-08,25.4,18.0,31.5,0.3,,281.0,7.8,,1011.2,
2023-02-09,24.1,20.5,29.2,28.4,,276.0,8.3,,1012.1,
2023-02-10,23.6,20.8,27.2,1.9,,275.0,9.4,,1012.2,
2023-02-11,25.2,22.4,29.9,1.7,,282.0,9.9,,1010.5,
