time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,26.1,23.8,29.2,0.1,,354.0,10.6,,1012.5,
2023-01-02,25.0,23.4,28.7,0.4,,344.0,9.9,,1013.0,
2023-01-03,25.9,23.9,28.6,0.0,,358.0,10.9,,1012.5,
2023-01-04,24.9,22.6,27.4,0.1,,6.0,13.2,,1012.9,
2023-01-05,25.9,24.1,29.1,0.0,,357.0,11.4,,1013.3,
2023-01-06,26.4,24.4,28.8,0.8,,352.0,10.8,,1013.0,
2023-01-07,25.0,22.2,27.7,5.0,,352.0,8.9,,1013.8,
2023-01-08,22.2,20.4,25.0,25.5,,1.0,8.2,,1015.0,
2023-01-09,24.1,21.3,27.6,0.9,,5.0,9.7,,1013.5,
2023-01-10,24.6,21.1,27.9,11.7,,339.0,8.6,,1013.0,
2023-01-11,24.8,20.6,28.2,17.2,,339.0,12.2,,1013.2,
2023-01-12,24.8,22.8,28.1,2.4,,351.0,11.4,,1013.4,
2023-01-13,24.0,20.2,28.1,7.9,,348.0,10.8,,1012.7,
2023-01-14,25.5,23.4,28.7,0.6,,343.0,11.6,,1012.1,
2023-01-15,25.4,23.1,28.2,1.3,,343.0,11.0,,1012.5,
2023-01-16,25.5,22.9,28.5,0.5,,328.0,9.6,,1012.2,
2023-01-17,24.6,20.6,28.0,3.0,,324.0,10.3,,1012.1,
2023-01-18,25.8,22.9,29.2,0.0,,349.0,10.3,,1012.2,
2023-01-19,25.4,23.1,28.2,0.8,,354.0,15.6,,1013.1,
2023-01-20,25.3,23.6,28.2,0.0,,347.0,14.3,,1013.4,
2023-01-21,25.3,23.1,28.9,0.0,,353.0,13.2,,1012.7,
2023-01-22,25.4,23.8,28.2,0.0,,348.0,13.9,,1012.4,
2023-01-23,25.8,21.5,28.9,8.2,,348.0,15.3,,1013.5,
2023-01-24,26.6,25.0,29.4,0.8,,359.0,14.5,,1012.6,
2023-01-25,25.8,24.0,28.7,0.2,,355.0,16.0,,1012.2,
2023-01-26,26.5,24.0,29.7,0.0,,356.0,14.3,,1011.3,
2023-01-27,26.3,22.7,30.1,0.0,,1.0,15.3,,1011.3,
2023-01-28,25.2,23.0,27.9,0.0,,355.0,14.5,,1011.9,
2023-01-29,25.5,22.4,29.1,0.0,,344.0,13.9,,1011.9,
2023-01-30,25.6,22.9,29.2,0.0,,358.0,14.1,,1011.2,
2023-01-31,25.4,22.2,30.0,0.0,,357.0,13.0,,1011.8,
2023-02-01,25.3,21.7,29.1,0.0,,1.0,13.9,,1012.3,
2023-02-02,25.7,22.9,29.3,0.0,,350.0,13.9,,1013.3,
2023-02-03,26.1,22.0,30.2,0.0,,339.0,11.5,,1013.0,
2023-02-04,26.3,22.9,30.6,0.0,,351.0,13.4,,1014.1,
2023-02-05,24.7,21.5,28.6,6.7,,359.0,16.9,,1014.9,
2023-02-06,26.3,22.8,29.6,0.0,,347.0,15.4,,1012.9,
2023-02-07,26.3,24.6,29.0,0.0,,352.0,13.1,,1012.0,
2023-02-08,27.0,24.4,30.7,0.0,,354.0,13.6,,1011.6,
2023-02-09,24.8,21.2,28.1,6.5,,354.0,13.9,,1012.4,
2023-02-10,25.0,21.0,28.4,7.7,,350.0,15.0,,1012.3,
2023-02-11,26.8,24.5,29.6,0.0,,337.0,13.4,,1010.9,
2023-02-12,26.4,24.7,29.3,0.0,,334.0,12.3,,1010.4,
2023-02-13,26.9,24.7,29.8,0.1,,333.0,11.1,,1010.5,
2023-02-14,26.7,24.1,30.2,2.5,,331.0,11.2,,1011.1,
2023-02-15,24.8,21.1,29.4,29.7,,357.0,14.4,,1012.2,
2023-02-16,24.4,21.3,28.5,31.4,,345.0,14.5,,1011.8,
2023-02-17,25.7,24.4,27.5,0.0,,348.0,15.2,,1010.7,
2023-02-18,26.3,23.8,28.8,0.0,,354.0,17.4,,1011.4,
2023-02-19,26.1,23.4,28.9,0.0,,346.0,14.8,,1011.9,
2023-02-20,26.3,23.2,29.2,0.0,,342.0,13.6,,1011.8,
2023-02-21,25.3,23.4,27.0,0.0,,341.0,12.1,,1012.4,
2023-02-22,26.3,24.7,28.6,0.0,,343.0,15.6,,1013.7,
2023-02-23,26.1,23.0,29.2,0.0,,342.0,14.1,,1014.4,
2023-02-24,26.1,24.0,30.4,0.0,,339.0,12.6,,1013.7,
2023-02-25,26.3,21.7,31.1,0.0,,344.0,11.3,,1012.7,
2023-02-26,26.0,24.0,30.0,0.0,,333.0,11.6,,1012.2,
2023-02-27,27.3,23.5,31.4,0.0,,325.0,9.4,,1012.1,
2023-02-28,27.1,23.0,31.7,3.3,,299.0,7.3,,1013.0,
2023-03-01,25.5,21.6,29.3,16.9,,329.0,7.8,,1012.9,
2023-03-02,25.4,21.4,29.9,22.8,,331.0,10.6,,1011.3,
2023-03-03,25.5,22.6,29.1,10.1,,335.0,8.9,,1010.9,
2023-03-04,25.9,22.2,29.2,25.3,,324.0,11.2,,1011.0,
2023-03-05,26.9,21.8,31.2,10.3,,322.0,10.8,,1011.2,
2023-03-06,27.1,25.1,30.1,0.1,,328.0,11.6,,1010.8,
2023-03-07,26.3,24.2,30.1,0.3,,325.0,9.7,,1010.9,
2023-03-08,26.7,23.7,30.3,6.4,,318.0,9.0,,1010.7,
2023-03-09,24.7,21.2,29.7,28.7,,322.0,10.1,,1011.4,
2023-03-10,23.4,21.8,25.2,23.8,,5.0,11.3,,1012.4,
2023-03-11,23.2,22.0,24.9,25.1,,358.0,10.8,,1012.9,
2023-03-12,23.8,21.3,27.2,0.1,,4.0,10.0,,1013.6,
2023-03-13,24.9,22.6,28.0,0.8,,336.0,10.2,,1013.9,
2023-03-14,26.2,24.1,29.2,0.1,,339.0,12.0,,1013.7,
2023-03-15,27.0,23.8,30.5,0.0,,336.0,10.2,,1012.3,
2023-03-16,27.8,23.4,32.0,0.0,,353.0,10.4,,1010.8,
2023-03-17,28.3,26.0,31.6,0.0,,338.0,11.7,,1010.5,
2023-03-18,26.5,22.8,29.2,1.4,,333.0,14.2,,1011.9,
2023-03-19,27.2,24.5,30.6,0.0,,348.0,12.8,,1011.8,
2023-03-20,27.3,24.1,31.2,0.0,,351.0,12.5,,1012.2,
2023-03-21,26.8,24.1,29.7,0.0,,354.0,16.1,,1012.1,
2023-03-22,26.3,23.8,29.0,0.0,,346.0,14.9,,1012.3,
