time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,27.3,24.8,31.9,0.0,,43.0,13.4,,1011.4,
2023-01-02,27.2,24.5,32.0,0.0,,43.0,14.0,,1011.7,
2023-01-03,27.1,24.4,32.0,0.0,,39.0,13.2,,1012.1,
2023-01-04,26.7,21.9,31.0,0.0,,39.0,17.3,,1011.8,
2023-01-05,26.9,23.5,31.0,0.0,,31.0,17.8,,1011.3,
2023-01-06,27.2,23.6,33.0,0.0,,41.0,13.7,,1011.2,
2023-01-07,27.0,23.7,32.3,0.0,,45.0,13.5,,1011.4,
2023-01-08,27.0,22.8,31.0,0.0,,33.0,12.2,,1011.8,
2023-01-09,27.2,24.6,32.0,0.0,,33.0,11.4,,1011.6,
2023-01-10,27.0,24.5,31.0,0.0,,62.0,13.3,,1011.9,
2023-01-11,27.1,24.5,31.0,0.0,,42.0,17.6,,1012.2,
2023-01-12,27.4,25.4,31.0,0.0,,31.0,16.5,,1011.3,
2023-01-13,27.5,24.8,32.1,0.0,,29.0,12.9,,1010.4,
2023-01-14,27.3,25.6,31.0,0.0,,20.0,19.6,,1011.3,
2023-01-15,27.3,25.0,30.0,0.0,,24.0,23.3,,1012.0,
2023-01-16,27.3,24.9,31.3,0.0,,27.0,19.4,,1011.0,
2023-01-17,27.3,24.4,32.0,0.0,,33.0,14.5,,1009.9,
2023-01-18,27.4,22.8,32.3,0.0,,30.0,13.5,,1010.2,
2023-01-19,27.3,24.8,32.0,0.0,,32.0,15.8,,1011.0,
2023-01-20,27.2,24.3,30.5,0.0,,32.0,21.0,,1011.1,
2023-01-21,26.8,24.0,30.0,0.0,,31.0,20.2,,1009.7,
2023-01-22,27.6,25.0,32.0,0.0,,32.0,16.4,,1008.7,
2023-01-23,27.4,24.0,33.0,0.0,,25.0,13.2,,1009.9,
2023-01-24,27.6,24.9,31.0,0.0,,26.0,17.2,,1009.3,
2023-01-25,27.8,25.0,32.0,0.0,,31.0,17.3,,1008.7,
2023-01-26,27.1,24.7,31.0,0.0,,27.0,20.3,,1008.9,
2023-01-27,26.9,24.7,30.0,0.0,,32.0,26.1,,1009.6,
2023-01-28,26.8,24.7,30.0,0.0,,32.0,25.5,,1009.5,
2023-01-29,26.6,23.8,30.0,0.0,,33.0,21.2,,1009.1,
2023-01-30,26.5,22.4,31.0,0.0,,30.0,17.7,,1010.0,
2023-01-31,26.2,21.9,30.0,0.0,,30.0,18.3,,1010.6,
2023-02-01,26.3,24.0,30.0,0.0,,31.0,27.0,,1010.9,
2023-02-02,26.3,24.0,29.5,0.0,,32.0,23.3,,1010.1,
2023-02-03,26.3,22.9,30.0,0.0,,29.0,15.8,,1010.9,
2023-02-04,26.3,22.2,31.0,0.0,,34.0,15.8,,1011.8,
2023-02-05,26.9,24.5,31.1,0.0,,24.0,16.3,,1010.6,
2023-02-06,26.9,23.5,31.0,0.0,,33.0,16.9,,1009.4,
2023-02-07,27.0,24.2,30.1,0.0,,32.0,26.5,,1008.6,
2023-02-08,26.9,24.9,30.4,0.0,,29.0,23.5,,1008.6,
2023-02-09,27.3,24.8,31.0,0.0,,33.0,22.3,,1008.9,
2023-02-10,27.3,25.0,31.0,0.0,,32.0,20.8,,1008.3,
2023-02-11,27.2,24.8,31.0,0.0,,28.0,18.8,,1007.7,
