time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,14.0,10.0,19.0,1.7,,304.0,8.6,,1026.7,
2023-01-02,14.0,10.2,19.0,8.9,,320.0,9.0,,1026.5,
2023-01-03,13.8,8.7,19.0,13.2,,323.0,10.2,,1026.6,
2023-01-04,13.8,10.0,19.0,2.2,,304.0,9.6,,1026.2,
2023-01-05,13.9,10.3,18.0,3.5,,0.0,7.6,,1026.4,
2023-01-06,13.9,9.5,19.0,1.0,,2.0,9.0,,1026.6,
2023-01-07,13.5,10.9,18.0,4.4,,13.0,7.3,,1027.3,
2023-01-08,13.5,9.0,17.5,6.3,10.0,42.0,7.9,,1027.5,
2023-01-09,12.8,8.5,18.0,5.3,,353.0,8.3,,1027.1,
2023-01-10,12.9,10.8,16.0,17.1,10.0,335.0,7.6,,1027.0,
2023-01-11,13.2,9.7,19.0,2.3,10.0,11.0,8.6,,1026.8,
2023-01-12,13.4,10.3,18.0,1.6,20.0,356.0,6.4,,1026.8,
2023-01-13,13.8,10.0,21.0,1.1,,326.0,8.5,,1026.2,
2023-01-14,14.0,9.5,19.2,9.5,10.0,301.0,9.6,,1026.3,
2023-01-15,14.6,10.0,21.5,3.1,20.0,283.0,9.2,,1026.7,
2023-01-16,13.8,8.7,19.0,2.0,,289.0,8.6,,1026.0,
2023-01-17,13.6,8.6,18.0,1.7,,290.0,10.7,,1024.7,
2023-01-18,13.1,8.6,19.0,1.6,,4.0,9.1,,1025.6,
2023-01-19,12.2,5.3,19.0,5.1,,356.0,8.2,,1026.3,
2023-01-20,12.7,8.7,18.0,1.1,10.0,18.0,8.7,,1024.5,
2023-01-21,13.6,8.4,20.0,0.1,,36.0,8.9,,1025.2,
2023-01-22,12.7,8.0,18.7,0.0,20.0,83.0,10.7,,1025.0,
2023-01-23,12.4,6.7,17.0,0.4,,51.0,10.9,,1026.4,
2023-01-24,13.8,9.5,19.0,0.5,,93.0,12.7,,1026.3,
2023-01-25,12.2,4.6,20.0,0.0,,9.0,9.2,,1025.3,
2023-01-26,13.2,5.4,22.0,0.0,,6.0,10.7,,1024.9,
2023-01-27,11.8,1.7,22.0,0.0,,337.0,9.4,,1025.2,
2023-01-28,12.6,4.7,19.6,0.0,,323.0,8.6,,1025.0,
2023-01-29,11.6,1.8,20.0,0.0,,332.0,9.8,,1024.9,
2023-01-30,11.9,3.9,21.0,0.5,,336.0,9.1,,1025.5,
2023-01-31,12.1,3.7,19.7,0.9,,320.0,9.5,,1025.3,
2023-02-01,11.8,4.0,20.2,0.2,,310.0,10.6,,1025.4,
2023-02-02,13.8,4.6,20.0,0.4,,342.0,10.6,,1025.8,
2023-02-03,12.3,4.8,20.0,0.0,,344.0,11.6,,1018.2,
2023-02-04,13.6,6.9,20.0,0.0,,355.0,12.1,,1027.5,
2023-02-05,12.7,4.5,20.2,0.0,,59.0,10.9,,1027.1,
2023-02-06,13.1,7.3,19.0,0.1,,92.0,12.7,,1026.0,
2023-02-07,13.9,4.7,22.0,0.7,,52.0,9.5,,1025.5,
2023-02-08,13.2,4.1,22.0,0.4,,27.0,9.3,,1025.4,
2023-02-09,14.5,6.5,20.5,0.3,,32.0,9.4,,1025.3,
2023-02-10,13.4,6.0,20.0,0.5,,57.0,9.2,,1024.7,
2023-02-11,14.7,10.1,21.6,0.1,,35.0,11.5,,1024.4,
2023-02-12,14.1,9.0,19.0,0.0,,60.0,8.7,,1022.9,
2023-02-13,13.2,5.2,20.2,0.0,,18.0,6.8,,1024.7,
2023-02-14,13.9,8.1,20.2,0.6,,2.0,8.3,,1025.3,
2023-02-15,14.3,7.7,20.7,2.0,,51.0,9.3,,1025.8,
2023-02-16,14.1,9.1,20.2,3.1,,40.0,9.6,,1025.2,
2023-02-17,13.4,7.7,20.0,4.6,,333.0,11.2,,1024.2,
2023-02-18,14.3,7.7,19.0,9.4,,320.0,9.4,,1024.7,
2023-02-19,13.9,8.2,20.0,0.2,,4.0,7.9,,1025.0,
2023-02-20,13.3,7.1,20.0,0.5,,343.0,8.9,,1024.9,
2023-02-21,13.2,9.7,17.0,4.0,,358.0,10.1,,1025.6,
2023-02-22,13.2,9.7,19.0,4.9,10.0,342.0,8.5,,1027.3,
2023-02-23,14.2,8.0,22.0,0.2,,0.0,8.8,,1027.7,
2023-02-24,13.8,8.0,20.5,1.0,,303.0,9.8,,1027.0,
2023-02-25,14.6,7.8,20.0,0.2,,349.0,11.1,,1026.3,
2023-02-26,12.6,5.7,20.0,0.0,,318.0,11.5,,1026.1,
2023-02-27,13.7,6.8,22.0,0.9,,335.0,8.9,,1026.7,
2023-02-28,14.6,7.9,21.6,0.5,10.0,85.0,9.0,,1027.3,
2023-03-01,15.0,9.1,19.0,3.8,,89.0,9.0,,1026.6,
2023-03-02,15.1,12.0,20.0,0.4,,71.0,10.9,,1024.9,
2023-03-03,16.1,12.4,20.4,0.0,,97.0,11.8,,1024.4,
2023-03-04,15.2,11.7,18.0,1.3,,57.0,11.1,,1025.1,
2023-03-05,14.9,11.7,19.0,1.2,,65.0,10.0,,1025.9,
2023-03-06,15.3,11.3,22.0,2.3,,18.0,10.1,,1026.0,
2023-03-07,14.6,9.7,20.5,7.1,,330.0,10.3,,1025.8,
2023-03-08,13.8,8.2,21.5,2.9,10.0,310.0,8.8,,1025.2,
2023-03-09,12.9,11.7,14.0,7.3,,318.0,7.0,,1026.7,
2023-03-10,13.6,10.9,19.0,13.7,10.0,309.0,8.7,,1026.1,
2023-03-11,12.6,11.0,14.0,10.4,,286.0,7.6,,1026.7,
2023-03-12,12.6,10.7,17.0,10.8,,302.0,6.3,,1027.5,
2023-03-13,12.9,10.9,15.0,19.3,,322.0,6.2,,1028.2,
2023-03-14,13.9,10.6,18.0,2.1,,317.0,7.8,,1027.5,
2023-03-15,14.1,10.9,18.2,6.8,,298.0,9.2,,1023.2,
2023-03-16,13.6,8.5,18.5,9.4,,321.0,11.1,,1021.5,
2023-03-17,13.3,8.0,19.7,0.0,,324.0,10.1,,1026.1,
2023-03-18,14.2,9.6,19.0,14.2,,309.0,11.5,,1026.5,
2023-03-19,14.8,10.8,20.0,11.9,,321.0,9.6,,1026.9,
2023-03-20,13.6,7.8,19.4,3.5,,324.0,10.4,,1026.2,
2023-03-21,14.1,7.0,20.0,0.4,,327.0,10.6,,1026.2,
2023-03-22,14.5,10.0,20.0,3.8,,326.0,10.2,,1025.6,
2023-03-23,13.8,8.6,19.0,10.8,,331.0,10.2,,1025.8,
2023-03-24,15.2,10.9,20.0,3.0,,335.0,11.8,,1025.5,
2023-03-25,14.1,11.6,20.5,2.8,,353.0,9.3,,1026.0,
2023-03-26,14.7,11.0,19.6,0.3,,72.0,13.2,,1026.2,
2023-03-27,14.1,10.0,19.0,7.8,,44.0,9.7,,1026.4,
2023-03-28,14.4,11.0,19.7,3.4,10.0,354.0,8.4,,1025.5,
2023-03-29,14.1,11.5,18.0,7.2,,358.0,8.8,,1025.5,
2023-03-30,13.4,7.7,19.0,4.8,,38.0,7.8,,1025.9,
2023-03-31,13.9,8.0,18.0,0.4,,65.0,9.2,,1026.7,
2023-04-01,13.7,10.0,18.3,4.4,,26.0,8.2,,1026.5,
2023-04-02,14.3,11.0,18.2,1.3,,72.0,9.3,,1026.2,
2023-04-03,14.3,8.4,20.0,0.1,,71.0,12.1,,1025.4,
2023-04-04,14.7,10.9,19.2,0.9,,49.0,10.9,,1024.5,
2023-04-05,14.6,10.7,19.0,1.7,,12.0,8.5,,1024.4,
2023-04-06,14.2,11.0,18.0,1.6,,301.0,9.8,,1024.3,
2023-04-07,14.2,10.4,19.0,7.5,,311.0,9.2,,1025.0,
2023-04-08,13.6,9.3,18.0,2.2,,333.0,6.6,,1026.1,
2023-04-09,14.0,8.2,18.8,0.7,,58.0,7.9,,1026.8,
2023-04-10,13.7,8.2,19.0,0.7,,40.0,10.5,,1026.8,
2023-04-11,13.9,9.4,20.0,0.9,,29.0,9.5,,1026.2,
2023-04-12,14.6,11.0,24.2,2.4,,29.0,7.7,,1025.4,
2023-04-13,14.8,10.9,21.5,0.7,,36.0,10.7,,1024.7,
2023-04-14,14.4,9.0,21.0,0.0,,4.0,8.4,,1025.1,
2023-04-15,14.6,8.7,20.0,1.4,,50.0,10.0,,1025.8,
2023-04-16,12.9,9.3,19.8,17.0,,325.0,7.3,,1027.0,
2023-04-17,13.8,11.0,20.6,9.8,,333.0,7.6,,1026.2,
2023-04-18,14.3,11.4,19.0,5.6,,317.0,8.6,,1025.5,
2023-04-19,13.5,4.9,20.0,2.6,,337.0,8.0,,1025.5,
2023-04-20,14.5,9.9,20.0,1.5,,5.0,7.4,,1026.4,
2023-04-21,13.9,12.0,20.6,10.2,10.0,273.0,7.9,,1026.2,
2023-04-22,13.8,11.0,17.0,11.6,10.0,303.0,9.1,,1025.5,
2023-04-23,14.4,10.8,18.0,16.9,,303.0,8.8,,1025.3,
2023-04-24,13.8,10.7,17.0,0.8,,295.0,8.1,,1026.2,
2023-04-25,13.7,10.0,20.0,12.4,,328.0,6.8,,1027.0,
2023-04-26,13.7,10.2,17.0,3.1,20.0,24.0,6.6,,1027.1,
2023-04-27,14.0,9.4,20.0,5.2,,331.0,7.4,,1026.8,
2023-04-28,14.4,10.7,19.0,0.7,10.0,45.0,9.6,,1027.0,
2023-04-29,14.6,10.9,19.0,0.4,,52.0,9.5,,1027.6,
2023-04-30,14.3,10.6,19.0,1.3,,54.0,8.4,,1028.1,
2023-05-01,14.3,7.9,20.0,0.3,,74.0,11.8,,1027.5,
2023-05-02,14.4,8.3,19.5,0.0,,73.0,11.9,,1026.9,
2023-05-03,14.1,7.4,19.2,0.0,,93.0,14.4,,1025.9,
2023-05-04,14.0,8.3,20.0,0.1,,74.0,10.8,,1026.6,
2023-05-05,15.0,9.7,20.2,0.0,,85.0,11.2,,1026.7,
2023-05-06,14.1,8.7,19.2,0.0,,72.0,10.9,,1026.7,
2023-05-07,15.3,9.0,23.0,0.0,,83.0,13.8,,1026.0,
2023-05-08,13.5,8.0,19.0,0.1,,57.0,9.2,,1027.3,
2023-05-09,14.9,8.5,19.9,0.9,,79.0,11.3,,1027.8,
2023-05-10,14.4,9.3,19.0,1.6,,51.0,8.8,,1027.9,
2023-05-11,15.3,11.0,20.6,0.8,,50.0,8.8,,1027.4,
2023-05-12,15.1,10.0,21.0,0.4,,55.0,9.4,,1027.1,
2023-05-13,14.8,8.5,21.0,0.1,,114.0,14.6,,1026.8,
2023-05-14,16.0,12.7,20.0,0.0,,93.0,15.8,,1028.3,
2023-05-15,15.0,11.8,20.0,0.4,,64.0,9.2,,1028.9,
2023-05-16,14.0,8.2,19.2,1.8,,353.0,7.3,,1028.8,
2023-05-17,14.6,10.1,21.9,0.4,,1.0,6.4,,1028.3,
2023-05-18,15.3,8.9,23.0,4.5,,57.0,10.6,,1027.3,
2023-05-19,15.8,10.5,21.4,0.9,,52.0,10.5,,1027.0,
