time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,27.3,24.0,32.0,1.6,,22.0,11.1,,1011.0,
2023-01-02,27.4,24.0,32.0,2.6,,18.0,11.7,,1011.4,
2023-01-03,26.8,23.0,31.0,1.7,,20.0,9.7,,1011.9,
2023-01-04,26.9,22.9,31.0,0.0,,18.0,13.0,,1011.2,
2023-01-05,27.1,23.4,31.1,0.0,,16.0,11.1,,1011.0,
2023-01-06,27.3,23.9,31.0,0.1,,14.0,11.9,,1010.9,
2023-01-07,27.6,23.9,33.0,0.9,,20.0,12.3,,1011.1,
2023-01-08,27.3,24.0,31.0,0.1,,16.0,11.7,,1011.5,
2023-01-09,27.4,24.2,31.1,3.7,,5.0,12.5,,1011.5,
2023-01-10,27.5,25.8,31.2,4.8,,28.0,11.3,,1011.6,
2023-01-11,26.5,25.0,30.0,11.0,,25.0,10.3,,1011.9,
2023-01-12,27.5,24.9,31.0,0.2,,18.0,12.5,,1011.1,
2023-01-13,27.0,24.2,31.0,2.8,,16.0,11.3,,1010.2,
2023-01-14,27.4,25.7,31.0,1.0,,4.0,19.7,,1011.1,
2023-01-15,27.6,25.5,31.5,0.7,,11.0,18.1,,1011.9,
2023-01-16,27.6,25.0,32.0,0.0,,17.0,16.5,,1010.7,
2023-01-17,27.1,23.9,31.0,0.7,,9.0,11.7,,1009.5,
2023-01-18,27.3,23.9,32.0,0.4,,15.0,9.9,,1009.9,
2023-01-19,27.2,23.7,31.0,0.0,,17.0,10.5,,1010.8,
2023-01-20,27.5,23.5,33.0,0.0,,30.0,12.0,,1010.7,
2023-01-21,26.7,22.7,32.2,0.0,,28.0,10.4,,1009.2,
2023-01-22,27.0,23.0,31.0,0.1,,15.0,10.2,,1008.3,
2023-01-23,27.1,23.0,32.0,0.0,,22.0,10.7,,1009.3,
2023-01-24,27.5,24.0,33.0,0.0,,17.0,10.3,,1008.7,
2023-01-25,27.8,24.0,33.0,0.0,,17.0,11.5,,1008.2,
2023-01-26,27.6,23.2,33.0,0.0,,32.0,13.7,,1008.3,
2023-01-27,27.4,23.0,33.0,50.0,,29.0,14.9,,1009.1,
2023-01-28,27.2,23.2,32.6,0.0,,18.0,15.1,,1009.1,
2023-01-29,27.0,21.9,32.2,0.0,,19.0,12.5,,1008.5,
2023-01-30,26.2,21.0,31.0,0.0,,18.0,11.9,,1009.6,
2023-01-31,26.0,21.5,32.0,0.0,,20.0,12.9,,1010.1,
2023-02-01,26.4,22.0,32.0,0.0,,19.0,14.4,,1010.5,
2023-02-02,26.4,22.3,32.0,0.0,,14.0,13.0,,1009.8,
2023-02-03,25.9,21.0,32.0,0.0,,10.0,10.7,,1010.3,
2023-02-04,26.2,12.0,31.0,0.0,,27.0,13.2,,1011.9,
2023-02-05,26.4,22.5,32.0,0.0,,19.0,12.6,,1010.3,
2023-02-06,27.1,23.9,31.0,0.0,,18.0,12.0,,1009.1,
2023-02-07,27.3,23.0,33.0,0.0,,22.0,13.3,,1008.1,
2023-02-08,27.6,24.0,32.0,0.0,,13.0,13.5,,1008.1,
2023-02-09,27.1,23.6,32.0,0.0,,10.0,12.4,,1008.6,
2023-02-10,27.2,23.5,32.0,0.0,,8.0,11.0,,1007.8,
2023-02-11,27.4,23.9,33.0,0.0,,19.0,13.1,,1007.2,
2023-02-12,26.8,23.0,32.0,0.0,,23.0,13.8,,1006.9,
2023-02-13,27.3,23.6,33.0,0.0,,17.0,15.2,,1007.7,
2023-02-14,27.7,24.2,32.0,0.0,,17.0,16.8,,1008.6,
2023-02-15,27.7,22.6,32.4,0.0,,20.0,13.7,,1008.8,
2023-02-16,27.4,23.9,32.0,0.0,,17.0,13.6,,1008.3,
2023-02-17,27.1,23.7,31.2,0.0,,11.0,14.0,,1007.8,
2023-02-18,26.7,22.5,32.0,0.0,,20.0,14.3,,1009.2,
2023-02-19,27.1,23.6,33.2,0.0,,16.0,16.8,,1009.3,
2023-02-20,26.6,21.9,32.0,0.0,,21.0,14.1,,1009.0,
2023-02-21,26.3,21.9,31.5,0.0,,12.0,14.3,,1009.5,
2023-02-22,26.3,22.0,31.8,0.0,,21.0,13.1,,1011.5,
2023-02-23,26.7,22.4,32.0,0.0,,18.0,14.2,,1011.6,
2023-02-24,27.0,23.0,33.0,0.0,,19.0,14.2,,1011.3,
2023-02-25,26.9,22.9,32.5,0.0,,19.0,15.4,,1010.6,
2023-02-26,26.3,22.6,30.1,0.0,,11.0,12.3,,1010.0,
2023-02-27,26.8,22.7,31.0,0.0,,13.0,15.1,,1009.8,
2023-02-28,26.8,23.3,32.0,0.0,,19.0,13.5,,1009.6,
2023-03-01,27.2,24.5,32.0,0.0,,13.0,15.3,,1009.4,
2023-03-02,27.7,23.9,34.0,0.0,,16.0,15.5,,1007.1,
2023-03-03,27.4,23.6,33.6,0.0,,12.0,12.9,,1006.1,
2023-03-04,27.4,24.0,32.0,0.2,,9.0,11.9,,1007.3,
2023-03-05,27.5,24.0,32.0,0.0,,21.0,16.6,,1008.7,
2023-03-06,27.2,24.0,31.0,0.1,,16.0,16.0,,1009.1,
2023-03-07,27.3,24.0,32.0,0.3,,19.0,15.7,,1009.0,
2023-03-08,26.8,24.0,32.0,0.3,,3.0,17.6,,1010.9,
2023-03-09,27.1,25.0,30.7,0.0,,355.0,20.7,,1012.2,
2023-03-10,26.8,24.5,30.0,0.0,,6.0,16.8,,1011.8,
2023-03-11,26.8,24.4,30.0,0.0,,330.0,12.5,,1011.4,
2023-03-12,26.3,22.9,29.1,0.0,,344.0,10.2,,1012.2,
2023-03-13,27.0,23.6,30.0,0.0,,343.0,10.4,,1012.2,
2023-03-14,27.8,25.0,31.0,9.7,,355.0,13.3,,1011.9,
2023-03-15,28.1,25.9,32.0,3.0,,319.0,11.2,,1011.2,
2023-03-16,27.5,25.5,30.0,3.3,,1.0,14.6,,1011.8,
2023-03-17,27.8,25.4,31.0,0.0,,9.0,13.2,,1010.8,
2023-03-18,27.6,25.0,31.0,4.3,,17.0,7.9,,1011.1,
2023-03-19,27.4,24.0,33.0,0.4,,3.0,9.4,,1011.0,
2023-03-20,27.7,24.2,32.0,1.3,,2.0,11.7,,1011.2,
2023-03-21,28.2,25.0,33.0,0.6,,12.0,14.5,,1010.0,
2023-03-22,28.3,25.0,33.0,0.0,,21.0,17.7,,1009.4,
2023-03-23,27.4,23.8,32.0,0.0,,2.0,12.5,,1009.9,
2023-03-24,27.6,24.0,31.2,0.1,,12.0,14.2,,1009.5,
2023-03-25,27.7,24.0,32.8,0.2,,17.0,15.1,,1009.5,
2023-03-26,27.4,23.7,32.0,0.0,,19.0,12.9,,1009.0,
2023-03-27,27.6,23.7,33.0,0.0,,19.0,13.9,,1009.0,
2023-03-28,28.1,24.1,32.0,0.1,,21.0,13.1,,1008.7,
2023-03-29,27.9,24.6,32.0,0.6,,20.0,15.2,,1008.5,
2023-03-30,27.7,25.0,31.2,0.0,,23.0,18.6,,1009.0,
2023-03-31,27.3,24.0,32.7,0.0,,16.0,14.7,,1009.2,
2023-04-01,27.3,23.8,32.2,0.0,,20.0,14.5,,1009.4,
2023-04-02,27.7,24.0,33.0,0.0,,10.0,14.8,,1008.5,
2023-04-03,27.9,25.0,33.0,0.0,,9.0,15.6,,1007.1,
2023-04-04,27.9,24.6,32.5,0.0,,3.0,12.8,,1006.3,
2023-04-05,28.1,25.0,32.0,0.5,,18.0,15.1,,1006.9,
2023-04-06,27.6,24.8,31.0,0.0,,11.0,16.7,,1007.8,
2023-04-07,27.2,24.0,30.6,1.3,,7.0,12.5,,1009.2,
2023-04-08,27.4,24.5,31.0,0.2,,15.0,13.8,,1010.3,
2023-04-09,27.8,24.5,31.0,0.3,,356.0,14.3,,1009.6,
2023-04-10,27.8,26.0,31.0,0.0,,1.0,20.1,,1009.6,
2023-04-11,27.6,26.0,31.0,0.2,,358.0,15.3,,1009.4,
2023-04-12,28.4,26.0,32.0,1.1,,359.0,15.3,,1008.2,
2023-04-13,28.4,26.0,32.1,0.0,,13.0,15.4,,1007.0,
2023-04-14,28.3,25.7,32.5,0.0,,17.0,16.9,,1007.0,
2023-04-15,28.2,24.9,32.5,0.9,,14.0,12.6,,1008.7,
2023-04-16,27.6,25.1,32.6,3.6,,22.0,12.1,,1009.9,
2023-04-17,28.0,26.0,32.0,2.2,,350.0,9.9,,1009.6,
