time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,22.6,19.2,29.0,10.4,,333.0,6.1,,1013.5,
2023-01-02,22.6,19.0,27.8,4.3,,342.0,5.9,,1013.5,
2023-01-03,22.8,19.9,29.0,14.7,,344.0,6.4,,1013.8,
2023-01-04,23.4,19.9,27.3,1.0,,345.0,7.6,,1012.9,
2023-01-05,23.8,19.3,29.0,4.9,,317.0,5.2,,1012.6,
2023-01-06,23.5,20.3,28.2,8.8,,301.0,5.4,,1012.9,
2023-01-07,23.0,20.3,28.1,5.7,,315.0,4.2,,1013.6,
2023-01-08,23.1,19.0,27.7,2.9,,234.0,6.0,,1013.4,
2023-01-09,23.7,19.8,28.6,6.3,,258.0,6.1,,1013.0,
2023-01-10,22.6,20.5,26.3,13.2,,351.0,8.3,,1013.6,
2023-01-11,22.8,18.0,28.0,1.5,,353.0,6.3,,1013.3,
2023-01-12,23.0,19.1,28.0,5.5,,244.0,7.7,,1013.0,
2023-01-13,23.5,19.5,30.0,1.1,,305.0,7.2,,1012.1,
2023-01-14,22.8,19.5,28.2,9.3,,312.0,7.6,,1012.7,
2023-01-15,23.2,19.7,30.0,2.9,,332.0,9.0,,1013.2,
2023-01-16,23.2,19.4,27.9,0.9,,307.0,5.7,,1012.5,
2023-01-17,23.6,20.0,29.0,3.0,,352.0,7.1,,1011.5,
2023-01-18,23.1,18.7,28.2,3.4,,303.0,6.5,,1011.9,
2023-01-19,22.8,18.5,28.0,1.1,,293.0,7.2,,1012.9,
2023-01-20,23.1,19.7,30.0,5.2,,204.0,7.1,,1012.8,
2023-01-21,23.2,18.9,30.0,0.2,,248.0,7.1,,1011.0,
2023-01-22,23.1,18.8,27.8,6.6,,273.0,7.7,,1010.3,
2023-01-23,23.6,18.6,28.9,0.0,,240.0,8.4,,1011.3,
2023-01-24,24.1,19.4,29.8,0.0,,234.0,10.6,,1010.4,
2023-01-25,24.5,18.7,30.0,0.0,,227.0,9.4,,1009.5,
2023-01-26,24.2,18.5,30.2,0.8,,272.0,8.3,,1009.5,
2023-01-27,24.7,18.5,30.2,0.0,,309.0,8.0,,1010.0,
2023-01-28,24.5,18.9,31.0,0.0,,327.0,8.5,,1009.8,
2023-01-29,24.8,19.2,32.0,0.0,,240.0,9.5,,1009.3,
2023-01-30,24.9,20.6,30.2,0.0,,325.0,8.5,,1010.1,
2023-01-31,24.3,18.4,29.5,0.0,,328.0,9.6,,1010.7,
2023-02-01,24.3,19.7,29.6,0.0,,333.0,8.8,,1010.8,
2023-02-02,24.7,19.3,30.3,1.3,,293.0,9.6,,1010.8,
2023-02-03,25.5,20.1,32.0,0.0,,256.0,9.5,,1010.3,
2023-02-04,24.7,20.6,30.6,2.0,,244.0,9.5,,1012.5,
2023-02-05,24.6,18.3,31.3,0.1,,232.0,10.9,,1011.3,
2023-02-06,24.9,18.6,31.3,5.9,,231.0,9.5,,1010.3,
2023-02-07,24.6,18.7,31.2,1.8,,241.0,9.9,,1009.8,
2023-02-08,25.3,19.8,31.8,1.1,,241.0,9.8,,1009.5,
2023-02-09,24.4,20.5,30.3,8.7,,239.0,8.0,,1010.3,
2023-02-10,25.5,19.2,34.0,0.0,,272.0,9.3,,1009.2,
