time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,26.7,21.9,33.2,5.1,,5.0,5.3,,1011.3,
2023-01-02,23.8,21.3,27.9,14.1,,352.0,3.4,,1012.5,
2023-01-03,25.4,21.1,31.8,4.5,,13.0,5.1,,1010.7,
2023-01-04,26.3,21.2,34.0,1.1,,24.0,7.9,,1010.1,
2023-01-05,25.5,21.8,31.9,2.9,,2.0,4.3,,1011.5,
2023-01-06,26.9,21.6,33.1,0.2,,350.0,5.2,,1011.5,
2023-01-07,23.8,21.0,28.2,15.6,,274.0,4.0,,1013.6,
2023-01-08,23.8,21.2,28.0,22.1,,320.0,3.1,,1013.6,
2023-01-09,24.5,21.4,28.9,9.6,,16.0,4.4,,1012.3,
2023-01-10,24.6,20.7,31.0,19.6,,22.0,5.3,,1011.6,
2023-01-11,23.9,21.7,29.9,6.9,,340.0,5.4,,1012.4,
2023-01-12,23.7,21.3,28.3,5.5,,348.0,4.6,,1012.6,
2023-01-13,24.3,21.1,29.2,6.5,,2.0,5.3,,1011.3,
2023-01-14,25.1,20.4,30.0,8.2,,8.0,6.3,,1010.7,
2023-01-15,24.0,21.6,27.6,27.2,,17.0,5.7,,1012.1,
2023-01-16,23.7,21.8,30.0,29.2,,205.0,4.7,,1012.5,
2023-01-17,23.6,21.3,26.5,13.4,,285.0,5.0,,1011.5,
2023-01-18,24.5,20.7,30.4,11.4,,3.0,6.0,,1011.3,
2023-01-19,24.8,20.7,29.3,15.5,,298.0,6.1,,1011.9,
2023-01-20,24.6,21.3,30.5,2.8,,122.0,5.8,,1012.6,
2023-01-21,25.4,21.0,31.5,1.1,,63.0,6.9,,1011.2,
2023-01-22,25.1,19.2,32.3,0.4,,7.0,6.5,,1010.4,
2023-01-23,25.3,22.0,30.0,7.6,,321.0,6.9,,1012.0,
2023-01-24,24.2,20.5,29.4,10.1,,5.0,5.9,,1012.4,
2023-01-25,25.4,20.2,31.5,1.8,,354.0,6.8,,1010.5,
2023-01-26,25.5,19.7,31.8,0.2,,1.0,7.8,,1009.5,
2023-01-27,26.4,19.6,34.0,0.0,,358.0,7.4,,1009.0,
2023-01-28,26.6,20.4,33.3,0.0,,353.0,7.7,,1009.3,
2023-01-29,26.6,21.1,34.0,0.0,,64.0,8.5,,1009.9,
2023-01-30,27.0,21.2,34.1,0.0,,356.0,8.1,,1008.8,
2023-01-31,27.1,20.4,34.0,0.0,,16.0,7.9,,1009.1,
2023-02-01,27.2,22.3,34.1,0.0,,356.0,10.1,,1009.4,
2023-02-02,27.3,21.2,34.7,0.0,,37.0,9.0,,1010.7,
2023-02-03,26.9,20.8,34.5,0.0,,319.0,8.6,,1010.9,
2023-02-04,27.9,22.1,34.7,0.1,,337.0,8.2,,1011.8,
2023-02-05,26.8,22.2,33.1,1.6,,300.0,6.6,,1012.5,
2023-02-06,25.8,22.3,30.3,3.3,,306.0,5.7,,1011.6,
2023-02-07,26.5,22.9,33.0,3.1,,14.0,6.7,,1010.8,
2023-02-08,26.2,22.1,34.0,1.7,,357.0,6.8,,1010.9,
2023-02-09,26.4,22.4,33.0,6.0,,18.0,7.0,,1010.3,
2023-02-10,24.7,21.5,29.9,5.7,,12.0,5.9,,1010.1,
2023-02-11,26.4,21.9,33.9,6.3,,51.0,6.2,,1009.4,
2023-02-12,26.7,21.9,33.0,9.9,,32.0,6.6,,1009.1,
2023-02-13,25.7,22.7,31.2,8.3,,60.0,6.9,,1009.7,
2023-02-14,26.5,22.5,32.7,6.0,,337.0,6.1,,1010.1,
2023-02-15,24.7,21.9,30.7,19.1,,313.0,6.2,,1010.6,
2023-02-16,23.0,21.8,24.0,39.3,,290.0,3.9,,1011.0,
2023-02-17,24.9,21.3,30.0,3.0,,356.0,6.7,,1008.5,
2023-02-18,25.1,22.4,30.2,8.1,,4.0,5.7,,1009.7,
2023-02-19,27.0,21.3,34.0,0.1,,21.0,6.7,,1009.8,
2023-02-20,27.2,21.3,35.0,0.0,,43.0,7.9,,1009.5,
2023-02-21,26.1,21.3,33.4,0.2,,0.0,7.6,,1010.1,
2023-02-22,26.9,23.0,33.9,0.1,,357.0,5.2,,1012.0,
