time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,16.4,14.0,21.3,12.9,,285.0,3.4,,1016.7,
2023-01-02,16.2,13.0,21.0,16.2,,239.0,5.0,,1016.9,
2023-01-03,16.1,13.7,23.0,7.6,,351.0,4.4,,1017.0,
2023-01-04,17.0,13.3,23.0,4.4,,311.0,4.7,,1015.4,
2023-01-05,16.6,12.3,22.4,6.1,,201.0,4.0,,1015.8,
2023-01-06,16.5,13.3,21.0,3.8,,171.0,3.9,,1016.1,
2023-01-07,16.3,13.7,20.7,16.4,,135.0,3.0,,1016.3,
2023-01-08,16.0,13.4,19.7,10.4,,135.0,3.1,,1016.7,
2023-01-09,16.1,13.0,20.0,10.7,,167.0,3.8,,1017.0,
2023-01-10,16.2,13.7,21.0,6.3,,327.0,3.7,,1016.7,
2023-01-11,16.5,13.6,21.0,11.8,,134.0,4.6,,1016.3,
2023-01-12,16.1,14.1,18.6,5.3,,129.0,5.7,,1016.3,
2023-01-13,16.1,13.4,19.0,3.2,,90.0,5.7,,1015.4,
2023-01-14,16.5,12.7,22.0,8.6,,39.0,6.0,,1015.7,
2023-01-15,16.4,13.2,21.0,3.7,,193.0,7.3,,1015.8,
2023-01-16,16.0,12.9,20.8,7.8,,190.0,5.9,,1015.1,
2023-01-17,15.8,12.0,20.8,5.7,,119.0,5.8,,1014.4,
2023-01-18,16.5,13.9,22.0,3.9,,206.0,5.2,,1014.8,
2023-01-19,16.4,13.2,20.9,20.4,,240.0,5.4,,1015.9,
2023-01-20,17.0,13.7,24.0,6.9,,219.0,6.4,,1015.2,
2023-01-21,15.8,13.0,20.2,5.0,,129.0,6.1,,1014.4,
2023-01-22,15.9,13.1,20.0,3.8,,170.0,6.3,,1013.5,
2023-01-23,16.1,12.0,22.0,0.0,,168.0,6.2,,1013.8,
2023-01-24,17.1,13.3,23.0,0.2,,148.0,6.1,,1013.8,
2023-01-25,16.5,12.1,21.3,1.0,,132.0,6.1,,1013.6,
2023-01-26,17.3,12.2,25.0,2.7,,148.0,6.1,,1013.4,
2023-01-27,16.9,12.4,23.0,0.5,,177.0,6.5,,1013.2,
2023-01-28,17.4,12.3,25.0,0.0,,155.0,6.3,,1012.6,
2023-01-29,16.7,12.0,21.5,0.0,,172.0,7.9,,1013.0,
2023-01-30,17.3,14.8,23.0,2.5,,60.0,6.1,,1013.8,
2023-01-31,16.6,13.5,21.4,4.7,,170.0,5.0,,1014.1,
2023-02-01,16.8,13.4,20.6,0.0,,186.0,6.5,,1014.0,
2023-02-02,16.9,13.9,23.0,1.3,,172.0,5.6,,1014.0,
2023-02-03,16.7,12.6,24.0,0.2,,117.0,6.6,,1014.9,
2023-02-04,16.5,12.0,23.0,1.4,,131.0,7.1,,1015.7,
2023-02-05,16.9,12.1,22.0,0.6,,169.0,7.9,,1014.7,
2023-02-06,16.9,14.0,21.0,2.2,,74.0,5.9,,1013.7,
2023-02-07,17.4,14.0,24.0,1.4,,141.0,7.6,,1013.3,
2023-02-08,17.3,14.5,23.0,1.2,,135.0,7.1,,1013.5,
2023-02-09,16.8,13.6,22.0,6.8,,136.0,6.6,,1013.6,
2023-02-10,17.1,13.3,23.0,1.9,,158.0,6.9,,1013.1,
2023-02-11,17.1,13.6,22.0,2.7,,120.0,6.7,,1012.4,
2023-02-12,17.4,14.7,23.0,6.6,,134.0,6.5,,1012.0,
2023-02-13,17.2,14.7,24.0,6.0,,149.0,6.6,,1012.5,
2023-02-14,17.1,14.7,20.3,5.6,,153.0,6.8,,1013.6,
2023-02-15,17.4,14.2,23.0,6.7,,153.0,6.3,,1014.4,
2023-02-16,17.8,14.0,24.0,7.9,,128.0,6.7,,1014.0,
2023-02-17,18.7,15.0,24.0,6.4,,229.0,6.8,,1013.0,
2023-02-18,17.8,14.8,23.0,4.7,,303.0,6.6,,1013.6,
2023-02-19,17.8,13.0,25.0,9.7,,172.0,7.2,,1013.5,
2023-02-20,17.3,14.4,23.0,14.6,,58.0,6.4,,1013.9,
2023-02-21,16.9,13.8,21.0,14.6,,95.0,5.3,,1014.5,
