time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,24.0,21.8,28.0,15.9,,41.0,5.6,,1013.5,
2023-01-02,24.6,22.3,29.1,7.9,,118.0,5.3,,1013.4,
2023-01-03,24.8,22.5,27.6,7.8,,25.0,5.6,,1013.3,
2023-01-04,24.7,22.0,28.3,2.4,,227.0,5.3,,1012.0,
2023-01-05,24.0,22.2,27.9,11.3,,206.0,6.0,,1012.5,
2023-01-06,24.2,22.2,27.8,7.0,,208.0,7.2,,1012.6,
2023-01-07,24.1,22.1,27.3,8.3,,208.0,7.5,,1012.8,
2023-01-08,23.8,22.5,26.8,13.7,,209.0,7.5,,1013.1,
2023-01-09,23.6,21.9,27.8,29.2,,212.0,6.3,,1013.6,
2023-01-10,23.7,21.9,27.6,25.7,,209.0,6.3,,1013.4,
2023-01-11,24.0,21.4,28.5,10.1,,214.0,11.3,,1012.7,
2023-01-12,23.9,22.0,28.4,26.9,,201.0,10.8,,1012.7,
2023-01-13,24.1,22.0,27.9,29.4,,209.0,10.6,,1011.6,
2023-01-14,24.3,22.3,27.8,68.2,,232.0,11.2,,1012.0,
2023-01-15,24.2,22.4,28.1,13.7,,233.0,11.2,,1012.3,
2023-01-16,24.5,22.7,28.4,3.0,,197.0,12.0,,1011.5,
2023-01-17,24.4,22.6,28.1,9.2,,203.0,12.9,,1010.9,
2023-01-18,24.3,22.4,28.7,14.8,,207.0,14.0,,1011.3,
2023-01-19,24.2,22.2,28.6,14.5,,197.0,9.8,,1012.1,
2023-01-20,24.1,21.7,28.3,16.1,,211.0,11.2,,1011.8,
2023-01-21,23.3,21.9,26.2,22.9,,202.0,13.6,,1011.0,
2023-01-22,24.0,21.9,27.7,35.8,,203.0,12.4,,1009.9,
2023-01-23,25.0,22.4,28.9,9.8,,233.0,10.4,,1009.7,
2023-01-24,24.8,22.3,28.9,6.9,,201.0,9.9,,1010.0,
2023-01-25,24.7,22.8,28.7,14.4,,205.0,11.5,,1009.8,
2023-01-26,24.3,22.1,29.0,11.0,,179.0,11.5,,1010.0,
2023-01-27,24.9,22.9,27.9,3.4,,220.0,13.4,,1009.7,
2023-01-28,25.2,23.0,29.4,7.9,,207.0,12.5,,1008.7,
2023-01-29,24.8,22.9,29.4,16.0,,208.0,11.9,,1009.2,
2023-01-30,24.3,22.3,28.9,13.6,,151.0,9.2,,1010.1,
2023-01-31,24.8,22.6,29.2,12.4,,200.0,8.5,,1010.5,
2023-02-01,24.2,22.6,27.3,1.0,,203.0,11.0,,1010.5,
2023-02-02,25.0,22.7,29.0,4.4,,215.0,10.7,,1010.1,
2023-02-03,25.0,22.8,29.2,3.6,,189.0,8.8,,1011.0,
2023-02-04,24.9,22.6,28.5,2.9,,199.0,8.8,,1011.8,
2023-02-05,25.5,22.6,29.5,6.4,,201.0,9.6,,1010.7,
2023-02-06,25.2,22.9,29.8,11.1,,185.0,10.9,,1009.8,
2023-02-07,25.2,23.1,29.7,33.5,,200.0,11.7,,1009.3,
2023-02-08,24.8,22.8,29.6,17.8,,195.0,10.9,,1009.6,
2023-02-09,25.1,23.1,27.6,11.8,,233.0,9.2,,1009.4,
2023-02-10,25.4,23.2,30.7,19.5,,210.0,12.4,,1008.9,
2023-02-11,25.1,23.5,29.6,32.8,,197.0,11.5,,1008.2,
2023-02-12,25.2,23.3,29.8,24.7,,208.0,11.6,,1007.7,
2023-02-13,24.9,23.1,28.3,47.9,,211.0,10.9,,1008.4,
2023-02-14,24.7,22.7,28.5,15.4,,217.0,11.7,,1009.5,
2023-02-15,25.3,23.2,29.2,8.2,,205.0,9.1,,1010.1,
2023-02-16,25.2,23.2,29.1,20.6,,216.0,9.0,,1009.7,
2023-02-17,25.6,23.6,30.3,9.0,,210.0,10.1,,1009.0,
2023-02-18,25.0,22.8,29.3,8.1,,186.0,10.6,,1009.6,
2023-02-19,25.3,23.4,29.7,6.1,,212.0,9.3,,1009.4,
2023-02-20,25.1,22.7,29.9,3.5,,199.0,8.3,,1009.6,
2023-02-21,24.6,22.7,27.7,7.2,,204.0,9.1,,1010.3,
2023-02-22,24.5,22.4,27.3,19.0,,219.0,6.8,,1011.9,
2023-02-23,25.6,22.5,30.0,4.3,,207.0,10.0,,1012.1,
2023-02-24,25.4,23.0,29.2,14.0,,232.0,11.3,,1012.1,
2023-02-25,25.2,23.1,29.7,39.1,,209.0,11.3,,1011.6,
2023-02-26,25.8,23.4,29.9,1.9,,244.0,9.8,,1010.6,
2023-02-27,25.7,22.7,29.8,0.9,,272.0,8.4,,1010.0,
2023-02-28,26.0,23.9,29.1,4.3,,249.0,10.9,,1010.4,
2023-03-01,25.7,24.0,29.3,25.8,,215.0,9.2,,1010.3,
2023-03-02,25.4,23.4,28.2,23.4,,235.0,10.4,,1008.4,
2023-03-03,25.4,23.3,28.9,33.1,,228.0,11.1,,1008.0,
2023-03-04,25.8,23.9,29.9,11.7,,225.0,8.0,,1008.9,
2023-03-05,24.8,23.6,27.2,15.9,,214.0,7.9,,1010.3,
2023-03-06,25.2,23.0,29.4,12.2,,239.0,11.2,,1010.5,
2023-03-07,24.2,23.1,26.3,82.6,,203.0,10.0,,1011.2,
2023-03-08,24.3,22.4,29.4,18.7,,214.0,11.9,,1011.8,
2023-03-09,23.4,22.4,24.2,52.8,,226.0,12.2,,1012.7,
2023-03-10,24.8,22.2,29.6,5.8,,215.0,11.7,,1011.9,
2023-03-11,24.7,22.7,29.2,5.5,,178.0,7.4,,1012.3,
2023-03-12,24.8,22.5,28.0,1.5,,83.0,7.1,,1012.1,
2023-03-13,25.0,22.4,29.0,5.6,,55.0,8.5,,1012.8,
2023-03-14,25.8,22.7,30.3,6.0,,56.0,7.6,,1013.0,
2023-03-15,25.3,23.7,28.7,0.0,,29.0,6.6,,1012.5,
2023-03-16,25.7,22.1,29.8,0.0,,49.0,7.2,,1012.3,
2023-03-17,25.8,22.7,30.1,0.6,,244.0,8.4,,1012.1,
2023-03-18,25.8,22.9,30.3,0.1,,262.0,8.9,,1011.9,
2023-03-19,25.7,23.4,29.8,3.7,,183.0,7.8,,1011.9,
2023-03-20,25.5,23.0,30.3,4.6,,191.0,7.6,,1011.9,
2023-03-21,25.9,22.8,29.7,0.5,,135.0,7.7,,1010.9,
2023-03-22,25.2,23.1,29.8,9.4,,203.0,10.7,,1010.7,
2023-03-23,24.6,23.0,29.4,20.2,,211.0,13.5,,1010.9,
2023-03-24,24.4,22.5,29.1,25.8,,214.0,12.9,,1011.3,
2023-03-25,25.4,22.6,30.1,6.4,,210.0,10.5,,1010.5,
2023-03-26,24.8,22.9,29.2,29.2,,166.0,9.8,,1010.4,
2023-03-27,25.3,22.4,29.7,2.4,,196.0,8.9,,1010.5,
2023-03-28,25.8,23.0,29.9,5.2,,175.0,8.3,,1010.0,
2023-03-29,25.3,23.1,29.2,4.5,,199.0,8.9,,1009.9,
2023-03-30,25.7,23.6,29.7,17.1,,205.0,10.3,,1009.3,
2023-03-31,24.8,23.3,28.5,45.5,,195.0,11.7,,1010.8,
2023-04-01,25.6,23.0,30.0,7.9,,203.0,9.0,,1010.1,
2023-04-02,25.6,23.1,29.7,2.7,,202.0,7.9,,1009.5,
2023-04-03,26.0,23.7,30.7,11.1,,203.0,9.7,,1008.0,
2023-04-04,25.2,23.5,29.0,10.6,,222.0,8.9,,1008.4,
2023-04-05,25.7,23.6,30.5,20.1,,194.0,9.8,,1008.3,
2023-04-06,25.0,23.0,30.5,12.5,,199.0,12.2,,1010.0,
2023-04-07,25.0,22.9,31.0,13.3,,197.0,12.2,,1010.6,
2023-04-08,25.8,22.4,29.2,0.0,,75.0,9.1,,1010.0,
2023-04-09,26.6,23.7,30.2,2.8,,73.0,8.9,,1009.5,
2023-04-10,25.8,23.6,28.9,10.8,,98.0,8.0,,1010.3,
2023-04-11,26.0,23.6,29.0,7.7,,284.0,9.2,,1009.7,
2023-04-12,25.8,23.0,29.1,5.1,,226.0,9.5,,1009.1,
2023-04-13,25.8,23.3,30.6,16.4,,196.0,10.1,,1008.2,
2023-04-14,25.1,23.2,29.4,14.4,,190.0,10.7,,1009.0,
2023-04-15,25.1,23.2,29.8,25.8,,210.0,9.2,,1010.2,
2023-04-16,24.3,22.9,27.2,30.5,,206.0,12.5,,1011.8,
2023-04-17,25.6,22.4,30.5,2.6,,275.0,10.1,,1010.4,
2023-04-18,25.9,23.6,29.7,5.0,,228.0,8.3,,1009.4,
2023-04-19,26.3,23.2,30.6,1.7,,210.0,9.9,,1008.9,
2023-04-20,24.7,23.5,26.1,42.1,,190.0,8.5,,1011.4,
2023-04-21,25.1,23.1,30.1,24.9,,191.0,11.5,,1011.4,
2023-04-22,24.8,22.7,28.2,4.0,,159.0,8.3,,1010.9,
2023-04-23,25.9,22.7,31.1,9.9,,190.0,10.9,,1010.9,
2023-04-24,26.5,23.6,29.7,2.6,,77.0,7.5,,1010.3,
2023-04-25,26.2,23.9,29.4,2.8,,164.0,9.0,,1010.7,
2023-04-26,26.1,23.6,30.6,1.5,,203.0,8.5,,1010.8,
2023-04-27,25.5,23.3,29.6,12.1,,197.0,7.8,,1010.9,
2023-04-28,26.2,22.9,30.3,8.2,,16.0,9.5,,1010.5,
2023-04-29,25.6,23.1,29.5,17.2,,205.0,9.0,,1012.0,
2023-04-30,25.5,23.3,28.2,4.4,,168.0,7.0,,1011.9,
2023-05-01,25.7,23.0,29.9,2.7,,205.0,9.6,,1010.6,
2023-05-02,26.9,23.8,30.8,3.9,,203.0,8.7,,1008.4,
2023-05-03,26.2,24.5,29.9,12.1,,140.0,8.3,,1007.7,
2023-05-04,26.2,23.7,30.7,6.1,,198.0,9.8,,1007.9,
2023-05-05,26.0,24.1,29.9,25.9,,165.0,9.7,,1008.1,
2023-05-06,25.5,23.7,30.4,39.6,,195.0,10.7,,1009.2,
2023-05-07,26.6,23.5,31.4,0.8,,228.0,9.2,,1008.5,
2023-05-08,26.4,24.5,29.9,8.0,,224.0,11.0,,1008.5,
2023-05-09,25.6,23.9,29.8,46.3,,185.0,9.0,,1010.1,
2023-05-10,25.0,23.9,27.4,15.2,,197.0,8.5,,1011.0,
2023-05-11,26.0,23.5,30.9,14.1,,202.0,9.4,,1010.0,
2023-05-12,26.1,23.7,30.8,13.5,,166.0,9.3,,1009.5,
