time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,29.2,23.0,34.0,0.0,,61.0,19.5,,1013.0,
2023-01-02,28.5,22.2,34.0,0.0,,55.0,20.4,,1013.4,
2023-01-03,28.7,22.0,34.0,0.0,,59.0,19.0,,1013.8,
2023-01-04,28.6,22.0,33.0,0.0,,61.0,22.1,,1013.5,
2023-01-05,28.8,23.0,34.0,0.0,,61.0,19.4,,1012.4,
2023-01-06,29.5,23.7,34.0,0.0,,58.0,18.1,,1012.8,
2023-01-07,29.2,23.8,34.0,0.0,,61.0,17.4,,1012.9,
2023-01-08,29.0,23.9,33.0,0.0,,58.0,18.7,,1013.5,
2023-01-09,29.2,23.5,34.0,0.0,,49.0,14.8,,1013.3,
2023-01-10,28.0,23.5,33.0,3.0,,27.0,3.4,,1013.8,
2023-01-11,28.1,22.5,34.0,0.5,,62.0,17.4,,1013.5,
2023-01-12,28.7,24.4,34.0,0.0,,60.0,22.3,,1013.0,
2023-01-13,29.5,23.4,36.0,0.0,,51.0,14.1,,1012.1,
2023-01-14,30.1,24.5,35.0,0.0,,56.0,16.8,,1012.4,
2023-01-15,29.5,23.9,34.0,0.0,,55.0,22.1,,1013.6,
2023-01-16,28.7,22.0,34.1,0.0,,56.0,20.9,,1012.3,
2023-01-17,29.1,22.0,35.1,0.0,,61.0,17.5,,1011.4,
2023-01-18,29.4,22.9,34.0,0.0,,59.0,19.4,,1011.9,
2023-01-19,29.9,23.0,35.1,0.0,,65.0,21.9,,1012.6,
2023-01-20,29.4,22.8,34.0,0.0,,55.0,27.4,,1012.5,
2023-01-21,29.7,23.6,34.0,0.0,,55.0,26.6,,1011.3,
2023-01-22,30.0,23.5,35.0,0.0,,61.0,20.7,,1010.5,
2023-01-23,30.0,23.2,36.0,0.0,,53.0,23.8,,1011.0,
2023-01-24,31.1,25.0,34.2,0.0,,55.0,26.0,,1011.0,
2023-01-25,30.4,24.0,35.4,0.0,,64.0,23.4,,1010.2,
2023-01-26,29.5,22.7,34.0,0.0,,57.0,27.2,,1010.8,
2023-01-27,29.7,24.8,33.0,0.0,,47.0,31.5,,1011.2,
2023-01-28,29.6,24.5,34.0,0.0,,45.0,31.1,,1011.7,
2023-01-29,29.6,22.9,34.0,0.0,,53.0,26.6,,1011.3,
2023-01-30,28.9,21.9,34.0,0.0,,57.0,24.5,,1011.9,
2023-01-31,29.1,22.4,34.0,0.0,,60.0,23.1,,1012.4,
2023-02-01,29.4,23.9,34.0,0.0,,53.0,28.9,,1012.3,
2023-02-02,29.7,24.0,34.0,0.0,,46.0,28.3,,1012.0,
2023-02-03,29.1,22.4,35.0,0.0,,56.0,23.9,,1010.9,
2023-02-04,29.4,22.6,35.0,0.0,,54.0,22.6,,1013.6,
2023-02-05,30.0,24.0,35.0,0.0,,61.0,25.3,,1011.7,
2023-02-06,30.3,25.0,36.0,0.0,,62.0,22.5,,1011.0,
2023-02-07,29.9,23.9,34.0,0.0,,54.0,29.5,,1010.8,
2023-02-08,29.6,25.0,33.0,0.0,,49.0,31.2,,1011.1,
2023-02-09,30.1,26.0,33.3,0.0,,46.0,32.3,,1011.0,
2023-02-10,30.5,23.3,35.0,0.0,,47.0,29.0,,1009.7,
2023-02-11,30.5,24.0,34.0,0.0,,56.0,26.7,,1009.6,
2023-02-12,29.8,24.0,34.0,0.0,,56.0,27.0,,1008.9,
2023-02-13,30.0,24.0,34.0,0.0,,56.0,25.4,,1009.8,
2023-02-14,29.8,24.6,34.0,0.0,,58.0,25.1,,1010.4,
2023-02-15,30.2,24.9,34.6,0.0,,54.0,28.9,,1011.4,
2023-02-16,30.1,25.9,34.0,0.0,,50.0,28.6,,1010.8,
2023-02-17,29.8,22.9,35.0,0.0,,53.0,28.0,,1010.4,
2023-02-18,30.0,25.4,34.0,0.0,,42.0,33.4,,1011.9,
2023-02-19,30.3,22.7,36.0,0.0,,55.0,29.4,,1011.1,
2023-02-20,30.2,23.0,35.0,0.0,,51.0,28.6,,1011.2,
2023-02-21,29.2,22.0,35.0,0.0,,59.0,26.2,,1011.6,
2023-02-22,30.0,22.6,35.9,0.0,,53.0,26.7,,1013.9,
2023-02-23,30.1,24.7,34.0,0.0,,49.0,30.9,,1013.6,
2023-02-24,29.7,24.4,33.1,0.0,,47.0,30.8,,1013.7,
2023-02-25,29.4,25.0,33.0,0.0,,46.0,30.8,,1012.7,
2023-02-26,30.1,23.4,35.1,0.0,,54.0,25.5,,1012.2,
2023-02-27,30.2,22.9,36.0,0.0,,53.0,21.9,,1011.7,
2023-02-28,30.7,23.0,36.0,1.0,,54.0,22.6,,1011.6,
2023-03-01,30.9,24.0,37.0,0.0,,58.0,24.3,,1011.3,
2023-03-02,30.7,24.4,35.0,0.0,,56.0,26.6,,1009.5,
2023-03-03,30.7,23.5,36.0,0.0,,57.0,25.7,,1008.4,
2023-03-04,31.3,24.5,38.0,0.0,,53.0,20.6,,1009.1,
2023-03-05,30.1,24.4,34.0,0.0,,55.0,24.1,,1010.5,
2023-03-06,29.9,25.0,33.1,0.1,,60.0,26.1,,1011.3,
2023-03-07,30.1,23.4,35.4,0.0,,53.0,21.8,,1010.8,
2023-03-08,28.8,24.6,36.2,0.0,,57.0,13.4,,1012.4,
2023-03-09,24.5,22.6,25.4,79.0,,49.0,11.6,,1014.3,
2023-03-10,27.8,22.9,33.3,1.0,,53.0,17.4,,1013.3,
2023-03-11,29.2,24.0,35.0,0.0,,57.0,12.4,,1013.1,
2023-03-12,27.5,22.2,33.2,19.1,,40.0,8.4,,1013.7,
2023-03-13,28.7,23.9,35.0,1.0,,57.0,12.6,,1014.1,
2023-03-14,27.3,24.0,33.6,0.0,,47.0,11.5,,1013.9,
2023-03-15,27.9,22.7,34.0,2.2,,338.0,6.3,,1012.3,
2023-03-16,27.6,24.0,31.9,0.0,,246.0,8.4,,1012.8,
2023-03-17,28.8,23.8,33.4,0.0,,62.0,18.3,,1012.6,
2023-03-18,29.7,22.9,34.4,0.0,,62.0,16.3,,1013.1,
2023-03-19,29.9,22.7,36.0,0.0,,60.0,17.1,,1012.9,
2023-03-20,29.9,22.5,35.6,0.0,,46.0,14.4,,1012.7,
2023-03-21,30.2,23.8,34.2,0.0,,53.0,26.8,,1012.4,
2023-03-22,30.2,25.4,34.0,0.0,,43.0,30.9,,1012.0,
2023-03-23,30.2,23.0,35.0,0.0,,51.0,26.7,,1012.0,
2023-03-24,30.8,23.0,36.0,0.0,,52.0,22.7,,1011.5,
2023-03-25,31.0,23.9,36.0,0.0,,58.0,24.4,,1011.7,
2023-03-26,31.1,24.0,36.5,0.0,,59.0,21.9,,1010.9,
2023-03-27,30.7,24.7,34.2,0.0,,58.0,26.1,,1011.2,
2023-03-28,30.1,24.0,35.0,0.0,,58.0,24.8,,1011.2,
2023-03-29,30.6,23.6,36.0,0.0,,56.0,24.7,,1010.8,
2023-03-30,30.4,23.7,35.0,0.0,,57.0,26.2,,1011.2,
2023-03-31,30.6,26.0,34.0,0.0,,49.0,31.0,,1011.8,
2023-04-01,30.7,24.7,36.0,0.0,,54.0,26.8,,1011.3,
2023-04-02,30.9,24.4,36.0,0.0,,64.0,25.4,,1010.5,
2023-04-03,31.1,25.0,36.0,0.0,,58.0,23.7,,1009.2,
2023-04-04,31.4,25.0,36.0,0.0,,56.0,25.7,,1008.8,
2023-04-05,30.6,25.5,35.0,0.3,,59.0,24.9,,1009.4,
