time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,25.6,21.5,29.8,20.4,,206.0,5.3,,1013.2,
2023-01-02,27.2,21.6,30.0,18.2,,159.0,4.8,,1012.9,
2023-01-03,25.8,22.4,31.0,19.8,,113.0,5.0,,1012.8,
2023-01-04,27.1,23.0,32.0,2.2,,339.0,3.8,,1011.2,
2023-01-05,25.7,23.0,31.6,6.2,,176.0,7.5,,1011.8,
2023-01-06,27.0,22.8,32.0,4.6,,289.0,4.3,,1012.0,
2023-01-07,25.2,21.9,28.0,16.3,,118.0,4.9,,1012.4,
2023-01-08,25.3,23.0,29.0,18.2,,158.0,4.6,,1012.4,
2023-01-09,24.9,22.6,29.8,34.0,,74.0,5.8,,1012.7,
2023-01-10,25.5,22.6,29.6,7.1,,104.0,5.1,,1012.8,
2023-01-11,26.4,21.6,32.0,19.1,,163.0,6.2,,1012.4,
2023-01-12,26.9,22.0,31.6,0.0,,125.0,5.3,,1011.9,
2023-01-13,27.4,22.6,31.7,8.3,,157.0,7.6,,1010.9,
2023-01-14,26.4,22.8,31.8,4.0,,208.0,4.7,,1011.1,
2023-01-15,26.1,22.4,31.0,72.9,,348.0,6.9,,1011.1,
2023-01-16,26.3,21.6,31.0,0.0,,21.0,3.8,,1010.7,
2023-01-17,25.8,22.0,30.8,14.0,,176.0,8.1,,1010.2,
2023-01-18,25.8,22.4,29.0,0.0,,199.0,4.8,,1011.0,
2023-01-19,25.6,22.6,29.0,14.0,,57.0,5.7,,1011.3,
2023-01-20,25.6,21.4,29.0,0.0,,335.0,4.5,,1011.1,
2023-01-21,26.9,22.4,31.0,0.3,,44.0,6.4,,1010.0,
2023-01-22,27.1,23.0,30.8,0.0,,268.0,6.2,,1009.4,
2023-01-23,27.4,22.6,33.0,0.3,,77.0,5.3,,1009.4,
2023-01-24,27.2,22.5,32.8,7.7,,120.0,4.4,,1009.1,
2023-01-25,28.2,23.6,32.7,5.9,,246.0,7.3,,1008.5,
2023-01-26,27.0,23.6,33.0,7.9,,318.0,6.0,,1008.8,
2023-01-27,27.1,23.6,32.5,13.9,,9.0,6.8,,1009.0,
2023-01-28,27.3,24.0,30.4,1.9,,335.0,6.2,,1008.2,
2023-01-29,27.2,23.6,30.6,4.9,,355.0,6.0,,1008.3,
2023-01-30,26.7,23.6,30.6,15.6,,1.0,4.8,,1009.6,
2023-01-31,27.1,22.4,31.2,95.0,,320.0,5.6,,1009.5,
2023-02-01,27.3,21.0,31.6,0.0,,45.0,6.0,,1009.6,
2023-02-02,27.3,23.6,31.0,0.0,,12.0,6.5,,1009.4,
2023-02-03,25.9,22.6,31.6,0.0,,26.0,4.5,,1011.2,
2023-02-04,25.4,22.4,27.5,2.0,,320.0,6.1,,1011.4,
