time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,23.5,22.6,26.0,14.3,,174.0,5.6,,1013.9,
2023-01-02,23.8,23.1,25.3,8.5,,192.0,7.3,,1013.8,
2023-01-03,24.4,22.9,26.6,11.2,,192.0,4.3,,1013.7,
2023-01-04,24.8,22.8,27.1,3.0,,273.0,3.9,,1012.2,
2023-01-05,24.5,23.0,28.0,6.1,,198.0,5.0,,1012.4,
2023-01-06,24.7,22.9,29.0,8.0,,277.0,4.2,,1012.8,
2023-01-07,24.8,23.0,28.0,4.5,,206.0,4.5,,1012.7,
2023-01-08,24.6,22.4,28.0,7.5,,289.0,4.7,,1013.1,
2023-01-09,24.5,22.8,28.0,22.8,,193.0,4.6,,1013.5,
2023-01-10,24.1,23.0,27.0,22.1,,147.0,6.3,,1013.4,
2023-01-11,24.5,22.3,27.0,5.8,,222.0,7.8,,1012.9,
2023-01-12,24.4,22.6,26.4,9.6,,183.0,9.0,,1012.7,
2023-01-13,24.5,22.8,26.9,6.4,,352.0,8.0,,1011.9,
2023-01-14,24.7,23.5,27.0,4.7,,30.0,8.4,,1012.2,
2023-01-15,25.4,23.8,28.6,3.6,,6.0,16.1,,1011.9,
2023-01-16,25.3,23.3,28.5,13.4,,344.0,13.2,,1011.4,
2023-01-17,24.8,23.2,27.1,7.8,,216.0,9.3,,1010.8,
2023-01-18,24.3,22.7,27.0,16.0,,201.0,7.8,,1011.5,
2023-01-19,24.5,22.6,26.3,8.0,,177.0,8.9,,1012.2,
2023-01-20,24.6,22.5,28.0,10.1,,246.0,7.6,,1011.9,
2023-01-21,24.3,23.0,26.2,25.0,,180.0,12.4,,1010.8,
2023-01-22,24.7,22.8,27.8,8.0,,146.0,12.3,,1009.8,
2023-01-23,25.1,22.6,27.5,3.8,,352.0,8.4,,1010.0,
2023-01-24,25.1,23.3,27.0,5.0,,177.0,10.4,,1009.9,
2023-01-25,24.9,22.5,26.9,20.5,,189.0,12.4,,1009.8,
2023-01-26,24.5,22.9,25.6,9.1,,209.0,9.1,,1010.1,
2023-01-27,25.6,23.7,29.0,3.7,,201.0,9.3,,1009.7,
2023-01-28,26.0,23.6,30.0,1.0,,22.0,13.8,,1008.8,
2023-01-29,25.9,24.0,30.0,0.5,,35.0,11.8,,1009.0,
2023-01-30,26.0,23.7,31.0,3.8,,354.0,9.1,,1010.1,
2023-01-31,25.9,23.3,28.8,0.3,,347.0,12.9,,1010.4,
2023-02-01,26.0,22.8,31.0,1.2,,21.0,12.2,,1010.2,
2023-02-02,25.9,24.0,28.5,1.4,,145.0,13.4,,1010.1,
2023-02-03,25.4,23.0,30.0,9.3,,28.0,9.6,,1011.2,
2023-02-04,25.4,23.1,28.4,0.9,,329.0,9.3,,1011.9,
2023-02-05,26.1,23.8,29.0,1.2,,2.0,11.1,,1010.6,
2023-02-06,25.8,22.0,29.7,1.8,,32.0,9.6,,1009.5,
2023-02-07,26.2,23.0,31.0,2.4,,45.0,11.1,,1009.0,
2023-02-08,25.9,23.7,29.0,9.5,,295.0,9.1,,1009.3,
2023-02-09,25.4,23.4,27.7,8.1,,217.0,9.2,,1009.5,
2023-02-10,26.3,23.9,31.0,10.9,,29.0,8.9,,1008.9,
2023-02-11,25.9,23.9,32.0,5.6,,229.0,9.0,,1008.3,
2023-02-12,26.2,24.4,28.8,5.9,,324.0,9.8,,1007.7,
2023-02-13,26.2,24.2,28.9,6.5,,330.0,11.0,,1008.1,
2023-02-14,26.0,24.3,27.8,4.5,,338.0,11.4,,1009.4,
2023-02-15,25.6,24.0,29.0,15.8,,300.0,11.0,,1010.1,
2023-02-16,24.6,23.0,26.6,18.2,,172.0,8.4,,1009.9,
2023-02-17,25.3,23.0,29.0,12.1,,2.0,7.0,,1009.3,
2023-02-18,26.0,23.1,30.0,3.9,,331.0,9.7,,1009.7,
2023-02-19,26.4,24.0,30.0,3.3,,47.0,14.7,,1009.3,
2023-02-20,26.4,23.9,31.0,0.7,,21.0,12.0,,1009.7,
2023-02-21,26.5,23.7,31.0,1.7,,28.0,12.4,,1010.3,
2023-02-22,26.3,23.9,30.0,0.2,,325.0,8.6,,1011.9,
2023-02-23,26.1,23.5,31.0,1.0,,332.0,9.2,,1012.1,
2023-02-24,26.1,23.0,29.0,1.8,,288.0,9.5,,1012.0,
2023-02-25,26.1,23.0,30.0,1.2,,322.0,10.2,,1011.5,
2023-02-26,25.7,23.6,28.3,0.0,,8.0,10.3,,1010.8,
2023-02-27,26.4,23.8,31.0,0.0,,27.0,10.2,,1010.1,
2023-02-28,26.2,23.0,30.0,0.1,,18.0,10.8,,1010.3,
2023-03-01,26.6,22.0,30.0,0.3,,15.0,10.5,,1010.3,
2023-03-02,26.6,23.0,31.0,1.2,,11.0,9.5,,1008.3,
2023-03-03,25.8,23.9,31.0,24.5,,181.0,8.8,,1008.0,
2023-03-04,25.7,23.8,30.0,36.9,,262.0,6.7,,1009.2,
2023-03-05,25.0,23.0,27.0,31.6,,220.0,8.7,,1010.3,
2023-03-06,25.3,23.0,27.0,16.1,,161.0,7.6,,1010.5,
2023-03-07,24.8,23.7,26.0,8.6,,161.0,10.4,,1010.9,
2023-03-08,25.3,23.3,29.0,21.1,,9.0,6.5,,1012.1,
2023-03-09,24.8,22.0,29.0,9.8,,299.0,5.5,,1012.6,
2023-03-10,25.4,23.0,30.0,11.9,,17.0,6.7,,1012.2,
2023-03-11,24.6,22.0,27.1,10.0,,68.0,8.2,,1012.6,
2023-03-12,25.5,21.0,29.0,0.0,,17.0,5.8,,1012.6,
2023-03-13,25.7,23.0,28.0,0.9,,351.0,4.8,,1013.1,
2023-03-14,25.3,23.0,30.0,2.9,,15.0,4.8,,1013.3,
2023-03-15,25.6,23.0,30.0,3.3,,35.0,4.6,,1012.9,
2023-03-16,25.3,22.0,30.0,3.1,,5.0,5.6,,1012.7,
2023-03-17,25.0,23.6,28.0,5.2,,22.0,5.6,,1012.3,
2023-03-18,25.7,23.0,29.0,2.0,,350.0,6.1,,1012.4,
2023-03-19,26.5,22.0,30.0,3.0,,22.0,8.8,,1012.0,
2023-03-20,26.0,23.0,31.0,7.4,,25.0,6.8,,1012.2,
2023-03-21,26.4,23.8,31.0,4.1,,13.0,10.1,,1011.1,
2023-03-22,25.9,23.6,30.0,7.3,,141.0,10.6,,1010.9,
2023-03-23,26.2,23.7,30.0,17.6,,7.0,10.8,,1011.1,
2023-03-24,26.1,23.7,30.0,11.1,,156.0,10.4,,1011.3,
2023-03-25,26.2,23.0,31.0,3.2,,15.0,8.7,,1010.8,
2023-03-26,26.1,23.0,31.0,29.0,,91.0,6.7,,1010.5,
2023-03-27,25.3,23.3,28.0,21.1,,158.0,7.9,,1010.7,
2023-03-28,25.9,23.7,29.0,9.4,,28.0,9.5,,1010.2,
2023-03-29,26.2,23.0,31.0,9.8,,313.0,8.9,,1009.9,
2023-03-30,26.6,23.6,31.0,3.9,,11.0,12.7,,1009.4,
2023-03-31,26.3,24.7,29.0,5.3,,2.0,11.2,,1010.3,
2023-04-01,26.0,23.9,29.0,6.3,,19.0,9.5,,1010.4,
2023-04-02,26.4,24.2,30.0,8.6,,335.0,6.9,,1009.5,
2023-04-03,26.0,24.3,28.0,11.8,,329.0,8.1,,1008.1,
2023-04-04,26.0,23.9,27.8,8.9,,220.0,10.1,,1008.4,
2023-04-05,26.5,23.7,31.0,23.2,,0.0,8.6,,1008.7,
2023-04-06,26.0,23.7,31.0,9.1,,136.0,9.8,,1009.9,
2023-04-07,25.7,23.0,30.0,12.3,,13.0,8.9,,1011.1,
2023-04-08,26.9,23.0,32.0,0.4,,11.0,9.1,,1010.5,
2023-04-09,27.5,23.0,32.0,0.3,,17.0,11.7,,1009.6,
2023-04-10,27.1,24.6,31.0,6.8,,14.0,11.2,,1010.3,
2023-04-11,27.5,24.6,38.0,6.8,,11.0,13.3,,1009.8,
2023-04-12,26.8,24.9,31.0,9.0,,12.0,10.9,,1009.1,
2023-04-13,26.3,24.8,29.0,7.7,,338.0,7.9,,1008.3,
2023-04-14,25.6,23.8,29.0,11.2,,179.0,8.5,,1009.1,
2023-04-15,25.4,23.8,28.0,19.8,,85.0,6.8,,1010.5,
2023-04-16,25.3,24.0,27.0,21.4,,122.0,7.0,,1011.7,
2023-04-17,26.2,23.9,30.0,4.1,,37.0,9.0,,1010.8,
2023-04-18,27.2,23.0,32.0,1.3,,20.0,9.5,,1009.6,
2023-04-19,27.5,24.0,32.0,1.6,,11.0,11.0,,1009.0,
2023-04-20,25.7,24.8,27.6,21.7,,157.0,8.5,,1011.2,
2023-04-21,25.7,24.0,28.0,4.8,,33.0,7.4,,1011.6,
2023-04-22,27.1,23.6,32.0,2.2,,111.0,8.3,,1010.9,
2023-04-23,26.1,23.0,30.0,2.5,,69.0,7.2,,1011.3,
2023-04-24,26.4,22.0,31.0,0.0,,25.0,9.4,,1010.8,
2023-04-25,27.3,23.0,32.0,1.2,,37.0,7.6,,1010.9,
2023-04-26,26.9,24.4,31.0,2.2,,26.0,5.9,,1010.9,
2023-04-27,25.9,23.0,29.0,29.7,,159.0,7.3,,1010.9,
2023-04-28,25.6,23.9,28.0,28.7,,34.0,7.6,,1011.0,
2023-04-29,25.7,24.3,28.0,13.1,,200.0,9.8,,1011.9,
2023-04-30,25.2,23.9,27.0,33.5,,117.0,8.8,,1012.1,
2023-05-01,26.3,23.7,30.0,12.0,,74.0,5.3,,1010.7,
2023-05-02,27.4,24.0,31.0,3.8,,2.0,7.5,,1008.5,
2023-05-03,26.5,24.5,29.0,9.0,,160.0,7.1,,1007.8,
2023-05-04,27.1,24.7,31.0,5.0,,22.0,7.5,,1007.9,
2023-05-05,27.3,24.1,31.0,24.4,,27.0,11.5,,1008.1,
2023-05-06,27.1,24.3,31.0,26.5,,41.0,9.1,,1009.1,
2023-05-07,27.2,24.7,31.0,1.0,,7.0,11.0,,1008.7,
2023-05-08,27.8,25.4,32.0,14.7,,350.0,11.3,,1008.6,
2023-05-09,27.5,25.4,31.0,10.2,,61.0,8.2,,1009.8,
2023-05-10,25.6,24.5,28.0,17.4,,165.0,11.4,,1011.0,
2023-05-11,27.1,24.0,31.0,12.5,,28.0,9.9,,1010.2,
2023-05-12,26.8,24.4,31.0,8.2,,8.0,7.3,,1009.8,
2023-05-13,27.3,24.7,31.0,6.9,,58.0,7.5,,1009.1,
2023-05-14,26.6,24.3,30.0,13.3,,179.0,8.3,,1011.0,
2023-05-15,26.3,24.7,28.5,30.9,,184.0,10.0,,1012.6,
2023-05-16,25.8,24.5,28.0,95.1,,161.0,10.4,,1013.2,
2023-05-17,27.2,24.0,31.0,0.4,,324.0,9.1,,1010.2,
2023-05-18,27.3,24.0,31.0,7.3,,31.0,6.8,,1009.5,
2023-05-19,26.3,24.4,29.0,26.7,,134.0,6.9,,1010.2,
2023-05-20,25.7,24.9,27.3,31.2,,159.0,16.9,,1010.3,
2023-05-21,25.1,24.6,25.9,60.9,,173.0,16.8,,1010.8,
2023-05-22,25.4,24.2,27.0,20.4,,202.0,12.1,,1011.1,
2023-05-23,25.6,24.0,30.0,11.9,,180.0,15.1,,1011.6,
2023-05-24,26.2,24.2,28.3,4.6,,177.0,8.2,,1009.5,
2023-05-25,26.0,24.3,28.2,12.1,,179.0,13.0,,1009.8,
2023-05-26,26.0,24.7,28.0,6.0,,182.0,11.8,,1011.1,
2023-05-27,26.7,24.0,28.9,7.3,,12.0,8.5,,1011.6,
2023-05-28,26.3,24.5,28.1,3.7,,200.0,9.5,,1011.7,
2023-05-29,25.6,24.2,27.6,24.9,,171.0,8.7,,1011.7,
2023-05-30,26.2,23.0,28.5,3.4,,175.0,13.8,,1011.3,
2023-05-31,25.9,24.6,30.0,10.9,,197.0,9.8,,1011.7,
2023-06-01,25.2,24.4,26.8,31.4,,167.0,7.9,,1012.3,
2023-06-02,26.4,24.3,30.0,3.0,,185.0,9.4,,1010.5,
2023-06-03,27.1,24.4,30.0,1.7,,345.0,8.3,,1009.1,
2023-06-04,26.0,24.0,28.1,8.9,,196.0,10.7,,1011.0,
2023-06-05,26.5,24.7,30.0,16.3,,352.0,9.3,,1011.4,
2023-06-06,25.8,24.0,28.4,17.7,,270.0,7.1,,1011.2,
2023-06-07,25.7,24.5,30.0,68.1,,228.0,10.1,,1011.7,
2023-06-08,25.1,24.1,26.7,48.1,,167.0,11.6,,1013.0,
2023-06-09,25.7,24.4,30.0,24.6,,168.0,14.7,,1013.0,
2023-06-10,25.5,24.1,28.0,17.6,,180.0,10.5,,1012.5,
2023-06-11,26.8,23.9,30.0,3.3,,183.0,8.0,,1011.2,
2023-06-12,26.1,24.7,28.1,15.2,,191.0,9.0,,1010.2,
2023-06-13,26.1,24.6,27.9,12.9,,180.0,10.5,,1009.6,
2023-06-14,25.8,24.2,27.6,17.0,,188.0,10.9,,1010.2,
2023-06-15,25.8,24.5,27.6,15.6,,183.0,11.0,,1009.9,
2023-06-16,25.5,24.6,30.0,34.7,,171.0,13.6,,1010.6,
2023-06-17,25.3,24.2,27.0,31.3,,166.0,12.1,,1011.2,
2023-06-18,26.7,23.7,29.1,0.4,,9.0,8.8,,1008.8,
2023-06-19,26.9,24.7,28.9,3.7,,181.0,7.1,,1009.0,
2023-06-20,26.5,24.3,28.6,13.9,,180.0,11.1,,1008.6,
2023-06-21,25.9,24.4,28.6,26.8,,184.0,13.2,,1009.1,
2023-06-22,25.4,24.7,26.6,8.1,,169.0,12.7,,1011.0,
2023-06-23,25.5,24.2,27.5,22.7,,152.0,12.3,,1011.8,
