time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,27.8,22.6,33.0,4.0,,303.0,5.4,,1011.6,
2023-01-02,27.2,23.4,32.0,7.1,,291.0,8.2,,1011.7,
2023-01-03,28.2,22.8,33.3,0.2,,299.0,5.8,,1012.1,
2023-01-04,28.6,23.5,34.0,0.3,,355.0,5.2,,1011.3,
2023-01-05,29.1,22.3,34.2,0.0,,343.0,7.2,,1011.1,
2023-01-06,28.4,23.0,33.2,0.0,,305.0,7.4,,1011.2,
2023-01-07,28.5,23.4,34.5,10.1,,285.0,6.3,,1011.5,
2023-01-08,27.7,22.9,33.0,6.1,,353.0,6.3,,1011.8,
2023-01-09,26.7,22.4,34.4,5.9,,283.0,5.5,,1012.0,
2023-01-10,26.2,23.3,30.0,8.2,,215.0,7.7,,1012.1,
2023-01-11,27.3,21.9,33.0,4.8,,23.0,5.9,,1011.9,
2023-01-12,27.2,22.3,33.0,3.6,,258.0,6.2,,1011.3,
2023-01-13,28.3,23.6,33.0,9.4,,275.0,8.3,,1010.6,
2023-01-14,28.2,23.8,32.2,5.2,,20.0,8.7,,1011.1,
2023-01-15,27.9,22.2,31.0,1.0,,15.0,8.2,,1011.9,
2023-01-16,28.6,22.3,34.0,0.0,,16.0,7.6,,1010.8,
2023-01-17,28.4,22.0,34.0,0.0,,341.0,5.9,,1009.8,
2023-01-18,28.6,22.3,34.0,0.7,,300.0,6.6,,1010.3,
2023-01-19,28.4,22.3,34.0,1.1,,295.0,6.9,,1010.9,
2023-01-20,28.8,22.9,35.0,0.1,,339.0,4.9,,1010.6,
2023-01-21,28.3,22.6,33.4,0.0,,358.0,6.3,,1009.4,
2023-01-22,28.7,22.0,35.0,0.0,,327.0,6.8,,1008.7,
2023-01-23,29.3,23.0,34.2,7.2,,320.0,6.1,,1009.4,
2023-01-24,29.2,23.9,33.0,0.0,,307.0,4.9,,1008.7,
2023-01-25,29.7,23.9,35.0,0.0,,2.0,6.9,,1008.0,
2023-01-26,29.9,24.0,35.0,0.0,,326.0,6.0,,1008.2,
2023-01-27,29.6,22.2,36.0,0.0,,3.0,6.6,,1009.0,
2023-01-28,29.1,21.5,35.0,0.0,,16.0,7.5,,1008.8,
2023-01-29,28.2,20.0,35.2,0.0,,7.0,6.5,,1008.6,
2023-01-30,28.4,22.0,34.2,0.0,,313.0,7.2,,1009.6,
2023-01-31,28.4,22.6,34.0,0.0,,340.0,7.4,,1010.1,
2023-02-01,28.5,20.7,35.0,0.0,,16.0,7.9,,1010.1,
2023-02-02,27.8,19.7,35.0,0.0,,36.0,7.0,,1009.9,
2023-02-03,28.2,19.9,34.0,0.0,,301.0,9.0,,1010.3,
2023-02-04,28.2,23.4,34.0,0.0,,301.0,6.2,,1011.4,
2023-02-05,28.1,22.5,33.0,0.2,,353.0,6.6,,1010.3,
2023-02-06,29.2,23.1,35.0,0.0,,289.0,8.4,,1009.0,
2023-02-07,29.5,23.7,35.5,0.0,,13.0,7.5,,1008.2,
2023-02-08,29.1,23.4,35.0,0.0,,348.0,7.9,,1008.2,
2023-02-09,29.8,23.9,36.0,0.0,,176.0,8.7,,1008.5,
2023-02-10,29.5,23.9,36.0,0.2,,349.0,7.5,,1007.9,
2023-02-11,29.9,23.8,36.0,0.0,,305.0,7.0,,1007.5,
2023-02-12,29.4,23.9,34.1,0.3,,296.0,9.6,,1007.0,
2023-02-13,29.6,24.7,35.0,0.0,,326.0,7.8,,1007.7,
2023-02-14,28.9,25.2,34.0,1.8,,329.0,8.6,,1008.6,
2023-02-15,28.9,24.6,35.9,2.3,,281.0,8.0,,1009.1,
2023-02-16,29.7,25.0,35.6,3.5,,315.0,6.4,,1008.7,
2023-02-17,29.3,24.8,35.0,0.0,,278.0,7.5,,1008.0,
2023-02-18,29.4,24.0,35.4,0.0,,326.0,8.5,,1009.2,
2023-02-19,28.6,21.0,36.0,0.0,,9.0,7.3,,1009.0,
2023-02-20,28.8,21.8,36.0,0.0,,327.0,7.3,,1009.1,
2023-02-21,28.9,22.5,35.0,0.0,,338.0,8.9,,1009.5,
2023-02-22,29.2,22.6,36.2,0.0,,338.0,5.8,,1011.6,
2023-02-23,29.4,23.4,36.0,0.0,,343.0,9.7,,1011.6,
2023-02-24,28.9,23.0,35.2,0.0,,338.0,7.9,,1011.2,
2023-02-25,28.7,22.5,35.0,0.0,,337.0,7.9,,1010.6,
2023-02-26,29.0,22.4,34.0,0.0,,321.0,5.9,,1010.1,
2023-02-27,29.1,23.2,34.7,0.0,,304.0,10.0,,1009.9,
2023-02-28,28.6,23.0,34.0,0.2,,309.0,9.5,,1009.8,
2023-03-01,28.9,24.0,34.0,0.0,,301.0,9.3,,1009.7,
2023-03-02,29.7,24.3,36.0,0.0,,331.0,8.2,,1007.3,
2023-03-03,30.0,24.5,37.1,0.0,,299.0,9.5,,1006.5,
2023-03-04,29.1,25.2,35.0,0.2,,257.0,10.7,,1007.8,
2023-03-05,29.3,24.4,33.0,1.0,,261.0,12.0,,1009.0,
2023-03-06,29.4,24.8,34.0,7.1,,318.0,8.3,,1009.1,
2023-03-07,29.3,24.9,33.5,3.1,,280.0,13.8,,1009.6,
2023-03-08,28.6,23.8,34.1,0.0,,323.0,10.1,,1011.1,
2023-03-09,28.7,21.7,34.0,0.0,,336.0,9.3,,1012.2,
2023-03-10,28.1,21.4,35.0,0.0,,330.0,9.4,,1011.5,
2023-03-11,28.9,22.1,34.0,0.5,,295.0,9.1,,1011.7,
2023-03-12,27.6,22.0,33.0,0.8,,329.0,3.8,,1012.0,
2023-03-13,28.4,22.9,34.0,0.3,,298.0,5.7,,1012.5,
2023-03-14,27.9,23.0,33.0,0.8,,275.0,7.3,,1012.2,
2023-03-15,27.9,23.0,32.0,4.3,,301.0,9.1,,1011.7,
2023-03-16,28.2,23.7,32.0,6.9,,302.0,7.9,,1011.9,
2023-03-17,28.4,23.4,34.0,0.3,,336.0,8.4,,1011.3,
2023-03-18,28.3,23.0,33.2,0.0,,310.0,6.4,,1011.2,
2023-03-19,29.6,23.4,35.0,0.2,,255.0,9.1,,1011.3,
2023-03-20,29.4,24.0,34.0,0.9,,274.0,10.0,,1011.5,
2023-03-21,29.3,23.0,36.0,0.2,,270.0,7.9,,1010.2,
2023-03-22,29.8,23.8,36.0,0.0,,4.0,5.7,,1009.3,
2023-03-23,29.9,23.5,36.0,0.0,,313.0,9.0,,1009.8,
2023-03-24,30.4,23.9,36.0,0.1,,308.0,7.1,,1009.1,
2023-03-25,29.2,24.0,37.2,0.0,,295.0,8.4,,1009.7,
2023-03-26,29.5,24.0,37.1,0.2,,318.0,7.4,,1009.2,
2023-03-27,29.3,24.4,34.0,1.6,,299.0,7.6,,1009.2,
2023-03-28,30.2,24.8,35.4,1.6,,255.0,9.3,,1009.0,
