time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,27.2,20.4,31.0,8.1,,310.0,5.8,,1012.9,
2023-01-02,24.7,21.0,28.0,41.9,,335.0,4.0,,1013.5,
2023-01-03,25.9,21.8,29.0,0.0,,323.0,4.4,,1013.4,
2023-01-04,26.0,19.6,31.0,0.2,,341.0,5.3,,1012.8,
2023-01-05,26.9,21.0,29.6,0.2,,329.0,5.7,,1013.7,
2023-01-06,28.9,21.0,32.0,0.2,,348.0,3.9,,1013.0,
2023-01-07,24.3,21.4,29.0,6.1,,344.0,5.8,,1014.5,
2023-01-08,25.4,18.1,29.0,0.0,,21.0,3.3,,1015.0,
2023-01-09,26.9,21.2,31.0,4.4,,24.0,4.0,,1013.9,
2023-01-10,26.1,21.0,30.0,8.0,,273.0,5.8,,1013.5,
2023-01-11,25.9,21.5,29.8,34.0,,321.0,5.9,,1013.7,
2023-01-12,23.5,20.0,28.0,0.0,,297.0,6.7,,1013.9,
2023-01-13,25.2,20.2,30.0,25.1,,334.0,6.7,,1013.0,
2023-01-14,27.3,21.0,30.2,0.0,,326.0,6.6,,1012.6,
2023-01-15,27.2,21.7,30.0,20.1,,317.0,7.4,,1013.2,
2023-01-16,28.6,21.0,31.6,0.0,,352.0,6.9,,1012.9,
2023-01-17,25.1,22.0,29.2,20.1,,346.0,6.9,,1012.7,
2023-01-18,25.9,22.0,30.0,0.0,,339.0,5.7,,1012.7,
2023-01-19,26.6,22.2,30.0,0.0,,314.0,8.3,,1013.6,
2023-01-20,25.5,21.8,30.0,0.5,,328.0,4.7,,1014.2,
2023-01-21,27.2,18.6,30.2,6.1,,340.0,9.1,,1013.1,
2023-01-22,27.7,19.7,31.0,0.0,,0.0,5.2,,1012.7,
2023-01-23,26.3,20.6,31.2,17.5,,318.0,7.4,,1013.6,
2023-01-24,28.3,22.0,32.0,0.0,,339.0,4.4,,1013.3,
2023-01-25,28.0,20.6,32.0,0.0,,329.0,8.2,,1012.3,
2023-01-26,28.9,19.4,32.2,0.0,,344.0,8.8,,1011.6,
2023-01-27,29.3,21.6,33.0,0.0,,350.0,8.3,,1011.4,
2023-01-28,28.3,21.8,31.0,0.0,,359.0,8.4,,1012.0,
2023-01-29,28.8,21.7,32.1,0.0,,1.0,8.8,,1012.3,
2023-01-30,28.2,18.8,32.0,0.0,,358.0,8.1,,1011.7,
2023-01-31,27.2,22.2,30.6,0.0,,317.0,8.0,,1012.3,
2023-02-01,27.6,21.8,31.0,0.0,,0.0,8.2,,1012.8,
2023-02-02,28.9,21.4,32.4,0.0,,359.0,9.0,,1013.6,
2023-02-03,29.0,20.0,33.0,0.0,,2.0,8.1,,1012.8,
2023-02-04,28.9,21.4,33.2,0.0,,10.0,9.4,,1014.1,
2023-02-05,27.0,20.2,30.0,1.8,,322.0,6.9,,1014.0,
2023-02-06,28.2,21.6,32.0,0.3,,336.0,3.7,,1013.2,
2023-02-07,28.2,20.4,31.7,0.0,,342.0,6.6,,1012.6,
2023-02-08,28.5,19.7,33.0,0.1,,0.0,5.3,,1012.1,
2023-02-09,28.3,22.4,30.3,2.2,,343.0,7.9,,1012.1,
2023-02-10,28.8,20.8,31.2,2.6,,346.0,8.8,,1011.9,
2023-02-11,28.5,20.8,32.0,0.4,,339.0,8.4,,1011.4,
2023-02-12,29.1,21.7,32.0,3.2,,337.0,6.0,,1010.5,
2023-02-13,29.3,23.6,32.0,5.1,,342.0,7.5,,1010.9,
2023-02-14,28.8,22.8,32.0,17.1,,345.0,7.4,,1011.6,
2023-02-15,28.4,21.5,32.4,18.5,,339.0,8.2,,1012.1,
2023-02-16,24.5,21.5,28.6,15.5,,331.0,6.5,,1012.3,
2023-02-17,27.5,22.8,30.0,42.9,,347.0,7.4,,1010.8,
2023-02-18,26.4,23.0,28.0,0.0,,315.0,8.2,,1012.1,
2023-02-19,28.5,21.8,31.0,0.0,,341.0,8.5,,1011.9,
2023-02-20,29.4,22.8,32.2,0.0,,352.0,8.9,,1011.9,
2023-02-21,27.7,22.5,32.0,0.1,,340.0,6.3,,1012.4,
2023-02-22,28.8,22.8,32.1,0.0,,349.0,7.3,,1013.8,
2023-02-23,28.8,19.4,32.0,0.0,,347.0,8.8,,1014.6,
2023-02-24,29.9,19.7,33.0,0.0,,355.0,8.9,,1013.8,
2023-02-25,29.7,22.5,33.4,0.0,,14.0,8.1,,1012.6,
2023-02-26,27.9,19.8,32.0,1.0,,341.0,7.5,,1012.7,
2023-02-27,29.8,23.0,32.6,1.3,,344.0,5.6,,1012.8,
2023-02-28,27.1,22.4,31.6,39.1,,317.0,7.5,,1014.4,
2023-03-01,25.6,22.6,29.0,18.7,,24.0,8.3,,1014.1,
2023-03-02,25.8,22.4,29.4,13.0,,281.0,6.4,,1011.9,
2023-03-03,25.9,23.0,29.0,4.1,,2.0,5.5,,1011.5,
2023-03-04,27.2,21.8,30.0,1.0,,317.0,6.9,,1011.5,
2023-03-05,27.6,22.5,30.3,0.3,,343.0,5.8,,1012.4,
2023-03-06,27.9,21.4,31.0,0.0,,328.0,7.1,,1011.8,
2023-03-07,27.2,22.8,30.2,0.6,,338.0,6.8,,1011.7,
2023-03-08,27.8,22.7,32.0,0.3,,323.0,6.3,,1011.6,
2023-03-09,24.1,22.4,26.0,6.1,,312.0,3.1,,1012.7,
2023-03-10,26.4,21.0,31.0,0.0,,257.0,7.0,,1012.2,
2023-03-11,22.3,21.6,23.0,20.2,,316.0,5.5,,1013.7,
2023-03-12,24.5,21.0,28.6,6.9,,292.0,6.5,,1014.1,
2023-03-13,24.7,21.0,30.7,23.9,,308.0,5.5,,1014.5,
2023-03-14,25.9,21.3,30.1,0.0,,313.0,5.2,,1013.8,
2023-03-15,26.6,22.7,31.0,0.0,,303.0,6.4,,1013.3,
2023-03-16,27.7,20.0,31.0,0.1,,314.0,6.6,,1011.6,
2023-03-17,29.8,20.8,33.0,0.0,,325.0,7.6,,1011.6,
2023-03-18,27.9,23.8,31.7,0.0,,338.0,6.9,,1012.1,
2023-03-19,28.2,23.6,32.3,2.3,,316.0,7.4,,1012.6,
2023-03-20,28.3,23.9,30.5,0.0,,332.0,6.2,,1012.5,
2023-03-21,27.7,22.0,31.0,0.0,,321.0,8.4,,1012.5,
2023-03-22,27.4,23.0,31.2,0.5,,342.0,5.4,,1012.2,
2023-03-23,27.9,21.2,30.3,0.2,,321.0,8.2,,1011.8,
2023-03-24,29.3,23.0,32.6,0.0,,343.0,5.9,,1011.4,
2023-03-25,26.8,22.0,30.0,0.0,,311.0,9.2,,1012.1,
2023-03-26,25.4,22.2,29.0,1.2,,328.0,5.3,,1013.7,
2023-03-27,27.7,22.8,32.0,7.7,,314.0,7.6,,1013.1,
2023-03-28,26.2,21.6,29.2,8.3,,356.0,6.8,,1013.1,
2023-03-29,26.3,22.6,30.2,0.7,,311.0,9.1,,1012.3,
2023-03-30,27.3,22.0,31.0,0.3,,335.0,8.2,,1012.3,
