time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,12.5,7.0,18.1,1.2,,8.0,4.5,,1017.7,
2023-01-02,12.6,8.5,17.9,12.9,,257.0,3.5,,1017.7,
2023-01-03,12.6,8.7,17.0,6.8,,241.0,3.6,,1017.9,
2023-01-04,12.1,6.8,19.0,0.4,,15.0,3.6,,1017.5,
2023-01-05,12.7,8.6,18.0,5.4,,92.0,6.7,,1017.7,
2023-01-06,12.9,6.4,19.8,2.5,,69.0,4.4,,1017.6,
2023-01-07,13.1,9.7,18.4,9.0,,81.0,3.0,,1018.1,
2023-01-08,12.5,9.2,18.0,15.7,10.0,85.0,4.3,,1018.4,
2023-01-09,12.5,7.9,18.8,12.8,,106.0,4.1,,1018.2,
2023-01-10,12.6,8.5,17.0,13.9,10.0,125.0,4.8,,1017.8,
2023-01-11,12.2,7.4,18.0,4.9,10.0,73.0,6.7,,1017.7,
2023-01-12,11.9,5.9,18.0,20.3,20.0,101.0,7.1,,1017.7,
2023-01-13,11.8,5.6,18.5,1.4,,82.0,8.1,,1017.0,
2023-01-14,11.9,5.9,20.0,6.4,10.0,41.0,7.2,,1017.5,
2023-01-15,12.5,6.2,19.6,5.2,20.0,75.0,6.6,,1017.5,
2023-01-16,12.7,8.1,19.1,3.2,,102.0,6.5,,1016.8,
2023-01-17,12.7,7.8,18.9,4.3,,85.0,6.9,,1016.2,
2023-01-18,12.1,7.2,18.0,5.7,,76.0,6.7,,1016.9,
2023-01-19,11.4,6.5,18.0,6.3,,74.0,7.4,,1017.7,
2023-01-20,12.5,8.5,18.0,1.1,10.0,105.0,8.7,,1017.3,
2023-01-21,11.9,5.0,18.7,0.2,,89.0,8.9,,1016.3,
2023-01-22,11.2,5.9,17.3,0.0,20.0,92.0,11.9,,1016.1,
2023-01-23,11.3,4.8,17.9,0.2,,79.0,10.8,,1017.4,
2023-01-24,12.1,7.0,18.5,0.0,,90.0,12.3,,1016.8,
2023-01-25,11.6,4.0,20.3,0.0,,83.0,9.6,,1016.0,
2023-01-26,11.4,4.2,21.0,0.0,,65.0,8.2,,1015.8,
2023-01-27,11.0,2.2,23.0,0.7,,49.0,7.8,,1015.9,
2023-01-28,11.1,3.7,21.0,0.1,,62.0,7.9,,1015.8,
2023-01-29,11.1,3.0,21.0,0.0,,108.0,9.5,,1015.7,
2023-01-30,12.1,5.0,22.0,0.1,,43.0,7.7,,1016.1,
2023-01-31,13.2,9.0,20.9,0.3,,128.0,7.0,,1016.0,
2023-02-01,12.3,5.0,20.5,0.0,,37.0,6.7,,1016.1,
2023-02-02,13.7,8.3,22.0,0.9,,90.0,9.4,,1016.7,
2023-02-03,12.7,4.2,20.4,0.6,,79.0,9.8,,1017.1,
2023-02-04,13.2,5.7,21.0,0.4,,74.0,9.0,,1018.3,
2023-02-05,12.6,5.8,19.7,0.0,,65.0,10.1,,1018.0,
2023-02-06,13.1,8.0,19.9,1.5,,65.0,9.1,,1016.8,
2023-02-07,13.2,7.0,20.0,1.3,,75.0,8.4,,1016.2,
2023-02-08,13.6,6.9,20.7,0.0,,85.0,8.4,,1016.1,
2023-02-09,14.1,7.8,20.0,0.9,,92.0,8.0,,1015.5,
2023-02-10,13.5,6.0,20.0,0.6,,88.0,9.0,,1015.1,
2023-02-11,14.6,8.0,19.8,0.9,,86.0,10.2,,1014.8,
2023-02-12,14.1,9.0,19.8,0.0,,87.0,10.2,,1014.3,
2023-02-13,14.0,8.0,20.2,0.1,,93.0,9.7,,1014.6,
2023-02-14,14.1,9.0,20.1,1.1,,89.0,8.0,,1015.5,
2023-02-15,14.4,9.6,19.0,0.9,,60.0,7.3,,1015.8,
2023-02-16,13.5,10.0,19.0,2.0,,35.0,7.0,,1015.4,
2023-02-17,14.1,9.0,21.0,15.3,,20.0,9.2,,1014.9,
2023-02-18,13.7,9.8,19.0,18.7,,46.0,6.6,,1015.8,
2023-02-19,13.7,9.0,22.0,0.6,,88.0,7.2,,1016.0,
2023-02-20,13.6,8.0,20.0,1.0,,121.0,8.4,,1016.2,
2023-02-21,13.2,10.0,19.0,4.6,,26.0,7.5,,1016.5,
2023-02-22,12.9,9.0,19.0,4.9,10.0,89.0,6.4,,1018.6,
2023-02-23,14.4,9.0,22.0,3.0,,107.0,6.8,,1019.2,
2023-02-24,13.7,7.0,23.0,0.8,,103.0,7.6,,1018.1,
2023-02-25,13.4,6.8,21.0,0.1,,134.0,9.2,,1017.1,
2023-02-26,13.8,7.0,21.0,0.0,,54.0,8.4,,1016.8,
2023-02-27,14.3,8.0,21.0,1.5,,79.0,7.6,,1017.2,
2023-02-28,15.0,11.0,21.0,3.6,10.0,76.0,9.8,,1017.6,
2023-03-01,14.9,11.0,20.0,5.4,,67.0,7.9,,1017.1,
2023-03-02,14.4,10.9,19.0,0.5,,84.0,9.2,,1015.1,
2023-03-03,15.3,10.4,19.7,1.7,,70.0,8.6,,1014.2,
2023-03-04,14.9,12.0,18.9,14.0,,52.0,9.0,,1015.2,
2023-03-05,14.7,11.1,18.0,3.6,,65.0,9.4,,1016.4,
2023-03-06,15.2,12.1,21.0,6.1,,77.0,7.5,,1016.2,
2023-03-07,14.6,9.4,21.0,10.0,,17.0,10.0,,1016.2,
2023-03-08,13.9,10.0,18.4,3.9,10.0,213.0,5.8,,1016.7,
2023-03-09,12.9,11.3,14.0,7.4,,290.0,5.4,,1017.2,
2023-03-10,13.2,8.9,20.0,18.9,10.0,274.0,6.8,,1017.3,
2023-03-11,12.2,10.2,14.0,15.8,,234.0,4.0,,1017.6,
2023-03-12,13.0,10.2,17.0,12.4,,211.0,4.0,,1018.3,
2023-03-13,13.2,11.5,16.0,10.8,,31.0,6.7,,1019.0,
2023-03-14,14.0,10.8,20.0,11.1,,92.0,5.7,,1018.2,
2023-03-15,14.3,11.0,19.0,10.3,,311.0,7.6,,1018.1,
2023-03-16,13.6,8.3,20.0,17.8,,8.0,7.9,,1017.6,
2023-03-17,13.5,8.0,21.0,5.6,,24.0,7.9,,1017.6,
2023-03-18,14.0,8.5,20.0,9.1,,17.0,7.7,,1017.9,
2023-03-19,14.1,11.0,21.0,5.0,,350.0,7.3,,1018.0,
2023-03-20,14.1,9.0,20.0,0.8,,325.0,6.2,,1017.9,
2023-03-21,13.9,7.0,23.0,3.5,,11.0,8.6,,1017.1,
2023-03-22,14.6,9.2,20.0,4.5,,84.0,7.9,,1016.9,
2023-03-23,14.0,10.0,19.0,5.5,,354.0,7.9,,1016.6,
2023-03-24,14.6,9.5,20.0,3.3,,46.0,8.1,,1016.8,
2023-03-25,13.9,10.7,17.0,0.9,,44.0,7.6,,1016.5,
2023-03-26,14.1,11.0,19.0,0.3,,67.0,9.9,,1016.9,
2023-03-27,14.0,9.0,19.0,18.5,,36.0,7.2,,1016.8,
2023-03-28,14.5,11.0,21.0,5.6,10.0,48.0,7.4,,1016.3,
2023-03-29,13.5,10.0,17.0,6.3,,50.0,7.2,,1015.8,
2023-03-30,14.4,11.0,19.0,3.6,,88.0,8.0,,1016.0,
2023-03-31,13.5,11.0,18.0,3.0,,68.0,8.7,,1016.9,
2023-04-01,14.0,8.7,19.0,8.3,,47.0,7.2,,1016.9,
2023-04-02,14.2,11.0,17.0,0.9,,67.0,9.9,,1016.6,
2023-04-03,13.2,7.0,19.0,0.0,,92.0,10.0,,1015.3,
2023-04-04,13.4,6.6,20.8,3.4,,113.0,10.3,,1014.7,
2023-04-05,14.2,9.5,20.0,3.5,,47.0,7.9,,1014.6,
2023-04-06,14.4,8.6,19.0,1.5,,327.0,7.8,,1014.7,
2023-04-07,14.2,9.3,19.0,7.5,,353.0,7.8,,1015.8,
2023-04-08,13.5,10.8,18.0,6.4,,86.0,5.2,,1017.1,
2023-04-09,13.8,10.0,18.0,3.2,,67.0,8.7,,1017.0,
2023-04-10,14.2,9.0,19.0,1.0,,73.0,7.9,,1017.0,
2023-04-11,14.1,10.0,20.0,6.1,,51.0,7.7,,1016.5,
2023-04-12,14.6,10.6,20.0,7.7,,67.0,6.8,,1015.9,
2023-04-13,15.1,11.0,21.6,0.5,,60.0,8.1,,1014.8,
2023-04-14,14.8,10.0,21.0,0.0,,42.0,7.6,,1015.0,
2023-04-15,14.3,9.0,20.0,8.8,,55.0,8.3,,1016.4,
2023-04-16,13.5,11.0,17.0,17.5,,226.0,6.7,,1017.5,
2023-04-17,13.6,11.0,22.0,8.0,,41.0,5.0,,1016.3,
2023-04-18,14.6,11.9,19.0,3.0,,285.0,5.3,,1016.0,
2023-04-19,14.3,8.0,21.0,1.9,,78.0,6.8,,1015.7,
2023-04-20,15.3,11.0,20.0,13.3,,83.0,7.4,,1017.0,
2023-04-21,14.2,11.2,18.0,7.7,10.0,242.0,5.0,,1016.9,
2023-04-22,13.1,9.9,17.1,0.5,10.0,258.0,5.4,,1015.9,
2023-04-23,13.5,9.5,20.0,8.4,,306.0,6.8,,1016.6,
2023-04-24,13.1,9.5,18.0,0.4,,277.0,6.5,,1017.3,
2023-04-25,13.1,7.8,20.0,6.2,,340.0,6.1,,1017.2,
2023-04-26,12.9,10.0,17.0,5.6,20.0,56.0,4.7,,1017.3,
2023-04-27,13.2,7.4,19.0,10.8,,69.0,6.3,,1017.5,
2023-04-28,13.4,8.6,19.0,4.6,10.0,59.0,8.1,,1017.7,
2023-04-29,13.0,7.6,19.0,6.9,,79.0,8.1,,1018.4,
2023-04-30,12.8,7.5,18.0,5.9,,67.0,7.7,,1018.3,
2023-05-01,12.5,6.2,19.0,0.1,,81.0,8.8,,1017.3,
2023-05-02,13.0,6.0,20.0,0.0,,82.0,10.7,,1016.8,
2023-05-03,12.9,6.8,20.0,0.0,,92.0,10.2,,1015.7,
2023-05-04,12.9,5.9,19.8,0.7,,77.0,11.8,,1016.7,
2023-05-05,12.8,8.5,19.9,0.1,,87.0,11.5,,1016.3,
2023-05-06,13.3,7.6,20.0,0.1,,76.0,10.0,,1016.9,
