time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,24.9,23.2,29.5,16.0,,126.0,3.6,,1011.1,
2023-01-02,25.3,22.4,29.8,7.8,,88.0,3.7,,1011.1,
2023-01-03,24.1,22.9,26.4,9.5,,104.0,4.3,,1011.3,
2023-01-04,24.0,22.2,26.8,7.2,,335.0,4.6,,1011.0,
2023-01-05,25.6,22.1,30.7,0.0,,353.0,4.5,,1011.4,
2023-01-06,25.2,22.1,31.0,12.4,,172.0,3.3,,1011.5,
2023-01-07,23.8,22.7,25.4,21.7,,129.0,4.6,,1012.7,
2023-01-08,23.9,22.4,26.1,7.7,,54.0,3.6,,1013.4,
2023-01-09,24.9,22.3,29.0,0.2,,327.0,4.6,,1011.8,
2023-01-10,24.6,22.1,29.4,12.0,,11.0,4.8,,1011.3,
2023-01-11,24.0,22.3,26.1,13.3,,11.0,4.6,,1012.0,
2023-01-12,24.0,22.4,25.8,6.2,,292.0,4.2,,1011.8,
2023-01-13,24.1,22.1,27.7,25.8,,211.0,3.8,,1011.2,
2023-01-14,24.7,22.2,29.1,7.3,,152.0,4.4,,1010.7,
2023-01-15,25.5,22.9,30.5,7.0,,100.0,4.3,,1011.1,
2023-01-16,24.4,22.8,27.7,6.9,,167.0,5.7,,1011.1,
2023-01-17,23.7,22.6,26.3,12.4,,125.0,6.7,,1011.2,
2023-01-18,24.7,21.3,29.2,0.4,,75.0,4.3,,1011.1,
2023-01-19,25.6,22.4,30.0,0.5,,320.0,4.6,,1011.3,
2023-01-20,25.0,22.1,29.3,0.0,,127.0,6.1,,1011.9,
2023-01-21,25.2,22.4,29.7,1.0,,98.0,5.0,,1011.1,
2023-01-22,24.8,21.8,29.6,6.2,,151.0,4.7,,1010.5,
2023-01-23,24.2,22.3,27.7,12.3,,239.0,4.3,,1011.7,
2023-01-24,25.0,21.1,30.1,0.8,,333.0,5.6,,1011.1,
2023-01-25,25.7,21.8,30.8,0.0,,24.0,6.5,,1010.0,
2023-01-26,25.7,20.4,30.8,0.0,,0.0,7.8,,1009.5,
2023-01-27,25.8,21.0,30.9,0.0,,350.0,7.0,,1009.5,
2023-01-28,25.8,20.9,31.3,0.0,,352.0,7.5,,1009.5,
2023-01-29,25.8,21.3,30.6,0.1,,6.0,6.2,,1009.8,
2023-01-30,26.2,22.1,30.9,0.0,,36.0,5.8,,1009.3,
2023-01-31,26.2,22.9,31.0,0.0,,333.0,7.6,,1009.6,
2023-02-01,25.8,21.0,31.8,0.0,,359.0,8.5,,1010.0,
2023-02-02,25.9,21.0,31.1,0.0,,351.0,7.2,,1011.0,
2023-02-03,25.5,22.8,30.1,0.6,,192.0,6.4,,1011.2,
2023-02-04,25.6,22.7,31.3,2.0,,164.0,5.0,,1012.5,
2023-02-05,24.6,22.4,29.4,7.0,,227.0,4.6,,1012.5,
2023-02-06,24.6,22.3,28.3,2.3,,105.0,3.8,,1011.3,
2023-02-07,25.8,22.3,30.8,0.2,,147.0,4.3,,1010.3,
2023-02-08,25.5,22.1,30.0,4.6,,136.0,5.6,,1010.3,
2023-02-09,25.6,22.5,31.1,1.3,,88.0,4.3,,1010.1,
2023-02-10,25.1,22.7,28.8,1.4,,20.0,4.8,,1010.0,
2023-02-11,25.9,23.4,29.8,1.7,,174.0,4.8,,1009.1,
2023-02-12,26.7,22.8,32.1,0.8,,156.0,5.2,,1008.5,
2023-02-13,25.0,23.4,29.8,24.2,,169.0,5.3,,1009.2,
2023-02-14,25.4,22.9,29.3,4.0,,152.0,5.1,,1010.0,
2023-02-15,25.3,23.1,27.9,8.2,,311.0,4.5,,1010.1,
2023-02-16,25.7,23.5,29.0,11.2,,264.0,5.2,,1009.2,
2023-02-17,26.1,23.4,30.6,1.1,,43.0,7.0,,1008.4,
2023-02-18,26.3,22.0,30.7,0.0,,6.0,7.3,,1009.3,
2023-02-19,26.6,22.8,31.3,0.0,,343.0,5.6,,1009.5,
2023-02-20,25.4,23.2,30.4,4.5,,157.0,7.1,,1010.0,
2023-02-21,25.6,22.4,29.8,1.3,,105.0,4.9,,1010.7,
2023-02-22,25.4,22.6,29.1,3.0,,139.0,6.4,,1012.1,
2023-02-23,25.6,23.2,29.9,3.9,,159.0,5.8,,1012.7,
2023-02-24,26.4,22.9,31.1,0.3,,5.0,5.1,,1011.9,
2023-02-25,24.9,22.6,29.2,3.8,,106.0,5.9,,1011.7,
2023-02-26,26.2,23.3,31.2,1.9,,61.0,6.3,,1010.6,
2023-02-27,26.0,23.3,31.8,1.4,,152.0,6.2,,1011.0,
2023-02-28,24.5,23.4,27.7,10.4,,182.0,6.6,,1012.6,
2023-03-01,25.3,23.4,28.6,6.9,,180.0,3.9,,1011.9,
2023-03-02,25.1,22.9,28.9,4.8,,240.0,4.4,,1010.0,
2023-03-03,26.0,23.3,31.2,7.8,,340.0,4.5,,1009.0,
2023-03-04,25.9,23.8,29.0,21.1,,251.0,4.2,,1009.2,
2023-03-05,25.7,22.7,29.3,15.3,,253.0,5.8,,1010.0,
2023-03-06,26.2,23.3,31.4,13.9,,177.0,6.4,,1009.6,
2023-03-07,25.6,23.6,29.5,5.2,,163.0,7.4,,1010.0,
2023-03-08,25.4,23.6,28.1,11.5,,135.0,6.1,,1010.1,
2023-03-09,24.5,23.2,27.1,6.3,,150.0,7.2,,1010.4,
2023-03-10,24.6,23.2,26.6,14.8,,335.0,5.4,,1010.7,
2023-03-11,24.3,23.1,25.7,20.4,,289.0,4.3,,1010.9,
2023-03-12,24.3,22.9,26.5,12.5,,300.0,4.6,,1012.4,
2023-03-13,24.6,22.6,27.2,9.5,,248.0,4.4,,1012.8,
2023-03-14,26.5,22.4,31.4,0.0,,330.0,5.7,,1011.6,
2023-03-15,26.5,22.4,32.6,0.0,,98.0,7.5,,1010.7,
2023-03-16,27.2,21.6,32.7,0.0,,98.0,5.7,,1009.6,
2023-03-17,27.6,23.4,32.4,0.0,,106.0,7.0,,1009.3,
2023-03-18,26.7,23.6,30.7,0.0,,134.0,6.2,,1009.9,
2023-03-19,27.0,22.9,31.9,0.1,,119.0,8.3,,1010.0,
2023-03-20,27.3,23.1,32.9,0.1,,132.0,6.8,,1010.3,
2023-03-21,27.4,22.6,33.4,0.0,,346.0,7.4,,1009.3,
2023-03-22,27.4,22.6,33.2,0.0,,14.0,7.8,,1009.6,
