time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,28.5,23.2,32.0,0.0,,78.0,15.2,,1013.3,
2023-01-02,27.8,20.6,32.8,0.0,,85.0,11.4,,1013.3,
2023-01-03,28.5,23.1,32.0,0.0,,103.0,11.5,,1014.1,
2023-01-04,27.2,21.1,30.0,3.0,,95.0,12.2,,1013.8,
2023-01-05,28.3,20.7,32.1,0.5,,91.0,13.7,,1013.1,
2023-01-06,27.7,22.2,29.0,0.0,,80.0,12.3,,1012.5,
2023-01-07,28.4,24.9,32.0,0.0,,81.0,15.3,,1013.0,
2023-01-08,27.6,22.8,29.1,0.0,,71.0,12.3,,1013.4,
2023-01-09,27.8,25.0,29.4,1.0,,78.0,12.6,,1012.6,
2023-01-10,27.4,23.0,30.0,0.0,,76.0,13.6,,1012.5,
2023-01-11,27.6,23.8,30.2,0.0,,82.0,17.1,,1013.3,
2023-01-12,27.4,22.6,30.0,0.0,,83.0,17.9,,1013.0,
2023-01-13,28.1,23.0,32.6,0.0,,92.0,16.6,,1011.5,
2023-01-14,27.5,22.0,29.5,0.0,,58.0,16.0,,1012.3,
2023-01-15,27.1,22.4,29.2,0.0,,59.0,16.9,,1013.4,
2023-01-16,26.9,20.9,30.0,0.0,,71.0,20.3,,1012.5,
2023-01-17,27.4,18.0,33.3,0.0,,95.0,20.1,,1012.0,
2023-01-18,29.4,22.2,33.0,0.0,,93.0,22.1,,1012.1,
2023-01-19,29.8,23.8,33.0,0.4,,97.0,27.3,,1013.0,
2023-01-20,29.1,22.6,32.4,0.0,,98.0,24.9,,1013.5,
2023-01-21,29.2,23.9,32.0,0.0,,99.0,27.3,,1012.0,
2023-01-22,28.9,24.0,32.0,0.0,,98.0,27.5,,1010.7,
2023-01-23,29.8,25.0,33.0,0.0,,103.0,28.6,,1011.5,
2023-01-24,30.6,20.0,33.0,0.0,,103.0,28.6,,1011.5,
2023-01-25,29.7,25.6,33.0,0.0,,98.0,31.1,,1011.0,
2023-01-26,28.9,23.9,33.0,0.0,,91.0,25.4,,1011.7,
2023-01-27,27.8,22.9,32.0,0.0,,82.0,27.0,,1012.7,
2023-01-28,28.1,20.9,33.0,0.0,,90.0,25.5,,1012.7,
2023-01-29,28.8,21.0,32.1,0.0,,105.0,24.5,,1011.9,
2023-01-30,28.4,23.1,33.0,0.0,,84.0,25.8,,1012.3,
2023-01-31,27.7,21.8,32.4,0.0,,87.0,21.7,,1012.9,
2023-02-01,26.7,21.9,31.0,0.0,,83.0,23.2,,1013.6,
2023-02-02,28.5,22.0,32.0,0.0,,99.0,26.0,,1013.0,
2023-02-03,29.0,22.6,32.0,0.0,,102.0,25.4,,1012.5,
2023-02-04,28.2,23.1,32.0,0.0,,76.0,20.2,,1013.8,
2023-02-05,30.0,25.5,33.0,0.0,,100.0,26.9,,1012.5,
2023-02-06,30.3,24.6,33.0,0.0,,96.0,29.1,,1011.1,
2023-02-07,28.6,24.5,33.0,0.0,,85.0,23.0,,1011.8,
2023-02-08,29.5,24.8,33.0,0.0,,99.0,25.9,,1011.7,
2023-02-09,30.0,25.6,33.0,0.0,,97.0,27.2,,1012.0,
2023-02-10,29.9,24.0,33.0,0.0,,98.0,26.0,,1011.2,
2023-02-11,29.9,24.2,33.0,0.0,,97.0,26.2,,1010.5,
2023-02-12,30.3,15.0,33.0,0.0,,86.0,25.8,,1010.1,
2023-02-13,26.7,24.1,28.8,0.0,,62.0,18.8,,1010.7,
2023-02-14,26.7,23.8,29.7,0.0,,61.0,18.2,,1011.4,
2023-02-15,26.8,24.3,29.7,0.0,,71.0,19.3,,1012.5,
2023-02-16,29.1,24.2,33.0,0.0,,94.0,24.2,,1012.0,
2023-02-17,29.2,21.5,33.0,0.0,,95.0,27.1,,1011.5,
2023-02-18,28.1,23.7,32.5,0.0,,86.0,23.6,,1013.1,
2023-02-19,28.2,21.0,34.0,0.0,,93.0,24.2,,1012.5,
