time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,26.5,22.8,32.4,1.1,,60.0,8.0,,1011.1,
2023-01-02,24.5,21.7,28.0,5.4,,85.0,5.1,,1011.8,
2023-01-03,27.0,23.2,32.8,0.0,,11.0,8.6,,1010.7,
2023-01-04,27.0,22.7,32.2,0.2,,30.0,11.1,,1010.6,
2023-01-05,27.1,22.0,33.0,0.0,,31.0,9.9,,1011.4,
2023-01-06,26.8,22.9,32.0,1.6,,67.0,8.4,,1011.5,
2023-01-07,23.9,22.1,26.6,23.6,,122.0,4.5,,1012.8,
2023-01-08,23.6,21.7,26.0,31.6,,38.0,4.8,,1013.4,
2023-01-09,24.4,21.1,29.4,5.8,,38.0,6.8,,1012.3,
2023-01-10,24.8,21.9,30.2,1.5,,37.0,7.4,,1011.6,
2023-01-11,24.1,22.5,28.9,12.7,,5.0,7.1,,1012.1,
2023-01-12,23.5,21.5,28.2,12.4,,358.0,7.6,,1012.4,
2023-01-13,23.9,20.7,30.0,5.6,,34.0,6.8,,1011.3,
2023-01-14,25.2,22.1,30.2,1.1,,47.0,8.2,,1010.7,
2023-01-15,25.5,22.0,30.5,0.4,,35.0,6.8,,1011.4,
2023-01-16,25.1,22.1,31.0,0.4,,161.0,4.5,,1011.5,
2023-01-17,24.2,22.1,29.0,1.4,,18.0,5.4,,1011.2,
2023-01-18,24.8,21.1,30.0,1.3,,78.0,6.9,,1011.1,
2023-01-19,25.8,21.9,30.4,0.0,,35.0,9.2,,1011.4,
2023-01-20,25.6,21.0,33.0,0.2,,58.0,8.0,,1012.1,
2023-01-21,25.3,20.7,30.0,0.1,,42.0,9.1,,1011.2,
2023-01-22,25.9,22.0,32.0,0.0,,34.0,9.9,,1010.5,
2023-01-23,25.1,22.0,32.0,6.1,,55.0,8.5,,1011.8,
2023-01-24,25.7,21.5,30.9,0.0,,60.0,8.4,,1011.4,
2023-01-25,26.0,21.5,31.2,0.0,,34.0,11.6,,1010.5,
2023-01-26,26.0,21.2,31.7,0.0,,31.0,11.9,,1009.8,
2023-01-27,26.2,20.0,34.0,0.0,,33.0,11.5,,1009.8,
2023-01-28,25.9,19.0,33.0,0.0,,28.0,10.8,,1010.1,
2023-01-29,25.9,20.9,33.0,0.0,,31.0,11.0,,1010.5,
2023-01-30,26.0,20.9,32.5,0.0,,21.0,11.0,,1009.7,
2023-01-31,25.8,21.0,32.2,0.0,,23.0,11.7,,1010.1,
2023-02-01,25.9,20.8,32.0,0.0,,31.0,12.4,,1010.7,
2023-02-02,26.0,20.6,32.5,0.0,,23.0,11.9,,1011.5,
2023-02-03,26.6,20.6,33.3,0.0,,26.0,10.8,,1011.3,
2023-02-04,27.0,22.2,33.3,0.0,,41.0,9.7,,1012.2,
2023-02-05,25.5,22.2,29.2,0.5,,59.0,9.9,,1012.8,
2023-02-06,26.2,22.0,31.6,1.0,,40.0,10.3,,1011.3,
2023-02-07,27.0,22.0,33.0,0.0,,48.0,8.7,,1010.3,
2023-02-08,27.5,24.0,33.0,0.1,,47.0,10.2,,1010.0,
2023-02-09,26.7,22.0,32.0,0.4,,64.0,8.0,,1010.0,
2023-02-10,26.7,22.2,33.0,12.7,,58.0,10.5,,1009.9,
2023-02-11,27.2,23.0,32.8,0.0,,44.0,9.4,,1009.2,
2023-02-12,27.7,22.4,34.0,0.0,,58.0,8.6,,1008.5,
2023-02-13,27.6,23.7,33.3,0.1,,87.0,8.4,,1008.9,
2023-02-14,27.5,23.3,33.5,4.3,,62.0,6.8,,1009.4,
2023-02-15,26.6,22.4,34.0,9.8,,59.0,8.6,,1010.3,
2023-02-16,24.5,22.1,31.0,25.9,,358.0,5.8,,1010.4,
2023-02-17,27.0,22.0,34.0,0.0,,21.0,11.5,,1008.5,
2023-02-18,27.1,22.0,34.0,0.0,,21.0,13.1,,1009.8,
