time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,26.8,22.4,30.3,3.6,,31.0,6.9,,1013.0,
2023-01-02,26.7,20.1,31.0,8.1,,342.0,4.8,,1013.3,
2023-01-03,25.4,21.0,29.4,18.6,,33.0,6.4,,1013.6,
2023-01-04,26.3,21.8,31.0,6.4,,27.0,6.1,,1012.7,
2023-01-05,27.6,22.1,31.2,3.5,,34.0,5.8,,1012.5,
2023-01-06,27.5,20.6,31.3,41.5,,0.0,6.3,,1012.9,
2023-01-07,25.7,20.8,28.0,12.9,,120.0,4.0,,1014.1,
2023-01-08,25.3,22.0,29.0,12.0,,187.0,5.6,,1014.0,
2023-01-09,26.6,22.0,31.0,4.3,,315.0,3.9,,1013.3,
2023-01-10,24.8,20.0,27.1,15.2,,29.0,7.8,,1013.8,
2023-01-11,25.2,20.4,29.5,4.8,,262.0,5.7,,1013.7,
2023-01-12,25.2,21.0,29.0,0.1,,194.0,7.3,,1013.8,
2023-01-13,26.7,22.0,30.0,12.0,,219.0,5.5,,1011.9,
2023-01-14,25.7,20.9,29.0,7.0,,23.0,6.8,,1013.0,
2023-01-15,25.9,21.0,29.3,11.2,,311.0,5.5,,1013.1,
2023-01-16,26.8,20.6,31.5,4.1,,25.0,6.1,,1012.1,
2023-01-17,26.3,21.8,30.0,1.9,,214.0,6.5,,1011.0,
2023-01-18,26.9,20.7,31.0,21.6,,68.0,5.8,,1011.7,
2023-01-19,26.2,20.7,31.0,15.2,,229.0,7.2,,1012.7,
2023-01-20,25.4,20.5,29.8,7.6,,351.0,5.4,,1013.1,
2023-01-21,25.8,21.2,29.3,0.5,,184.0,7.6,,1011.0,
2023-01-22,27.8,21.7,33.0,0.0,,183.0,5.9,,1009.9,
2023-01-23,26.4,21.0,29.4,0.3,,169.0,6.4,,1011.4,
2023-01-24,28.8,21.8,34.0,0.6,,205.0,6.4,,1010.8,
2023-01-25,28.6,21.0,34.0,0.0,,77.0,5.2,,1009.7,
2023-01-26,28.5,21.0,33.2,0.0,,32.0,5.8,,1009.4,
2023-01-27,27.7,21.6,32.3,0.6,,19.0,6.4,,1009.9,
2023-01-28,28.2,22.8,32.4,0.0,,36.0,6.2,,1009.6,
2023-01-29,28.9,20.5,34.0,0.0,,51.0,5.8,,1009.6,
2023-01-30,27.9,21.2,32.4,0.2,,15.0,6.8,,1010.1,
2023-01-31,27.9,20.2,32.6,1.9,,42.0,8.1,,1010.8,
