time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,28.8,23.0,34.0,0.0,,71.0,10.8,,1012.1,
2023-01-02,28.8,22.8,33.0,0.0,,35.0,11.1,,1012.6,
2023-01-03,28.9,22.8,33.2,0.0,,72.0,10.4,,1012.8,
2023-01-04,28.3,23.0,33.3,0.0,,35.0,12.5,,1012.4,
2023-01-05,28.4,22.0,35.0,0.0,,19.0,10.8,,1011.9,
2023-01-06,28.3,22.0,35.0,0.0,,48.0,9.2,,1011.9,
2023-01-07,28.6,22.0,35.1,0.0,,56.0,12.4,,1012.0,
2023-01-08,28.4,22.4,33.2,0.0,,83.0,9.4,,1012.7,
2023-01-09,28.6,23.0,34.0,0.0,,292.0,9.7,,1012.5,
2023-01-10,29.1,25.8,34.0,0.0,,284.0,10.0,,1012.9,
2023-01-11,28.4,23.5,33.0,0.5,,357.0,9.0,,1012.8,
2023-01-12,29.0,25.0,33.0,0.0,,61.0,12.5,,1012.0,
2023-01-13,28.6,23.4,34.0,0.0,,30.0,10.4,,1011.2,
2023-01-14,28.4,22.6,34.4,0.0,,103.0,14.7,,1011.8,
2023-01-15,28.8,23.0,34.0,0.0,,64.0,18.5,,1012.3,
2023-01-16,28.4,22.0,33.8,0.0,,31.0,17.0,,1011.5,
2023-01-17,28.6,22.0,33.0,0.0,,108.0,12.5,,1010.4,
2023-01-18,28.6,23.0,33.0,0.0,,42.0,13.7,,1010.9,
2023-01-19,28.7,22.7,33.4,0.0,,32.0,15.5,,1011.7,
2023-01-20,28.9,22.9,34.0,0.0,,45.0,19.5,,1011.5,
2023-01-21,28.9,22.0,34.0,0.0,,52.0,19.6,,1010.1,
2023-01-22,28.9,22.0,34.2,0.0,,42.0,17.8,,1009.3,
2023-01-23,29.6,22.7,34.4,0.0,,32.0,13.8,,1010.3,
2023-01-24,29.7,23.0,35.0,0.0,,67.0,17.5,,1009.6,
2023-01-25,30.4,24.8,36.0,0.0,,22.0,18.8,,1009.1,
2023-01-26,29.3,23.0,35.6,0.0,,32.0,21.0,,1009.2,
2023-01-27,28.7,21.8,34.2,0.0,,45.0,23.6,,1009.9,
2023-01-28,28.6,21.9,33.8,0.0,,75.0,22.6,,1009.8,
2023-01-29,28.6,20.6,34.8,0.0,,49.0,21.0,,1009.3,
2023-01-30,28.4,20.8,35.0,0.0,,54.0,19.2,,1010.3,
2023-01-31,28.0,20.5,34.7,0.0,,57.0,19.5,,1011.1,
2023-02-01,28.3,20.5,34.0,0.0,,41.0,23.1,,1011.2,
2023-02-02,29.1,21.8,35.0,0.0,,42.0,22.2,,1010.5,
