time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,25.5,19.7,32.8,21.9,,350.0,5.0,,1011.7,
2023-01-02,25.5,20.7,31.1,4.7,,318.0,5.8,,1012.0,
2023-01-03,25.4,21.5,30.9,0.0,,331.0,5.5,,1011.8,
2023-01-04,25.3,19.8,31.1,0.5,,333.0,6.0,,1011.4,
2023-01-05,25.9,21.1,31.5,3.5,,345.0,5.8,,1012.2,
2023-01-06,26.4,21.6,32.2,0.8,,1.0,4.8,,1011.9,
2023-01-07,24.3,20.6,29.8,12.8,,124.0,6.0,,1013.0,
2023-01-08,23.5,20.7,27.9,13.4,,43.0,4.4,,1014.0,
2023-01-09,24.6,21.0,29.9,5.2,,63.0,3.6,,1012.8,
2023-01-10,24.4,20.4,30.3,10.5,,41.0,5.0,,1012.3,
2023-01-11,23.7,21.1,30.1,17.0,,349.0,6.4,,1012.8,
2023-01-12,23.6,21.4,29.6,2.8,,246.0,5.7,,1012.7,
2023-01-13,25.0,21.7,30.4,7.6,,6.0,6.2,,1011.6,
2023-01-14,25.3,20.5,31.0,0.2,,349.0,7.0,,1011.1,
2023-01-15,24.6,20.8,29.7,1.3,,313.0,7.1,,1012.0,
2023-01-16,24.5,21.0,30.8,2.1,,5.0,6.8,,1011.8,
2023-01-17,23.9,20.2,28.6,2.4,,26.0,6.6,,1011.7,
2023-01-18,24.8,19.3,30.6,1.2,,335.0,7.7,,1011.4,
2023-01-19,24.9,19.7,31.3,0.5,,339.0,9.6,,1012.1,
2023-01-20,24.4,20.0,29.7,0.8,,342.0,8.2,,1012.7,
2023-01-21,24.2,18.1,30.9,0.0,,348.0,8.0,,1011.8,
2023-01-22,24.8,19.5,30.7,0.0,,356.0,7.9,,1011.2,
2023-01-23,24.2,19.8,30.5,5.6,,319.0,7.5,,1012.5,
2023-01-24,25.2,20.0,31.4,0.0,,344.0,7.8,,1011.6,
2023-01-25,24.9,19.7,31.6,0.2,,346.0,8.8,,1011.0,
2023-01-26,25.0,18.2,32.5,0.0,,337.0,9.1,,1010.3,
2023-01-27,24.9,17.9,32.5,0.0,,4.0,7.9,,1010.4,
2023-01-28,25.1,18.6,31.5,0.0,,10.0,8.7,,1010.7,
2023-01-29,24.8,18.1,32.0,0.0,,25.0,8.4,,1011.0,
2023-01-30,24.8,17.3,31.9,0.0,,351.0,8.1,,1010.3,
2023-01-31,25.0,18.4,31.8,0.0,,357.0,9.5,,1010.7,
2023-02-01,24.7,19.2,31.7,0.0,,353.0,8.9,,1011.4,
2023-02-02,25.5,18.7,32.4,0.0,,6.0,9.3,,1012.3,
2023-02-03,25.1,17.1,33.1,0.0,,16.0,8.4,,1011.9,
2023-02-04,25.7,18.3,33.1,0.0,,8.0,8.7,,1012.7,
2023-02-05,24.6,19.7,30.6,5.2,,335.0,9.9,,1013.6,
2023-02-06,25.8,20.9,32.6,0.0,,347.0,8.6,,1011.6,
2023-02-07,26.3,20.9,32.3,0.2,,356.0,8.2,,1010.7,
2023-02-08,26.9,21.2,33.2,0.0,,0.0,8.1,,1010.6,
2023-02-09,25.8,20.9,31.4,1.4,,344.0,9.1,,1010.8,
2023-02-10,25.9,21.2,31.4,3.6,,349.0,10.5,,1010.6,
2023-02-11,26.3,20.8,33.2,1.5,,338.0,8.8,,1009.6,
2023-02-12,26.4,21.1,32.2,8.5,,345.0,8.8,,1009.2,
2023-02-13,26.8,22.1,32.8,2.0,,351.0,7.6,,1009.4,
2023-02-14,26.8,21.6,33.4,22.4,,358.0,7.6,,1009.9,
2023-02-15,25.7,21.3,32.5,12.9,,353.0,9.1,,1010.8,
2023-02-16,24.4,21.3,29.3,16.7,,38.0,7.3,,1011.0,
2023-02-17,26.4,21.6,32.4,0.2,,351.0,9.0,,1009.0,
2023-02-18,26.2,21.6,31.3,0.0,,348.0,9.2,,1010.4,
2023-02-19,26.2,19.7,34.3,0.0,,343.0,9.4,,1010.4,
2023-02-20,26.6,19.3,33.2,0.0,,351.0,8.7,,1010.3,
2023-02-21,26.3,19.6,32.5,0.0,,3.0,8.1,,1010.8,
2023-02-22,26.7,20.0,32.6,0.0,,343.0,7.7,,1012.4,
2023-02-23,26.6,19.3,33.7,0.0,,2.0,8.9,,1013.1,
2023-02-24,26.0,19.5,32.7,0.0,,348.0,7.7,,1012.6,
2023-02-25,27.1,20.4,34.5,0.0,,30.0,8.4,,1011.3,
2023-02-26,27.2,20.3,33.0,0.2,,4.0,8.6,,1010.7,
2023-02-27,27.3,20.6,33.9,0.2,,339.0,7.5,,1011.2,
2023-02-28,25.1,21.7,30.6,19.1,,296.0,7.7,,1013.2,
2023-03-01,24.9,21.7,31.0,12.8,,200.0,5.7,,1012.5,
2023-03-02,24.7,21.1,31.7,30.2,,196.0,7.1,,1010.6,
2023-03-03,24.4,21.4,30.7,8.5,,318.0,7.1,,1010.1,
2023-03-04,24.5,21.3,30.8,10.9,,251.0,7.2,,1010.5,
2023-03-05,24.4,21.2,28.5,7.8,,4.0,7.2,,1011.4,
2023-03-06,25.3,21.6,32.0,15.7,,244.0,7.5,,1010.4,
2023-03-07,26.6,21.2,33.0,0.6,,338.0,7.2,,1009.9,
2023-03-08,26.4,22.2,31.7,1.1,,13.0,5.5,,1010.1,
2023-03-09,24.8,21.8,30.6,13.7,,254.0,6.0,,1010.8,
2023-03-10,24.6,20.7,30.2,12.2,,159.0,6.5,,1011.3,
2023-03-11,22.7,21.1,24.9,34.3,,194.0,4.8,,1012.5,
2023-03-12,23.9,20.9,29.0,3.0,,77.0,5.3,,1013.0,
2023-03-13,24.1,20.8,29.8,7.6,,177.0,5.2,,1013.5,
2023-03-14,25.5,21.0,31.6,2.2,,328.0,8.6,,1012.9,
2023-03-15,25.2,22.1,29.6,0.4,,294.0,7.0,,1012.3,
2023-03-16,25.6,19.6,32.6,0.0,,343.0,7.0,,1010.5,
2023-03-17,26.2,20.1,33.4,1.5,,319.0,7.9,,1010.2,
2023-03-18,25.1,21.1,31.2,15.7,,322.0,10.7,,1011.0,
2023-03-19,26.3,21.8,32.6,0.8,,325.0,9.0,,1011.1,
2023-03-20,27.0,21.2,32.2,0.1,,349.0,7.4,,1010.9,
2023-03-21,26.8,21.5,33.0,0.0,,7.0,8.5,,1010.6,
2023-03-22,26.4,21.1,31.7,0.3,,340.0,9.0,,1010.9,
2023-03-23,27.1,20.9,32.9,0.1,,333.0,8.7,,1009.9,
2023-03-24,27.8,22.4,33.4,0.1,,352.0,9.0,,1009.7,
2023-03-25,26.9,23.4,32.0,0.0,,315.0,8.2,,1010.7,
2023-03-26,25.8,21.2,31.6,4.4,,147.0,6.5,,1012.2,
2023-03-27,24.7,21.3,31.5,8.4,,246.0,7.5,,1012.0,
2023-03-28,24.6,21.1,31.4,4.0,,128.0,7.2,,1011.8,
