time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,24.9,22.4,28.3,0.3,,228.0,7.8,,1013.3,
2023-01-02,25.1,22.6,29.0,0.5,,34.0,5.9,,1013.2,
2023-01-03,25.2,23.5,27.5,2.3,,358.0,7.7,,1013.2,
2023-01-04,25.2,22.8,27.6,1.5,,291.0,7.6,,1012.0,
2023-01-05,24.6,23.6,26.7,12.5,,230.0,8.2,,1012.5,
2023-01-06,25.1,23.1,28.0,3.6,,223.0,10.6,,1012.6,
2023-01-07,24.0,23.1,25.2,23.8,,240.0,7.6,,1012.9,
2023-01-08,23.6,22.7,25.6,123.9,,222.0,7.3,,1013.3,
2023-01-09,24.0,22.4,26.4,54.4,,224.0,8.9,,1013.5,
2023-01-10,24.2,22.2,26.9,10.6,,229.0,9.1,,1013.4,
2023-01-11,24.5,22.0,27.8,8.1,,208.0,14.1,,1012.8,
2023-01-12,24.2,22.5,27.0,24.9,,231.0,13.3,,1012.6,
2023-01-13,25.2,23.2,28.2,4.8,,231.0,15.0,,1011.5,
2023-01-14,25.1,22.9,28.0,18.9,,229.0,17.7,,1011.9,
2023-01-15,24.8,23.2,27.2,21.8,,239.0,15.0,,1012.3,
2023-01-16,25.3,23.3,28.4,3.5,,222.0,19.1,,1011.5,
2023-01-17,25.5,23.9,27.8,0.5,,229.0,21.8,,1010.8,
2023-01-18,25.3,22.9,28.2,3.8,,223.0,17.7,,1011.2,
2023-01-19,25.3,23.0,28.7,0.7,,211.0,12.1,,1012.0,
2023-01-20,24.9,23.1,28.0,9.5,,225.0,14.9,,1011.7,
2023-01-21,24.3,23.0,26.6,21.1,,238.0,18.8,,1010.9,
2023-01-22,24.6,22.7,27.6,28.7,,230.0,15.7,,1009.8,
2023-01-23,25.3,22.6,27.9,4.1,,266.0,11.9,,1009.7,
2023-01-24,25.0,22.8,28.0,19.4,,193.0,11.6,,1010.1,
2023-01-25,25.3,23.4,28.3,5.6,,225.0,16.4,,1009.8,
2023-01-26,25.4,23.2,28.5,5.9,,227.0,15.5,,1009.8,
2023-01-27,25.3,23.8,27.8,6.9,,241.0,15.9,,1009.7,
2023-01-28,25.7,23.7,28.5,2.3,,230.0,17.1,,1008.7,
2023-01-29,25.3,23.2,28.3,9.4,,236.0,20.5,,1009.2,
2023-01-30,25.4,23.4,28.6,17.5,,197.0,18.6,,1009.8,
2023-01-31,25.2,23.1,28.4,7.8,,202.0,11.9,,1010.4,
2023-02-01,24.3,22.6,27.6,27.3,,215.0,12.4,,1010.5,
2023-02-02,24.8,23.1,27.7,23.6,,208.0,16.2,,1010.2,
2023-02-03,25.0,22.5,28.3,34.8,,204.0,15.0,,1010.9,
2023-02-04,24.8,22.4,27.9,14.5,,199.0,13.8,,1011.7,
2023-02-05,25.7,23.0,29.1,6.8,,212.0,13.1,,1010.7,
2023-02-06,25.2,22.9,28.2,22.3,,210.0,13.5,,1009.8,
2023-02-07,25.8,23.6,29.0,27.2,,220.0,15.6,,1009.3,
2023-02-08,25.4,23.0,28.5,21.8,,212.0,18.7,,1009.6,
2023-02-09,25.4,23.2,28.0,9.7,,211.0,12.9,,1009.4,
