time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,12.8,7.5,16.0,2.4,,30.0,3.4,,1023.5,
2023-01-02,10.7,8.0,12.0,5.1,,26.0,2.4,,1024.7,
2023-01-03,10.8,6.4,15.0,0.0,,39.0,4.3,,1025.0,
2023-01-04,11.4,5.6,15.7,3.1,,24.0,4.8,,1024.4,
2023-01-05,11.6,5.8,17.0,11.0,10.0,73.0,5.0,,1024.6,
2023-01-06,13.2,6.0,17.0,7.7,,76.0,5.2,,1024.3,
2023-01-07,11.7,7.0,14.0,5.1,,110.0,4.6,,1024.9,
2023-01-08,12.2,7.0,15.0,0.0,10.0,123.0,5.5,,1025.1,
2023-01-09,11.7,7.4,15.4,6.9,,80.0,5.4,,1025.7,
2023-01-10,11.9,7.6,15.0,6.1,,41.0,3.9,,1024.9,
2023-01-11,11.9,7.4,16.2,20.1,,57.0,5.1,,1024.6,
2023-01-12,12.1,7.8,15.0,0.0,,117.0,5.9,,1025.1,
2023-01-13,12.7,8.0,16.0,1.1,,122.0,7.2,,1024.2,
2023-01-14,11.8,6.8,16.2,5.4,,94.0,5.5,,1024.1,
2023-01-15,11.5,4.6,15.0,25.9,,49.0,3.1,,1024.6,
2023-01-16,13.2,5.2,18.0,0.0,,100.0,6.8,,1023.9,
2023-01-17,12.4,6.4,15.0,0.0,,120.0,5.8,,1022.3,
2023-01-18,11.4,5.2,15.0,4.0,,98.0,6.6,,1023.5,
2023-01-19,11.8,5.4,16.0,0.0,,347.0,6.3,,1024.3,
2023-01-20,11.7,5.6,15.0,12.7,10.0,64.0,4.0,,1023.7,
2023-01-21,11.2,7.4,13.0,1.0,,39.0,4.5,,1025.2,
2023-01-22,10.3,5.5,18.0,0.0,,43.0,6.8,,1025.6,
2023-01-23,10.2,5.0,14.2,1.2,,129.0,9.9,,1023.8,
2023-01-24,11.6,7.8,17.0,1.8,10.0,101.0,12.7,,1024.2,
2023-01-25,11.5,3.8,15.0,0.8,,115.0,5.8,,1022.6,
2023-01-26,13.0,4.2,17.3,1.2,,103.0,7.9,,1022.7,
2023-01-27,14.2,3.8,18.0,0.1,,93.0,6.6,,1022.0,
2023-01-28,13.6,3.6,18.0,0.0,,112.0,9.0,,1022.5,
2023-01-29,13.3,3.0,18.0,0.0,,126.0,9.6,,1023.0,
2023-01-30,13.3,2.8,17.4,0.5,,89.0,7.5,,1021.9,
2023-01-31,12.5,3.8,18.2,0.0,,43.0,4.9,,1023.8,
2023-02-01,11.8,5.8,18.7,7.9,,125.0,5.5,,1023.0,
2023-02-02,12.6,6.0,17.0,0.0,,96.0,9.1,,1023.8,
2023-02-03,12.1,1.8,17.0,0.0,,114.0,8.9,,1018.6,
2023-02-04,10.1,1.4,14.0,0.0,,122.0,9.3,,1025.9,
2023-02-05,10.4,2.8,13.0,1.8,,119.0,8.3,,1024.4,
2023-02-06,11.4,6.6,14.0,2.1,10.0,114.0,9.4,,1023.9,
2023-02-07,12.0,7.6,14.0,3.1,,121.0,9.6,,1023.8,
2023-02-08,12.1,6.4,15.0,2.9,,125.0,8.1,,1023.0,
2023-02-09,12.1,7.6,14.0,0.6,,126.0,9.3,,1023.5,
2023-02-10,11.0,7.4,14.0,1.9,,122.0,7.7,,1022.8,
2023-02-11,12.1,6.0,15.0,1.1,,112.0,8.4,,1022.1,
2023-02-12,12.6,8.0,15.0,1.6,,132.0,8.2,,1020.8,
2023-02-13,12.5,8.2,15.0,2.3,,146.0,8.2,,1022.6,
2023-02-14,13.2,6.8,16.0,1.8,,114.0,8.9,,1023.0,
2023-02-15,12.2,7.2,16.2,0.9,,90.0,8.4,,1023.0,
2023-02-16,13.3,7.2,17.0,4.5,10.0,91.0,6.7,,1023.0,
2023-02-17,14.2,6.9,17.0,9.6,,92.0,5.0,,1021.4,
2023-02-18,13.2,7.9,16.5,3.8,30.0,109.0,6.0,,1022.7,
2023-02-19,13.6,7.8,17.0,0.5,,97.0,8.1,,1021.6,
2023-02-20,12.6,7.0,16.0,0.0,,98.0,7.5,,1022.8,
