time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,18.4,13.0,21.1,0.5,,357.0,5.4,,1019.5,
2023-01-02,16.4,13.7,18.0,17.0,,355.0,3.4,,1020.1,
2023-01-03,18.4,14.0,22.0,0.0,,348.0,4.2,,1019.8,
2023-01-04,19.7,14.0,23.0,1.9,,21.0,4.2,,1018.6,
2023-01-05,18.7,14.4,22.0,9.0,,16.0,4.8,,1018.9,
2023-01-06,19.1,14.2,22.0,9.3,,350.0,4.9,,1018.9,
2023-01-07,18.1,14.9,21.0,0.3,,323.0,3.4,,1019.3,
2023-01-08,18.9,14.2,22.2,0.0,,348.0,4.3,,1019.3,
2023-01-09,17.7,14.4,20.2,20.2,10.0,339.0,3.8,,1020.0,
2023-01-10,17.7,13.9,21.0,21.1,,5.0,4.5,,1019.7,
2023-01-11,17.6,13.6,20.0,11.9,,36.0,5.3,,1019.5,
2023-01-12,17.7,14.6,20.0,0.0,10.0,344.0,5.2,,1019.3,
2023-01-13,18.7,15.0,22.0,11.1,,350.0,5.4,,1018.0,
2023-01-14,18.5,14.2,22.0,10.5,41.0,322.0,5.6,,1018.8,
2023-01-15,18.2,13.4,23.0,2.0,,3.0,5.3,,1019.0,
2023-01-16,19.6,13.4,22.0,0.0,,329.0,5.9,,1017.9,
2023-01-17,17.8,13.9,20.1,0.0,,359.0,4.9,,1017.0,
2023-01-18,17.6,13.4,19.5,18.9,,342.0,5.4,,1017.9,
2023-01-19,18.6,13.6,22.2,1.0,,39.0,6.1,,1018.6,
2023-01-20,18.8,13.8,22.0,0.0,10.0,54.0,5.6,,1018.2,
2023-01-21,16.9,14.8,19.0,0.0,,339.0,5.0,,1018.1,
2023-01-22,17.4,14.2,21.0,7.4,,6.0,6.5,,1016.4,
2023-01-23,20.6,14.4,23.5,1.2,,117.0,10.2,,1016.6,
2023-01-24,20.9,14.8,23.4,5.6,,115.0,11.4,,1016.7,
2023-01-25,20.8,13.6,24.6,7.3,,30.0,8.1,,1016.3,
2023-01-26,20.1,13.9,23.0,8.8,,16.0,7.0,,1016.3,
2023-01-27,19.7,14.4,23.0,2.8,,19.0,6.3,,1016.1,
2023-01-28,20.5,14.0,24.0,2.6,,84.0,7.5,,1015.5,
2023-01-29,20.2,13.2,24.0,1.3,,69.0,9.2,,1015.7,
2023-01-30,20.0,13.8,23.0,18.8,,7.0,7.1,,1016.7,
2023-01-31,18.5,13.6,21.1,13.0,,353.0,5.9,,1017.2,
2023-02-01,18.2,14.6,21.0,2.0,,3.0,4.0,,1017.2,
2023-02-02,19.7,13.5,24.0,6.1,,21.0,7.7,,1016.7,
2023-02-03,20.4,12.6,24.0,0.0,,61.0,8.4,,1015.0,
2023-02-04,20.3,11.9,24.4,2.8,,99.0,9.2,,1018.3,
2023-02-05,19.1,13.4,23.0,5.8,,37.0,6.5,,1017.5,
2023-02-06,19.9,15.2,25.0,10.9,,75.0,8.8,,1016.6,
2023-02-07,21.1,13.8,26.0,0.0,,89.0,8.3,,1016.2,
2023-02-08,20.1,14.8,25.0,12.8,,44.0,7.2,,1016.3,
2023-02-09,19.1,14.6,22.0,8.3,,23.0,6.9,,1016.4,
2023-02-10,19.4,15.0,23.0,4.0,,18.0,5.8,,1015.8,
2023-02-11,19.5,15.0,23.0,6.3,,343.0,5.3,,1015.0,
2023-02-12,19.3,14.7,22.0,6.7,,17.0,5.7,,1014.6,
2023-02-13,20.4,15.0,24.0,4.1,,355.0,6.7,,1015.4,
2023-02-14,19.9,15.1,23.6,9.6,,331.0,6.2,,1016.7,
2023-02-15,18.3,15.6,25.3,17.5,,351.0,5.0,,1017.1,
2023-02-16,18.5,14.5,20.5,12.7,,325.0,4.0,,1016.9,
2023-02-17,19.3,15.0,22.5,4.1,,333.0,5.8,,1016.4,
2023-02-18,18.9,15.4,22.5,0.0,10.0,350.0,5.6,,1016.7,
2023-02-19,19.8,14.9,23.0,0.0,,340.0,7.3,,1015.7,
2023-02-20,19.3,14.0,23.2,0.0,,23.0,8.0,,1016.4,
2023-02-21,17.9,14.8,20.0,34.0,10.0,14.0,4.9,,1017.3,
2023-02-22,16.2,15.0,17.0,21.1,,82.0,4.0,,1019.4,
2023-02-23,19.4,14.2,23.0,0.0,10.0,57.0,6.7,,1018.4,
2023-02-24,19.7,13.7,23.0,5.9,,47.0,7.5,,1018.3,
2023-02-25,19.6,13.5,32.0,3.4,,30.0,7.8,,1017.4,
2023-02-26,19.8,12.6,24.2,7.2,,25.0,8.6,,1017.4,
2023-02-27,21.1,14.0,25.0,7.9,,319.0,6.8,,1017.2,
2023-02-28,20.1,14.8,23.4,2.6,,42.0,6.8,,1017.5,
2023-03-01,21.3,15.4,25.0,5.3,,67.0,8.1,,1017.1,
2023-03-02,21.9,14.8,27.0,7.1,,76.0,8.4,,1015.3,
2023-03-03,21.0,15.4,26.0,0.0,,8.0,8.3,,1014.8,
2023-03-04,19.9,15.4,22.3,0.0,,353.0,8.3,,1015.9,
2023-03-05,19.7,15.8,22.5,2.0,,347.0,6.5,,1017.2,
2023-03-06,20.2,16.4,23.7,0.0,,343.0,6.5,,1017.5,
2023-03-07,18.2,15.6,20.0,15.4,,346.0,5.0,,1018.3,
2023-03-08,19.2,15.2,21.2,0.5,,328.0,6.0,,1018.2,
2023-03-09,16.8,15.0,18.0,11.9,,320.0,6.6,,1019.6,
2023-03-10,18.6,13.8,22.0,0.0,10.0,24.0,6.1,,1019.1,
2023-03-11,15.6,14.4,16.0,25.5,10.0,6.0,4.9,,1019.1,
2023-03-12,18.2,14.7,20.0,8.3,10.0,32.0,4.7,,1019.6,
2023-03-13,17.5,15.0,20.2,22.1,,350.0,5.1,,1020.5,
2023-03-14,17.5,14.5,22.0,0.0,,40.0,5.6,,1020.2,
2023-03-15,16.1,14.0,18.0,3.6,,123.0,3.8,,1018.9,
2023-03-16,18.6,13.4,21.1,3.2,,6.0,6.3,,1018.4,
2023-03-17,19.0,13.2,22.5,8.9,,324.0,7.2,,1019.1,
2023-03-18,18.9,14.6,22.5,37.1,,7.0,5.8,,1019.7,
2023-03-19,18.5,14.7,21.6,0.0,,210.0,6.2,,1019.1,
2023-03-20,20.1,14.0,23.6,0.0,,56.0,6.6,,1018.8,
2023-03-21,20.1,14.8,23.0,0.0,,36.0,7.2,,1018.1,
2023-03-22,19.7,13.4,23.0,33.5,,3.0,7.2,,1017.7,
2023-03-23,17.8,15.3,20.0,14.5,,336.0,5.7,,1018.0,
2023-03-24,17.9,14.8,20.5,39.7,10.0,343.0,5.7,,1018.6,
2023-03-25,19.1,14.2,22.0,17.0,10.0,41.0,5.8,,1017.9,
2023-03-26,19.3,14.2,22.0,7.0,,354.0,6.5,,1017.4,
2023-03-27,21.2,15.0,25.0,15.2,,97.0,10.5,,1017.7,
2023-03-28,19.2,14.2,22.0,17.5,,17.0,6.3,,1017.2,
2023-03-29,18.3,15.2,20.5,19.5,41.0,343.0,5.2,,1017.5,
2023-03-30,20.6,14.8,24.3,1.0,,3.0,6.6,,1016.8,
2023-03-31,19.4,14.4,22.0,0.0,,338.0,6.6,,1018.0,
2023-04-01,20.1,15.4,23.0,12.4,,336.0,6.7,,1017.7,
2023-04-02,19.8,15.0,23.5,8.5,,20.0,7.4,,1017.0,
2023-04-03,21.8,15.8,26.5,15.4,,71.0,9.4,,1015.4,
2023-04-04,20.1,14.2,23.0,16.7,,70.0,8.9,,1015.7,
2023-04-05,19.9,15.4,23.0,7.6,,9.0,6.6,,1015.4,
2023-04-06,16.7,14.0,19.0,33.9,10.0,333.0,6.9,,1017.7,
2023-04-07,17.6,14.7,19.1,10.5,,343.0,6.0,,1016.0,
2023-04-08,19.5,15.2,23.0,5.9,,4.0,6.2,,1017.9,
2023-04-09,20.1,14.4,24.0,14.4,10.0,84.0,10.7,,1017.0,
2023-04-10,20.5,14.2,22.4,10.7,,50.0,9.5,,1016.8,
2023-04-11,20.5,14.8,25.0,13.2,,32.0,6.5,,1017.1,
2023-04-12,20.3,15.0,23.0,22.3,,286.0,6.1,,1016.5,
2023-04-13,19.7,15.0,23.0,7.8,,20.0,7.3,,1015.6,
2023-04-14,19.8,14.8,25.1,8.4,,48.0,7.8,,1016.2,
2023-04-15,20.4,15.6,24.0,18.1,,347.0,7.3,,1018.0,
2023-04-16,17.5,15.4,19.0,24.6,,338.0,4.4,,1019.4,
2023-04-17,18.9,14.7,22.0,21.1,,2.0,6.2,,1018.6,
2023-04-18,20.3,14.4,24.0,2.0,,37.0,8.1,,1017.1,
2023-04-19,20.6,15.2,23.1,0.0,,58.0,7.2,,1016.6,
2023-04-20,17.8,16.0,19.2,14.8,,344.0,5.8,,1018.8,
2023-04-21,18.7,15.4,22.0,16.3,20.0,333.0,4.8,,1018.9,
2023-04-22,18.4,15.5,20.3,35.1,,330.0,4.4,,1018.1,
2023-04-23,17.8,14.8,21.0,0.0,51.0,342.0,3.9,,1018.9,
2023-04-24,19.9,14.2,23.0,7.7,,28.0,4.8,,1018.3,
2023-04-25,20.3,14.0,24.0,11.4,,137.0,6.5,,1018.5,
2023-04-26,19.9,15.0,23.5,11.6,,131.0,7.1,,1018.6,
2023-04-27,19.9,14.0,22.0,41.7,10.0,93.0,6.5,,1018.0,
2023-04-28,20.6,15.2,24.0,23.7,,17.0,6.9,,1018.1,
2023-04-29,18.2,15.5,20.0,29.0,,239.0,6.3,,1019.4,
2023-04-30,19.1,14.6,22.2,4.1,,277.0,6.4,,1019.3,
2023-05-01,20.5,14.6,24.0,6.1,,86.0,7.7,,1018.2,
2023-05-02,23.3,15.4,26.0,0.0,,121.0,13.6,,1016.3,
2023-05-03,23.6,17.5,25.2,1.0,,105.0,14.0,,1015.4,
2023-05-04,23.8,15.8,26.0,1.6,,111.0,11.2,,1015.9,
2023-05-05,24.4,18.0,26.1,0.4,,120.0,16.5,,1016.1,
2023-05-06,19.3,16.2,21.0,9.7,,121.0,8.4,,1017.1,
2023-05-07,23.3,15.0,27.0,1.8,,129.0,10.6,,1016.8,
2023-05-08,24.1,15.5,28.0,1.3,,86.0,10.9,,1016.5,
2023-05-09,21.7,16.8,25.0,0.0,,109.0,7.9,,1017.4,
2023-05-10,20.8,14.6,24.0,1.0,,78.0,7.2,,1018.5,
2023-05-11,20.7,16.8,24.2,0.0,,206.0,7.7,,1017.9,
2023-05-12,21.0,15.0,24.4,8.8,,99.0,9.2,,1017.0,
2023-05-13,22.2,15.4,25.0,2.5,,62.0,8.2,,1016.4,
2023-05-14,22.8,16.4,26.0,0.0,,22.0,7.4,,1018.4,
2023-05-15,21.3,15.8,24.1,0.0,,347.0,8.4,,1019.9,
2023-05-16,20.7,15.8,23.5,24.3,,342.0,6.4,,1020.3,
2023-05-17,21.9,15.4,26.4,4.0,,36.0,7.7,,1018.3,
2023-05-18,24.1,15.8,29.0,8.1,,119.0,11.9,,1016.9,
2023-05-19,21.2,14.8,24.0,19.4,,40.0,8.3,,1017.5,
2023-05-20,18.5,16.8,20.2,20.2,,359.0,4.7,,1017.7,
2023-05-21,19.3,15.8,23.0,8.9,,8.0,5.8,,1018.4,
2023-05-22,19.6,16.0,23.0,0.0,,0.0,5.2,,1018.5,
2023-05-23,18.3,15.4,23.0,19.7,,338.0,5.5,,1018.9,
2023-05-24,19.8,15.0,23.0,30.0,,31.0,7.1,,1017.0,
2023-05-25,19.2,15.0,21.0,38.1,,73.0,6.9,,1017.5,
2023-05-26,18.8,15.2,20.4,0.0,,21.0,4.6,,1018.7,
2023-05-27,20.2,15.2,23.0,7.5,,334.0,6.1,,1018.7,
2023-05-28,20.1,14.8,23.0,7.2,,345.0,6.3,,1019.2,
2023-05-29,20.2,14.2,24.0,0.0,,305.0,7.1,,1018.7,
2023-05-30,20.1,16.3,23.1,17.8,,299.0,4.8,,1018.9,
2023-05-31,19.1,14.4,21.5,18.0,,36.0,6.0,,1019.1,
2023-06-01,18.9,15.2,20.2,0.5,,31.0,6.0,,1019.4,
2023-06-02,19.7,15.4,23.0,0.0,,48.0,6.1,,1018.6,
2023-06-03,23.1,14.6,27.5,4.2,,119.0,8.6,,1017.0,
2023-06-04,21.1,14.7,24.0,3.5,,126.0,9.5,,1018.0,
2023-06-05,21.4,15.4,24.0,4.8,,95.0,9.3,,1017.7,
2023-06-06,19.2,15.2,20.1,11.1,,339.0,6.4,,1018.6,
2023-06-07,21.6,15.4,25.0,6.1,,61.0,8.2,,1018.6,
2023-06-08,20.3,14.2,23.0,12.3,,304.0,6.0,,1020.0,
