time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,23.1,20.7,26.9,3.5,,339.0,4.4,,1015.1,
2023-01-02,22.8,20.1,26.9,3.7,,339.0,3.6,,1015.2,
2023-01-03,22.9,20.0,26.7,1.9,,351.0,4.7,,1015.5,
2023-01-04,22.3,19.7,25.7,12.1,,329.0,3.5,,1015.5,
2023-01-05,23.3,19.5,27.9,1.4,,130.0,1.8,,1014.8,
2023-01-06,23.8,19.7,28.8,3.4,,133.0,2.3,,1014.4,
2023-01-07,23.2,20.4,26.8,17.6,,119.0,2.4,,1015.1,
2023-01-08,23.2,20.2,27.1,3.1,,120.0,3.1,,1015.3,
2023-01-09,23.4,20.0,27.8,33.5,,133.0,3.1,,1014.5,
2023-01-10,23.0,21.1,26.1,40.2,,331.0,3.9,,1014.6,
2023-01-11,22.9,20.5,26.7,24.4,,335.0,6.6,,1014.9,
2023-01-12,23.0,19.8,27.2,4.0,,126.0,7.3,,1014.7,
2023-01-13,23.6,20.1,28.6,0.0,,121.0,8.3,,1013.5,
2023-01-14,23.6,20.4,28.3,6.7,,27.0,7.5,,1013.6,
2023-01-15,23.2,20.4,27.6,9.8,,345.0,7.3,,1014.7,
2023-01-16,23.0,20.2,26.5,8.2,,334.0,6.8,,1014.2,
2023-01-17,23.3,21.2,27.6,11.3,,163.0,7.8,,1013.4,
2023-01-18,23.1,19.5,28.3,10.8,,109.0,8.3,,1013.8,
2023-01-19,23.3,19.7,28.0,4.2,,76.0,8.2,,1014.7,
2023-01-20,22.5,19.5,26.4,4.8,,88.0,8.0,,1015.2,
2023-01-21,22.8,17.7,29.1,0.0,,115.0,9.9,,1013.7,
2023-01-22,23.1,19.8,27.5,0.0,,118.0,13.2,,1012.8,
2023-01-23,23.9,20.2,28.6,0.0,,115.0,14.5,,1013.7,
2023-01-24,24.2,20.9,28.3,0.0,,111.0,12.6,,1013.4,
2023-01-25,23.6,19.4,29.0,0.0,,111.0,13.1,,1012.9,
2023-01-26,22.4,17.8,28.3,0.0,,45.0,8.8,,1013.2,
2023-01-27,23.0,18.7,27.9,1.0,,39.0,7.8,,1013.9,
2023-01-28,22.8,19.6,27.5,5.2,,94.0,8.0,,1014.1,
2023-01-29,22.1,18.3,27.6,1.0,,49.0,8.4,,1013.7,
2023-01-30,22.4,17.8,27.5,0.0,,27.0,8.2,,1013.9,
2023-01-31,22.8,19.7,26.9,1.1,,4.0,8.0,,1014.4,
2023-02-01,22.7,19.9,26.5,5.4,,357.0,7.2,,1015.0,
2023-02-02,23.1,18.7,28.8,0.2,,98.0,8.9,,1014.9,
2023-02-03,23.5,18.3,30.1,0.1,,105.0,11.0,,1013.8,
2023-02-04,23.6,18.3,30.3,0.0,,111.0,10.4,,1015.1,
2023-02-05,23.7,20.4,27.5,0.0,,122.0,16.7,,1014.7,
2023-02-06,24.9,20.5,30.4,0.0,,115.0,16.0,,1013.0,
2023-02-07,24.5,19.8,30.2,0.1,,93.0,10.9,,1012.8,
2023-02-08,24.2,20.5,30.1,2.1,,105.0,8.9,,1013.2,
2023-02-09,23.9,20.7,29.0,2.4,,135.0,9.3,,1013.4,
2023-02-10,23.8,20.6,27.9,0.3,,139.0,10.6,,1013.0,
2023-02-11,24.3,20.2,29.4,1.4,,121.0,11.0,,1011.8,
2023-02-12,24.4,20.2,29.4,0.0,,123.0,10.4,,1011.1,
2023-02-13,24.2,20.7,28.5,2.2,,109.0,8.6,,1011.8,
2023-02-14,24.2,21.3,29.0,3.4,,59.0,8.4,,1012.5,
2023-02-15,23.8,21.2,27.9,5.5,,94.0,7.1,,1013.7,
2023-02-16,23.2,21.3,26.9,27.2,,263.0,7.5,,1013.4,
2023-02-17,23.2,20.8,26.6,13.9,,40.0,7.2,,1013.0,
2023-02-18,23.2,20.9,26.2,10.2,,20.0,7.7,,1014.1,
2023-02-19,23.1,18.9,28.6,3.3,,122.0,8.8,,1014.1,
2023-02-20,22.9,19.5,27.1,4.1,,63.0,7.4,,1014.1,
2023-02-21,22.9,19.6,28.0,5.6,,63.0,8.4,,1014.2,
2023-02-22,22.7,20.2,25.9,0.8,,3.0,8.0,,1016.3,
2023-02-23,23.5,19.8,28.5,4.0,,65.0,8.6,,1016.4,
