time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,24.5,21.5,29.4,3.8,,277.0,4.7,,1013.4,
2023-01-02,23.8,21.0,28.5,14.7,,279.0,4.3,,1013.6,
2023-01-03,24.2,20.4,29.5,1.6,,319.0,4.3,,1013.8,
2023-01-04,23.8,20.8,28.4,7.8,,281.0,3.0,,1013.9,
2023-01-05,24.2,20.6,28.7,2.3,,140.0,5.3,,1013.2,
2023-01-06,24.9,21.5,29.8,5.9,,135.0,3.9,,1012.7,
2023-01-07,24.2,21.4,28.7,17.6,,169.0,3.8,,1013.4,
2023-01-08,23.5,21.6,27.2,33.4,,92.0,3.4,,1013.8,
2023-01-09,24.2,21.5,29.9,31.9,,142.0,4.2,,1012.9,
2023-01-10,24.0,21.6,28.7,23.3,,100.0,4.0,,1012.9,
2023-01-11,23.8,21.4,28.3,39.5,,102.0,6.0,,1013.4,
2023-01-12,23.9,21.3,27.9,15.6,,136.0,5.8,,1013.1,
2023-01-13,24.8,21.6,29.5,2.5,,168.0,6.2,,1011.8,
2023-01-14,24.8,20.7,30.1,2.6,,102.0,6.4,,1011.8,
2023-01-15,24.5,21.8,29.4,2.7,,292.0,6.6,,1012.9,
2023-01-16,23.6,21.2,28.5,3.1,,174.0,6.7,,1012.6,
2023-01-17,24.2,21.4,29.7,8.5,,195.0,7.6,,1011.7,
2023-01-18,24.3,21.1,29.9,3.2,,266.0,7.1,,1012.1,
2023-01-19,24.4,21.0,29.8,1.2,,106.0,6.3,,1013.1,
2023-01-20,23.6,21.1,28.1,8.7,,112.0,7.4,,1013.7,
2023-01-21,24.0,20.1,28.5,1.0,,151.0,8.0,,1012.2,
2023-01-22,23.7,20.3,27.6,2.8,,134.0,7.3,,1011.3,
2023-01-23,24.6,20.9,29.2,4.9,,157.0,8.4,,1011.9,
2023-01-24,24.5,21.3,28.4,3.9,,162.0,7.9,,1011.7,
2023-01-25,24.4,21.3,29.1,1.4,,156.0,7.1,,1011.2,
2023-01-26,24.2,20.3,29.4,0.0,,165.0,7.8,,1011.6,
2023-01-27,24.2,20.4,29.3,0.8,,137.0,7.4,,1012.2,
2023-01-28,23.8,20.7,28.4,4.3,,159.0,7.3,,1012.6,
2023-01-29,23.4,19.9,28.5,5.7,,126.0,7.5,,1012.2,
2023-01-30,23.9,18.2,29.7,0.0,,175.0,7.2,,1012.2,
2023-01-31,24.1,20.6,29.3,1.8,,77.0,5.8,,1012.8,
2023-02-01,24.4,21.0,29.6,0.5,,155.0,7.6,,1013.3,
2023-02-02,24.2,20.8,29.0,1.1,,144.0,7.2,,1013.3,
2023-02-03,24.7,19.6,30.5,0.1,,130.0,7.6,,1012.2,
2023-02-04,25.0,21.0,29.9,0.0,,158.0,8.1,,1013.4,
2023-02-05,25.2,21.5,29.7,0.7,,157.0,8.4,,1012.7,
2023-02-06,25.7,21.7,30.7,6.9,,147.0,8.1,,1011.2,
2023-02-07,25.3,22.0,30.0,5.8,,124.0,7.3,,1011.2,
2023-02-08,24.8,22.2,29.9,20.7,,119.0,7.5,,1011.7,
2023-02-09,24.1,21.6,29.2,11.8,,132.0,7.2,,1011.9,
2023-02-10,24.1,21.6,28.8,12.6,,131.0,7.5,,1011.4,
2023-02-11,24.6,22.0,29.4,10.0,,124.0,8.2,,1010.3,
2023-02-12,25.0,22.3,30.3,8.6,,152.0,7.0,,1009.5,
2023-02-13,24.6,22.2,29.1,8.4,,137.0,6.9,,1010.1,
2023-02-14,24.9,22.6,29.9,18.1,,121.0,6.5,,1010.8,
2023-02-15,24.4,22.3,27.9,23.7,,133.0,6.3,,1012.1,
2023-02-16,23.6,22.0,26.2,20.9,,147.0,5.6,,1011.9,
2023-02-17,24.1,21.9,28.1,17.0,,155.0,6.3,,1011.3,
2023-02-18,24.0,21.6,28.4,4.4,,179.0,6.8,,1012.5,
2023-02-19,24.6,21.3,29.5,2.6,,183.0,7.0,,1012.5,
2023-02-20,24.3,21.2,28.7,3.0,,150.0,7.2,,1012.4,
2023-02-21,24.3,21.1,29.7,2.3,,128.0,7.5,,1012.5,
2023-02-22,23.6,21.3,27.3,3.0,,147.0,7.6,,1014.6,
2023-02-23,24.7,21.7,29.1,2.1,,114.0,7.0,,1014.7,
2023-02-24,24.1,21.5,28.3,3.1,,152.0,7.2,,1014.6,
2023-02-25,24.6,21.8,28.6,2.1,,159.0,8.1,,1013.8,
2023-02-26,25.2,21.7,29.8,3.3,,134.0,7.0,,1012.3,
2023-02-27,25.3,22.2,30.2,0.7,,132.0,7.9,,1012.0,
2023-02-28,25.9,22.5,30.9,2.7,,123.0,8.2,,1011.7,
2023-03-01,25.7,22.6,30.6,12.1,,134.0,8.0,,1011.6,
2023-03-02,25.4,22.5,30.1,8.6,,131.0,7.4,,1010.2,
2023-03-03,25.6,21.9,30.7,3.8,,115.0,8.2,,1008.7,
2023-03-04,25.9,23.0,32.1,22.0,,145.0,8.0,,1009.4,
2023-03-05,26.1,22.4,32.3,33.6,,147.0,8.3,,1010.0,
2023-03-06,25.5,23.0,31.5,12.6,,126.0,6.8,,1010.9,
2023-03-07,24.6,22.3,29.5,19.5,,163.0,7.4,,1010.8,
2023-03-08,25.0,22.3,29.6,11.0,,165.0,6.3,,1011.3,
2023-03-09,24.3,21.9,28.1,40.2,,43.0,5.1,,1012.3,
2023-03-10,24.2,22.1,28.0,9.4,,32.0,4.0,,1012.9,
2023-03-11,23.9,22.3,26.7,17.5,,176.0,4.9,,1013.0,
2023-03-12,24.3,21.6,29.3,24.6,,143.0,5.7,,1013.1,
2023-03-13,24.1,22.0,27.8,28.2,,130.0,5.8,,1013.5,
2023-03-14,24.5,21.6,29.1,9.2,,86.0,6.3,,1013.2,
2023-03-15,25.2,21.6,31.6,2.5,,102.0,6.5,,1011.8,
2023-03-16,25.8,21.5,32.4,4.0,,64.0,5.9,,1011.2,
2023-03-17,25.0,22.1,30.2,7.5,,209.0,6.9,,1012.2,
2023-03-18,25.0,22.0,30.0,3.3,,198.0,6.8,,1012.5,
2023-03-19,25.4,21.3,31.1,0.6,,148.0,6.6,,1012.7,
2023-03-20,25.5,21.7,31.1,3.1,,161.0,8.1,,1012.8,
2023-03-21,24.8,21.6,30.0,5.6,,160.0,8.1,,1012.8,
2023-03-22,23.9,21.7,27.3,13.1,,140.0,7.3,,1012.9,
2023-03-23,24.5,21.1,29.9,14.4,,166.0,7.6,,1012.8,
2023-03-24,24.9,21.8,29.8,2.6,,167.0,6.8,,1012.2,
2023-03-25,24.7,21.4,29.3,5.3,,196.0,8.1,,1012.5,
2023-03-26,25.0,21.7,29.4,5.5,,156.0,8.8,,1012.1,
2023-03-27,25.1,21.8,30.4,15.8,,158.0,7.1,,1011.7,
2023-03-28,24.8,22.1,29.4,6.6,,163.0,7.4,,1011.6,
2023-03-29,24.6,22.2,29.7,11.2,,144.0,7.7,,1011.1,
2023-03-30,25.0,22.3,30.2,4.7,,168.0,7.2,,1011.3,
