time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,25.6,21.6,28.7,4.0,,343.0,6.7,,1015.2,
2023-01-02,24.2,19.7,27.0,4.6,,58.0,7.9,,1015.4,
2023-01-03,24.4,20.0,29.0,3.8,,332.0,5.4,,1015.8,
2023-01-04,23.1,20.5,27.0,6.1,,99.0,5.8,,1016.0,
2023-01-05,24.8,20.4,29.0,9.9,,357.0,5.9,,1015.3,
2023-01-06,25.2,20.6,29.0,0.0,,5.0,7.8,,1014.6,
2023-01-07,25.2,21.9,28.0,0.8,,17.0,6.6,,1015.1,
2023-01-08,25.3,21.9,28.1,0.0,,21.0,5.9,,1015.6,
2023-01-09,25.6,20.2,30.0,0.0,,41.0,5.7,,1014.5,
2023-01-10,25.4,21.0,28.1,0.0,,347.0,8.1,,1014.6,
2023-01-11,25.1,20.5,29.0,2.0,,353.0,7.5,,1015.0,
2023-01-12,24.5,22.3,27.0,0.0,,25.0,6.5,,1015.1,
2023-01-13,25.9,21.6,30.0,0.0,,74.0,7.4,,1013.7,
2023-01-14,26.4,22.8,30.0,0.0,,10.0,7.9,,1013.7,
2023-01-15,25.3,22.5,28.1,0.0,,354.0,7.7,,1015.0,
2023-01-16,23.9,21.7,26.0,0.8,,356.0,7.6,,1014.7,
2023-01-17,24.9,20.9,29.0,0.0,,347.0,7.1,,1013.8,
2023-01-18,26.1,22.5,30.0,0.0,,20.0,9.8,,1014.0,
2023-01-19,25.1,21.9,29.0,0.0,,22.0,6.4,,1015.1,
2023-01-20,24.6,20.5,27.1,0.0,,25.0,6.6,,1015.4,
2023-01-21,25.3,17.0,30.0,0.0,,110.0,10.4,,1014.0,
2023-01-22,25.4,20.2,31.0,0.0,,145.0,8.7,,1013.5,
2023-01-23,25.8,21.1,30.4,0.0,,148.0,13.4,,1014.1,
2023-01-24,26.1,21.5,30.0,0.5,,36.0,10.5,,1014.1,
2023-01-25,25.8,19.7,30.0,0.0,,60.0,8.0,,1013.5,
2023-01-26,25.0,17.4,30.0,0.0,,63.0,8.8,,1013.5,
2023-01-27,25.6,20.8,29.0,0.0,,87.0,8.7,,1014.3,
2023-01-28,24.8,21.7,27.6,0.0,,78.0,8.0,,1014.7,
2023-01-29,24.7,20.5,29.0,0.0,,82.0,8.5,,1014.4,
2023-01-30,24.9,19.8,30.0,0.0,,95.0,8.2,,1014.3,
2023-01-31,25.3,20.2,29.1,0.0,,27.0,6.1,,1015.0,
2023-02-01,24.6,20.9,29.0,0.0,,16.0,8.9,,1015.3,
2023-02-02,24.9,21.1,29.0,2.0,,36.0,8.8,,1015.4,
2023-02-03,25.1,18.9,30.0,0.0,,56.0,9.2,,1013.6,
2023-02-04,25.6,18.1,30.0,0.0,,53.0,7.7,,1015.8,
2023-02-05,26.5,21.2,31.0,0.0,,145.0,15.1,,1014.8,
2023-02-06,27.6,20.3,32.1,0.0,,164.0,18.8,,1013.4,
2023-02-07,26.9,21.9,31.0,0.0,,22.0,10.3,,1013.7,
2023-02-08,26.1,22.5,30.0,0.0,,16.0,8.9,,1013.6,
2023-02-09,24.3,22.0,26.1,0.3,,355.0,7.1,,1014.2,
2023-02-10,24.5,20.4,28.0,0.0,,78.0,6.9,,1013.5,
2023-02-11,25.8,20.5,30.0,0.0,,24.0,8.2,,1012.4,
2023-02-12,26.6,22.8,30.0,0.0,,21.0,10.5,,1011.6,
2023-02-13,25.6,22.7,28.1,0.0,,21.0,9.3,,1012.4,
2023-02-14,25.9,22.8,30.0,0.0,,354.0,7.2,,1012.8,
2023-02-15,25.1,21.6,27.0,0.3,,333.0,7.5,,1013.9,
2023-02-16,23.3,21.5,24.0,3.0,,338.0,7.4,,1014.0,
2023-02-17,22.7,21.0,24.0,7.1,,38.0,8.1,,1013.8,
2023-02-18,25.0,20.3,29.0,0.3,,47.0,7.9,,1014.6,
2023-02-19,25.2,21.0,29.0,0.0,,38.0,10.7,,1014.7,
2023-02-20,25.7,21.6,29.4,0.0,,69.0,7.8,,1014.5,
2023-02-21,25.1,21.5,28.0,0.5,,36.0,6.7,,1014.6,
2023-02-22,24.7,20.5,28.0,0.0,,42.0,10.0,,1016.7,
2023-02-23,25.4,21.5,30.0,0.5,,52.0,8.9,,1016.6,
2023-02-24,25.4,19.7,30.0,0.0,,87.0,8.9,,1016.6,
2023-02-25,25.6,21.5,29.4,0.0,,63.0,7.2,,1015.5,
2023-02-26,25.4,21.8,29.1,0.0,,21.0,8.2,,1014.8,
2023-02-27,26.5,22.7,31.0,0.0,,353.0,8.9,,1014.1,
2023-02-28,27.3,22.8,32.0,0.0,,34.0,9.8,,1013.9,
2023-03-01,27.2,23.0,32.0,3.0,,1.0,9.4,,1013.6,
2023-03-02,26.4,23.3,29.0,0.0,,18.0,9.1,,1012.5,
2023-03-03,27.6,21.2,33.0,0.0,,161.0,15.3,,1010.6,
2023-03-04,27.6,23.0,31.4,0.0,,170.0,17.7,,1011.4,
2023-03-05,30.1,23.8,36.0,0.0,,126.0,13.8,,1011.7,
2023-03-06,27.9,23.0,32.0,10.2,,346.0,8.2,,1012.8,
2023-03-07,26.4,22.0,30.6,3.0,,349.0,7.2,,1012.8,
2023-03-08,24.8,21.6,31.2,0.0,,346.0,10.0,,1013.5,
2023-03-09,24.1,21.9,26.0,0.0,,18.0,6.7,,1014.4,
2023-03-10,23.6,20.9,26.8,23.9,,16.0,6.0,,1014.9,
