time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,25.6,21.0,31.1,19.8,,156.0,4.8,,1011.3,
2023-01-02,23.1,21.0,27.0,12.3,,316.0,3.7,,1012.3,
2023-01-03,24.7,21.6,30.0,4.6,,279.0,3.2,,1010.6,
2023-01-04,25.5,21.2,31.0,1.5,,266.0,5.6,,1009.9,
2023-01-05,25.2,21.4,30.9,0.3,,227.0,5.2,,1011.7,
2023-01-06,25.8,21.9,31.4,1.6,,291.0,4.5,,1011.5,
2023-01-07,22.5,21.0,24.7,24.5,,281.0,4.5,,1013.5,
2023-01-08,23.6,20.9,29.3,3.1,,22.0,2.8,,1013.3,
2023-01-09,24.5,21.3,30.0,0.0,,20.0,2.6,,1012.1,
2023-01-10,24.5,21.1,29.0,10.1,,73.0,4.5,,1011.5,
2023-01-11,23.3,21.0,26.1,4.4,,261.0,5.2,,1012.2,
2023-01-12,24.0,21.7,28.5,3.4,,290.0,3.3,,1012.1,
2023-01-13,25.0,21.7,30.0,5.1,,32.0,4.2,,1010.9,
2023-01-14,24.8,20.9,32.0,17.7,,230.0,5.3,,1010.7,
2023-01-15,23.1,21.4,26.1,35.7,,261.0,5.1,,1012.1,
2023-01-16,23.4,21.1,27.0,4.1,,78.0,4.5,,1012.2,
2023-01-17,23.0,20.8,26.9,14.9,,35.0,4.3,,1011.4,
2023-01-18,23.7,20.9,28.0,13.1,,25.0,4.9,,1011.4,
2023-01-19,23.4,20.8,28.4,35.1,,280.0,5.3,,1012.0,
2023-01-20,23.8,20.9,28.5,9.9,,261.0,4.3,,1012.7,
2023-01-21,23.7,20.4,29.0,0.5,,80.0,4.9,,1011.3,
2023-01-22,24.6,20.8,30.0,0.6,,337.0,4.7,,1010.5,
2023-01-23,23.7,20.7,27.5,17.1,,256.0,6.2,,1012.1,
2023-01-24,23.8,20.1,29.0,5.6,,239.0,5.7,,1012.4,
2023-01-25,25.0,20.3,32.0,0.0,,98.0,5.2,,1010.4,
2023-01-26,26.0,20.4,33.0,0.0,,13.0,5.5,,1009.3,
