time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,24.4,21.1,29.6,4.4,,224.0,3.7,,1011.3,
2023-01-02,21.8,20.5,24.2,43.0,,337.0,4.3,,1012.6,
2023-01-03,23.5,20.3,29.0,8.9,,269.0,2.9,,1010.9,
2023-01-04,24.8,20.4,30.9,1.1,,296.0,4.4,,1010.0,
2023-01-05,24.2,21.1,29.8,11.5,,256.0,4.3,,1011.9,
2023-01-06,25.4,21.2,31.3,4.1,,303.0,6.2,,1011.7,
2023-01-07,23.0,21.0,25.9,34.6,,217.0,3.2,,1013.7,
2023-01-08,23.1,20.7,27.4,9.0,,104.0,2.9,,1013.6,
2023-01-09,23.8,21.0,28.6,0.2,,16.0,2.8,,1012.2,
2023-01-10,24.0,19.9,28.4,9.3,,335.0,4.5,,1011.5,
2023-01-11,23.1,20.8,27.1,16.1,,139.0,4.6,,1012.4,
2023-01-12,23.9,21.1,28.4,0.6,,132.0,4.7,,1012.1,
2023-01-13,24.5,20.7,30.1,5.3,,61.0,5.5,,1010.9,
2023-01-14,24.1,20.6,28.1,5.1,,131.0,5.5,,1010.8,
2023-01-15,23.1,20.9,27.1,32.7,,265.0,5.4,,1012.3,
2023-01-16,22.7,20.9,26.2,3.8,,108.0,5.4,,1012.3,
2023-01-17,22.9,20.8,27.0,19.7,,42.0,6.2,,1011.4,
2023-01-18,22.7,20.4,25.8,7.2,,27.0,5.3,,1011.7,
2023-01-19,22.9,20.4,27.0,27.4,,39.0,5.1,,1012.5,
2023-01-20,23.2,20.4,28.2,8.2,,87.0,4.5,,1012.9,
2023-01-21,23.4,20.0,28.1,1.0,,236.0,5.7,,1011.6,
2023-01-22,23.3,19.8,28.0,6.7,,252.0,6.7,,1010.9,
2023-01-23,22.8,19.7,27.3,2.5,,231.0,8.0,,1012.4,
2023-01-24,22.9,20.0,28.5,3.3,,225.0,5.6,,1012.6,
2023-01-25,24.3,18.9,30.3,0.0,,94.0,6.2,,1010.4,
2023-01-26,24.9,20.2,30.7,0.0,,163.0,6.7,,1009.5,
2023-01-27,24.9,19.3,30.9,0.0,,153.0,7.4,,1009.3,
2023-01-28,25.3,21.1,30.4,0.0,,107.0,6.5,,1009.5,
2023-01-29,25.1,20.9,30.6,0.0,,84.0,7.2,,1009.9,
2023-01-30,25.3,19.9,31.2,0.0,,123.0,6.6,,1009.2,
2023-01-31,25.8,21.3,31.5,0.0,,82.0,7.2,,1009.3,
2023-02-01,25.7,21.6,31.1,0.0,,332.0,8.3,,1009.9,
2023-02-02,26.1,22.4,31.9,0.0,,37.0,7.2,,1011.1,
2023-02-03,25.8,19.9,32.7,0.0,,112.0,8.1,,1010.9,
2023-02-04,25.7,21.0,31.9,0.0,,118.0,6.5,,1012.2,
2023-02-05,23.7,21.1,28.5,1.3,,209.0,6.6,,1013.1,
2023-02-06,23.8,20.5,28.4,1.0,,351.0,6.6,,1012.0,
2023-02-07,24.8,20.1,30.6,1.1,,139.0,6.4,,1011.1,
2023-02-08,23.9,19.9,29.9,17.0,,338.0,6.8,,1011.3,
2023-02-09,24.7,21.1,30.1,1.5,,168.0,6.9,,1010.5,
2023-02-10,23.3,20.8,27.8,2.3,,251.0,6.8,,1011.0,
2023-02-11,23.5,20.7,28.3,1.3,,274.0,5.9,,1010.2,
2023-02-12,25.3,21.0,31.5,5.2,,237.0,7.1,,1009.3,
2023-02-13,23.7,20.7,28.4,11.3,,249.0,6.1,,1010.1,
2023-02-14,24.0,21.0,29.4,6.7,,236.0,5.8,,1010.5,
2023-02-15,24.3,21.4,30.8,1.8,,227.0,6.3,,1010.8,
2023-02-16,23.1,21.1,27.0,15.0,,83.0,5.2,,1010.6,
2023-02-17,24.3,20.2,29.4,1.4,,348.0,5.3,,1008.8,
2023-02-18,24.2,20.8,29.4,5.7,,311.0,7.1,,1010.1,
2023-02-19,25.7,20.7,31.0,0.2,,305.0,6.5,,1010.1,
2023-02-20,25.3,21.4,30.5,0.2,,304.0,6.7,,1009.9,
2023-02-21,25.2,21.8,30.9,0.1,,51.0,6.7,,1010.7,
2023-02-22,24.0,21.4,28.3,0.1,,299.0,7.5,,1012.6,
2023-02-23,24.9,21.7,30.2,0.0,,188.0,7.6,,1013.3,
2023-02-24,25.1,19.5,31.1,0.0,,123.0,6.6,,1012.2,
2023-02-25,25.8,19.9,32.1,0.0,,58.0,6.3,,1010.9,
2023-02-26,25.9,21.1,31.6,0.0,,263.0,6.7,,1010.3,
2023-02-27,25.4,22.3,30.7,13.8,,170.0,6.8,,1011.7,
2023-02-28,23.3,21.3,27.6,49.0,,199.0,5.4,,1014.3,
2023-03-01,23.7,20.4,28.6,1.0,,199.0,4.9,,1012.9,
2023-03-02,24.1,20.8,28.9,10.8,,220.0,6.3,,1010.8,
2023-03-03,23.6,21.1,28.7,32.9,,259.0,7.1,,1010.2,
2023-03-04,24.2,21.4,29.3,5.9,,245.0,6.1,,1010.8,
2023-03-05,23.5,21.5,28.2,32.8,,197.0,5.6,,1012.0,
2023-03-06,23.4,21.6,27.7,1.9,,198.0,5.5,,1011.7,
2023-03-07,25.1,21.0,31.1,0.0,,173.0,4.3,,1010.3,
2023-03-08,25.5,21.6,30.6,2.2,,38.0,5.8,,1010.1,
2023-03-09,24.2,21.5,28.5,38.8,,328.0,5.8,,1010.4,
2023-03-10,24.3,21.6,28.0,3.0,,314.0,5.0,,1010.9,
2023-03-11,22.1,21.5,23.2,95.9,,57.0,3.5,,1012.6,
2023-03-12,23.6,20.6,28.7,5.9,,23.0,5.3,,1012.7,
2023-03-13,23.9,20.8,29.2,4.9,,23.0,5.4,,1013.2,
2023-03-14,24.0,20.6,29.9,13.7,,309.0,5.4,,1013.0,
2023-03-15,23.4,20.5,28.3,7.2,,328.0,6.6,,1012.6,
2023-03-16,24.5,18.9,31.0,0.7,,293.0,6.2,,1010.2,
2023-03-17,25.5,21.2,31.3,2.2,,314.0,7.1,,1010.0,
2023-03-18,25.6,20.4,31.9,13.0,,308.0,7.7,,1010.4,
2023-03-19,23.9,21.5,28.1,4.9,,277.0,4.8,,1011.4,
2023-03-20,24.9,21.2,29.8,3.2,,297.0,5.6,,1010.9,
2023-03-21,25.9,21.4,32.2,0.1,,299.0,8.7,,1010.0,
2023-03-22,26.1,21.5,32.1,0.4,,300.0,7.0,,1009.9,
2023-03-23,26.1,22.2,31.8,0.0,,306.0,8.8,,1009.6,
2023-03-24,24.5,21.6,30.0,5.2,,300.0,8.5,,1010.8,
2023-03-25,24.0,21.2,29.4,20.7,,178.0,6.7,,1011.3,
2023-03-26,22.4,20.8,25.2,32.7,,88.0,4.4,,1013.2,
2023-03-27,23.8,20.3,29.8,8.2,,167.0,5.0,,1012.3,
2023-03-28,23.6,20.9,28.1,2.4,,178.0,4.9,,1012.2,
2023-03-29,24.1,20.2,30.3,1.8,,9.0,4.8,,1010.6,
2023-03-30,25.0,21.5,30.8,8.1,,149.0,6.4,,1010.9,
2023-03-31,22.6,21.2,25.3,25.0,,140.0,5.1,,1013.1,
2023-04-01,23.2,21.0,28.2,6.0,,5.0,6.3,,1012.7,
2023-04-02,23.1,20.6,28.3,6.5,,329.0,5.5,,1012.4,
2023-04-03,24.4,20.6,29.9,0.3,,340.0,5.5,,1010.6,
2023-04-04,24.7,20.6,30.6,0.1,,83.0,6.9,,1009.4,
2023-04-05,24.9,21.1,30.8,14.3,,16.0,5.4,,1009.2,
2023-04-06,24.2,21.2,30.0,12.6,,349.0,6.1,,1009.2,
2023-04-07,24.6,21.6,31.4,32.5,,327.0,4.9,,1009.7,
2023-04-08,21.9,19.9,24.0,91.5,,184.0,3.9,,1013.3,
2023-04-09,22.9,20.0,28.4,1.6,,221.0,5.7,,1013.8,
2023-04-10,24.4,19.6,30.3,0.5,,206.0,6.6,,1012.3,
2023-04-11,24.5,20.4,30.1,2.1,,249.0,6.9,,1011.4,
2023-04-12,24.7,20.5,29.7,3.6,,96.0,5.4,,1010.2,
2023-04-13,26.0,21.0,32.7,7.5,,17.0,6.0,,1008.6,
2023-04-14,25.4,21.9,31.1,5.2,,283.0,6.0,,1009.4,
2023-04-15,25.4,21.5,32.0,3.0,,165.0,5.2,,1010.7,
2023-04-16,25.0,21.7,30.8,4.8,,26.0,6.0,,1011.1,
2023-04-17,25.0,21.8,30.7,11.1,,23.0,5.3,,1009.4,
2023-04-18,25.1,22.0,30.0,20.5,,332.0,6.2,,1009.0,
2023-04-19,25.2,21.2,31.0,38.7,,321.0,7.5,,1010.0,
2023-04-20,24.1,21.5,28.2,19.5,,154.0,5.5,,1011.7,
2023-04-21,24.1,21.4,28.0,5.2,,183.0,3.9,,1011.6,
2023-04-22,23.8,21.3,26.3,4.2,,341.0,4.8,,1009.5,
2023-04-23,23.2,21.7,25.3,18.8,,159.0,4.9,,1011.4,
2023-04-24,24.4,21.0,30.2,13.0,,207.0,5.4,,1011.5,
2023-04-25,23.5,20.3,29.4,21.9,,202.0,5.4,,1012.2,
2023-04-26,24.3,21.0,29.6,5.9,,183.0,6.4,,1012.3,
2023-04-27,23.3,20.7,27.4,16.2,,224.0,5.2,,1012.9,
2023-04-28,23.7,21.0,27.9,13.7,,207.0,5.3,,1013.1,
2023-04-29,24.1,20.3,30.3,5.6,,192.0,5.2,,1013.2,
2023-04-30,23.9,20.9,28.3,5.0,,286.0,5.6,,1013.1,
2023-05-01,24.8,21.1,32.0,3.9,,271.0,5.7,,1012.3,
2023-05-02,24.9,20.9,30.9,5.8,,341.0,6.9,,1011.7,
2023-05-03,23.6,20.6,28.5,4.0,,345.0,6.6,,1011.7,
2023-05-04,24.1,20.7,29.2,5.9,,294.0,6.8,,1011.8,
2023-05-05,23.7,21.1,29.8,8.5,,347.0,7.0,,1012.2,
2023-05-06,22.4,21.0,24.6,28.1,,43.0,4.7,,1013.2,
2023-05-07,24.4,19.9,29.0,0.0,,158.0,5.5,,1011.9,
2023-05-08,24.3,20.7,28.9,5.1,,169.0,6.0,,1012.7,
2023-05-09,22.8,21.1,26.2,77.2,,198.0,5.9,,1014.7,
2023-05-10,23.1,21.0,27.1,27.4,,187.0,5.8,,1014.8,
2023-05-11,23.5,20.7,28.6,7.5,,232.0,5.4,,1013.6,
2023-05-12,23.1,21.3,27.6,13.8,,189.0,5.9,,1013.4,
2023-05-13,22.8,20.9,27.2,12.5,,228.0,6.0,,1013.8,
2023-05-14,23.1,20.5,26.5,5.7,,160.0,5.1,,1015.2,
2023-05-15,23.6,21.1,28.3,2.7,,275.0,4.4,,1015.7,
2023-05-16,24.9,21.5,30.8,1.5,,219.0,5.1,,1013.8,
2023-05-17,25.7,21.1,32.0,4.0,,189.0,4.6,,1011.9,
2023-05-18,25.0,21.9,30.1,7.8,,219.0,6.5,,1012.3,
2023-05-19,24.4,21.4,28.9,32.1,,2.0,6.2,,1012.1,
2023-05-20,24.2,21.9,28.5,16.0,,217.0,5.0,,1011.7,
2023-05-21,25.8,20.9,31.6,1.5,,214.0,4.5,,1009.7,
2023-05-22,26.0,21.4,32.7,15.4,,327.0,5.4,,1009.8,
2023-05-23,24.2,21.9,29.8,15.8,,186.0,5.2,,1011.8,
2023-05-24,23.8,21.4,28.4,8.4,,180.0,4.6,,1011.1,
2023-05-25,23.9,21.1,29.0,5.2,,219.0,5.1,,1011.0,
2023-05-26,23.8,20.9,28.3,19.3,,30.0,5.8,,1013.0,
2023-05-27,24.6,21.1,31.1,9.6,,200.0,5.5,,1012.9,
2023-05-28,24.2,21.3,29.1,5.2,,315.0,5.6,,1013.3,
2023-05-29,25.3,20.9,31.6,1.6,,175.0,5.7,,1011.8,
2023-05-30,24.7,21.2,30.0,13.6,,202.0,5.7,,1012.4,
2023-05-31,23.0,21.4,26.5,15.8,,229.0,5.3,,1014.5,
2023-06-01,21.8,20.8,22.9,30.2,,206.0,3.9,,1015.4,
2023-06-02,22.5,20.2,26.3,9.1,,208.0,5.4,,1014.6,
2023-06-03,24.0,20.7,28.8,1.4,,206.0,4.6,,1012.7,
2023-06-04,24.4,20.7,30.3,14.2,,217.0,6.9,,1013.5,
2023-06-05,23.2,20.3,27.9,8.3,,218.0,5.3,,1015.1,
2023-06-06,22.8,21.1,27.0,19.5,,245.0,5.1,,1015.1,
