time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,18.8,17.0,25.5,30.0,,5.0,2.0,,1021.5,
2023-01-02,20.3,17.0,26.0,6.1,,351.0,2.9,,1020.9,
2023-01-03,20.2,17.3,26.7,0.0,10.0,10.0,2.6,,1021.6,
2023-01-04,20.3,16.7,26.6,2.9,10.0,37.0,2.5,,1020.5,
2023-01-05,20.3,15.5,27.0,4.1,,24.0,3.4,,1020.2,
2023-01-06,21.3,16.4,27.4,7.2,,320.0,3.1,,1020.6,
2023-01-07,20.3,17.8,27.3,1.0,,4.0,3.0,,1021.1,
2023-01-08,19.4,17.0,24.5,0.0,,352.0,2.9,,1019.2,
2023-01-09,20.3,17.5,24.5,24.7,,3.0,2.3,,1019.0,
2023-01-10,19.4,17.0,25.7,7.1,,5.0,3.0,,1018.2,
2023-01-11,19.7,17.4,25.4,4.1,,2.0,2.4,,1017.6,
2023-01-12,20.0,17.8,26.3,0.0,41.0,319.0,2.4,,1018.1,
2023-01-13,20.9,17.7,27.0,27.4,10.0,284.0,4.0,,1016.6,
2023-01-14,21.1,17.5,27.7,11.3,41.0,13.0,3.1,,1017.1,
2023-01-15,21.4,17.4,27.4,1.0,,6.0,6.1,,1016.9,
2023-01-16,21.3,17.9,26.6,0.0,,15.0,3.5,,1016.3,
2023-01-17,20.6,16.7,27.0,0.3,,316.0,3.8,,1015.5,
2023-01-18,20.2,17.5,27.3,0.0,30.0,10.0,2.0,,1016.6,
2023-01-19,20.6,18.0,27.0,4.1,,345.0,3.7,,1017.2,
2023-01-20,20.5,12.3,27.0,0.0,71.0,333.0,4.0,,1016.8,
2023-01-21,20.2,17.0,27.2,0.0,,353.0,3.6,,1015.9,
2023-01-22,20.5,17.2,27.7,0.0,20.0,306.0,3.9,,1014.9,
2023-01-23,21.4,16.5,26.7,22.5,,352.0,2.6,,1015.3,
2023-01-24,20.6,16.9,26.3,13.8,,357.0,3.5,,1016.0,
2023-01-25,20.9,15.8,28.4,4.7,,357.0,2.9,,1015.4,
2023-01-26,21.8,16.0,29.0,10.7,,347.0,3.4,,1014.6,
2023-01-27,22.2,16.2,29.1,9.0,,351.0,3.5,,1014.5,
2023-01-28,21.7,15.0,30.0,13.0,,345.0,3.0,,1014.1,
2023-01-29,21.6,15.6,29.6,8.5,,350.0,4.4,,1014.2,
2023-01-30,21.8,16.3,29.5,19.6,,14.0,3.1,,1015.2,
2023-01-31,23.1,17.4,29.0,0.0,,336.0,2.7,,1015.2,
2023-02-01,21.7,16.3,29.0,0.0,,324.0,2.9,,1015.1,
2023-02-02,21.2,16.0,29.7,0.0,,351.0,3.0,,1015.1,
2023-02-03,22.1,17.6,29.0,15.5,,8.0,3.9,,1014.2,
2023-02-04,21.5,17.4,29.7,1.0,,350.0,2.0,,1016.6,
2023-02-05,22.4,15.5,29.1,0.0,,334.0,5.0,,1015.7,
2023-02-06,21.1,15.5,29.1,26.1,,343.0,2.4,,1015.3,
2023-02-07,21.8,15.2,29.1,0.0,,355.0,4.1,,1014.2,
2023-02-08,22.8,15.7,29.8,7.0,,336.0,4.3,,1014.5,
2023-02-09,22.7,17.9,29.0,23.8,,318.0,4.0,,1014.7,
2023-02-10,22.8,16.9,29.5,22.8,20.0,13.0,4.9,,1014.0,
2023-02-11,22.9,17.1,30.0,29.9,,269.0,4.1,,1013.5,
2023-02-12,22.7,18.1,28.7,18.1,,343.0,2.1,,1013.1,
2023-02-13,23.7,17.7,28.0,23.6,,316.0,3.2,,1013.1,
2023-02-14,21.5,17.7,28.2,18.7,,337.0,2.6,,1014.1,
2023-02-15,22.6,19.0,29.0,20.0,,339.0,2.6,,1014.5,
2023-02-16,21.1,18.0,28.9,22.0,,325.0,3.4,,1015.0,
2023-02-17,22.2,16.5,29.9,9.9,,323.0,4.1,,1013.6,
2023-02-18,21.5,17.0,30.0,0.0,51.0,33.0,3.9,,1014.2,
2023-02-19,22.2,17.8,29.1,0.0,,11.0,4.4,,1013.8,
2023-02-20,19.3,18.0,29.3,24.8,41.0,337.0,3.6,,1014.9,
2023-02-21,20.1,17.6,24.1,15.3,10.0,327.0,3.0,,1015.4,
2023-02-22,19.9,17.8,23.9,2.0,,350.0,1.2,,1017.6,
2023-02-23,20.9,16.6,28.0,0.0,,18.0,2.5,,1016.3,
2023-02-24,22.1,17.0,28.4,13.9,,12.0,2.6,,1016.0,
2023-02-25,23.5,19.3,29.1,10.1,,350.0,4.5,,1015.2,
2023-02-26,22.6,17.5,29.2,27.4,,270.0,3.4,,1014.9,
2023-02-27,22.6,16.5,30.0,14.6,,327.0,2.7,,1014.9,
2023-02-28,23.2,17.0,31.1,13.6,,348.0,3.9,,1014.8,
2023-03-01,22.4,17.3,30.0,25.7,,296.0,5.1,,1014.8,
2023-03-02,22.5,18.4,30.2,37.2,,300.0,4.2,,1013.0,
2023-03-03,23.0,19.5,29.5,24.9,,309.0,3.7,,1012.8,
2023-03-04,22.9,20.2,28.6,0.0,,337.0,3.1,,1013.8,
2023-03-05,21.8,19.0,27.5,1.0,,0.0,1.7,,1014.9,
2023-03-06,22.8,19.3,29.7,0.0,,314.0,4.8,,1014.9,
2023-03-07,21.7,18.2,30.2,25.0,,307.0,4.6,,1015.8,
2023-03-08,21.4,18.4,26.4,0.0,,355.0,3.1,,1016.3,
2023-03-09,20.6,18.0,26.0,7.9,,335.0,3.9,,1017.7,
2023-03-10,21.1,17.7,25.0,0.0,,35.0,3.1,,1016.8,
2023-03-11,20.2,17.0,25.5,16.2,41.0,6.0,2.3,,1018.0,
2023-03-12,21.1,17.1,27.0,14.5,,355.0,2.7,,1017.8,
2023-03-13,19.4,17.0,23.0,31.0,,344.0,1.5,,1018.9,
2023-03-14,20.9,17.8,26.0,0.0,,0.0,3.3,,1018.1,
2023-03-15,20.2,17.0,26.5,5.2,,331.0,4.2,,1017.4,
2023-03-16,19.4,15.0,25.3,2.3,,356.0,2.2,,1016.2,
2023-03-17,21.4,16.5,27.1,0.0,,23.0,3.4,,1016.8,
2023-03-18,19.7,17.0,28.1,15.0,,2.0,1.8,,1018.1,
2023-03-19,21.3,16.9,28.0,0.0,,0.0,3.7,,1016.9,
2023-03-20,21.3,15.7,29.2,24.9,,339.0,4.2,,1016.7,
2023-03-21,22.3,16.9,29.0,1.0,,353.0,3.9,,1015.5,
2023-03-22,21.6,17.0,29.4,0.0,,1.0,4.3,,1015.3,
2023-03-23,21.4,18.0,29.0,10.1,41.0,341.0,2.2,,1015.7,
2023-03-24,20.2,18.7,23.5,4.9,,5.0,4.0,,1016.4,
2023-03-25,20.9,18.0,28.0,23.1,20.0,9.0,1.9,,1015.7,
2023-03-26,21.2,18.5,28.3,41.8,,349.0,2.3,,1015.4,
2023-03-27,20.4,17.0,27.0,42.3,20.0,354.0,2.7,,1015.5,
2023-03-28,20.5,16.0,29.1,32.7,41.0,340.0,4.0,,1014.8,
2023-03-29,20.6,16.7,29.1,23.6,10.0,290.0,3.5,,1015.6,
2023-03-30,22.4,17.9,29.4,3.0,,353.0,3.9,,1014.3,
2023-03-31,21.9,18.3,29.3,0.0,,12.0,3.0,,1015.3,
2023-04-01,21.8,18.6,27.6,40.0,,358.0,2.0,,1015.3,
2023-04-02,21.7,18.4,27.5,79.3,,4.0,1.5,,1015.2,
2023-04-03,21.8,17.9,30.0,41.6,10.0,1.0,3.1,,1013.3,
2023-04-04,20.9,17.6,30.5,20.3,41.0,1.0,1.6,,1013.5,
2023-04-05,22.5,16.7,29.0,3.9,,40.0,4.1,,1013.1,
2023-04-06,19.4,16.8,29.6,22.9,30.0,339.0,3.0,,1015.8,
2023-04-07,21.2,17.0,28.0,17.1,,327.0,3.4,,1015.6,
2023-04-08,23.2,16.3,29.2,6.9,30.0,341.0,3.7,,1015.7,
2023-04-09,23.6,18.1,30.0,17.1,,16.0,4.2,,1014.7,
2023-04-10,21.5,17.8,30.1,42.6,,355.0,2.7,,1015.4,
2023-04-11,22.1,17.9,27.8,42.9,,337.0,2.5,,1014.9,
2023-04-12,22.2,17.9,29.0,53.7,,340.0,3.2,,1014.2,
2023-04-13,22.1,20.0,28.8,48.5,,317.0,3.2,,1013.4,
2023-04-14,21.3,18.5,26.0,27.2,,0.0,1.8,,1014.1,
2023-04-15,22.4,16.6,29.0,52.4,,338.0,3.2,,1015.1,
2023-04-16,19.9,18.1,29.3,19.3,41.0,355.0,3.0,,1017.6,
2023-04-17,20.4,17.8,26.5,22.1,,244.0,4.1,,1016.2,
2023-04-18,22.2,17.9,29.6,0.0,,314.0,3.6,,1014.5,
2023-04-19,23.1,17.8,30.0,0.0,,353.0,3.3,,1013.7,
2023-04-20,22.0,19.0,30.2,20.5,,343.0,3.5,,1016.3,
2023-04-21,20.6,17.0,26.7,24.4,51.0,11.0,2.8,,1016.7,
2023-04-22,22.1,17.4,26.1,7.9,,7.0,3.4,,1016.0,
2023-04-23,22.6,16.8,28.0,0.0,10.0,347.0,4.4,,1016.3,
2023-04-24,22.5,16.0,28.7,0.4,,349.0,3.1,,1016.2,
2023-04-25,23.6,17.0,30.0,4.3,20.0,20.0,6.1,,1016.0,
2023-04-26,20.5,15.8,29.8,21.4,20.0,18.0,1.9,,1016.5,
2023-04-27,22.8,16.8,27.0,40.8,,316.0,4.1,,1015.8,
2023-04-28,22.6,17.5,28.1,39.9,20.0,355.0,2.1,,1016.1,
2023-04-29,22.6,18.2,28.3,5.1,,26.0,2.7,,1016.8,
2023-04-30,22.1,18.7,27.4,2.0,,328.0,2.6,,1017.3,
2023-05-01,22.7,16.3,28.1,0.3,,333.0,3.1,,1015.9,
2023-05-02,24.6,17.5,30.3,0.0,,314.0,3.2,,1013.5,
2023-05-03,25.0,17.5,30.8,0.0,,2.0,6.0,,1012.5,
2023-05-04,25.3,17.5,31.0,24.9,,295.0,5.0,,1012.9,
2023-05-05,25.1,17.9,30.9,52.7,,5.0,5.2,,1013.3,
2023-05-06,24.5,18.6,30.3,50.2,,324.0,4.9,,1014.4,
2023-05-07,24.7,18.7,30.4,18.0,,318.0,2.9,,1014.2,
2023-05-08,24.7,17.0,30.5,9.8,,2.0,4.7,,1013.6,
2023-05-09,25.3,18.7,30.1,0.0,,300.0,4.8,,1014.7,
2023-05-10,21.6,18.8,30.4,3.0,,344.0,3.5,,1017.2,
2023-05-11,22.3,17.6,29.0,40.9,,22.0,4.3,,1015.9,
2023-05-12,24.2,18.0,29.4,0.0,,326.0,3.9,,1014.9,
2023-05-13,24.6,19.6,29.5,38.2,,321.0,3.8,,1014.0,
2023-05-14,24.2,20.5,29.4,0.0,,330.0,2.9,,1016.1,
2023-05-15,23.1,20.0,27.3,16.7,,339.0,3.8,,1018.0,
2023-05-16,21.9,18.3,27.6,51.6,,350.0,3.0,,1018.2,
2023-05-17,22.8,18.8,28.5,11.2,,357.0,2.8,,1016.2,
2023-05-18,24.8,19.2,30.0,16.8,,337.0,4.4,,1014.5,
2023-05-19,24.5,19.1,30.5,43.9,,356.0,4.1,,1014.7,
2023-05-20,22.7,18.6,28.5,57.2,,348.0,3.1,,1015.7,
2023-05-21,21.2,18.6,26.0,7.1,,6.0,2.3,,1016.4,
2023-05-22,22.1,19.0,26.5,0.0,,6.0,2.0,,1016.2,
2023-05-23,22.0,18.0,27.0,12.7,,350.0,3.7,,1017.1,
2023-05-24,22.2,17.0,29.0,16.7,,290.0,3.9,,1014.9,
2023-05-25,23.7,18.5,29.0,0.0,,316.0,5.6,,1014.9,
2023-05-26,21.2,18.9,29.5,49.9,,0.0,2.8,,1016.9,
2023-05-27,23.2,18.6,28.0,45.8,,333.0,2.8,,1016.7,
2023-05-28,22.7,19.5,28.7,57.4,,322.0,3.2,,1017.3,
2023-05-29,22.4,17.5,27.7,7.1,,308.0,4.5,,1016.6,
2023-05-30,22.4,17.4,28.0,0.0,,6.0,1.9,,1016.9,
2023-05-31,23.7,17.7,29.0,0.3,,325.0,4.2,,1016.3,
2023-06-01,22.4,18.0,29.0,0.0,,351.0,3.2,,1017.4,
2023-06-02,22.6,18.8,27.4,42.8,,349.0,2.6,,1016.5,
2023-06-03,23.4,16.0,30.0,34.7,,356.0,3.4,,1014.8,
2023-06-04,23.6,16.7,29.6,32.5,,357.0,5.3,,1016.0,
2023-06-05,22.6,16.5,29.4,27.7,,6.0,3.0,,1016.4,
2023-06-06,23.8,18.2,28.3,42.3,,347.0,3.9,,1016.6,
2023-06-07,23.9,19.0,28.6,32.2,,295.0,3.5,,1016.3,
2023-06-08,23.9,19.7,29.1,59.5,,272.0,3.9,,1017.8,
2023-06-09,22.8,19.5,27.0,72.1,,336.0,2.2,,1018.2,
2023-06-10,23.6,18.0,27.5,22.8,,342.0,2.8,,1017.3,
2023-06-11,23.6,16.8,29.0,21.1,,321.0,3.4,,1016.5,
2023-06-12,24.3,17.9,30.0,30.7,,342.0,3.6,,1015.2,
2023-06-13,24.7,17.5,30.2,8.4,,314.0,5.3,,1014.6,
2023-06-14,24.1,18.8,30.6,40.0,,300.0,3.5,,1014.6,
2023-06-15,24.8,17.7,29.6,50.9,,300.0,3.9,,1014.6,
2023-06-16,23.8,19.6,28.9,84.6,,322.0,3.4,,1015.6,
2023-06-17,23.9,17.7,28.0,45.6,,358.0,3.1,,1016.1,
2023-06-18,25.2,16.0,30.4,0.1,,285.0,8.9,,1014.4,
2023-06-19,24.4,14.9,30.5,0.0,,11.0,7.5,,1014.1,
2023-06-20,24.7,16.0,30.6,1.8,,355.0,6.6,,1013.3,
2023-06-21,24.8,17.0,30.3,8.4,,237.0,6.4,,1013.4,
2023-06-22,24.3,18.7,30.4,0.0,,278.0,3.9,,1015.0,
2023-06-23,22.9,17.7,28.3,52.6,,336.0,3.0,,1016.6,
2023-06-24,23.2,19.4,28.0,49.5,,306.0,3.5,,1016.1,
2023-06-25,22.7,19.6,28.3,1.0,,345.0,3.3,,1016.5,
2023-06-26,22.1,18.3,27.7,0.0,,342.0,2.9,,1016.7,
2023-06-27,23.9,19.1,28.0,40.1,,313.0,4.1,,1015.7,
2023-06-28,23.7,17.6,29.0,19.3,,330.0,4.0,,1014.9,
2023-06-29,24.7,17.1,31.0,10.7,,352.0,5.1,,1013.4,
2023-06-30,24.8,18.0,30.0,19.6,,357.0,4.9,,1014.1,
2023-07-01,25.3,18.9,30.4,47.1,,28.0,5.7,,1014.8,
2023-07-02,21.9,17.9,29.5,2.0,,347.0,4.1,,1016.5,
2023-07-03,21.5,16.9,27.0,0.0,,343.0,1.9,,1017.2,
2023-07-04,22.2,17.7,27.6,53.9,,5.0,2.3,,1017.6,
2023-07-05,23.4,17.3,28.0,45.3,,359.0,3.7,,1016.5,
2023-07-06,21.7,19.0,28.3,54.1,,2.0,2.8,,1016.4,
2023-07-07,20.8,17.7,25.6,58.6,,350.0,1.5,,1017.0,
2023-07-08,22.1,17.6,26.3,8.9,,351.0,2.3,,1016.7,
2023-07-09,24.1,17.2,29.0,0.0,,7.0,2.7,,1015.7,
2023-07-10,22.9,15.4,28.9,0.0,,20.0,3.9,,1014.9,
2023-07-11,23.8,18.0,28.4,0.0,,4.0,3.0,,1015.5,
2023-07-12,23.8,17.0,29.1,27.4,,28.0,2.9,,1014.5,
2023-07-13,25.2,16.5,30.0,15.0,,345.0,5.6,,1013.1,
2023-07-14,22.9,18.7,30.2,36.5,,334.0,4.5,,1014.1,
2023-07-15,22.9,19.5,27.6,39.8,,299.0,2.8,,1014.8,
2023-07-16,24.2,19.0,29.3,28.8,,0.0,4.3,,1014.6,
2023-07-17,23.6,19.5,29.5,49.2,,6.0,3.2,,1015.4,
2023-07-18,25.1,19.5,31.0,5.2,,16.0,3.7,,1015.9,
2023-07-19,26.1,15.0,32.0,0.2,,84.0,8.7,,1014.8,
2023-07-20,26.1,16.0,33.0,0.0,,290.0,9.4,,1013.8,
2023-07-21,24.6,17.8,33.0,8.2,,18.0,6.5,,1014.1,
2023-07-22,24.2,16.6,30.0,7.8,,21.0,5.4,,1014.5,
2023-07-23,24.7,17.4,30.0,0.0,,4.0,5.4,,1016.0,
2023-07-24,24.7,18.0,30.5,0.0,,344.0,4.7,,1016.5,
2023-07-25,24.6,17.4,30.8,54.5,,11.0,5.0,,1016.1,
2023-07-26,22.9,18.9,29.7,33.5,,2.0,1.8,,1016.3,
2023-07-27,24.3,17.6,29.0,22.3,,346.0,3.4,,1015.1,
2023-07-28,24.9,18.9,31.0,0.0,,359.0,5.5,,1015.5,
2023-07-29,23.9,17.7,31.7,1.0,,324.0,3.7,,1015.8,
