time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,19.3,16.7,26.0,2.0,,114.0,6.8,,1018.8,
2023-01-02,20.4,16.8,26.0,2.0,,94.0,8.8,,1018.5,
2023-01-03,20.1,15.7,26.3,0.0,10.0,307.0,7.7,,1018.8,
2023-01-04,21.1,17.0,26.0,1.9,10.0,24.0,8.4,,1017.6,
2023-01-05,21.9,17.1,27.0,6.1,,95.0,8.7,,1017.2,
2023-01-06,21.3,18.0,27.0,6.2,,125.0,8.6,,1017.7,
2023-01-07,20.2,16.7,27.8,52.1,,330.0,7.5,,1018.4,
2023-01-08,19.4,16.6,26.0,0.0,,71.0,8.2,,1018.5,
2023-01-09,19.7,17.3,25.5,14.7,10.0,40.0,5.9,,1018.7,
2023-01-10,18.9,16.0,24.6,74.9,,95.0,6.8,,1019.0,
2023-01-11,19.9,16.8,24.6,33.0,,78.0,7.1,,1018.3,
2023-01-12,20.1,16.8,24.3,0.0,10.0,116.0,5.9,,1018.2,
2023-01-13,21.2,15.5,25.0,9.5,10.0,87.0,7.0,,1017.0,
2023-01-14,21.1,16.7,26.1,11.3,41.0,174.0,9.0,,1018.0,
2023-01-15,21.2,14.6,26.9,32.0,,101.0,9.3,,1017.3,
2023-01-16,21.3,16.6,26.0,0.0,,89.0,10.5,,1016.5,
2023-01-17,21.3,16.8,26.3,0.5,,62.0,10.3,,1015.6,
2023-01-18,20.2,17.8,26.1,0.0,10.0,110.0,10.4,,1016.9,
2023-01-19,20.4,16.3,26.0,49.0,,93.0,8.0,,1017.3,
2023-01-20,21.3,16.6,26.4,0.0,10.0,76.0,8.6,,1016.5,
2023-01-21,20.7,16.6,27.1,21.1,,98.0,6.2,,1015.9,
2023-01-22,21.4,17.1,27.4,0.0,20.0,352.0,6.7,,1015.4,
2023-01-23,22.4,17.7,27.0,1.2,,40.0,8.1,,1015.4,
2023-01-24,21.2,18.2,27.0,0.0,,74.0,9.1,,1015.5,
2023-01-25,21.8,16.9,27.0,1.2,,122.0,9.2,,1014.8,
2023-01-26,23.1,15.8,28.4,2.4,,209.0,7.3,,1014.7,
2023-01-27,23.2,18.4,28.5,1.0,,127.0,9.7,,1014.7,
2023-01-28,23.3,17.8,28.7,0.8,,72.0,8.3,,1014.3,
2023-01-29,22.0,16.7,28.7,0.0,,112.0,10.6,,1014.3,
2023-01-30,21.4,17.7,28.3,7.8,20.0,92.0,11.2,,1015.8,
2023-01-31,22.0,16.1,28.6,1.0,,28.0,7.5,,1015.5,
2023-02-01,22.8,18.0,29.0,0.0,,80.0,8.2,,1015.5,
2023-02-02,22.6,18.2,29.0,0.0,,76.0,10.8,,1015.5,
2023-02-03,21.8,17.6,28.4,5.2,10.0,48.0,8.9,,1014.1,
2023-02-04,22.6,17.9,28.0,0.0,,353.0,7.0,,1016.9,
2023-02-05,22.8,17.7,28.3,0.0,,68.0,9.5,,1015.9,
2023-02-06,22.1,17.8,27.3,4.6,,86.0,11.4,,1015.1,
2023-02-07,22.3,16.1,28.0,0.0,,106.0,12.2,,1015.1,
2023-02-08,23.1,17.9,28.7,1.9,,67.0,7.6,,1014.6,
2023-02-09,22.9,17.3,28.1,8.6,20.0,9.0,7.2,,1014.9,
2023-02-10,23.5,18.2,29.0,3.3,20.0,55.0,8.6,,1013.8,
2023-02-11,22.4,18.8,29.5,1.5,,52.0,9.1,,1014.4,
2023-02-12,22.3,16.2,28.0,2.8,,25.0,7.1,,1013.5,
2023-02-13,22.7,19.0,26.0,0.1,,74.0,7.8,,1013.9,
2023-02-14,22.2,18.7,26.8,0.2,,1.0,6.0,,1014.8,
2023-02-15,23.1,19.1,27.0,13.5,,69.0,9.5,,1015.6,
2023-02-16,20.8,16.9,28.1,18.0,,26.0,6.3,,1015.9,
2023-02-17,22.7,16.9,28.0,6.1,,56.0,7.9,,1014.4,
2023-02-18,22.1,17.7,28.4,0.0,20.0,6.0,7.6,,1015.3,
2023-02-19,22.7,18.0,28.4,0.3,,11.0,8.2,,1015.0,
2023-02-20,20.3,17.6,29.8,0.0,41.0,43.0,7.3,,1015.7,
2023-02-21,20.3,17.5,25.0,15.7,20.0,9.0,6.3,,1016.2,
2023-02-22,20.0,16.5,23.3,0.0,,15.0,5.0,,1018.0,
2023-02-23,21.2,16.4,26.0,0.0,,111.0,7.9,,1017.8,
2023-02-24,23.1,15.7,28.3,1.9,,141.0,6.3,,1017.0,
2023-02-25,23.3,18.7,28.4,1.0,,57.0,6.8,,1016.1,
2023-02-26,23.6,18.6,29.0,0.3,,359.0,8.0,,1016.2,
2023-02-27,23.6,18.8,30.0,1.1,,103.0,8.9,,1015.8,
2023-02-28,23.7,17.0,30.2,4.1,,88.0,8.5,,1015.7,
2023-03-01,23.5,18.9,28.0,7.2,,50.0,9.8,,1015.7,
2023-03-02,22.6,18.5,28.8,3.4,20.0,64.0,8.6,,1013.9,
2023-03-03,23.3,18.8,27.4,0.0,,74.0,10.8,,1013.6,
2023-03-04,22.3,20.0,28.0,0.0,,42.0,6.4,,1014.9,
2023-03-05,21.8,17.0,26.7,8.4,,65.0,7.7,,1015.7,
2023-03-06,22.6,18.6,28.0,19.4,,70.0,9.1,,1015.9,
2023-03-07,20.9,17.5,28.9,9.4,30.0,277.0,8.0,,1016.8,
2023-03-08,21.1,17.8,26.2,1.0,,123.0,7.6,,1016.5,
2023-03-09,19.8,17.4,25.9,17.0,,100.0,6.8,,1018.7,
2023-03-10,21.0,17.5,27.0,0.0,10.0,344.0,8.1,,1017.5,
2023-03-11,19.6,16.4,26.7,23.6,30.0,294.0,6.5,,1019.0,
2023-03-12,20.5,16.0,24.0,12.8,,354.0,6.0,,1018.7,
2023-03-13,19.1,16.8,21.6,35.1,,7.0,4.5,,1019.8,
2023-03-14,20.6,17.0,25.0,0.0,10.0,8.0,7.2,,1018.9,
