time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,27.3,24.1,30.0,17.8,,69.0,19.8,,1013.8,
2023-01-02,27.8,26.0,30.0,0.3,,68.0,20.2,,1014.2,
2023-01-03,25.8,22.0,28.0,19.1,,72.0,14.8,,1014.9,
2023-01-04,27.4,22.3,29.2,28.7,,72.0,18.1,,1014.4,
2023-01-05,27.5,25.8,30.0,2.3,,60.0,21.8,,1014.7,
2023-01-06,27.2,22.0,29.0,4.3,,47.0,16.3,,1014.5,
2023-01-07,27.1,24.9,29.0,0.0,,65.0,15.5,,1014.2,
2023-01-08,26.9,23.0,29.2,4.6,,57.0,20.7,,1014.2,
2023-01-09,27.3,24.9,29.6,2.5,,58.0,16.0,,1014.5,
2023-01-10,27.2,25.0,29.9,0.5,,49.0,15.4,,1014.1,
2023-01-11,27.3,24.3,29.3,1.3,,58.0,19.6,,1014.4,
2023-01-12,27.7,25.8,30.0,1.0,,57.0,20.4,,1014.4,
2023-01-13,27.7,26.0,30.0,0.0,,48.0,18.6,,1013.9,
2023-01-14,27.8,26.4,30.0,0.0,,29.0,19.8,,1014.8,
2023-01-15,25.9,23.7,27.0,7.9,,35.0,22.0,,1015.3,
2023-01-16,26.5,23.6,28.2,4.6,,44.0,20.6,,1014.0,
2023-01-17,26.9,25.9,29.0,0.0,,54.0,19.3,,1012.2,
2023-01-18,27.4,25.4,30.0,0.0,,81.0,11.9,,1012.5,
2023-01-19,27.8,24.3,30.6,0.5,,87.0,14.0,,1013.6,
2023-01-20,27.8,25.8,30.0,0.3,,65.0,25.0,,1014.4,
2023-01-21,27.7,26.0,30.0,0.0,,66.0,23.0,,1013.1,
2023-01-22,27.7,26.0,29.2,0.5,,75.0,22.0,,1011.3,
2023-01-23,27.9,25.1,30.0,1.5,,73.0,22.9,,1012.3,
2023-01-24,27.7,24.0,30.0,0.0,,67.0,25.7,,1012.6,
2023-01-25,28.2,26.2,30.2,0.5,,70.0,25.0,,1011.8,
2023-01-26,27.4,25.5,29.4,0.0,,63.0,26.5,,1012.4,
2023-01-27,27.5,26.0,30.0,0.0,,57.0,28.2,,1013.7,
2023-01-28,27.2,24.0,30.0,1.0,,63.0,27.3,,1013.9,
2023-01-29,27.4,23.6,30.0,5.8,,61.0,25.0,,1012.9,
2023-01-30,27.7,24.9,30.0,0.3,,70.0,21.7,,1013.3,
2023-01-31,27.1,25.2,29.0,0.0,,70.0,21.7,,1014.2,
2023-02-01,27.1,25.2,30.0,3.8,,63.0,27.6,,1014.4,
2023-02-02,27.0,24.0,29.7,1.5,,65.0,23.9,,1014.2,
2023-02-03,26.8,23.8,30.0,4.8,,66.0,22.5,,1014.5,
2023-02-04,26.7,23.4,30.0,6.1,,62.0,23.1,,1015.6,
2023-02-05,27.2,24.5,30.0,1.0,,52.0,22.4,,1015.2,
2023-02-06,27.1,23.4,30.0,8.1,,54.0,25.7,,1013.5,
2023-02-07,27.6,25.7,30.0,0.8,,63.0,26.3,,1013.2,
2023-02-08,27.6,26.0,30.0,1.0,,68.0,23.9,,1013.3,
2023-02-09,27.7,25.7,30.0,0.0,,75.0,23.0,,1013.2,
2023-02-10,27.8,26.0,30.0,0.0,,67.0,24.0,,1012.6,
2023-02-11,27.7,26.0,30.2,0.0,,70.0,18.6,,1012.1,
2023-02-12,27.3,25.7,29.7,0.5,,56.0,24.2,,1012.3,
2023-02-13,27.0,24.0,30.0,0.0,,51.0,22.9,,1012.7,
2023-02-14,27.1,23.4,29.0,2.0,,57.0,21.2,,1013.2,
2023-02-15,27.1,25.6,30.1,0.0,,69.0,19.5,,1013.6,
2023-02-16,27.6,25.6,30.0,0.3,,70.0,21.1,,1012.9,
2023-02-17,27.4,25.9,30.0,0.0,,67.0,22.1,,1012.9,
2023-02-18,27.6,25.2,30.0,0.5,,60.0,24.0,,1014.7,
2023-02-19,27.7,26.0,30.0,0.0,,55.0,27.9,,1014.5,
2023-02-20,27.2,24.0,30.0,0.8,,65.0,25.0,,1013.4,
2023-02-21,27.3,24.0,30.2,3.8,,68.0,22.4,,1013.6,
2023-02-22,27.5,25.8,30.3,0.0,,84.0,16.7,,1015.2,
2023-02-23,27.4,24.7,30.0,0.5,,73.0,21.3,,1015.6,
2023-02-24,27.4,26.0,30.0,0.0,,65.0,23.1,,1016.0,
2023-02-25,27.1,24.1,29.0,0.5,,62.0,24.7,,1015.5,
2023-02-26,27.1,24.9,30.0,0.3,,67.0,19.6,,1014.3,
2023-02-27,27.2,25.5,30.0,0.0,,76.0,16.8,,1013.4,
2023-02-28,27.3,25.4,30.0,0.0,,73.0,16.4,,1013.6,
2023-03-01,27.3,25.5,30.0,1.4,,76.0,16.9,,1013.6,
2023-03-02,27.2,25.8,30.0,0.0,,75.0,18.7,,1011.4,
2023-03-03,27.4,25.7,30.1,0.0,,80.0,18.5,,1010.1,
2023-03-04,27.6,25.9,30.0,0.0,,73.0,20.3,,1011.0,
2023-03-05,27.4,26.0,30.0,0.0,,69.0,21.5,,1012.8,
2023-03-06,27.3,25.6,30.0,0.0,,52.0,23.2,,1013.6,
2023-03-07,27.3,25.7,30.0,0.0,,57.0,20.3,,1013.1,
2023-03-08,27.0,25.1,30.7,0.5,,65.0,15.1,,1014.0,
2023-03-09,26.9,24.8,30.0,0.5,,63.0,12.6,,1014.3,
2023-03-10,26.9,24.7,29.1,0.0,,63.0,12.9,,1013.8,
2023-03-11,27.1,25.0,30.0,0.0,,78.0,13.7,,1013.3,
2023-03-12,27.2,25.0,30.3,0.0,,89.0,12.2,,1013.2,
2023-03-13,27.7,26.0,30.6,0.0,,100.0,11.2,,1013.4,
2023-03-14,27.8,26.0,30.0,0.0,,92.0,12.1,,1013.5,
2023-03-15,28.0,26.0,31.2,0.1,,83.0,11.6,,1013.3,
2023-03-16,27.8,25.9,30.0,0.0,,55.0,13.0,,1013.4,
2023-03-17,27.9,26.0,30.8,0.0,,98.0,13.3,,1012.8,
2023-03-18,27.9,26.0,31.0,0.0,,94.0,13.5,,1013.4,
2023-03-19,28.0,26.0,31.0,0.0,,75.0,15.1,,1013.9,
2023-03-20,28.2,26.3,31.0,0.0,,68.0,18.3,,1014.3,
2023-03-21,28.1,25.9,31.0,0.0,,67.0,22.9,,1014.3,
2023-03-22,27.7,26.4,30.0,0.0,,63.0,26.2,,1014.4,
2023-03-23,28.0,25.9,30.4,2.5,,66.0,21.3,,1014.6,
2023-03-24,27.9,24.0,31.0,3.8,,70.0,18.6,,1013.6,
2023-03-25,27.9,26.0,31.2,0.0,,70.0,20.9,,1012.8,
2023-03-26,28.0,26.7,30.0,0.0,,70.0,25.1,,1012.6,
2023-03-27,28.3,26.9,30.6,0.1,,72.0,25.5,,1012.9,
2023-03-28,28.0,23.9,30.0,5.1,,67.0,21.6,,1013.4,
2023-03-29,27.8,26.0,30.0,0.0,,61.0,20.9,,1013.2,
2023-03-30,27.9,25.9,31.0,0.0,,61.0,23.0,,1013.5,
2023-03-31,28.2,25.9,31.3,0.0,,67.0,23.4,,1014.4,
2023-04-01,28.0,26.4,30.2,0.0,,65.0,22.9,,1014.2,
2023-04-02,28.1,25.8,30.1,0.0,,60.0,23.2,,1013.1,
2023-04-03,28.3,26.6,31.0,0.0,,62.0,24.5,,1011.7,
2023-04-04,28.1,26.0,30.8,0.0,,61.0,21.3,,1011.5,
2023-04-05,27.8,24.8,30.2,0.0,,66.0,19.4,,1011.6,
2023-04-06,27.9,24.7,31.0,2.3,,66.0,18.7,,1012.5,
2023-04-07,27.9,25.8,30.0,2.8,,61.0,19.3,,1012.6,
2023-04-08,27.8,26.0,30.1,0.0,,66.0,15.9,,1012.6,
2023-04-09,27.7,25.8,30.0,0.0,,57.0,15.9,,1013.0,
2023-04-10,28.0,26.0,30.1,0.0,,52.0,17.0,,1013.2,
2023-04-11,28.1,26.0,30.6,0.0,,43.0,16.2,,1012.7,
2023-04-12,28.1,26.6,30.0,0.0,,47.0,17.0,,1011.5,
2023-04-13,28.4,27.0,31.0,0.3,,64.0,20.0,,1010.5,
2023-04-14,28.3,26.7,31.0,0.0,,65.0,18.6,,1011.3,
2023-04-15,28.4,26.5,31.0,0.0,,72.0,15.3,,1012.6,
2023-04-16,28.3,25.8,31.4,0.0,,67.0,13.9,,1013.3,
2023-04-17,28.1,26.0,31.0,0.0,,60.0,14.0,,1012.0,
2023-04-18,28.2,26.4,31.0,0.0,,66.0,15.4,,1011.6,
2023-04-19,28.3,26.6,31.0,0.0,,72.0,16.8,,1011.8,
2023-04-20,28.6,26.5,31.0,0.3,,62.0,17.0,,1013.1,
2023-04-21,28.1,26.0,31.7,1.8,,73.0,11.3,,1012.1,
2023-04-22,28.2,26.4,31.0,0.0,,88.0,9.4,,1010.7,
2023-04-23,27.9,25.6,30.0,0.0,,88.0,9.5,,1011.0,
2023-04-24,28.3,26.0,31.0,0.0,,98.0,8.9,,1011.2,
2023-04-25,28.4,26.0,31.4,0.0,,100.0,9.2,,1011.5,
2023-04-26,27.9,24.0,31.0,0.0,,80.0,9.0,,1011.9,
2023-04-27,28.8,25.2,31.4,0.0,,95.0,10.7,,1011.5,
2023-04-28,28.9,27.0,32.0,0.0,,105.0,11.9,,1011.5,
2023-04-29,28.8,25.5,32.2,0.0,,112.0,9.7,,1011.8,
2023-04-30,29.3,26.8,32.0,0.0,,97.0,11.8,,1012.0,
2023-05-01,29.5,27.6,32.0,0.0,,60.0,18.5,,1011.3,
2023-05-02,29.4,28.0,32.5,0.0,,71.0,18.9,,1010.0,
2023-05-03,29.5,27.9,32.0,0.0,,60.0,20.6,,1009.4,
2023-05-04,29.5,27.7,32.3,0.0,,61.0,19.0,,1010.3,
2023-05-05,29.4,27.7,32.0,0.0,,56.0,19.6,,1011.6,
2023-05-06,29.3,27.6,32.0,0.0,,52.0,20.5,,1012.4,
2023-05-07,29.1,27.0,32.3,0.0,,56.0,18.9,,1012.1,
2023-05-08,28.9,27.0,32.2,0.3,,49.0,15.8,,1011.6,
2023-05-09,28.9,25.6,32.0,3.0,,61.0,17.0,,1011.6,
2023-05-10,29.5,27.5,32.0,0.3,,68.0,19.9,,1011.5,
2023-05-11,29.5,27.6,32.0,0.0,,74.0,18.0,,1010.8,
2023-05-12,29.3,28.0,32.4,0.0,,82.0,19.7,,1010.5,
2023-05-13,29.3,27.6,32.0,0.0,,71.0,18.5,,1010.6,
2023-05-14,29.3,27.5,32.0,0.0,,52.0,16.4,,1012.2,
2023-05-15,29.3,27.8,31.4,0.0,,53.0,15.2,,1013.2,
2023-05-16,28.2,24.0,31.0,18.3,,84.0,9.0,,1012.9,
2023-05-17,28.9,23.9,32.0,21.6,,63.0,8.1,,1011.1,
2023-05-18,29.4,27.8,32.0,0.0,,71.0,13.7,,1010.9,
2023-05-19,29.6,27.9,32.0,0.3,,66.0,16.9,,1011.8,
2023-05-20,29.1,27.8,32.0,0.0,,49.0,15.8,,1011.5,
2023-05-21,29.1,27.5,31.0,0.0,,49.0,15.5,,1011.2,
2023-05-22,29.2,27.0,31.0,0.0,,51.0,11.9,,1011.1,
2023-05-23,28.7,24.9,31.0,0.0,,70.0,9.6,,1011.1,
2023-05-24,28.8,27.0,31.0,0.0,,77.0,9.5,,1009.8,
2023-05-25,28.3,24.9,31.3,0.0,,121.0,7.6,,1008.7,
2023-05-26,28.8,26.0,32.0,0.0,,113.0,7.7,,1010.1,
2023-05-27,29.3,27.0,32.0,0.0,,69.0,10.2,,1011.5,
2023-05-28,29.7,28.8,33.0,0.0,,56.0,10.9,,1011.5,
2023-05-29,29.1,27.0,31.0,0.0,,75.0,8.3,,1010.9,
2023-05-30,29.2,26.4,32.0,0.8,,101.0,9.3,,1010.0,
2023-05-31,29.2,26.0,32.0,0.0,,111.0,7.7,,1010.4,
2023-06-01,29.0,25.4,31.8,22.1,,154.0,8.9,,1010.1,
2023-06-02,28.7,27.0,31.0,0.0,,187.0,7.2,,1008.3,
2023-06-03,29.7,27.0,33.0,4.3,,179.0,8.0,,1007.4,
2023-06-04,29.9,27.0,33.0,0.0,,154.0,9.1,,1008.8,
2023-06-05,29.8,27.4,33.0,0.0,,128.0,8.2,,1010.5,
2023-06-06,28.3,25.8,33.7,0.0,,53.0,6.3,,1011.4,
2023-06-07,29.5,26.0,32.0,0.0,,61.0,10.5,,1010.4,
2023-06-08,28.5,26.0,32.0,0.5,,23.0,4.8,,1011.1,
2023-06-09,29.8,22.7,32.8,0.0,,174.0,7.3,,1011.0,
2023-06-10,30.0,27.0,33.5,2.3,,142.0,8.2,,1011.1,
2023-06-11,29.2,26.7,32.4,0.0,,111.0,6.3,,1011.1,
2023-06-12,28.4,25.0,31.0,4.8,,72.0,12.9,,1010.6,
2023-06-13,30.1,24.5,32.0,49.8,,71.0,21.5,,1009.8,
2023-06-14,28.9,24.8,32.0,9.7,,77.0,19.4,,1009.5,
2023-06-15,29.1,26.0,31.0,0.0,,90.0,13.6,,1010.0,
2023-06-16,28.7,24.8,30.0,15.7,,76.0,17.3,,1010.7,
2023-06-17,27.8,24.0,29.3,24.9,,86.0,14.8,,1010.8,
2023-06-18,26.7,23.4,28.0,25.7,,89.0,16.4,,1010.0,
2023-06-19,28.8,23.3,31.4,127.0,,66.0,19.6,,1010.3,
2023-06-20,29.8,28.1,31.1,0.0,,62.0,21.6,,1009.5,
2023-06-21,29.7,28.0,32.0,0.0,,78.0,19.8,,1008.5,
2023-06-22,29.4,28.0,31.1,0.0,,79.0,17.7,,1010.0,
2023-06-23,29.7,28.1,32.0,0.8,,68.0,19.4,,1011.3,
2023-06-24,29.9,28.3,32.0,1.3,,69.0,22.4,,1011.4,
2023-06-25,29.0,26.9,31.9,1.5,,27.0,13.4,,1010.1,
2023-06-26,28.8,25.3,31.0,6.9,,136.0,9.5,,1010.8,
2023-06-27,28.5,26.0,31.0,1.3,,89.0,11.3,,1011.4,
2023-06-28,29.6,27.1,32.0,0.0,,68.0,18.6,,1010.8,
2023-06-29,29.3,28.0,31.0,0.0,,53.0,20.3,,1010.4,
2023-06-30,29.4,27.0,31.6,0.8,,52.0,20.0,,1010.2,
2023-07-01,29.0,26.9,30.0,5.1,,68.0,14.4,,1010.0,
2023-07-02,27.8,25.0,30.0,1.8,,75.0,12.0,,1010.5,
2023-07-03,27.3,24.5,30.2,43.9,,52.0,12.5,,1011.8,
2023-07-04,29.3,24.4,32.0,5.1,,81.0,18.9,,1012.2,
2023-07-05,29.6,28.0,31.7,0.0,,61.0,16.3,,1012.1,
2023-07-06,28.5,26.0,30.4,0.0,,68.0,10.2,,1011.0,
2023-07-07,27.8,24.1,30.0,39.9,,95.0,14.4,,1010.8,
2023-07-08,29.6,28.0,32.0,0.0,,75.0,19.6,,1011.1,
2023-07-09,29.7,26.8,32.0,2.3,,77.0,19.5,,1011.4,
2023-07-10,29.6,27.6,31.0,1.0,,72.0,22.2,,1011.3,
2023-07-11,29.5,28.0,32.0,0.0,,72.0,24.1,,1011.8,
2023-07-12,29.7,25.9,31.2,8.6,,72.0,23.2,,1010.6,
2023-07-13,29.4,26.0,31.7,0.0,,70.0,21.7,,1009.2,
2023-07-14,29.7,27.7,31.2,1.5,,73.0,20.9,,1010.2,
2023-07-15,29.2,27.0,31.3,0.5,,71.0,25.2,,1010.2,
2023-07-16,29.2,27.0,31.0,6.1,,66.0,25.8,,1011.2,
2023-07-17,28.1,26.0,29.0,3.3,,70.0,21.7,,1011.3,
2023-07-18,28.9,25.5,31.0,23.6,,60.0,20.7,,1012.8,
2023-07-19,29.5,27.9,31.0,0.5,,67.0,21.7,,1012.4,
2023-07-20,29.6,27.6,32.0,1.3,,63.0,23.6,,1011.1,
2023-07-21,29.7,28.2,32.0,0.0,,72.0,20.5,,1010.1,
2023-07-22,29.7,28.0,32.0,0.0,,77.0,20.7,,1010.5,
2023-07-23,29.5,28.0,31.2,0.0,,70.0,22.4,,1012.5,
2023-07-24,29.8,28.1,32.0,0.0,,62.0,24.7,,1013.9,
2023-07-25,29.6,27.3,32.0,1.0,,60.0,22.2,,1013.2,
2023-07-26,29.3,27.1,31.0,1.8,,49.0,21.6,,1011.9,
2023-07-27,29.5,27.9,31.0,1.3,,18.0,18.5,,1010.7,
2023-07-28,27.9,25.0,31.0,29.7,,94.0,12.3,,1010.5,
2023-07-29,29.5,26.1,32.0,5.8,,74.0,19.8,,1011.7,
2023-07-30,29.4,27.0,31.2,0.8,,65.0,20.3,,1011.5,
2023-07-31,29.0,26.0,31.1,4.3,,77.0,16.8,,1011.7,
2023-08-01,28.9,26.9,31.0,5.6,,85.0,15.7,,1012.6,
2023-08-02,26.9,23.0,29.0,85.1,,52.0,12.2,,1013.4,
2023-08-03,28.6,22.5,31.6,52.6,,65.0,13.1,,1012.7,
2023-08-04,29.7,27.3,31.6,0.3,,59.0,17.6,,1012.7,
2023-08-05,29.9,28.0,32.0,0.0,,59.0,19.9,,1012.4,
2023-08-06,29.8,28.0,32.4,0.9,,64.0,20.2,,1012.2,
2023-08-07,29.9,28.9,32.0,14.5,,60.0,20.9,,1013.0,
2023-08-08,29.7,28.0,32.0,0.0,,59.0,20.7,,1013.7,
2023-08-09,29.6,28.0,31.0,0.0,,60.0,14.6,,1012.7,
2023-08-10,29.8,28.6,31.5,0.0,,65.0,15.5,,1012.0,
2023-08-11,29.9,28.5,32.0,0.0,,55.0,16.6,,1011.7,
2023-08-12,29.7,25.5,32.0,1.0,,79.0,15.2,,1010.5,
2023-08-13,29.9,26.4,32.0,2.0,,74.0,21.5,,1011.3,
2023-08-14,29.1,25.7,31.0,7.4,,78.0,15.0,,1011.0,
2023-08-15,29.6,26.4,31.2,4.6,,66.0,15.7,,1012.1,
2023-08-16,29.7,25.6,32.0,2.0,,65.0,20.9,,1011.1,
2023-08-17,29.1,27.4,31.0,2.8,,71.0,21.0,,1010.8,
2023-08-18,27.9,24.0,30.6,10.7,,66.0,14.5,,1010.8,
2023-08-19,28.8,23.8,31.0,42.4,,50.0,15.8,,1009.7,
2023-08-20,28.7,25.5,31.5,4.6,,65.0,15.3,,1008.7,
2023-08-21,28.9,25.7,31.1,3.0,,65.0,17.1,,1008.1,
2023-08-22,28.1,24.4,31.7,11.4,,47.0,11.7,,1007.0,
2023-08-23,27.5,25.6,30.4,8.1,,141.0,5.8,,1007.5,
2023-08-24,27.6,25.4,30.1,3.3,,235.0,6.2,,1009.6,
2023-08-25,28.4,25.0,32.0,0.0,,91.0,4.4,,1010.3,
2023-08-26,29.2,26.0,32.0,0.0,,109.0,6.5,,1009.4,
2023-08-27,29.1,25.4,32.5,0.0,,155.0,6.9,,1008.5,
2023-08-28,29.5,26.8,32.0,0.0,,151.0,7.4,,1010.0,
2023-08-29,29.6,27.4,32.0,0.0,,106.0,6.9,,1010.8,
2023-08-30,30.3,28.7,32.2,0.0,,67.0,13.6,,1010.1,
2023-08-31,30.5,28.9,33.0,2.2,,62.0,15.3,,1009.6,
2023-09-01,30.2,28.6,33.0,1.5,,85.0,11.5,,1010.3,
2023-09-02,30.2,26.2,32.0,2.5,,58.0,19.1,,1010.7,
2023-09-03,30.1,27.6,33.0,1.8,,53.0,14.4,,1010.5,
2023-09-04,29.1,25.9,32.0,3.0,,66.0,10.9,,1010.5,
2023-09-05,29.6,25.1,32.2,10.2,,74.0,12.1,,1010.9,
2023-09-06,30.2,25.7,32.4,4.3,,65.0,17.1,,1010.8,
2023-09-07,30.2,28.0,32.0,0.0,,60.0,17.9,,1010.2,
2023-09-08,30.2,28.3,32.2,0.0,,64.0,17.7,,1009.9,
2023-09-09,30.5,28.6,32.6,0.5,,69.0,14.9,,1010.6,
2023-09-10,29.6,24.1,32.0,11.9,,64.0,13.9,,1011.0,
2023-09-11,29.7,24.7,32.3,4.3,,80.0,11.4,,1011.1,
2023-09-12,30.0,28.7,32.4,0.0,,52.0,12.6,,1010.6,
2023-09-13,30.1,28.7,32.6,0.4,,54.0,11.3,,1009.9,
2023-09-14,30.0,28.0,32.0,0.0,,49.0,11.4,,1009.8,
2023-09-15,29.9,27.0,32.0,4.8,,58.0,15.1,,1010.2,
2023-09-16,28.7,25.2,32.0,5.8,,75.0,14.4,,1010.8,
2023-09-17,29.3,24.6,32.0,24.4,,59.0,15.2,,1010.8,
2023-09-18,30.1,27.8,32.3,0.0,,55.0,14.7,,1010.6,
