time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,21.0,15.7,26.6,39.9,,149.0,5.5,,1016.0,
2023-01-02,20.6,17.4,24.6,0.0,,21.0,5.5,,1016.1,
2023-01-03,19.9,17.4,23.8,13.1,71.0,16.0,4.6,,1016.2,
2023-01-04,20.3,17.1,24.4,1.5,10.0,309.0,5.3,,1015.9,
2023-01-05,20.9,17.5,25.0,1.4,,5.0,6.1,,1015.5,
2023-01-06,21.2,17.9,26.5,8.6,,350.0,5.8,,1015.8,
2023-01-07,21.2,18.7,25.4,2.0,,350.0,5.0,,1016.3,
2023-01-08,21.4,15.8,25.2,0.0,,291.0,5.5,,1016.3,
2023-01-09,20.7,18.6,25.9,4.6,,326.0,5.9,,1016.4,
2023-01-10,20.1,16.9,24.2,23.9,,103.0,5.6,,1016.3,
2023-01-11,20.0,15.9,25.0,5.1,,347.0,6.7,,1016.4,
2023-01-12,21.4,17.9,25.0,0.0,,334.0,7.0,,1015.7,
2023-01-13,21.7,18.7,26.0,6.2,,18.0,5.6,,1015.0,
2023-01-14,21.4,17.9,27.0,9.1,10.0,309.0,6.9,,1015.5,
2023-01-15,21.7,18.2,26.0,3.0,,336.0,6.6,,1015.8,
2023-01-16,21.4,16.5,26.0,1.8,,303.0,5.8,,1015.0,
2023-01-17,22.0,17.8,26.0,0.0,,7.0,6.4,,1014.0,
2023-01-18,21.6,16.9,26.4,4.5,,346.0,5.9,,1014.6,
2023-01-19,21.7,18.0,26.1,0.3,,11.0,6.1,,1015.4,
2023-01-20,21.5,18.0,25.8,0.0,,113.0,6.6,,1015.3,
2023-01-21,21.8,17.9,26.0,0.0,,87.0,6.4,,1014.0,
2023-01-22,21.1,18.1,26.8,1.7,,3.0,6.7,,1013.5,
2023-01-23,22.1,18.3,26.0,0.0,,102.0,8.4,,1014.4,
2023-01-24,21.9,15.0,27.0,0.0,,131.0,9.3,,1014.1,
2023-01-25,22.3,15.6,27.0,0.1,,79.0,8.5,,1013.6,
2023-01-26,22.1,17.0,27.6,0.0,,137.0,9.1,,1013.2,
2023-01-27,22.1,17.2,27.1,0.0,,147.0,9.7,,1013.1,
2023-01-28,21.9,17.6,27.2,0.0,,126.0,9.3,,1013.0,
2023-01-29,22.4,17.8,27.1,0.0,,288.0,9.2,,1012.6,
2023-01-30,22.6,17.5,27.6,0.0,,245.0,9.5,,1013.3,
2023-01-31,22.0,18.7,26.9,0.0,,349.0,6.9,,1013.9,
2023-02-01,22.3,17.8,26.9,0.0,,35.0,8.1,,1014.3,
2023-02-02,22.1,16.4,27.0,0.0,,35.0,9.5,,1014.3,
2023-02-03,22.6,18.3,27.4,0.0,,277.0,8.6,,1012.2,
2023-02-04,21.8,17.5,26.1,0.0,,342.0,5.8,,1015.9,
2023-02-05,22.3,18.4,27.0,0.3,,316.0,8.0,,1014.9,
2023-02-06,22.5,15.9,27.2,0.2,,74.0,8.4,,1014.0,
2023-02-07,23.4,17.0,28.0,0.0,,128.0,8.1,,1013.3,
2023-02-08,23.1,18.6,28.4,4.4,,190.0,11.2,,1012.3,
2023-02-09,22.3,16.0,29.0,4.5,,309.0,8.0,,1013.6,
2023-02-10,23.2,16.7,28.2,3.8,,228.0,10.0,,1012.6,
2023-02-11,22.9,19.3,28.7,2.6,,287.0,7.9,,1012.3,
2023-02-12,22.9,18.8,27.8,2.8,,307.0,7.2,,1011.7,
2023-02-13,21.8,17.1,26.9,1.2,20.0,338.0,5.7,,1012.5,
2023-02-14,22.4,19.0,27.1,2.5,10.0,350.0,4.9,,1013.7,
2023-02-15,22.3,19.0,28.0,24.0,30.0,19.0,5.5,,1013.8,
2023-02-16,21.8,19.3,26.4,9.7,,115.0,5.2,,1013.6,
2023-02-17,22.4,16.7,27.0,2.0,,328.0,5.8,,1011.8,
2023-02-18,22.1,16.8,27.1,0.0,,344.0,5.2,,1013.6,
2023-02-19,22.7,18.4,27.2,0.0,,51.0,7.6,,1012.9,
2023-02-20,22.7,19.3,27.6,1.2,,289.0,7.5,,1013.5,
2023-02-21,22.4,19.2,27.8,7.5,,147.0,10.2,,1014.2,
2023-02-22,20.0,17.8,26.0,1.0,,154.0,6.9,,1016.5,
2023-02-23,21.8,17.2,26.1,0.0,,264.0,6.9,,1016.3,
2023-02-24,22.6,16.7,27.6,0.7,,44.0,6.5,,1015.4,
