time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,29.1,21.5,33.0,0.0,,140.0,5.7,,1011.7,
2023-01-02,27.4,22.8,32.0,5.1,,178.0,5.8,,1011.9,
2023-01-03,28.2,22.6,31.2,0.0,,131.0,6.0,,1012.3,
2023-01-04,27.6,21.1,31.6,0.7,,176.0,5.4,,1011.6,
2023-01-05,29.2,21.9,33.0,0.0,,166.0,6.1,,1010.9,
2023-01-06,28.9,24.2,31.2,7.6,,205.0,5.6,,1011.2,
2023-01-07,26.0,22.3,28.0,5.1,,213.0,4.9,,1012.1,
2023-01-08,26.5,24.0,29.0,0.0,,196.0,5.9,,1012.1,
2023-01-09,27.5,23.4,30.0,22.1,,321.0,4.7,,1011.9,
2023-01-10,24.3,22.0,26.2,48.0,,351.0,4.5,,1012.6,
2023-01-11,27.5,22.1,30.3,3.0,,50.0,6.0,,1011.9,
2023-01-12,27.2,23.2,31.0,0.0,,225.0,4.8,,1011.6,
2023-01-13,28.6,22.6,32.6,20.5,,202.0,5.2,,1010.7,
2023-01-14,27.5,24.0,33.0,9.0,,274.0,5.7,,1011.5,
2023-01-15,27.1,23.0,31.2,40.9,,268.0,4.9,,1011.7,
2023-01-16,27.7,23.4,31.0,0.0,,219.0,6.2,,1011.0,
2023-01-17,29.6,21.8,33.0,0.0,,184.0,7.0,,1009.6,
2023-01-18,29.6,23.6,33.0,3.7,,159.0,5.5,,1010.1,
2023-01-19,28.2,23.1,33.0,0.0,,211.0,6.0,,1010.9,
2023-01-20,29.3,23.4,33.0,3.6,,184.0,5.5,,1010.9,
2023-01-21,28.7,23.0,33.0,5.2,,194.0,6.5,,1009.2,
2023-01-22,28.6,24.0,32.0,11.6,,191.0,6.7,,1008.7,
2023-01-23,29.8,23.9,34.0,11.9,,191.0,6.1,,1009.5,
2023-01-24,29.1,24.0,32.2,0.0,,169.0,5.7,,1009.0,
2023-01-25,29.4,24.0,32.2,0.1,,123.0,6.7,,1008.1,
2023-01-26,29.5,23.0,33.0,4.5,,87.0,6.4,,1008.0,
