time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,25.6,22.8,29.8,0.4,,258.0,9.3,,1012.4,
2023-01-02,24.8,22.3,29.1,1.9,,253.0,9.7,,1012.7,
2023-01-03,25.2,21.6,29.4,0.0,,239.0,8.6,,1013.0,
2023-01-04,25.1,21.1,29.9,0.0,,101.0,7.4,,1012.0,
2023-01-05,25.7,21.0,31.4,0.0,,38.0,8.6,,1011.7,
2023-01-06,25.9,21.6,31.3,0.0,,249.0,6.5,,1011.8,
2023-01-07,26.2,22.1,30.9,7.9,,162.0,6.0,,1012.0,
2023-01-08,25.3,21.9,30.1,1.6,,212.0,6.3,,1012.4,
2023-01-09,24.8,22.7,28.8,3.0,,291.0,6.0,,1012.6,
2023-01-10,24.3,21.7,28.6,14.2,,201.0,7.7,,1012.8,
2023-01-11,24.3,21.4,28.7,5.3,,321.0,6.9,,1012.5,
2023-01-12,24.6,22.1,29.5,1.9,,226.0,9.1,,1011.9,
2023-01-13,24.7,22.0,29.6,8.7,,197.0,8.2,,1011.4,
2023-01-14,24.8,22.0,28.6,1.0,,223.0,6.6,,1011.9,
2023-01-15,24.9,22.4,28.9,0.4,,59.0,8.6,,1012.3,
2023-01-16,24.7,20.6,29.3,0.0,,47.0,9.9,,1011.3,
2023-01-17,25.0,20.8,29.7,0.0,,56.0,9.0,,1010.3,
2023-01-18,25.3,21.0,29.9,0.0,,324.0,8.4,,1010.7,
2023-01-19,25.5,22.3,30.0,0.2,,228.0,9.5,,1011.6,
2023-01-20,25.7,21.5,30.2,0.0,,39.0,8.6,,1011.2,
2023-01-21,25.6,22.1,30.8,0.0,,47.0,12.6,,1010.0,
2023-01-22,25.5,21.2,30.4,0.0,,100.0,10.4,,1009.2,
2023-01-23,26.2,21.9,31.4,0.0,,78.0,9.4,,1009.9,
2023-01-24,27.1,22.8,32.1,0.0,,42.0,10.4,,1009.1,
2023-01-25,27.1,23.2,32.2,0.0,,72.0,11.1,,1008.6,
2023-01-26,26.6,23.1,31.6,0.0,,46.0,10.6,,1009.0,
2023-01-27,26.2,21.9,32.6,0.0,,55.0,13.9,,1009.4,
2023-01-28,25.6,21.0,32.1,0.0,,53.0,14.0,,1009.5,
2023-01-29,25.2,20.0,32.2,0.0,,38.0,13.8,,1009.1,
